month,emp-forecast,emp-actual,emp-date,emp-diff,pay-forecast,pay-actual,pay-date,pay-diff
2008-03,10000.0,-23000,2008-03-05,-33000.0,25000.0,-63000,2008-03-07,-88000.0
2008-04,-40000.0,8000,2008-04-02,48000.0,-50000.0,-80000,2008-04-04,-30000.0
2008-04,-60000.0,13000,2008-04-30,73000.0,-50000.0,-80000,2008-04-04,-30000.0
2008-06,-30000.0,40000,2008-06-04,70000.0,-57000.0,-49000,2008-06-06,8000.0
2008-07,-20000.0,-79000,2008-07-02,-59000.0,-60000.0,-62000,2008-07-03,-2000.0
2008-07,-58000.0,9000,2008-07-30,67000.0,-60000.0,-62000,2008-07-03,-2000.0
2008-09,-30000.0,-33000,2008-09-04,-3000.0,-73000.0,-84000,2008-09-05,-11000.0
2008-10,-55000.0,-8000,2008-10-01,47000.0,-100000.0,-159000,2008-10-03,-59000.0
2008-11,-100000.0,-157000,2008-11-05,-57000.0,-200000.0,-240000,2008-11-07,-40000.0
2008-12,-200000.0,-476000,2008-12-03,-276000.0,-320000.0,-533000,2008-12-05,-213000.0
2009-01,-450000.0,-693000,2009-01-07,-243000.0,-475000.0,-524000,2009-01-09,-49000.0
2009-02,-528000.0,-614000,2009-02-04,-86000.0,-530000.0,-598000,2009-02-06,-68000.0
2009-03,-565000.0,-706000,2009-03-04,-141000.0,-636000.0,-651000,2009-03-06,-15000.0
2009-04,-660000.0,-708000,2009-04-01,-48000.0,-662000.0,-699000,2009-04-03,-37000.0
2009-05,-644000.0,-545000,2009-05-06,99000.0,-580000.0,-504000,2009-05-08,76000.0
2009-06,-532000.0,-485000,2009-06-03,47000.0,-521000.0,-322000,2009-06-05,199000.0
2009-07,-410000.0,-463000,2009-07-01,-53000.0,-375000.0,-443000,2009-07-02,-68000.0
2009-08,-340000.0,-360000,2009-08-05,-20000.0,-330000.0,-276000,2009-08-07,54000.0
2009-09,-250000.0,-277000,2009-09-02,-27000.0,-220000.0,-201000,2009-09-04,19000.0
2009-09,-200000.0,-227000,2009-09-30,-27000.0,-220000.0,-201000,2009-09-04,19000.0
2009-11,-190000.0,-195000,2009-11-04,-5000.0,-166000.0,-111000,2009-11-06,55000.0
2009-12,-148000.0,-145000,2009-12-02,3000.0,-114000.0,4000,2009-12-04,118000.0
2010-01,-75000.0,-61000,2010-01-06,14000.0,0.0,-150000,2010-01-08,-150000.0
2010-02,-40000.0,-60000,2010-02-03,-20000.0,15000.0,-26000,2010-02-05,-41000.0
2010-03,-10000.0,-24000,2010-03-03,-14000.0,-55000.0,-14000,2010-03-05,41000.0
2010-03,40000.0,19000,2010-03-31,-21000.0,-55000.0,-14000,2010-03-05,41000.0
2010-05,30000.0,65000,2010-05-05,35000.0,187000.0,290000,2010-05-07,103000.0
2010-06,56000.0,57000,2010-06-03,1000.0,500000.0,433000,2010-06-04,-67000.0
2010-06,58000.0,19000,2010-06-30,-39000.0,500000.0,433000,2010-06-04,-67000.0
2010-08,25000.0,37000,2010-08-04,12000.0,-65000.0,-54000,2010-08-06,11000.0
2010-09,13000.0,10000,2010-09-01,-3000.0,-118000.0,-57000,2010-09-03,61000.0
2010-10,18000.0,-2000,2010-10-06,-20000.0,3000.0,-41000,2010-10-08,-44000.0
2010-11,25000.0,82000,2010-11-03,57000.0,60000.0,172000,2010-11-05,112000.0
2010-12,65000.0,92000,2010-12-01,27000.0,140000.0,71000,2010-12-03,-69000.0
2011-01,100000.0,247000,2011-01-05,147000.0,150000.0,121000,2011-01-07,-29000.0
2011-02,150000.0,189000,2011-02-02,39000.0,150000.0,63000,2011-02-04,-87000.0
2011-03,175000.0,208000,2011-03-02,33000.0,180000.0,194000,2011-03-04,14000.0
2011-03,210000.0,207000,2011-03-30,-3000.0,180000.0,194000,2011-03-04,14000.0
2011-05,200000.0,177000,2011-05-04,-23000.0,185000.0,232000,2011-05-06,47000.0
2011-06,178000.0,36000,2011-06-01,-142000.0,169000.0,25000,2011-06-03,-144000.0
2011-07,60000.0,145000,2011-07-07,85000.0,89000.0,46000,2011-07-08,-43000.0
2011-08,100000.0,109000,2011-08-03,9000.0,95000.0,85000,2011-08-05,-10000.0
2011-08,103000.0,89000,2011-08-31,-14000.0,95000.0,85000,2011-08-05,-10000.0
2011-10,70000.0,116000,2011-10-05,46000.0,53000.0,158000,2011-10-07,105000.0
2011-11,100000.0,130000,2011-11-02,30000.0,95000.0,100000,2011-11-04,5000.0
2011-11,130000.0,204000,2011-11-30,74000.0,95000.0,100000,2011-11-04,5000.0
2012-01,175000.0,292000,2012-01-05,117000.0,150000.0,203000,2012-01-06,53000.0
2012-02,190000.0,173000,2012-02-01,-17000.0,150000.0,284000,2012-02-03,134000.0
2012-03,205000.0,230000,2012-03-07,25000.0,210000.0,240000,2012-03-09,30000.0
2012-04,200000.0,201000,2012-04-04,1000.0,203000.0,154000,2012-04-06,-49000.0
2012-05,177000.0,113000,2012-05-02,-64000.0,170000.0,77000,2012-05-04,-93000.0
2012-05,148000.0,136000,2012-05-31,-12000.0,170000.0,77000,2012-05-04,-93000.0
2012-07,105000.0,172000,2012-07-05,67000.0,90000.0,64000,2012-07-06,-26000.0
2012-08,120000.0,173000,2012-08-01,53000.0,100000.0,141000,2012-08-03,41000.0
2012-09,140000.0,189000,2012-09-06,49000.0,125000.0,142000,2012-09-07,17000.0
2012-10,143000.0,114000,2012-10-03,-29000.0,113000.0,148000,2012-10-05,35000.0
2012-11,135000.0,157000,2012-11-01,22000.0,125000.0,138000,2012-11-02,13000.0
2012-12,125000.0,148000,2012-12-05,23000.0,93000.0,161000,2012-12-07,68000.0
2013-01,133000.0,185000,2013-01-03,52000.0,150000.0,196000,2013-01-04,46000.0
2013-01,165000.0,215000,2013-01-30,50000.0,150000.0,196000,2013-01-04,46000.0
2013-03,170000.0,237000,2013-03-06,67000.0,160000.0,268000,2013-03-08,108000.0
2013-04,200000.0,131000,2013-04-03,-69000.0,200000.0,138000,2013-04-05,-62000.0
2013-05,150000.0,113000,2013-05-01,-37000.0,145000.0,149000,2013-05-03,4000.0
2013-06,165000.0,134000,2013-06-05,-31000.0,170000.0,195000,2013-06-07,25000.0
2013-07,160000.0,198000,2013-07-03,38000.0,165000.0,188000,2013-07-05,23000.0
2013-07,180000.0,198000,2013-07-31,18000.0,165000.0,188000,2013-07-05,23000.0
2013-09,180000.0,159000,2013-09-05,-21000.0,180000.0,193000,2013-09-06,13000.0
2013-10,180000.0,145000,2013-10-02,-35000.0,180000.0,163000,2013-10-22,-17000.0
2013-10,150000.0,184000,2013-10-30,34000.0,180000.0,163000,2013-10-22,-17000.0
2013-12,173000.0,229000,2013-12-04,56000.0,180000.0,241000,2013-12-06,61000.0
2014-01,200000.0,227000,2014-01-08,27000.0,196000.0,75000,2014-01-10,-121000.0
2014-02,180000.0,127000,2014-02-05,-53000.0,185000.0,129000,2014-02-07,-56000.0
2014-03,160000.0,178000,2014-03-05,18000.0,149000.0,197000,2014-03-07,48000.0
2014-04,195000.0,209000,2014-04-02,14000.0,200000.0,203000,2014-04-04,3000.0
2014-04,210000.0,215000,2014-04-30,5000.0,200000.0,203000,2014-04-04,3000.0
2014-06,210000.0,179000,2014-06-04,-31000.0,218000.0,224000,2014-06-06,6000.0
2014-07,200000.0,281000,2014-07-02,81000.0,212000.0,298000,2014-07-03,86000.0
2014-07,230000.0,212000,2014-07-30,-18000.0,212000.0,298000,2014-07-03,86000.0
2014-09,220000.0,202000,2014-09-04,-18000.0,225000.0,180000,2014-09-05,-45000.0
2014-10,210000.0,225000,2014-10-01,15000.0,215000.0,256000,2014-10-03,41000.0
2014-11,220000.0,233000,2014-11-05,13000.0,231000.0,243000,2014-11-07,12000.0
2014-12,223000.0,227000,2014-12-03,4000.0,225000.0,353000,2014-12-05,128000.0
2015-01,226000.0,253000,2015-01-07,27000.0,240000.0,329000,2015-01-09,89000.0
2015-02,225000.0,250000,2015-02-04,25000.0,234000.0,239000,2015-02-06,5000.0
2015-03,220000.0,214000,2015-03-04,-6000.0,240000.0,264000,2015-03-06,24000.0
2015-04,225000.0,175000,2015-04-01,-50000.0,245000.0,85000,2015-04-03,-160000.0
2015-05,200000.0,165000,2015-05-06,-35000.0,224000.0,221000,2015-05-08,-3000.0
2015-06,200000.0,203000,2015-06-03,3000.0,225000.0,254000,2015-06-05,29000.0
2015-07,218000.0,229000,2015-07-01,11000.0,230000.0,231000,2015-07-02,1000.0
2015-08,215000.0,177000,2015-08-05,-38000.0,223000.0,245000,2015-08-07,22000.0
2015-09,201000.0,186000,2015-09-02,-15000.0,220000.0,136000,2015-09-04,-84000.0
2015-09,194000.0,190000,2015-09-30,-4000.0,220000.0,136000,2015-09-04,-84000.0
2015-11,180000.0,196000,2015-11-04,16000.0,180000.0,298000,2015-11-06,118000.0
2015-12,190000.0,211000,2015-12-02,21000.0,200000.0,252000,2015-12-04,52000.0
2016-01,192000.0,267000,2016-01-06,75000.0,200000.0,262000,2016-01-08,62000.0
2016-02,195000.0,193000,2016-02-03,-2000.0,190000.0,172000,2016-02-05,-18000.0
2016-03,190000.0,205000,2016-03-02,15000.0,190000.0,245000,2016-03-04,55000.0
2016-03,194000.0,194000,2016-03-30,0.0,190000.0,245000,2016-03-04,55000.0
2016-05,196000.0,166000,2016-05-04,-30000.0,202000.0,123000,2016-05-06,-79000.0
2016-06,175000.0,168000,2016-06-02,-7000.0,164000.0,11000,2016-06-03,-153000.0
2016-07,159000.0,176000,2016-07-07,17000.0,175000.0,292000,2016-07-08,117000.0
2016-08,170000.0,194000,2016-08-03,24000.0,180000.0,275000,2016-08-05,95000.0
2016-08,175000.0,175000,2016-08-31,0.0,180000.0,275000,2016-08-05,95000.0
2016-10,166000.0,202000,2016-10-05,36000.0,175000.0,191000,2016-10-07,16000.0
2016-11,165000.0,119000,2016-11-02,-46000.0,175000.0,142000,2016-11-04,-33000.0
2016-11,165000.0,215000,2016-11-30,50000.0,175000.0,142000,2016-11-04,-33000.0
2017-01,170000.0,151000,2017-01-05,-19000.0,178000.0,157000,2017-01-06,-21000.0
2017-02,165000.0,261000,2017-02-01,96000.0,175000.0,238000,2017-02-03,63000.0
2017-03,190000.0,245000,2017-03-08,55000.0,200000.0,219000,2017-03-10,19000.0
2017-04,187000.0,255000,2017-04-05,68000.0,180000.0,79000,2017-04-07,-101000.0
2017-05,175000.0,174000,2017-05-03,-1000.0,185000.0,174000,2017-05-05,-11000.0
2017-06,185000.0,230000,2017-06-01,45000.0,185000.0,152000,2017-06-02,-33000.0
2017-07,185000.0,191000,2017-07-06,6000.0,179000.0,231000,2017-07-07,52000.0
2017-08,185000.0,201000,2017-08-02,16000.0,183000.0,189000,2017-08-04,6000.0
2017-08,183000.0,228000,2017-08-30,45000.0,183000.0,189000,2017-08-04,6000.0
2017-10,125000.0,110000,2017-10-04,-15000.0,90000.0,18000,2017-10-06,-72000.0
2017-11,200000.0,235000,2017-11-01,35000.0,310000.0,244000,2017-11-03,-66000.0
2017-12,185000.0,185000,2017-12-06,0.0,200000.0,252000,2017-12-08,52000.0
2018-01,191000.0,242000,2018-01-04,51000.0,190000.0,160000,2018-01-05,-30000.0
2018-01,186000.0,244000,2018-01-31,58000.0,190000.0,160000,2018-01-05,-30000.0
2018-03,195000.0,246000,2018-03-07,51000.0,200000.0,326000,2018-03-09,126000.0
2018-04,208000.0,228000,2018-04-04,20000.0,193000.0,135000,2018-04-06,-58000.0
2018-05,200000.0,163000,2018-05-02,-37000.0,189000.0,159000,2018-05-04,-30000.0
2018-05,186000.0,189000,2018-05-30,3000.0,189000.0,159000,2018-05-04,-30000.0
2018-07,190000.0,181000,2018-07-05,-9000.0,200000.0,248000,2018-07-06,48000.0
2018-08,186000.0,217000,2018-08-01,31000.0,193000.0,147000,2018-08-03,-46000.0
2018-09,188000.0,168000,2018-09-06,-20000.0,191000.0,270000,2018-09-07,79000.0
2018-10,187000.0,218000,2018-10-03,31000.0,185000.0,118000,2018-10-05,-67000.0
2018-10,189000.0,225000,2018-10-31,36000.0,185000.0,118000,2018-10-05,-67000.0
2018-12,196000.0,157000,2018-12-06,-39000.0,200000.0,176000,2018-12-07,-24000.0
2019-01,179000.0,263000,2019-01-03,84000.0,178000.0,222000,2019-01-04,44000.0
2019-01,180000.0,300000,2019-01-30,120000.0,178000.0,222000,2019-01-04,44000.0
2019-03,189000.0,197000,2019-03-06,8000.0,181000.0,33000,2019-03-08,-148000.0
2019-04,184000.0,151000,2019-04-03,-33000.0,175000.0,189000,2019-04-05,14000.0
2019-05,181000.0,271000,2019-05-01,90000.0,181000.0,224000,2019-05-03,43000.0
2019-06,180000.0,41000,2019-06-05,-139000.0,185000.0,72000,2019-06-07,-113000.0
2019-07,140000.0,112000,2019-07-03,-28000.0,160000.0,193000,2019-07-05,33000.0
2019-07,150000.0,142000,2019-07-31,-8000.0,160000.0,193000,2019-07-05,33000.0
2019-09,148000.0,157000,2019-09-05,9000.0,160000.0,168000,2019-09-06,8000.0
2019-10,140000.0,93000,2019-10-02,-47000.0,140000.0,180000,2019-10-04,40000.0
2019-10,120000.0,121000,2019-10-30,1000.0,140000.0,180000,2019-10-04,40000.0
2019-12,140000.0,124000,2019-12-04,-16000.0,186000.0,256000,2019-12-06,70000.0
2020-01,160000.0,199000,2020-01-08,39000.0,164000.0,147000,2020-01-10,-17000.0
2020-02,156000.0,209000,2020-02-05,53000.0,160000.0,273000,2020-02-07,113000.0
2020-03,170000.0,183000,2020-03-04,13000.0,175000.0,275000,2020-03-06,100000.0
2020-04,-150000.0,-149000,2020-04-01,1000.0,-100000.0,-870000,2020-04-03,-770000.0
2020-05,-20050000.0,-19557000,2020-05-06,493000.0,-22000000.0,-20687000,2020-05-08,1313000.0
2020-06,-9000000.0,3065000,2020-06-03,12065000.0,-8000000.0,2699000,2020-06-05,10699000.0
2020-07,3000000.0,4314000,2020-07-01,1314000.0,3000000.0,4791000,2020-07-02,1791000.0
2020-08,1500000.0,212000,2020-08-05,-1288000.0,1600000.0,1734000,2020-08-07,134000.0
2020-09,950000.0,481000,2020-09-02,-469000.0,1400000.0,1489000,2020-09-04,89000.0
2020-09,650000.0,749000,2020-09-30,99000.0,1400000.0,1489000,2020-09-04,89000.0
2020-11,650000.0,404000,2020-11-04,-246000.0,600000.0,610000,2020-11-06,10000.0
2020-12,410000.0,304000,2020-12-02,-106000.0,469000.0,336000,2020-12-04,-133000.0
2021-01,88000.0,-78000,2021-01-06,-166000.0,71000.0,-227000,2021-01-08,-298000.0
2021-02,49000.0,195000,2021-02-03,146000.0,50000.0,166000,2021-02-05,116000.0
2021-03,177000.0,176000,2021-03-03,-1000.0,182000.0,468000,2021-03-05,286000.0
2021-03,550000.0,565000,2021-03-31,15000.0,182000.0,468000,2021-03-05,286000.0
2021-05,800000.0,654000,2021-05-05,-146000.0,978000.0,278000,2021-05-07,-700000.0
2021-06,650000.0,886000,2021-06-03,236000.0,650000.0,583000,2021-06-04,-67000.0
2021-06,600000.0,680000,2021-06-30,80000.0,650000.0,583000,2021-06-04,-67000.0
2021-08,695000.0,326000,2021-08-04,-369000.0,870000.0,1053000,2021-08-06,183000.0
2021-09,613000.0,340000,2021-09-01,-273000.0,750000.0,366000,2021-09-03,-384000.0
2021-10,428000.0,523000,2021-10-06,95000.0,500000.0,312000,2021-10-08,-188000.0
2021-11,400000.0,571000,2021-11-03,171000.0,450000.0,531000,2021-11-05,81000.0
