Product,Symbol,SymbolIQFeed,settlement_end,str,dict_str
Austrialian Dollar,6A,@AD#,15:00,"'@AD#',","'@AD#':'6A',"
British Pound,6B,@BP#,15:00,"'@BP#',","'@BP#':'6B',"
Canadian Dollar,6C,@CD#,15:00,"'@CD#',","'@CD#':'6C',"
Euro,6E,@EU#,15:00,"'@EU#',","'@EU#':'6E',"
Japanese Yen,6J,@JY#,15:00,"'@JY#',","'@JY#':'6J',"
Swiss France,6S,@SF#,15:00,"'@SF#',","'@SF#':'6S',"
Brent Crude,BRN,EB#,14:30,"'EB#',","'EB#':'BRN',"
BTC,BTC,@BTC#,16:00,"'@BTC#',","'@BTC#':'BTC',"
BZ,BZ,QBZ#,14:30,"'QBZ#',","'QBZ#':'BZ',"
Cocoa (London),C,QC#,11:50,"'QC#',","'QC#':'C',"
Cocoa,CC,@CC#,11:50,"'@CC#',","'@CC#':'CC',"
WTI Crude,CL,QCL#,14:30,"'QCL#',","'QCL#':'CL',"
Cotton,CT,@CT#,14:20,"'@CT#',","'@CT#':'CT',"
E-mini S&P,ES,@ES#,14:15,"'@ES#',","'@ES#':'ES',"
ETH,ETH,@ETH#,16:00,"'@ETH#',","'@ETH#':'ETH',"
DAX GX1,FDAX,XD#,11:30,"'XD#',","'XD#':'FDAX',"
Euro Stoxx 50,FESX,EX#,11:30,"'EX#',","'EX#':'FESX',"
EURO-BUND RX1,FGBL,BD#,11:15,"'BD#',","'BD#':'FGBL',"
EURO -BOBL OE1,FGBM,BL#,11:15,"'BL#',","'BL#':'FGBM',"
EURO-Schatz DU1,FGBS,EZ#,11:15,"'EZ#',","'EZ#':'FGBS',"
EURO-BUXL UB1,FGBX,BX#,11:15,"'BX#',","'BX#':'FGBX',"
EURO-OAT OAT1,FOAT,OAT#,11:15,"'OAT#',","'OAT#':'FOAT',"
VSTOXX Futures,FVS,FVS#,11:15,"'FVS#',","'FVS#':'FVS',"
Gasoil,G,GAS#,11:30,"'GAS#',","'GAS#':'G',"
Gold,GC,QGC#,13:30,"'QGC#',","'QGC#':'GC',"
Feeder Cattle,GF,@GF#,14:00,"'@GF#',","'@GF#':'GF',"
Lean Hogs,HE,@HE#,14:00,"'@HE#',","'@HE#':'HE',"
Copper,HG,QHG#,13:00,"'QHG#',","'QHG#':'HG',"
Heating Oil,HO,QHO#,14:30,"'QHO#',","'QHO#':'HO',"
Coffee,KC,@KC#,13:25,"'@KC#',","'@KC#':'KC',"
Wheat (HRW),KE,@KW#,14:15,"'@KW#',","'@KW#':'KE',"
Live Cattle,LE,@LE#,14:00,"'@LE#',","'@LE#':'LE',"
MSCI EAFE,MFS,@MFS#,16:15,"'@MFS#',","'@MFS#':'MFS',"
MSCI,MME,@MME#,16:15,"'@MME#',","'@MME#':'MME',"
Natural Gas,NG,QNG#,14:30,"'QNG#',","'QNG#':'NG',"
Nikkei/Yen,NIY,@NIY#,16:00,"'@NIY#',","'@NIY#':'NIY',"
Nikkei/Dollar,NKD,@NKD#,16:00,"'@NKD#',","'@NKD#':'NKD',"
Nasdaq,NQ,@NQ#,14:15,"'@NQ#',","'@NQ#':'NQ',"
Platinum,PL,QPL#,13:05,"'QPL#',","'QPL#':'PL',"
Gasoline,RB,QRB#,14:30,"'QRB#',","'QRB#':'RB',"
Robusta Coffee,RC,LRC#,12:25,"'LRC#',","'LRC#':'RC',"
Canola,RS,@RS#,14:15,"'@RS#',","'@RS#':'RS',"
Russell,RTY,@RTY#,14:15,"'@RTY#',","'@RTY#':'RTY',"
Sugar,SB,@SB#,12:55,"'@SB#',","'@SB#':'SB',"
Silver,SI,QSI#,13:25,"'QSI#',","'QSI#':'SI',"
Ultra 10-Year T-Note,TN,@TN#,14:00,"'@TN#',","'@TN#':'TN',"
Ultra T-Bond,UB,@UB#,14:00,"'@UB#',","'@UB#':'UB',"
UHO,UHO,IHO#,14:30,"'IHO#',","'IHO#':'UHO',"
UHU,UHU,IRB#,14:30,"'IRB#',","'IRB#':'UHU',"
VIX,VX,@VX#,15:15,"'@VX#',","'@VX#':'VX',"
Sugar (White),W,QW#,12:55,"'QW#',","'QW#':'W',"
WBS,WBS,CRD#,14:30,"'CRD#',","'CRD#':'WBS',"
E-mini Dow,YM,@YM#,14:15,"'@YM#',","'@YM#':'YM',"
3-Year T-Note,Z3N,@3N#,14:00,"'@3N#',","'@3N#':'Z3N',"
T-Bond,ZB,@US#,14:00,"'@US#',","'@US#':'ZB',"
Corn,ZC,@C#,14:20,"'@C#',","'@C#':'ZC',"
5-Year T-Note,ZF,@FV#,14:00,"'@FV#',","'@FV#':'ZF',"
Soy oil,ZL,@BO#,14:20,"'@BO#',","'@BO#':'ZL',"
Soy meal,ZM,@SM#,14:20,"'@SM#',","'@SM#':'ZM',"
10-Year T-Note,ZN,@TY#,14:00,"'@TY#',","'@TY#':'ZN',"
Soybeans,ZS,@S#,14:20,"'@S#',","'@S#':'ZS',"
2-Year T-Note,ZT,@TU#,14:00,"'@TU#',","'@TU#':'ZT',"
Wheat,ZW,@W#,14:20,"'@W#',","'@W#':'ZW',"
