time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CELG,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,DWDP,EA,ECL,EEM,EMR,EOG,EXC,F,FB,FDX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VZ,WBA,WFC,WM,WMT,X,XOM,ZTS
2019-02-01 09:31:00+00:00,167.12,,72.98,154.33,247.72,99.43,140.315,,,43.41,39.33,186.53,172.55,1632.3176,301.27,47.23,268.78,,386.4,28.56,48.97,249.09,330.44,,1824.05,,48.9,206.57,38.08,64.29,133.15,,117.21,88.706,332.09,195.65,64.86,36.75,,80.7651,68.59,214.14,152.24,47.29,65.71,69.84,64.34,117.09,,50.14,,110.73,111.81,87.795,53.66,92.26,158.72,42.76,65.97,100.2,47.57,8.73,167.0,,49.24,171.15,10.12,70.19,38.67,1112.04,1120.9,197.85,31.49,183.9,148.2401,22.12,,134.92,76.885,,47.18,215.065,520.38,131.41,134.155,104.13,48.0,111.55,48.47,120.35,290.85,,147.21,85.68,211.48,114.68,179.46,45.82,88.93,45.845,88.08,201.235,49.55,66.96,76.14,42.3,103.89,38.7,178.0,337.1756,81.77,276.7775,,144.5855,50.525,67.29,112.95,42.8,96.04,65.55,76.87,,92.62,,88.71,49.6258,167.39,166.0,68.57,47.04,423.55,44.47,48.53,,191.16,270.1,174.0,177.75,30.22,73.01,49.43,245.6,304.09,33.58,100.47,269.05,158.98,,51.34,119.53,135.985,,87.53,191.0,55.2295,72.1,49.01,96.08,95.67,22.24,74.87,
2019-02-01 09:32:00+00:00,167.19,80.39,72.98,154.33,247.27,99.6,140.82,48.04,144.33,43.4,39.26,186.85,172.77,1632.01,301.63,47.465,269.1,102.55,386.2,28.53,49.0,249.31,331.95,52.49,1824.05,415.605,48.85,206.59,38.15,64.195,133.53,133.2,117.22,88.74,331.425,193.83,65.03,36.74,182.704,80.7651,68.72,214.545,151.63,47.18,65.7,69.94,64.28,118.14,,49.91,163.98,110.8542,111.41,87.87,53.64,92.3,158.99,42.76,65.86,100.2,47.65,8.755,167.93,178.3363,49.24,171.4,10.13,70.39,38.73,1110.9399,1119.83,198.1,31.52,183.82,146.29,22.11,,135.15,77.22,280.86,47.185,215.21,522.06,131.3,134.17,104.0,48.14,111.66,48.575,120.4713,290.81,96.38,147.4032,85.96,211.68,114.68,179.99,46.15,89.18,45.845,87.95,200.55,49.36,66.9,75.955,42.3,103.83,38.5802,178.24,338.23,81.55,276.7775,167.4574,144.11,50.51,67.37,113.19,42.85,96.53,65.57,76.8,123.23,92.65,95.81,88.76,49.52,167.48,166.3,68.76,47.05,423.0025,44.45,48.58,185.0,191.82,270.12,173.685,178.17,30.295,72.7912,49.48,245.6,303.83,33.76,100.635,268.52,158.85,,51.37,119.575,136.18,16.37,87.44,190.02,55.12,72.4,49.065,96.155,94.895,22.365,75.04,86.63
2019-02-01 09:33:00+00:00,166.89,80.48,72.98,154.35,246.94,99.52,140.47,48.45,144.01,43.36,39.1401,187.2,172.75,1632.91,302.0,47.41,269.05,102.94,386.11,28.56,48.98,249.31,332.91,52.46,1824.05,416.4382,48.97,206.8,38.17,64.3136,133.07,133.2,117.225,88.75,331.48,191.375,65.01,36.68,183.48,80.7651,68.37,213.37,151.475,47.13,65.45,70.09,63.91,117.05,70.49,50.015,163.535,110.61,111.5,87.86,53.46,92.22,158.555,42.74,65.62,99.86,47.68,8.76,168.39,178.63,49.27,171.195,10.1855,70.275,38.79,1107.49,1116.66,198.28,31.42,183.7233,144.86,22.07,,135.1,77.3,282.2546,47.2,214.71,521.71,130.97,134.21,104.13,48.13,112.07,48.54,120.32,290.62,96.44,147.2181,85.5,211.4025,114.38,180.16,46.09,89.25,45.85,87.95,200.4,49.23,66.71,75.6,42.35,103.72,38.57,178.25,339.17,81.46,276.35,167.38,144.11,50.63,67.176,113.01,42.97,96.54,65.56,76.7,123.075,92.63,95.19,88.5,49.53,167.39,167.51,69.02,46.99,424.13,44.26,48.57,184.71,192.0,269.99,173.18,178.17,30.3,72.61,49.43,245.6,304.21,33.86,100.385,268.49,158.87,,51.39,119.33,136.07,16.3,87.28,190.02,55.085,72.27,49.05,96.13,94.6,22.278,75.0,86.53
2019-02-01 09:34:00+00:00,166.958,80.08,72.992,154.32,246.51,99.38,140.73,48.385,143.8525,43.3796,39.19,187.3956,172.92,1635.0,302.5562,47.31,268.93,103.15,384.94,28.595,49.0,249.31,333.5,52.5,1826.0551,416.4382,49.01,206.67,38.16,64.39,133.19,133.2,117.15,88.73,331.36,190.98,65.1,36.65,183.57,80.99,68.13,213.35,151.295,47.1,65.56,70.03,63.61,117.24,70.47,49.9,163.7912,110.61,111.52,87.88,53.4,92.29,158.555,42.78,65.75,99.9144,47.69,8.8,168.51,178.54,49.23,171.07,10.26,70.16,38.81,1106.59,1115.8235,198.7358,31.44,183.03,145.39,22.09,305.22,135.03,77.5,282.28,47.191,214.425,522.95,132.095,134.1633,104.16,48.1021,112.27,48.59,120.27,290.52,96.21,147.24,85.56,211.38,114.38,180.49,46.06,89.385,45.9,88.3,200.31,49.1661,66.72,75.735,42.425,103.55,38.55,178.48,340.64,81.42,275.0,167.3,143.81,50.62,67.11,113.1,42.8,96.97,65.52,76.69,123.11,92.66,95.27,88.325,49.59,167.43,166.51,68.96,47.035,424.035,44.26,48.6,184.23,192.26,270.01,173.39,178.27,30.26,72.58,49.42,245.59,304.66,33.75,100.4,268.0,158.68,105.45,51.43,119.31,135.9628,16.37,87.29,190.68,55.05,72.19,49.01,96.13,94.52,22.26,75.03,86.53
2019-02-01 09:35:00+00:00,167.17,79.93,73.15,154.18,246.715,99.45,140.33,48.415,143.885,43.45,39.3,187.2978,172.3,1638.6851,302.5225,47.27,268.86,103.2,385.0031,28.605,49.0,250.04,333.105,52.47,1832.9904,414.395,48.97,206.87,38.22,64.51,133.29,133.3,116.89,88.72,331.335,190.24,64.9,36.65,183.63,81.23,68.31,213.42,151.56,47.1,65.53,70.01,63.13,117.43,70.59,50.02,163.57,110.755,111.38,87.78,53.4,91.79,158.4699,42.765,65.69,100.14,47.65,8.79,168.2,178.55,49.21,170.74,10.31,70.01,38.84,1109.0457,1118.35,198.89,31.54,182.89,145.78,22.1,302.29,135.02,77.41,282.85,47.26,214.69,522.875,132.05,134.15,104.26,48.06,111.99,48.52,120.22,290.36,96.14,147.26,85.595,211.775,114.64,180.01,46.08,89.4,45.83,88.39,200.26,49.09,66.8,75.85,42.41,103.605,38.67,178.42,341.16,81.33,272.7,167.3,143.93,50.59,67.04,112.99,42.89,97.24,65.46,76.365,123.17,92.63,95.32,88.38,49.64,167.5,166.13,68.98,47.13,424.035,44.3,48.45,183.34,192.26,270.03,173.36,178.97,30.1972,72.7,49.44,245.41,304.9,33.8,100.34,267.78,158.39,105.81,51.39,119.3,136.058,16.33,87.53,190.68,54.91,72.16,49.01,95.91,94.23,22.36,74.975,86.54
2019-02-01 09:36:00+00:00,167.208,79.7025,73.03,154.38,247.28,99.57,140.285,48.41,143.87,43.44,39.36,187.0,172.12,1643.36,302.465,47.25,269.52,103.2,386.3919,28.64,49.0,249.56,333.215,52.48,1824.29,415.25,49.0,206.56,38.19,64.51,133.125,133.49,116.8299,88.8,332.67,190.38,64.87,36.67,183.92,81.21,68.17,213.135,151.75,47.16,65.6,70.17,63.05,117.41,70.43,50.02,164.03,110.85,111.485,87.63,53.55,92.06,158.485,42.8,65.64,100.04,47.57,8.79,168.84,179.245,49.24,171.22,10.31,70.04,38.94,1114.65,1122.89,198.8928,31.66,183.14,146.13,22.06,303.1507,134.92,77.58,282.87,47.32,214.83,523.51,132.13,133.75,104.23,48.05,111.91,48.475,119.98,290.5358,96.32,147.265,85.64,212.17,114.595,179.78,46.002,89.24,45.85,88.47,200.6,49.045,66.61,75.74,42.49,103.79,38.81,178.14,342.62,81.5,273.48,167.17,145.02,50.705,67.14,112.86,42.8,97.02,65.3,76.22,123.13,92.72,95.29,88.61,49.69,167.7464,166.1,69.01,47.2,422.55,44.3,48.38,182.515,193.05,270.12,173.34,178.475,30.17,72.65,49.47,245.6,306.94,33.815,100.59,267.0,158.67,105.86,51.39,119.54,136.76,16.34,87.35,191.07,54.82,72.13,48.99,95.56,94.14,22.46,74.51,86.51
2019-02-01 09:37:00+00:00,167.3,79.5607,72.75,154.46,247.3,99.645,140.24,48.42,143.9846,43.46,39.47,186.89,172.21,1651.35,301.53,47.22,269.32,102.99,386.4,28.705,48.99,248.81,333.215,52.475,1833.7903,415.25,48.783,206.81,38.12,64.58,133.04,133.31,116.7618,88.57,331.72,189.555,64.78,36.6,183.965,81.21,68.26,212.64,151.93,47.155,65.59,70.16,63.205,117.43,70.4034,49.98,164.24,110.35,111.44,87.64,53.4701,92.12,158.485,42.815,65.72,100.11,47.61,8.78,168.7853,179.69,49.22,171.34,10.325,69.96,38.87,1116.4301,1124.5,199.1575,31.65,183.49,146.0401,22.08,302.47,134.93,77.56,282.78,47.46,214.925,523.11,131.88,133.57,104.35,47.889,111.88,48.46,119.74,290.84,96.34,147.12,85.39,212.12,114.76,179.7,45.99,88.95,45.84,88.36,200.32,48.9938,66.77,75.64,42.485,103.94,38.99,178.3,342.49,81.45,274.9626,167.01,145.94,50.78,67.06,112.65,42.69,96.9,65.15,75.79,123.33,92.71,95.32,88.8,49.72,167.9,166.01,68.95,47.25,423.88,44.355,48.45,182.515,193.58,270.14,173.24,178.34,30.1718,72.55,49.4,244.32,307.53,33.69,100.84,267.0,158.9,105.94,51.38,119.45,137.16,16.34,87.46,191.03,54.77,72.14,49.01,95.6771,94.18,22.549,74.42,86.395
2019-02-01 09:38:00+00:00,167.2399,79.33,72.71,154.31,246.96,99.73,140.45,48.44,143.79,43.42,39.36,186.75,172.17,1652.5474,300.99,47.2,269.12,103.0926,386.1,28.66,48.98,248.48,332.356,52.51,1834.11,415.28,48.87,206.92,38.06,64.5,133.03,133.31,116.77,88.66,331.72,190.0,64.76,36.61,183.965,81.2,68.2462,213.09,151.92,47.14,65.61,70.24,63.15,117.67,70.28,49.86,163.94,110.34,111.39,87.62,53.48,91.94,158.1,42.79,65.65,100.12,47.61,8.755,168.77,179.27,49.23,171.34,10.279,70.005,38.8,1115.62,1125.09,199.18,31.69,183.56,146.33,22.07,302.86,134.79,77.62,281.0,47.47,214.48,521.34,132.93,133.65,104.4301,47.846,111.645,48.44,119.76,291.09,96.445,146.8,85.375,212.05,114.5,179.49,45.93,88.83,45.81,88.43,200.2,49.01,66.7,75.64,42.43,103.8,38.91,178.39,342.0,81.44,275.0409,167.325,145.59,50.75,67.05,112.57,42.67,96.91,65.24,75.78,123.28,92.59,95.2,88.73,49.7,167.82,166.11,69.0,47.26,423.34,44.36,48.47,181.53,193.815,270.04,173.4,178.15,30.1562,72.55,49.41,244.14,306.5,33.59,100.73,266.43,158.995,106.02,51.41,119.61,137.34,16.35,87.16,191.03,54.72,72.02,48.98,95.61,94.5,22.52,74.87,86.21
2019-02-01 09:39:00+00:00,167.23,79.42,72.57,154.26,247.09,99.82,140.45,48.43,142.89,43.38,39.37,186.6436,172.11,1654.37,300.69,47.25,269.06,102.99,385.99,28.61,48.93,248.07,332.1612,52.505,1834.11,415.28,48.78,206.82,37.94,64.42,133.0,133.31,116.77,88.57,331.63,190.29,64.79,36.575,183.645,81.1,68.23,213.4,151.8849,47.18,65.65,70.3,63.35,117.7262,70.1653,49.87,163.976,110.12,111.19,87.68,53.62,92.07,158.08,42.777,65.7,100.06,47.64,8.77,168.34,179.23,49.24,171.51,10.1981,70.01,38.83,1114.895,1124.26,199.12,31.7,183.7371,146.365,22.07,301.29,134.7084,77.5638,280.59,47.486,214.365,519.2744,132.4,133.56,104.36,47.87,111.82,48.44,119.4,291.43,96.49,146.23,85.41,212.12,114.245,179.93,45.9,88.55,45.78,88.43,200.17,49.04,66.62,75.51,42.42,103.73,39.04,178.51,342.53,81.44,275.88,167.415,145.698,50.74,67.09,112.56,42.675,96.92,65.18,75.86,123.17,92.44,95.41,88.67,49.68,167.8,166.09,69.08,47.19,422.68,44.339,48.54,182.46,193.7,270.03,173.67,177.605,30.13,72.64,49.53,243.745,307.6238,33.54,100.75,266.36,158.99,105.68,51.39,119.67,137.5,16.39,87.25,190.005,54.73,71.99,48.97,95.5,94.36,22.56,74.7119,86.08
2019-02-01 09:40:00+00:00,167.3894,79.26,72.6,154.33,247.01,99.88,140.56,48.49,143.0,43.47,39.41,186.46,171.94,1658.83,300.35,47.21,269.12,103.18,386.59,28.66,48.97,247.8,332.1612,52.63,1831.5551,415.12,48.795,207.2,38.02,64.58,133.215,133.36,116.45,88.6,332.28,189.18,64.69,36.58,183.96,81.16,68.39,213.16,152.09,47.24,65.78,70.24,63.36,117.55,70.44,50.02,164.0,110.12,111.25,87.619,53.61,92.22,158.17,42.8,65.79,100.25,47.58,8.77,168.74,179.6975,49.26,171.3599,10.17,69.91,38.9055,1114.9351,1124.0699,199.54,31.76,184.18,146.8,22.095,299.97,134.61,77.73,281.02,47.52,214.32,518.7834,132.325,133.67,104.61,47.84,111.62,48.41,119.26,291.315,96.51,146.815,85.56,212.55,114.63,179.6538,45.91,88.58,45.82,88.49,200.29,49.07,66.54,75.56,42.53,103.92,39.14,178.4,343.35,81.56,275.03,167.615,146.17,50.69,67.2,112.53,42.7,96.765,65.2,75.88,123.25,92.55,95.2,88.87,49.75,167.96,166.1999,69.14,47.34,423.44,44.41,48.51,182.24,194.33,270.26,173.53,177.87,30.12,72.5,49.515,244.56,308.572,33.6867,100.89,266.05,159.23,105.87,51.45,120.0,137.78,16.43,87.08,190.005,54.73,72.07,49.01,95.39,94.45,22.49,74.8665,86.0
