time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CELG,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EMR,EOG,EXC,F,FB,FDX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VZ,WBA,WFC,WM,WMT,X,XOM,ZTS
2019-06-07 09:31:00+00:00,185.86,77.49,80.52,182.02,276.52,100.57,165.18,53.99,125.97,53.65,41.6,175.93,213.47,1764.79,278.13,44.35,275.69,119.87,352.83,27.68,49.09,237.28,225.5631,43.8943,1762.2,439.45,46.72,205.03,40.92,66.12,124.31,148.45,135.8901,95.82,388.11,153.925,73.36,41.13,200.56,90.16,58.29,251.9506,159.5,55.15,77.91,62.18,54.465,120.88,76.93,55.06,147.38,135.64,137.56,87.9662,97.1334,197.505,41.12,63.13,84.4712,50.86,9.77,169.4399,157.42,34.33,172.689,9.9108,64.29,35.28,1053.41,1055.96,189.27,21.55,196.6,171.04,19.675,248.09,132.525,85.29,323.02,45.18,254.64,486.06,149.42,137.9297,109.7,28.64,134.535,51.67,,353.4488,96.91,171.995,79.22,259.64,129.0,203.92,53.79,97.27,48.02,99.26,165.57,51.2775,48.61,82.01,,128.49,33.43,206.81,356.545,83.33,315.555,201.36,143.94,52.865,48.3805,132.85,42.98,108.0,83.48,77.9433,133.19,99.3971,85.41,112.33,67.6919,178.47,183.97,81.9004,43.7,464.96,35.32,55.59,164.55,222.05,285.86,184.75,193.3,32.23,86.2094,51.08,278.265,206.05,37.21,110.81,242.77,170.53,98.69,52.64,132.45,168.08,,74.71,169.665,58.03,51.16,45.75,114.28,105.62,13.185,74.52,109.45
2019-06-07 09:32:00+00:00,186.09,77.925,80.455,182.185,276.41,100.325,165.07,54.05,125.76,53.58,41.41,175.99,214.305,1764.6851,277.535,44.2,275.33,119.56,353.5225,27.63,48.97,237.91,225.3,43.78,1762.2,438.84,46.83,205.015,41.13,66.03,124.32,148.7867,136.02,95.83,388.18,154.61,73.61,41.24,200.08,90.32,58.26,252.44,159.53,55.13,77.875,62.19,54.3,120.55,77.17,55.05,147.295,135.82,137.73,88.13,97.235,197.615,41.1,63.15,84.24,50.93,9.77,168.97,156.74,34.35,172.48,9.92,64.12,35.2939,1052.36,1054.87,189.166,21.55,197.5,171.5,19.69,247.4492,132.5372,85.545,322.38,45.12,255.04,486.06,149.24,138.19,109.47,28.7,134.66,51.69,118.19,353.47,96.99,171.59,79.425,260.1914,129.66,203.65,53.87,97.25,48.12,99.45,165.56,51.34,48.5326,82.0127,42.75,128.54,33.235,207.1336,359.4208,83.19,316.56,200.96,143.4108,52.885,48.2,132.8044,43.055,108.24,83.51,77.92,133.03,99.5,85.415,112.3074,67.39,178.44,184.2,82.168,43.64,465.61,35.275,55.66,164.85,222.715,285.87,185.05,193.62,32.24,86.12,51.25,278.04,206.04,37.26,110.67,242.74,170.53,98.69,52.61,131.85,168.21,15.8,74.6833,169.545,58.08,51.095,45.74,114.27,105.76,13.19,74.52,109.48
2019-06-07 09:33:00+00:00,186.31,77.98,80.55,182.32,276.365,100.41,165.0656,54.17,125.555,53.665,41.47,175.58,214.01,1762.77,278.005,44.07,274.885,119.85,354.2044,27.63,49.03,238.18,225.37,43.8788,1758.79,440.03,46.7,205.45,41.0,66.095,124.43,148.84,136.108,95.76,389.0,154.995,73.72,41.25,200.08,90.3,58.3203,252.77,159.925,55.06,77.88,62.31,54.4191,120.74,77.17,55.17,147.285,135.9835,137.56,88.08,97.201,197.46,41.08,63.18,84.01,50.92,9.776,169.1,156.9,34.23,172.67,9.955,64.11,35.3902,1052.0,1053.7977,189.07,21.5697,197.2009,172.0,19.68,248.62,132.67,85.515,322.38,45.22,255.25,486.17,149.25,137.92,109.47,28.68,134.84,51.73,118.48,353.4634,97.215,171.1628,79.504,260.01,129.3297,203.5,53.86,96.9473,48.17,99.5,165.45,51.32,48.27,82.12,42.72,128.76,33.28,207.145,359.0,83.1,316.335,201.31,143.7,52.91,48.26,132.76,43.12,108.44,83.27,77.79,133.06,99.835,85.26,112.26,67.55,178.52,184.6084,82.17,43.68,466.56,35.35,55.63,164.85,222.52,285.983,185.17,192.82,32.21,86.27,51.315,278.075,206.94,37.25,110.9,243.114,171.09,98.485,52.61,132.49,167.955,15.78,74.61,169.58,57.93,51.05,45.79,114.2,105.825,13.16,74.47,109.92
2019-06-07 09:34:00+00:00,186.39,78.0001,80.5998,182.36,276.59,100.33,165.1375,54.23,125.52,53.63,41.37,175.08,214.0883,1760.155,278.075,44.16,273.855,119.8306,354.11,27.433,48.93,238.085,225.2,43.9,1756.3101,439.535,46.695,205.3806,40.93,66.0,124.63,148.98,136.03,95.72,389.0,155.465,73.74,41.23,200.2375,90.4224,58.25,251.7305,160.0,55.05,77.75,62.31,54.4397,120.81,77.055,55.1503,147.25,135.72,137.5333,88.15,97.3931,197.86,41.09,63.07,83.78,51.0317,9.75,168.98,156.83,34.14,172.86,9.92,63.92,35.32,1050.3101,1054.29,189.085,21.52,196.955,171.69,19.68,248.91,132.49,85.54,321.78,45.21,255.89,486.17,148.991,138.0152,109.27,28.6602,134.92,51.78,118.4,353.0201,97.065,171.14,79.44,260.59,129.285,203.64,53.89,97.03,48.1,99.34,165.23,51.18,48.2822,82.16,42.67,129.05,33.24,207.39,359.7174,82.91,316.315,200.93,143.5253,52.92,48.36,132.78,43.1,108.51,83.58,77.69,133.2,99.57,85.365,112.46,67.37,178.49,184.63,82.1533,43.59,467.89,35.31,55.65,164.723,222.715,285.93,185.365,193.32,32.28,86.2,51.21,277.77,205.76,37.3012,110.78,243.63,170.88,98.38,52.58,132.295,168.33,15.8,74.51,169.5776,57.955,50.97,45.75,114.35,105.64,13.13,74.57,109.925
2019-06-07 09:35:00+00:00,186.3682,78.23,80.61,182.68,277.245,100.41,165.27,54.28,125.52,53.72,41.54,174.925,213.815,1762.71,278.07,44.24,273.55,119.891,353.3647,27.48,49.01,237.92,225.435,43.91,1757.0601,439.535,46.67,205.5,40.96,66.12,124.79,149.18,135.84,95.76,389.23,155.465,73.675,41.28,200.1528,90.43,58.33,251.9239,160.72,55.11,77.86,62.41,54.54,120.98,77.0,55.13,147.47,135.99,137.56,88.005,97.53,197.785,41.105,63.26,83.94,50.92,9.78,169.18,156.85,34.21,172.82,9.94,63.7863,35.3901,1048.9207,1051.23,189.44,21.57,197.071,171.94,19.68,248.9934,132.91,85.48,322.0,45.29,256.47,487.0,149.06,137.9,109.44,28.72,134.83,51.77,118.66,352.841,97.08,171.23,79.56,260.69,129.255,203.7105,53.86,97.001,48.24,99.3484,165.295,51.25,48.17,82.12,42.75,129.02,33.45,207.25,360.18,82.913,316.06,201.23,143.69,52.89,48.28,132.8133,43.05,108.476,83.76,77.83,133.3,99.82,85.36,112.53,67.52,178.61,184.53,82.14,43.79,467.6712,35.4,55.6,164.62,222.715,286.05,185.59,193.3505,32.27,86.34,51.285,277.83,206.5633,37.35,110.99,243.1821,171.15,98.545,52.68,132.48,168.31,15.79,74.54,169.68,57.875,51.04,45.78,114.185,105.625,13.17,74.5599,109.86
2019-06-07 09:36:00+00:00,186.44,78.16,80.61,182.62,277.21,100.24,165.26,54.35,125.77,53.68,41.395,174.655,213.9,1763.105,278.28,44.32,274.435,119.8679,353.325,27.51,49.08,238.07,225.46,43.91,1759.3834,440.63,46.7,205.6,40.99,66.31,124.76,149.38,135.94,95.78,389.24,155.43,73.61,41.25,200.355,90.51,58.28,251.58,160.99,55.12,77.88,62.425,54.41,121.03,77.025,55.0977,147.365,135.9,137.6284,88.02,97.4,198.24,41.13,63.18,83.8886,50.99,9.7672,169.26,156.92,34.21,172.83,9.935,63.72,35.39,1050.3376,1052.72,189.41,21.52,197.225,172.21,19.7,248.37,132.92,85.52,322.545,45.27,256.655,487.0,149.04,138.02,109.67,28.7316,134.55,51.785,118.5,352.93,97.02,171.24,79.62,261.0496,129.56,204.2832,53.84,97.195,48.35,99.48,165.3,51.31,48.085,82.19,42.76,129.285,33.36,207.3897,360.6,82.85,315.805,201.16,143.94,52.88,48.26,132.8907,43.08,108.44,83.81,77.83,133.35,100.0229,85.33,112.68,67.66,178.7168,184.43,82.45,43.83,468.76,35.35,55.62,164.83,223.25,286.19,186.1652,193.44,32.32,86.38,51.24,277.93,206.79,37.45,111.01,243.65,171.275,98.385,52.73,132.29,168.42,15.77,74.37,169.9341,57.8848,51.0522,45.77,114.26,105.67,13.13,74.59,109.965
2019-06-07 09:37:00+00:00,186.73,77.97,80.6,182.8,277.495,100.155,165.18,54.32,125.66,53.68,41.385,174.3675,213.95,1764.4399,277.28,44.31,274.5985,119.885,353.4951,27.58,49.08,238.39,224.88,43.98,1760.655,441.88,46.65,205.66,40.99,66.47,124.86,149.375,136.02,95.75,390.78,155.47,73.66,41.285,200.24,90.515,58.23,251.4694,161.045,55.2199,77.86,62.41,54.375,121.2463,77.005,55.12,147.4,135.88,137.62,88.03,97.405,198.06,41.145,63.23,84.16,50.96,9.77,169.61,156.7285,34.255,172.75,9.92,63.72,35.38,1050.85,1053.61,189.57,21.55,197.1,171.65,19.685,248.08,133.18,85.59,323.57,45.33,255.89,486.96,149.04,138.03,109.725,28.725,134.78,51.8643,118.44,353.13,96.945,171.62,79.84,260.96,129.495,204.22,53.875,97.15,48.31,99.53,164.95,51.3433,48.16,82.22,42.81,129.47,33.42,207.31,361.195,82.97,315.8975,201.065,144.1,52.84,48.24,132.87,43.09,108.42,83.79,77.84,133.42,100.03,85.2991,112.79,67.7165,178.89,184.2,82.5,43.85,468.735,35.42,55.62,164.5048,223.11,286.29,185.78,193.1267,32.32,86.26,51.28,277.83,208.3053,37.56,110.89,243.29,171.25,98.135,52.81,132.33,168.44,15.75,74.38,170.21,58.0,51.04,45.78,114.269,105.65,13.16,74.66,109.82
2019-06-07 09:38:00+00:00,186.932,77.89,80.7,182.815,277.905,100.035,165.47,54.38,125.57,53.69,41.28,173.97,214.18,1769.9001,278.2675,44.24,274.935,120.0,353.115,27.59,49.08,238.74,224.81,44.01,1760.3199,441.465,46.67,205.97,41.06,66.5,124.89,149.6,136.07,95.79,390.51,155.925,73.69,41.335,200.51,90.525,58.2,251.84,161.66,55.3,77.88,62.39,54.4608,121.26,77.0,55.15,147.615,136.08,137.86,88.1,97.34,198.103,41.155,63.22,84.09,51.0,9.77,170.0,157.105,34.35,172.7265,9.9299,63.67,35.3531,1050.45,1053.8983,189.7115,21.51,197.115,171.8,19.695,249.025,133.55,85.72,324.37,45.28,256.48,487.36,149.04,138.06,109.795,28.74,134.82,52.0,118.435,353.0679,96.94,171.7,79.82,260.9432,129.385,203.82,53.91,97.245,48.41,99.53,165.15,51.37,48.0728,82.2669,42.82,129.7,33.36,207.374,361.22,82.99,316.13,201.3,144.0725,52.87,48.22,133.22,43.07,108.52,83.84,77.97,133.24,100.06,85.29,112.9426,67.76,179.06,184.221,82.52,43.84,469.46,35.355,55.664,164.74,223.34,286.49,186.0281,193.54,32.38,86.33,51.33,278.73,207.12,37.61,110.81,243.57,171.29,98.25,52.795,132.38,168.65,15.74,74.34,170.75,58.08,51.055,45.79,114.35,105.64,13.11,74.62,109.99
2019-06-07 09:39:00+00:00,186.98,77.87,80.73,182.88,278.1,100.01,165.52,54.42,125.71,53.67,41.31,173.91,214.02,1770.33,277.94,44.42,275.1399,120.24,353.74,27.65,49.07,238.61,224.865,44.01,1760.3199,441.9,46.6342,206.18,41.0,66.635,124.85,149.718,136.0,95.77,390.51,155.79,73.79,41.32,200.59,90.58,58.19,252.25,161.82,55.3435,77.84,62.425,54.43,121.2037,77.07,55.14,147.58,136.03,137.938,88.125,97.455,198.49,41.2,63.2358,84.12,51.0575,9.7633,170.52,156.924,34.32,172.57,9.92,63.76,35.31,1052.0,1054.5601,189.925,21.51,197.25,171.755,19.715,248.86,133.6,85.71,325.025,45.32,256.59,486.99,149.07,138.15,109.86,28.7168,134.842,52.065,118.34,353.34,96.9613,171.71,79.935,261.11,129.43,204.02,53.98,97.18,48.41,99.5795,165.21,51.47,48.065,82.225,42.87,129.745,33.42,207.55,361.18,83.21,315.8,201.27,144.17,52.885,48.15,133.2607,43.06,108.62,83.915,77.98,133.25,100.045,85.23,113.18,67.88,179.16,184.2467,82.5165,43.87,468.8,35.3125,55.675,164.509,223.52,286.58,186.3,193.515,32.3532,86.3124,51.3138,278.48,207.935,37.6,110.98,243.515,171.14,98.34,52.81,132.38,168.723,15.73,74.34,170.27,58.06,51.06,45.77,114.2998,105.7,13.105,74.6,109.8413
2019-06-07 09:40:00+00:00,187.31,78.01,80.88,183.03,278.505,100.015,165.8999,54.43,125.7,53.715,41.22,173.88,213.94,1775.04,277.37,44.485,275.2,120.22,354.36,27.67,49.07,238.96,225.3574,44.02,1766.0,442.44,46.6699,206.25,41.115,66.71,125.07,149.76,135.97,95.8,390.87,155.42,73.82,41.395,200.35,90.63,58.32,252.6479,162.12,55.445,77.88,62.5,54.41,121.42,77.155,55.15,147.78,136.305,138.01,88.15,97.63,198.84,41.23,63.2199,84.38,51.07,9.7768,170.98,156.89,34.365,172.87,9.96,63.76,35.35,1052.14,1054.3101,190.2821,21.54,197.64,172.08,19.715,248.545,133.65,85.765,326.32,45.3,256.87,488.3588,149.19,138.35,109.965,28.73,134.88,52.115,118.48,353.38,96.965,171.905,79.6253,261.49,129.42,203.59,53.97,97.25,48.43,99.59,165.32,51.4695,48.07,82.345,42.925,129.94,33.4,207.75,361.525,83.22,315.85,201.29,144.3683,52.915,48.17,133.315,43.055,108.655,84.025,78.04,133.41,99.95,85.1899,113.67,67.965,179.4,184.18,82.55,43.9,467.6695,35.355,55.72,164.57,223.46,286.79,186.4238,193.5025,32.37,86.36,51.4,278.44,208.55,37.65,110.84,243.28,171.23,98.38,52.845,132.66,169.11,15.72,74.35,170.75,58.065,51.11,45.8,114.3,105.69,13.12,74.7101,109.855
