time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CELG,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EMR,EOG,EXC,F,FB,FDX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,VIX,VLO,VRTX,VZ,WBA,WFC,WM,WMT,X,XOM,ZTS
2019-08-02 09:31:00+00:00,205.473,65.6,85.9,194.13,295.26,113.94,164.75,52.2,,54.555,47.52,186.0,211.5,1842.5444,293.25,49.95,281.7,123.64,334.535,29.325,49.55,251.74,241.0778,,1874.11,,45.4,201.78,42.635,67.52,126.67,151.55,134.2343,93.1002,383.12,167.1537,71.28,42.8102,200.7,90.24,58.86,273.8623,149.86,54.11,67.52,65.345,55.4582,,76.58,60.26,159.68,140.41,140.65,88.04,94.42,200.3555,40.8,62.17,82.6935,44.81,9.2597,192.57,163.01,36.88,183.16,9.995,65.23,39.907,1197.26,1199.39,210.14,21.57,211.24,168.73,20.52,297.97,148.77,89.0,300.365,48.95,278.06,518.01,151.2471,130.38,112.73,32.66,135.41,52.15,110.98,,99.54,183.07,80.0,270.98,136.43,211.89,53.78,101.9,48.05,98.5,172.7,48.16,55.13,84.14,42.54,137.48,42.39,211.345,316.39,82.4501,345.21,184.23,160.728,56.13,52.993,127.5,38.35,116.59,80.14,83.06,137.84,90.765,101.76,108.665,70.485,188.59,179.8,94.84,41.24,505.67,38.37,57.26,158.16,255.45,293.79,194.31,212.01,33.83,,52.51,277.59,231.127,41.63,122.775,249.97,173.75,,55.32,131.52,,83.33,179.4858,55.0854,54.2,47.05,116.315,108.72,13.94,72.84,115.7
2019-08-02 09:32:00+00:00,205.53,65.66,85.81,193.59,293.85,113.71,163.95,52.25,160.7,54.5757,47.56,185.68,211.81,1844.04,292.68,49.93,280.9239,123.575,334.7474,29.285,49.51,251.41,241.2229,45.82,1874.11,,45.3601,201.67,42.62,67.47,126.315,151.55,134.07,93.17,382.73,167.1537,70.93,42.79,201.62,90.0,58.96,274.47,149.32,53.68,67.52,65.4232,55.41,121.66,76.41,60.04,159.33,139.362,141.04,88.03,93.885,200.07,40.8,61.92,83.98,44.66,9.2575,191.84,163.13,36.87,182.6052,10.0099,65.295,39.93,1201.33,1202.375,209.8,21.63,211.74,168.08,20.6,297.06,148.26,89.12,300.075,48.82,277.12,516.05,150.62,130.21,112.75,32.54,135.525,52.15,111.15,,99.49,182.07,80.0,270.52,136.58,211.885,53.71,101.69,48.02,98.425,172.7,48.2593,55.14,84.1,42.54,137.38,42.4,211.6,317.0,82.495,345.205,184.23,160.64,55.89,52.785,127.6,38.28,116.41,80.13,83.37,137.62,90.89,101.63,108.84,70.5,188.46,180.53,95.06,41.2,509.7689,38.3735,57.22,157.7,256.22,293.63,194.065,211.95,33.87,82.49,52.52,276.88,231.56,41.88,122.84,249.31,174.22,116.57,55.34,131.1703,18.33,83.0,178.78,55.03,54.2,46.92,116.2,109.28,13.86,72.84,115.7
2019-08-02 09:33:00+00:00,205.94,65.48,85.6,193.72,295.405,114.0,164.39,52.36,161.055,54.47,47.665,185.43,212.0,1844.5005,292.68,50.25,282.68,123.69,335.11,29.3801,49.64,251.69,241.578,45.815,1874.11,450.0,45.3,201.58,42.52,67.6101,126.58,151.505,133.98,93.05,383.04,166.2,71.305,42.84,202.14,90.26,59.19,274.48,149.28,53.64,67.74,65.36,55.45,122.46,76.48,59.85,158.55,139.84,141.5,88.097,94.03,200.5,40.84,62.03,84.975,44.64,9.28,192.01,163.3729,36.87,183.23,10.0314,65.17,39.89,1203.27,1205.2334,210.625,21.7,212.17,168.55,20.6,297.4959,148.76,89.37,298.83,49.0,277.91,516.69,150.345,130.35,113.1006,32.51,135.47,52.22,110.805,363.265,99.62,183.4411,79.875,271.7529,136.615,211.75,53.78,101.91,48.045,98.67,172.37,48.2,55.12,83.96,42.54,137.4898,42.49,211.6,317.52,82.565,346.98,184.36,162.0791,55.89,52.69,127.905,38.32,116.57,80.13,83.43,137.965,90.91,101.63,109.06,70.65,188.7235,180.5,94.95,41.38,509.16,38.53,57.27,157.71,257.6,293.94,194.1335,211.22,33.79,82.51,52.7,276.565,233.2868,42.11,123.3,250.17,174.25,117.1202,55.39,131.8578,18.12,83.08,178.88,54.945,54.3,47.158,116.3,109.24,13.82,73.01,115.72
2019-08-02 09:34:00+00:00,205.22,65.6,85.66,193.132,294.31,114.02,164.01,52.32,161.11,54.65,47.72,185.8,211.69,1841.78,293.19,50.03,283.165,123.78,335.325,29.3801,49.67,252.115,241.69,45.86,1874.11,448.38,45.38,202.03,42.6,67.55,126.09,151.3,133.84,93.13,382.96,166.525,71.39,42.75,202.13,90.27,59.21,274.08,148.12,53.6107,67.505,65.33,55.465,122.23,76.435,59.96,158.65,139.752,141.35,87.97,93.825,200.29,40.79,61.8,85.81,44.64,9.269,191.225,163.35,36.76,183.14,10.035,65.22,39.87,1201.38,1204.0667,210.95,21.795,212.18,168.28,20.62,299.22,148.8504,89.22,299.19,48.79,277.59,517.5433,149.585,130.4984,113.12,32.51,135.48,52.17,111.095,363.465,99.7,182.37,79.99,271.0422,136.31,211.7,53.72,102.13,48.09,98.63,172.11,48.29,55.0531,83.92,42.58,137.19,42.91,211.19,316.8167,82.37,344.9,183.855,161.51,55.87,52.59,127.5399,38.45,116.77,79.95,83.62,138.18,90.84,101.8,108.59,70.44,188.33,179.89,94.97,41.48,508.5711,38.66,57.19,157.3,257.3,293.71,194.38,211.5,33.86,82.28,52.6792,277.145,233.1726,42.01,122.96,250.44,174.43,117.135,55.42,131.4,18.05,83.33,179.62,55.04,54.225,47.145,116.2,108.9727,13.6,73.17,115.71
2019-08-02 09:35:00+00:00,205.17,65.6,85.76,193.415,293.93,113.46,164.08,52.34,161.1,54.675,47.79,185.88,211.99,1840.9535,293.95,50.18,282.03,123.81,334.8002,29.35,49.69,252.33,242.23,45.84,1870.05,447.9,45.4,201.97,42.66,67.565,125.85,151.41,133.61,93.15,382.635,167.03,71.42,42.74,202.02,90.29,59.0558,274.11,149.06,53.7,67.38,65.44,55.4133,122.08,76.405,59.845,158.33,139.67,141.61,87.9234,94.05,200.06,40.81,61.6042,84.6375,44.61,9.255,191.6813,163.15,36.785,183.01,10.01,65.25,39.785,1203.104,1204.38,210.18,21.78,212.045,168.35,20.55,300.43,148.78,89.3153,300.195,48.82,277.8,518.655,149.6492,130.47,112.94,32.55,135.82,52.19,111.2,363.4147,99.725,182.27,78.73,271.36,136.32,211.359,53.7325,102.53,48.08,98.68,171.86,48.31,55.27,84.03,42.44,137.23,42.88,211.36,317.62,82.33,344.8,183.32,161.31,55.881,52.29,127.53,38.535,116.79,79.905,83.5,138.21,90.6094,101.58,108.46,70.33,188.41,179.66,94.91,41.435,509.55,38.63,57.135,156.99,257.35,293.72,194.205,212.23,33.815,82.09,52.69,277.24,233.6605,42.25,122.76,250.8605,173.925,116.71,55.4,131.11,18.0,83.42,179.29,55.09,54.15,47.125,116.1323,109.025,13.69,72.96,116.09
2019-08-02 09:36:00+00:00,204.7683,65.52,85.65,192.67,294.3651,113.495,163.76,52.24,160.9086,54.64,47.727,185.455,211.845,1835.7775,293.27,50.13,280.69,123.46,334.4064,29.19,49.4854,252.0,241.1626,45.67,1867.9399,446.645,45.2673,201.435,42.64,67.195,125.38,151.06,133.03,92.95,383.62,166.6701,71.25,42.68,202.49,90.03,58.77,273.73,148.7282,53.56,67.165,65.33,55.34,121.96,76.235,59.74,157.91,139.67,141.24,87.79,93.94,199.6499,40.7599,61.43,85.015,44.55,9.23,191.3,163.295,36.68,183.04,10.0068,65.05,39.69,1200.0,1201.78,208.75,21.54,211.53,168.3244,20.6,298.155,148.46,89.12,299.72,48.78,277.53,518.02,149.63,130.21,112.41,32.46,135.47,52.13,111.16,363.0975,99.42,181.15,78.6916,270.57,136.55,210.93,53.6952,102.37,47.87,98.57,171.55,48.15,54.935,83.88,42.22,137.0,42.78,210.7,316.3926,82.23,345.84,183.185,161.25,55.77,52.1175,127.4265,38.43,116.38,79.8,83.29,137.58,90.52,101.41,107.8675,70.16,188.08,179.42,94.91,41.16,509.55,38.43,57.04,156.83,257.34,293.11,194.37,211.71,33.7066,81.81,52.53,276.86,232.1,42.2292,122.96,250.3609,173.81,116.75,55.17,131.03,18.16,83.02,179.42,55.0,54.025,46.97,116.12,108.87,13.68,72.57,115.98
2019-08-02 09:37:00+00:00,205.327,65.66,85.82,192.96,295.015,114.12,163.92,52.25,161.165,54.61,47.95,185.91,212.06,1838.83,293.5,50.37,281.33,123.465,334.92,29.255,49.51,252.0,241.81,45.77,1867.9399,446.23,45.33,201.655,42.69,67.44,125.9,151.2,133.29,93.05,383.4,167.4,71.18,42.66,202.46,90.09,58.785,273.6,148.85,53.51,67.15,65.33,55.4,122.485,76.19,59.59,158.3638,140.165,141.02,87.8,94.14,199.86,40.76,61.69,85.05,44.595,9.235,191.3635,163.7,36.7,182.57,10.0067,65.235,39.75,1199.54,1201.87,209.15,21.59,211.36,168.4575,20.67,298.14,148.5246,89.11,300.07,48.82,278.24,518.9,150.05,130.32,112.49,32.5,135.53,52.11,111.205,362.53,99.54,181.28,78.4668,270.6657,136.51,211.25,53.63,102.35,47.82,98.61,171.84,48.03,55.04,83.98,42.215,137.11,43.06,210.78,316.515,82.185,343.7252,183.42,162.75,55.73,52.25,127.4,38.475,116.24,79.78,83.0,137.84,90.46,101.58,108.325,70.34,188.33,179.48,95.0,41.205,510.24,38.35,57.02,156.975,256.69,293.41,194.27,212.36,33.615,82.05,52.53,276.81,233.0468,42.3322,123.37,250.5351,173.91,116.88,55.19,130.8955,18.15,83.22,179.6691,54.895,54.14,47.01,116.12,108.88,13.76,72.795,115.92
2019-08-02 09:38:00+00:00,205.02,65.7,85.69,192.71,295.6505,114.08,163.89,52.23,161.17,54.44,47.905,186.21,212.16,1837.85,293.155,50.35,281.585,123.43,336.64,29.2336,49.57,251.75,241.98,45.87,1867.9399,446.25,45.35,201.27,42.61,67.47,126.227,151.215,133.4,93.0968,383.4,167.94,71.09,42.66,202.87,90.1,58.74,273.34,148.9,53.38,67.3,65.19,55.4668,122.155,76.115,59.69,158.76,139.89,141.02,87.69,94.61,199.69,40.76,61.88,84.675,44.61,9.2314,191.472,164.34,36.76,182.945,10.01,65.21,39.71,1199.6637,1202.75,209.18,21.6,212.0199,168.65,20.65,298.32,148.32,89.08,299.67,48.77,277.41,518.54,150.17,130.28,112.5,32.51,135.24,52.03,111.23,363.92,99.67,184.02,79.04,270.1,136.88,211.38,53.55,102.28,47.775,98.48,171.91,48.03,55.23,83.92,42.23,136.94,43.1025,210.58,316.3816,82.3875,343.74,183.5,162.5731,55.68,52.13,127.32,38.45,116.14,79.58,83.12,137.96,90.52,101.78,107.985,70.21,188.27,179.56,94.88,41.235,510.75,38.42,56.92,157.1,256.35,293.35,194.425,212.03,33.5458,82.1,52.61,276.35,233.46,42.29,123.5,250.48,173.875,117.08,55.21,130.82,18.29,83.43,179.78,54.78,54.16,46.962,116.105,108.736,13.88,72.95,115.865
2019-08-02 09:39:00+00:00,205.48,65.67,85.72,192.79,295.505,114.26,163.94,52.32,161.29,54.5,47.965,186.07,212.11,1836.0,293.47,50.6,281.62,123.43,336.65,29.27,49.59,251.76,242.54,45.87,1867.9399,447.12,45.395,201.2714,42.62,67.545,126.24,151.05,133.46,93.1,383.26,168.235,71.2,42.705,203.24,90.1,58.74,273.19,148.8,53.5,67.36,65.1,55.56,121.65,76.2175,59.8,159.1202,139.71,140.9849,87.76,94.91,200.02,40.79,61.9575,84.335,44.67,9.24,191.57,164.5531,36.75,183.32,10.02,65.2,39.775,1203.375,1204.41,209.4,21.59,212.105,168.43,20.615,299.3,148.1,88.93,299.97,48.825,277.49,520.09,150.37,130.2934,112.68,32.5,135.2712,52.14,111.2575,363.85,99.72,184.0301,79.29,270.19,136.93,211.21,53.57,102.3846,47.78,98.51,172.1824,48.12,55.16,83.955,42.16,137.17,43.2,210.705,317.215,82.52,343.955,183.95,162.964,55.73,52.05,127.449,38.42,116.22,79.555,83.11,138.06,90.505,101.67,108.13,70.37,188.47,179.55,94.96,41.18,511.075,38.42,57.005,157.28,256.65,293.6,194.67,211.87,33.7531,82.31,52.67,276.305,233.2345,42.36,123.81,251.2,174.45,117.37,55.22,131.12,18.37,83.46,179.95,54.92,54.21,47.04,116.18,108.66,13.946,72.91,115.865
2019-08-02 09:40:00+00:00,206.03,65.7333,85.84,193.08,297.22,114.64,164.075,52.45,161.405,54.52,48.11,186.19,212.1,1839.51,293.7127,50.8555,282.325,123.4,337.38,29.27,49.56,252.12,242.56,45.93,1873.02,447.81,45.4,201.74,42.73,67.57,126.61,151.22,133.66,93.13,383.93,168.74,71.27,42.74,203.24,90.12,58.56,273.65,149.46,53.57,67.52,65.135,55.65,121.57,76.25,59.94,159.4499,140.2,141.295,87.715,95.24,200.48,40.86,61.9752,84.31,44.655,9.24,192.19,164.79,36.83,183.37,10.0692,65.3,39.87,1205.83,1208.6249,209.4,21.54,212.3,168.73,20.64,299.98,148.4051,88.84,300.22,48.9138,278.05,521.6,150.31,130.37,112.72,32.5692,135.2712,52.21,111.26,364.31,100.04,184.0301,79.32,270.64,137.23,211.04,53.6,102.55,47.85,98.75,172.25,48.1086,55.12,83.94,42.13,137.48,43.345,210.59,317.83,82.739,344.55,184.21,163.49,55.7815,51.91,127.58,38.36,116.21,79.75,83.16,138.05,90.55,101.69,108.37,70.545,188.9,179.69,95.08,41.23,510.58,38.32,57.03,157.77,257.14,293.96,195.0,212.215,33.79,82.22,52.74,276.835,234.09,42.49,123.86,251.46,174.61,117.43,55.28,131.1053,18.18,83.428,180.29,54.94,54.32,47.01,116.305,108.94,13.9834,72.82,116.0
