time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2019-12-06 09:31:00+00:00,268.09,87.16,85.535,201.52,304.03,114.9232,169.805,53.2419,186.34,51.61,56.792,233.64,213.5977,1750.25,282.87,55.37,315.0313,120.39,347.8525,33.7462,54.312,259.84,301.42,49.8018,1925.7318,491.85,,,43.57,75.9627,142.83,151.6255,134.87,470.135,197.9071,67.7424,44.3366,207.48,101.0236,60.2522,294.83,157.9282,43.9677,71.2976,62.4422,75.2427,117.05,81.16,56.5899,167.276,147.6,148.5,89.2544,102.6637,187.3117,43.085,68.64,74.9027,71.0276,44.42,44.8975,8.97,200.82,155.7928,35.75,41.36,183.22,27.131,10.9437,66.3324,35.7213,1335.0,1333.145,26.01,219.9198,21.5708,214.315,174.8,20.4507,346.215,132.87,93.915,320.65,56.6227,255.1192,583.19,175.04,139.98,134.92,31.3261,136.85,54.35,26.951,119.88,387.13,116.2042,232.615,92.8333,291.5,141.56,194.75,53.89,112.41,49.6918,107.89,167.71,50.4418,60.43,88.94,49.93,150.82,47.5874,234.52,306.24,96.87,345.68,190.59,212.25,54.96,38.28,136.8832,38.28,124.8145,,82.96,154.4256,92.6956,113.22,105.05,83.71,204.41,216.17,85.357,49.4718,577.7041,36.2013,62.81,149.0004,273.4448,314.2995,182.99,,38.29,125.48,60.05,137.94,318.03,335.61,30.3811,122.27,282.0,172.6662,116.33,60.3522,147.34,182.87,,94.1434,223.465,16.6606,61.01,59.665,53.92,111.83,119.0,13.75,58.99,30.35,81.005,87.5,62.69,68.86,121.25
2019-12-06 09:32:00+00:00,268.315,87.16,85.61,201.52,304.03,114.62,169.7,53.25,186.34,51.6008,56.792,233.64,213.49,1748.245,282.87,55.37,315.0313,120.3,347.8525,33.7355,54.312,259.84,300.375,49.8018,1922.675,497.06,59.951,,43.57,75.88,143.0143,151.38,134.87,469.835,199.2284,67.7424,44.3327,206.64,101.0236,60.2522,294.83,157.9282,43.9677,71.2976,62.4422,75.335,117.05,80.89,56.5899,167.34,147.65,148.4724,89.2544,102.6637,187.295,43.07,68.64,74.9027,71.0276,44.42,44.8975,8.97,200.7133,155.86,35.75,41.36,182.55,27.131,10.9437,66.22,35.69,1334.74,1333.145,26.0,219.9198,21.56,214.3601,174.8,20.4507,346.7357,132.87,93.915,320.65,56.6209,254.45,583.19,175.04,139.98,134.92,31.3261,136.76,54.35,26.9802,119.91,387.13,116.57,232.27,92.8333,291.09,141.59,194.75,53.85,112.41,49.6918,107.89,167.71,50.4418,60.43,88.98,49.93,150.82,47.6008,234.52,305.855,96.87,344.9656,190.59,212.25,54.96,38.1906,136.8,38.28,124.8145,72.6812,83.0714,154.4256,92.74,113.22,104.7501,83.71,204.41,216.17,85.357,49.53,578.0,36.13,62.8,149.0004,273.4448,314.3,182.99,,38.29,125.53,60.05,137.94,318.03,335.61,30.3605,122.27,282.0,172.6662,116.2819,60.3522,147.21,182.695,,94.1165,222.8036,16.6234,61.01,59.665,53.92,111.83,118.97,13.68,58.96,30.37,81.05,87.48,62.66,68.86,121.25
2019-12-06 09:33:00+00:00,268.3948,87.16,85.59,201.52,304.03,114.725,169.78,53.22,186.34,51.545,56.792,233.64,212.7919,1743.87,282.87,55.37,313.32,120.25,347.8525,33.64,54.312,260.0245,300.24,49.8018,1923.08,496.6,60.06,221.8372,43.57,75.68,142.8,151.31,134.75,469.56,199.2664,67.7424,44.29,207.0067,101.0236,60.2522,294.83,157.9282,43.9677,71.2976,62.4422,75.2135,117.05,80.93,56.5899,167.1954,147.56,148.155,89.2544,102.6637,187.016,43.02,68.62,74.9027,71.0276,44.42,44.8975,8.97,200.56,155.47,35.75,41.36,182.52,27.131,10.9437,66.1471,35.65,1333.795,1333.145,26.01,219.9198,21.55,214.6365,174.8,20.4507,348.845,132.87,93.915,320.16,56.58,254.16,584.78,175.28,139.98,134.92,31.3261,136.975,54.35,27.025,120.065,386.14,116.8838,231.625,92.8333,291.15,141.46,194.75,54.035,112.41,49.6918,107.86,167.71,50.4418,60.43,88.8,49.93,150.82,47.455,234.52,305.404,96.87,345.41,190.59,212.25,54.96,38.1702,136.875,38.28,124.8145,72.71,82.8,154.4256,92.75,113.22,104.73,83.524,204.41,216.17,85.357,49.52,576.56,36.14,62.6625,149.0004,273.4448,314.155,182.99,,38.29,125.465,60.05,137.94,318.26,335.61,30.35,122.27,282.0,172.6662,116.3788,60.3522,147.13,182.76,,94.083,222.535,16.6505,61.01,59.665,53.92,111.83,119.37,13.69,58.95,30.32,81.0,87.41,62.71,68.86,121.25
2019-12-06 09:34:00+00:00,268.56,86.92,85.72,201.1,304.55,114.615,169.82,53.22,186.32,51.5122,56.76,234.35,213.405,1749.1094,282.6187,55.3,314.0,120.23,348.59,33.6414,54.0948,259.69,301.0877,49.88,1927.41,496.6,60.1525,221.8725,43.53,75.8432,142.78,151.31,135.0339,469.56,199.21,67.82,44.305,206.49,100.8692,60.39,295.26,158.595,43.98,71.39,62.38,75.33,117.4682,81.07,56.38,166.5,147.74,148.056,89.2997,102.54,187.16,43.0384,68.64,74.8,71.19,44.365,45.02,8.955,200.86,155.51,35.85,41.32,182.38,27.16,10.885,66.39,35.65,1335.9656,1334.42,26.01,219.7142,21.5809,214.565,175.8626,20.5,348.2146,133.215,94.045,320.16,56.6309,254.855,585.285,175.04,140.64,134.89,31.105,137.16,54.4,27.24,120.14,386.755,116.72,232.03,92.76,291.38,141.51,194.8,54.04,112.5528,49.63,107.77,168.0362,50.5868,60.48,88.99,49.99,150.72,47.55,234.21,305.68,96.67,345.5044,190.58,211.8014,55.0,38.2,136.81,38.4,124.81,72.62,82.84,153.93,92.7369,113.16,104.77,83.46,204.3779,216.7214,85.74,49.59,577.51,36.19,62.72,148.88,273.64,314.37,183.76,204.65,38.415,125.35,60.435,138.09,318.455,336.4214,30.435,122.06,282.12,172.71,116.55,60.35,147.03,182.89,13.46,94.175,223.1743,16.6207,61.13,59.73,53.79,112.005,119.48,13.74,59.03,30.3263,80.99,87.49,62.74,68.9776,121.13
2019-12-06 09:35:00+00:00,268.44,86.99,85.648,200.84,303.3,114.6257,169.57,53.27,186.39,51.49,56.7923,234.34,213.41,1749.0272,282.3,55.12,314.15,120.16,348.3,33.66,54.0822,259.65,301.76,49.85,1927.67,495.7,60.035,221.8401,43.5,75.82,142.91,151.415,134.9,469.7888,199.46,67.89,44.245,206.7,100.89,60.57,295.18,158.3363,43.925,71.53,62.28,75.41,117.7408,81.115,56.38,166.825,147.71,148.2492,89.3642,102.395,187.39,43.03,68.635,74.76,71.19,44.365,44.98,8.9701,200.6741,156.29,35.85,41.31,182.69,27.21,10.89,66.33,35.66,1337.2633,1335.455,26.0165,219.66,21.57,214.58,175.9302,20.495,348.729,133.0446,94.18,320.3,56.61,253.8481,585.03,175.0269,140.445,134.99,31.18,137.2,54.47,27.1511,120.05,386.76,116.69,231.89,92.821,291.1431,141.09,194.74,54.1099,112.44,49.635,107.91,168.4574,50.63,60.535,89.0192,50.07,150.66,47.65,234.39,305.6444,96.5163,345.5,190.72,211.497,54.94,38.2337,136.76,38.385,124.9,72.63,82.91,154.05,92.69,113.4,104.69,83.55,204.315,217.4,85.75,49.685,577.63,36.21,62.665,148.86,273.495,314.35,183.7415,204.35,38.36,125.125,60.39,138.16,318.4322,336.919,30.3471,122.12,281.11,172.57,116.95,60.35,146.89,182.87,13.44,93.97,223.06,16.63,61.09,59.65,53.83,112.15,119.4115,13.6833,59.12,30.34,81.02,87.43,62.75,69.1079,121.3239
2019-12-06 09:36:00+00:00,268.23,86.9,85.59,201.0,304.15,114.44,170.04,53.29,186.46,51.5,56.9,234.51,213.3381,1752.09,282.6,55.09,314.5,120.07,348.29,33.615,54.09,259.5625,303.23,49.87,1931.17,496.0424,60.05,221.945,43.53,75.86,142.88,151.54,135.01,469.875,199.36,67.79,44.27,207.14,101.015,60.36,295.34,158.3899,43.9,71.47,62.3091,75.35,117.61,81.13,56.37,165.9563,147.65,148.16,89.3,102.41,187.86,43.005,68.625,74.73,71.12,44.335,44.93,8.965,200.75,155.8057,35.87,41.29,182.6,27.17,10.855,66.39,35.605,1339.3,1337.225,26.0165,220.13,21.55,214.2754,175.47,20.44,348.89,133.05,94.43,320.05,56.55,254.24,584.5,174.89,140.11,134.89,31.11,137.2,54.38,27.1409,120.145,386.98,116.68,231.87,92.774,291.865,141.1,194.76,54.09,112.53,49.6753,108.13,168.71,50.425,60.585,88.89,50.01,150.78,47.655,234.3446,305.77,96.59,346.37,190.58,211.7907,54.955,38.18,136.58,38.32,124.83,72.84,82.63,154.15,92.65,113.24,105.025,83.6,204.4,217.05,85.7953,49.71,577.615,36.19,62.63,149.02,273.5387,314.32,183.52,204.5952,38.365,125.2299,60.31,138.18,318.43,336.125,30.345,122.0,281.51,172.67,116.77,60.35,146.73,183.19,13.44,94.05,222.8,16.6905,61.09,59.58,53.82,112.13,119.345,13.7063,59.05,30.3399,80.945,87.47,62.7,69.029,121.13
2019-12-06 09:37:00+00:00,268.0599,86.88,85.48,200.8,303.785,114.49,169.9,53.26,186.43,51.5,56.82,234.34,213.225,1750.515,282.32,55.115,313.61,119.945,348.652,33.6,54.11,259.78,302.0,49.795,1931.17,496.0424,60.0574,221.84,43.43,75.81,142.76,151.42,134.84,469.55,198.95,67.66,44.27,206.71,100.97,60.43,295.205,158.12,43.94,71.5,62.44,75.49,117.97,81.161,56.395,166.015,147.5,148.26,89.165,102.75,187.33,43.02,68.625,74.76,71.3,44.35,44.94,8.98,200.39,155.76,35.89,41.29,182.58,27.1578,10.88,66.34,35.7,1339.34,1336.88,26.02,220.12,21.605,214.415,175.48,20.445,348.115,133.27,94.32,320.6935,56.6,254.24,584.01,174.895,140.39,134.81,31.15,137.145,54.365,27.17,120.16,386.6,116.43,232.38,92.82,291.67,141.23,194.8174,54.0357,112.29,49.62,107.95,168.82,50.41,60.67,88.869,49.975,150.524,47.745,234.0802,305.74,96.69,345.94,190.58,212.18,54.915,38.255,136.63,38.3,124.77,72.67,82.675,153.99,92.75,113.36,105.08,83.475,204.29,216.839,85.74,49.705,577.615,36.27,62.58,149.215,273.245,314.27,183.2935,203.97,38.46,125.245,60.31,138.15,318.52,335.0487,30.37,121.93,281.48,172.48,116.8646,60.33,146.82,182.97,13.63,94.16,222.115,16.75,61.14,59.575,53.78,112.09,119.41,13.78,59.18,30.3198,80.97,87.43,62.685,69.1992,121.06
2019-12-06 09:38:00+00:00,268.17,86.96,85.55,200.845,303.41,114.605,169.93,53.23,186.495,51.51,56.83,234.49,213.03,1751.26,281.7674,55.16,313.5,120.07,348.6841,33.615,54.1,260.0179,301.535,49.84,1929.5601,495.63,60.09,221.75,43.45,75.837,142.7265,151.43,134.96,469.59,198.56,67.72,44.4,206.69,101.025,60.4,295.045,158.0037,43.8824,71.47,62.4026,75.4699,118.0,81.25,56.38,166.09,147.565,148.18,89.28,102.675,187.33,43.025,68.62,74.8,71.24,44.36,44.94,8.975,200.5803,155.7329,35.845,41.29,182.7,27.14,10.8753,66.32,35.67,1339.26,1337.285,26.02,220.11,21.605,214.41,175.38,20.47,348.655,133.35,94.35,321.28,56.61,254.0796,584.5949,175.0,140.675,135.03,31.15,137.23,54.37,27.1107,120.12,386.44,116.515,231.8,92.875,291.66,141.3,194.77,54.06,112.36,49.6499,107.82,169.365,50.32,60.675,88.9,49.96,150.38,47.77,234.39,305.385,96.575,345.49,190.3513,212.6962,54.875,38.31,136.6829,38.29,124.84,72.68,82.72,154.0,92.76,113.34,105.04,83.6052,204.29,216.775,85.725,49.64,577.615,36.29,62.625,149.15,273.335,314.24,183.41,204.18,38.49,125.1883,60.2,138.1576,318.7225,335.416,30.33,121.99,280.68,172.645,116.82,60.31,146.85,182.968,13.69,94.12,222.2939,16.8204,61.13,59.65,53.765,112.0144,119.48,13.7803,59.19,30.32,80.96,87.42,62.69,69.225,121.0572
2019-12-06 09:39:00+00:00,268.22,86.9854,85.55,200.705,303.69,114.585,169.96,53.23,186.595,51.46,56.995,234.35,212.5913,1751.4971,281.98,55.23,313.38,120.1645,348.6956,33.645,54.1,259.925,302.48,49.86,1931.545,495.63,60.1,221.77,43.47,75.91,142.76,151.43,134.7726,469.445,198.56,67.73,44.39,206.81,101.094,60.43,294.75,157.8831,43.965,71.48,62.4,75.56,118.07,81.1716,56.35,166.115,147.65,148.22,89.28,102.73,187.3587,43.02,68.6101,74.9,71.2914,44.33,44.95,8.985,200.2058,155.97,35.87,41.295,182.57,27.1355,10.895,66.45,35.68,1339.26,1337.495,26.02,220.39,21.57,214.3,175.42,20.49,348.4918,133.4201,94.25,320.64,56.625,254.265,584.5949,174.78,140.72,135.25,31.11,137.1035,54.315,27.1005,120.31,385.97,116.55,231.88,92.9118,291.6057,141.5,194.8159,53.95,112.43,49.72,107.73,169.4424,50.285,60.69,88.92,49.995,150.47,47.872,234.32,305.88,96.48,345.5975,190.44,212.73,54.895,38.3358,136.545,38.32,124.68,72.64,82.7605,153.983,92.84,113.36,104.84,83.6047,204.3301,217.23,85.727,49.725,577.56,36.2707,62.6,149.09,272.96,314.3,183.07,203.895,38.47,125.25,60.26,138.0768,318.675,335.747,30.3749,122.07,281.0655,172.445,116.8149,60.34,146.8956,182.9639,13.74,94.1218,221.98,16.81,61.15,59.741,53.78,111.8,119.1601,13.7709,59.1701,30.33,80.98,87.46,62.63,69.2,121.065
2019-12-06 09:40:00+00:00,268.0799,86.995,85.55,200.7,303.99,114.45,169.99,53.16,186.66,51.35,57.115,234.87,212.9,1751.66,281.18,55.23,313.4,120.05,348.75,33.62,54.135,260.0,302.765,49.89,1934.395,495.17,60.075,221.74,43.495,75.94,142.76,151.25,134.9749,469.39,198.1371,67.7,44.335,206.27,100.9,60.42,294.59,157.84,43.95,71.5,62.4,75.49,118.08,81.25,56.3901,166.42,147.63,148.29,89.32,102.76,187.37,43.01,68.62,74.89,71.17,44.33,44.97,8.985,200.27,156.3044,35.85,41.28,182.52,27.145,10.915,66.425,35.6979,1339.23,1337.5248,26.0165,220.32,21.6,214.18,175.55,20.48,348.4075,133.4,94.24,320.8523,56.665,254.125,585.0139,174.98,140.81,135.2,30.9666,137.28,54.295,26.971,120.19,385.85,116.75,231.615,93.11,291.32,141.57,194.7083,53.94,112.43,49.625,107.66,169.56,50.27,60.64,88.92,49.97,150.43,47.9273,234.305,305.77,96.45,345.3,190.695,212.7995,54.8,38.39,136.47,38.295,124.64,72.57,82.68,153.99,92.71,113.315,104.7101,83.66,204.3,217.07,85.69,49.63,577.08,36.26,62.66,149.185,272.845,314.28,182.985,204.01,38.4775,125.305,60.295,138.08,318.62,336.16,30.3712,122.05,280.9101,172.72,116.8994,60.33,146.57,182.8228,13.73,94.26,222.0916,16.8505,61.155,59.68,53.79,111.75,119.19,13.83,59.18,30.325,80.98,87.43,62.61,69.21,121.12
