time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EMR,EOG,EXC,F,FB,FDX,FOXA,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XOM,ZTS
2020-03-06 09:31:00+00:00,282.9,88.39,78.44,177.8,341.76,105.61,154.0016,39.8,189.75,39.08,57.55,204.89,245.59,1878.48,278.11,60.38,264.38,105.02,252.13,25.2351,,306.41,37.58,1614.71,451.93,59.32,204.32,36.04,60.17,118.99,139.94,159.01,489.735,193.46,70.0878,39.26,218.51,81.02,45.74,313.91,164.93,38.2182,66.21,57.79,62.5826,94.01,84.66,43.48,154.34,145.07,110.66,97.1,107.75,,40.32,62.54,58.92,43.99,6.57,179.495,125.075,28.45,157.35,29.91,9.5386,75.64,29.14,1271.1,1267.01,189.755,14.02,228.03,159.01,20.93,357.85,125.98,95.22,268.01,55.01,278.7881,551.06,,139.01,105.28,25.7001,139.14,55.01,136.96,,104.06,214.155,71.41,283.04,104.25,193.22,55.18,97.44,38.81,,149.89,41.88,39.9358,80.08,40.52,162.04,52.3,268.7,367.0464,88.67,316.57,168.86,266.395,46.73,30.07,133.155,34.705,118.01,77.93,84.9057,115.18,68.3,69.5687,109.2119,76.8,205.16,176.65,72.05,33.04,544.25,24.67,65.33,116.61,268.44,293.25,,185.65,36.8,104.19,57.07,304.62,697.5384,33.73,111.57,276.46,149.89,90.32,41.65,120.7,183.2,,59.1,229.56,31.43,55.82,48.15,36.93,114.58,114.4,7.19,48.32,134.76
2020-03-06 09:32:00+00:00,283.0675,88.13,78.44,177.47,341.9,105.85,154.8385,39.27,190.14,39.14,57.45,204.55,246.16,1878.24,278.0,60.32,264.74,104.18,251.4068,25.19,237.4,309.0,37.49,1613.03,451.46,59.37,204.12,36.17,60.05,119.34,140.0,159.065,490.37,192.655,70.3,39.36,219.36,81.02,45.68,313.83,165.49,38.14,66.28,57.75,62.56,93.59,84.55,43.34,154.13,145.05,110.53,97.01,107.71,,40.31,62.54,58.56,43.9,6.58,179.6539,124.695,28.49,157.81,29.92,9.3889,76.1599,29.05,1268.694,1265.02,191.42,13.93,228.77,159.6532,20.95,358.92,125.44,95.38,267.48,55.09,277.165,549.14,,139.1,105.79,25.765,139.14,55.09,137.155,372.09,104.075,213.82,71.6,282.735,104.27,193.6275,55.28,97.41,38.715,103.77,149.44,41.95,39.0,80.22,40.4,161.9,52.21,267.13,367.31,88.595,317.77,168.86,265.91,46.7,29.57,133.245,34.64,118.8,77.89,85.09,114.95,68.06,69.12,109.11,77.3,205.41,176.49,72.3981,32.91,544.15,24.5151,65.34,116.61,270.32,293.3,176.69,185.65,36.8,104.345,57.1,304.2852,702.1231,33.88,111.67,276.01,149.65,90.17,41.56,120.31,183.26,47.97,58.25,230.0,31.48,55.58,47.83,36.62,114.62,114.8643,7.1499,48.351,134.79
2020-03-06 09:33:00+00:00,284.62,88.94,78.52,178.94,343.3,106.22,155.35,39.39,190.19,39.3,57.72,205.97,245.57,1882.55,280.84,60.53,263.3242,104.395,251.28,25.22,235.2149,310.28,37.57,1622.8101,452.56,59.43,204.4073,36.29,60.15,119.77,140.8376,159.85,492.63,192.27,70.61,39.37,220.17,80.94,45.5,317.4491,165.7938,38.3118,66.265,57.88,62.65,93.96,84.3258,43.31,154.9,145.15,110.6,97.07,108.05,,40.36,62.69,58.53,44.05,6.58,180.39,124.78,28.45,158.82,29.8,9.255,76.97,29.18,1273.38,1268.46,191.44,13.91,229.08,158.8,20.94,358.92,125.39,95.85,269.64,55.17,280.81,551.085,,139.0,106.59,25.88,139.62,55.27,138.36,372.51,104.32,216.31,71.81,283.85,104.33,193.95,55.61,97.6463,38.73,103.62,149.44,42.15,38.73,80.55,40.44,162.86,52.26,269.285,369.0,88.24,317.46,168.1,267.47,46.88,29.38,134.12,34.74,118.91,78.28,85.51,115.51,68.18,69.35,109.46,77.19,206.19,177.16,72.51,32.96,544.15,24.375,65.4,115.51,271.4,294.0,176.59,185.65,36.89,104.68,57.26,306.17,698.05,33.88,111.74,277.445,149.6,90.32,41.72,120.15,183.79,47.88,58.3,232.33,31.305,55.95,48.19,36.69,115.113,115.3949,7.19,48.53,135.47
2020-03-06 09:34:00+00:00,284.31,89.44,78.594,179.11,344.13,106.17,155.86,39.36,191.07,39.36,57.675,206.09,244.61,1884.6,279.645,60.5,265.48,104.605,251.245,25.2,235.2149,310.5,37.725,1622.8101,452.56,59.36,204.115,36.21,60.09,119.69,140.91,159.85,492.08,192.34,70.56,39.31,219.64,80.94,45.47,313.3497,165.7794,38.2964,66.52,57.79,62.56,93.88,84.395,43.4238,154.9,145.405,110.44,97.21,108.165,193.91,40.38,63.08,58.735,44.05,6.58,180.039,125.605,28.49,158.85,29.83,9.32,77.39,29.2052,1271.96,1270.87,191.6042,13.97,229.31,159.225,20.95,358.92,125.885,95.84,269.64,55.255,280.97,551.085,,138.9647,106.49,25.91,139.87,55.255,138.13,372.14,104.35,216.41,71.8,284.63,104.24,193.9482,55.49,97.645,38.8,103.62,149.27,42.12,38.7688,80.41,40.56,162.9,52.32,268.81,368.9,88.255,317.36,168.1,267.49,47.01,29.4,134.2479,34.75,118.9,78.17,85.479,115.395,68.24,69.375,109.34,77.21,206.34,177.16,72.54,32.85,544.15,24.345,65.4645,115.12,271.25,293.81,176.72,185.82,36.83,104.75,57.28,306.17,696.3,33.9,111.94,277.5066,149.535,90.32,41.69,120.755,184.24,47.88,58.7,232.33,31.09,55.93,48.02,36.6899,115.0783,115.11,7.21,48.52,135.08
2020-03-06 09:35:00+00:00,284.31,88.4698,78.27,178.47,342.2475,106.17,155.97,39.328,190.02,39.1,57.675,205.52,244.61,1884.0038,279.645,60.31,264.27,104.605,251.245,25.2,235.2149,310.5,37.59,1622.8101,452.56,59.36,203.89,36.12,60.09,119.69,140.3876,159.85,492.08,192.34,70.56,39.25,219.64,80.94,45.47,308.8591,165.7794,38.2964,66.42,57.79,62.56,93.88,84.395,43.2,154.9,144.72,110.44,97.21,108.1,194.055,40.28,62.8001,58.76,44.05,6.58,180.039,124.9679,28.49,158.85,29.83,9.32,77.39,29.09,1271.96,1269.475,191.295,13.93,227.19,158.75,20.96,358.92,125.5901,95.84,269.64,54.98,280.33,551.085,,138.9647,106.49,25.78,139.64,55.07,136.69,372.14,103.0,215.19,71.8,283.95,104.24,193.9482,55.13,97.645,38.79,103.62,149.27,42.12,38.7688,79.975,40.53,161.88,52.32,268.255,368.9,88.255,317.36,168.1,267.49,46.88,29.4,134.2479,34.5,118.9,78.17,84.95,115.435,68.17,69.375,109.34,76.79,205.56,177.16,72.54,32.85,542.2,24.345,65.4645,115.12,271.25,293.81,176.72,184.88,36.83,104.75,57.28,306.17,696.3,33.9,111.26,277.5066,149.535,90.445,41.69,120.94,183.76,47.88,58.66,232.33,31.425,55.93,48.02,36.6899,115.0783,115.11,7.18,48.52,134.5
2020-03-06 09:36:00+00:00,284.31,88.97,78.47,179.1412,341.7376,106.17,156.525,39.48,190.35,39.2,57.675,205.91,244.61,1887.1447,281.8,60.33,265.52,104.605,251.245,25.2,235.2149,310.5,37.69,1615.6,452.56,59.22,203.94,36.18,60.46,119.79,140.767,159.65,492.08,192.34,70.13,39.36,219.4,80.94,45.84,312.52,165.535,38.2964,66.74,57.95,62.56,93.88,84.395,43.9699,154.925,145.1507,110.44,97.09,108.48,194.83,40.31,63.13,59.07,44.05,6.52,180.039,125.52,28.49,159.65,29.63,9.32,77.39,29.1334,1274.0313,1270.0,191.33,14.06,227.52,159.64,20.99,361.08,125.98,95.84,268.76,55.17,280.78,552.565,,138.9647,107.055,25.75,140.05,54.99,137.27,374.29,103.2648,215.88,72.36,284.075,104.24,192.75,55.0,97.645,38.98,103.68,149.255,42.12,38.7688,80.08,40.67,161.856,52.32,268.53,368.9,88.19,319.7545,169.28,267.49,46.92,29.4,134.2479,34.52,118.9,78.26,85.06,115.24,68.41,69.485,109.34,77.1379,205.86,178.67,72.54,32.85,541.64,24.345,65.4645,115.12,270.78,293.81,177.28,184.835,36.83,104.0508,57.535,305.5447,696.3,33.9,111.68,279.213,149.535,91.0423,41.69,121.87,183.79,47.57,59.07,233.75,31.195,55.93,48.02,36.6899,115.0783,114.32,7.2754,48.52,134.48
2020-03-06 09:37:00+00:00,284.775,88.5532,78.43,179.395,341.9,106.3874,156.58,39.75,190.0,39.38,57.62,205.505,244.07,1892.0,283.56,60.224,265.62,105.6,251.24,25.29,234.2,312.015,37.88,1620.39,454.5,59.24,204.39,36.33,60.85,119.82,140.99,159.715,492.74,195.415,70.13,39.49,217.63,81.94,45.945,314.05,165.49,38.57,66.84,58.06,62.97,95.14,84.653,44.21,155.3386,145.43,111.11,96.9461,108.375,195.32,40.33,63.06,59.45,43.81,6.55,180.06,126.07,28.62,160.25,29.49,9.445,76.5977,29.25,1276.98,1271.87,191.03,14.18,227.24,159.7619,21.08,363.02,125.89,95.38,270.16,55.295,279.885,552.8,163.405,138.46,107.7359,25.78,140.2099,54.84,137.28,374.7378,103.795,216.33,72.61,283.91,107.04,192.625,54.99,97.61,39.22,103.54,149.09,41.92,38.9,80.035,40.91,162.2699,52.45,267.83,367.75,88.46,321.52,169.47,265.98,47.13,29.8,133.235,34.525,118.2,78.2,84.93,115.94,68.86,69.88,109.91,77.6,206.31,179.48,73.16,33.2,541.02,24.72,64.82,115.79,271.17,294.37,176.79,185.425,36.535,104.15,57.7578,306.45,698.26,33.885,111.83,278.81,150.8,91.36,42.02,122.7585,183.57,47.35,59.519,232.99,31.12,55.52,48.19,36.69,114.75,114.45,7.378,48.7204,134.38
2020-03-06 09:38:00+00:00,284.7411,88.36,78.45,178.915,341.31,106.32,156.57,39.96,189.69,39.52,57.54,205.35,244.375,1891.1179,281.83,60.33,265.71,105.75,251.5267,25.43,234.67,313.78,38.0801,1623.65,455.86,59.36,205.25,36.38,61.15,119.86,141.71,159.22,493.79,195.245,69.88,39.63,217.48,82.375,46.12,313.15,165.2881,38.72,66.97,58.06,62.97,95.47,84.5098,44.3531,155.45,145.31,111.57,96.99,108.26,194.8,40.34,63.26,59.5389,43.76,6.575,180.275,126.345,28.76,160.4174,29.42,9.49,76.41,29.38,1277.045,1272.95,191.64,14.23,226.34,160.12,21.13,361.03,125.7845,95.25,270.16,55.395,279.58,555.745,163.51,138.5,108.6698,25.775,139.935,54.69,137.31,374.455,103.91,216.31,72.73,283.8593,107.82,192.471,54.94,97.5583,39.33,103.68,149.525,41.8686,39.035,79.955,41.115,162.0917,52.54,268.15,366.735,88.4,320.17,169.66,265.6432,47.2,29.91,132.705,34.53,118.07,78.48,84.83,116.75,69.07,69.93,109.98,77.65,206.2908,179.36,73.05,33.55,541.02,24.78,64.66,116.02,270.65,294.58,176.7746,184.75,36.585,104.16,57.73,306.77,700.66,33.79,111.95,278.075,151.17,91.55,42.29,123.09,183.39,47.29,59.92,232.45,31.13,55.6614,48.33,36.935,114.485,114.17,7.428,48.92,134.205
2020-03-06 09:39:00+00:00,284.44,88.33,78.455,178.53,340.41,105.995,156.36,39.845,189.82,39.34,57.49,205.58,244.345,1892.54,280.97,60.2675,265.42,106.13,250.5044,25.5054,233.94,313.07,38.01,1628.2775,455.745,59.34,204.98,36.215,61.08,119.63,141.81,159.12,493.42,195.125,69.81,39.57,217.58,82.275,46.045,311.86,165.1999,38.54,66.88,57.92,62.97,95.49,84.49,43.94,155.28,144.95,111.105,96.9321,108.285,194.37,40.3,62.85,59.47,43.76,6.525,180.312,125.75,28.715,160.31,29.49,9.435,76.5475,29.225,1275.495,1272.125,192.13,14.23,225.72,159.6613,21.12,359.965,125.73,95.315,270.188,55.26,278.865,553.26,162.81,138.51,108.5716,25.84,140.07,54.76,137.33,375.28,103.3901,216.1,72.47,283.5,107.145,192.12,55.02,97.42,39.3,103.34,149.05,41.87,38.45,79.92,41.18,161.94,52.34,267.72,366.585,88.13,320.83,169.81,265.305,47.1,29.84,133.31,34.5,118.01,78.39,84.87,117.12,69.245,69.6523,109.8199,77.47,206.0,179.46,72.775,33.665,541.02,24.75,64.66,115.94,270.25,294.06,176.36,184.51,36.4888,103.75,57.59,305.9917,698.27,33.62,111.64,277.33,151.07,91.53,42.29,122.56,183.06,47.43,59.4629,231.99,31.2532,55.55,48.34,36.86,114.35,113.95,7.34,48.72,134.07
2020-03-06 09:40:00+00:00,284.96,88.2,78.4473,178.865,341.02,106.265,156.49,40.12,189.82,39.52,57.5302,205.75,243.64,1889.37,280.16,60.36,265.7,106.3,250.8065,25.731,233.98,312.32,38.29,1633.73,457.5,59.245,205.5387,36.305,61.36,119.94,142.015,159.055,494.29,194.54,69.79,39.72,217.25,82.495,46.1559,308.3,165.41,38.655,67.02,58.0,62.87,95.88,84.33,44.324,155.67,145.06,111.525,96.915,108.475,194.06,40.305,63.25,59.84,43.71,6.5401,180.3559,125.7801,28.925,161.09,29.38,9.495,76.455,29.39,1277.235,1273.47,192.84,14.275,225.965,159.615,21.18,359.485,125.94,94.9,270.545,55.305,279.53,553.27,163.51,138.14,108.72,25.905,139.96,54.85,137.02,375.4418,103.91,216.08,72.6433,283.44,108.5,192.5,55.01,97.5,39.605,103.61,148.8,41.79,38.71,79.63,41.415,161.96,52.45,267.02,366.15,88.2,320.745,170.33,265.3,47.255,29.91,133.52,34.38,117.98,78.44,84.78,117.69,69.71,69.8965,110.105,77.554,206.2046,180.25,73.37,33.97,541.02,24.84,64.585,116.11,270.06,294.41,177.09,184.9,36.43,103.8961,57.7499,306.44,697.59,33.705,112.0,276.1757,151.015,91.68,42.58,123.16,183.21,47.26,59.92,232.49,31.12,55.64,48.32,37.105,114.48,113.58,7.36,48.835,133.44
