time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-06-05 09:31:00+00:00,324.37,93.89,88.4154,205.765,383.4,127.04,156.57,41.68,38.8456,60.27,219.16,263.85,2444.49,283.9,68.11,323.46,114.56,202.67,28.775,241.6,300.575,42.8,1826.34,558.0,60.79,197.31,38.02,61.585,138.3455,141.675,169.095,540.21,204.76,70.7,42.65,188.53,84.884,47.54,311.64,169.35,47.36,76.0,58.12,67.21,100.07,85.45,36.91,168.73,168.875,126.765,89.5,113.95,226.66,40.98,64.04,66.3,58.91,32.29,40.0561,7.2132,226.89,144.65,32.3,41.52,164.8,31.67,8.52,76.82,31.0,1412.4399,1414.61,27.5299,221.57,14.44,251.28,163.3,17.345,393.53,132.6502,93.57,356.89,63.48,279.22,575.15,184.1,146.98,114.35,31.97,137.11,48.62,33.09,149.5,410.945,130.1683,317.76,77.88,306.81,117.42,198.004,51.47,98.445,42.5699,109.25,167.18,41.47,41.29,81.97,51.225,182.19,53.35,250.74,405.965,103.88,342.9446,198.85,351.99,53.02,18.14,130.945,36.095,116.5546,79.895,76.63,130.66,70.54,87.32,150.79,88.32,236.21,80.21,44.62,583.065,22.42,58.36,86.51,331.69,317.56,179.52,201.79,32.67,120.925,56.27,154.75,346.17,877.11,34.64,132.67,302.38,182.925,104.93,43.51,195.5551,,73.535,266.64,28.95,57.74,45.43,33.61,109.25,122.19,10.07,44.5,26.785,75.41,99.59,60.03,52.19,140.76
2020-06-05 09:32:00+00:00,323.99,93.89,88.4154,205.765,383.4,126.7,156.575,41.68,38.8456,60.1975,219.16,263.85,2444.49,283.9,68.12,323.21,114.56,202.67,28.775,241.6,300.575,42.8,1826.34,558.0,60.79,197.31,38.02,61.585,138.3455,141.675,169.095,539.12,204.76,70.7,42.63,188.22,84.884,47.54,311.19,169.35,47.31,75.87,57.92,67.21,100.07,85.45,36.91,168.73,168.875,126.765,89.5,113.95,226.66,40.96,64.02,66.3,58.91,32.265,39.9894,7.2132,226.715,144.65,32.3,41.5,164.8,31.63,8.52,76.7,31.0,1410.2,1411.83,27.5178,221.57,14.44,251.28,163.3,17.345,393.53,132.6502,93.57,356.7041,63.44,279.22,575.15,184.1,146.98,114.35,31.985,137.11,48.62,33.09,149.5,410.945,130.1683,317.84,77.88,306.81,116.894,198.004,51.43,98.445,42.5699,109.25,167.18,41.47,41.29,81.97,51.225,182.05,53.22,250.74,405.42,103.88,342.9446,198.85,351.65,53.02,18.14,130.87,36.095,116.5546,79.895,76.63,130.66,70.54,87.32,150.7014,88.2532,236.03,80.06,44.62,583.065,22.42,58.36,86.51,331.69,317.38,179.52,201.79,32.67,120.925,56.27,154.76,346.17,877.2675,34.64,132.525,302.38,182.925,104.93,43.51,195.5551,,73.535,266.92,29.06,57.74,45.42,33.61,109.25,122.19,10.07,44.39,26.75,75.39,99.53,59.96,52.19,140.76
2020-06-05 09:33:00+00:00,323.99,93.89,88.4154,205.765,383.4,126.7,156.575,41.68,38.8456,60.1975,219.16,263.85,2444.49,283.9,68.12,323.21,114.56,202.67,28.775,241.6,300.575,42.8,1826.34,558.0,60.79,197.31,38.02,61.585,138.3455,141.675,169.095,539.12,204.76,70.7,42.63,188.22,84.884,47.54,311.19,169.35,47.31,75.87,57.92,67.21,100.07,85.45,36.91,168.73,168.875,126.765,89.5,113.95,226.66,40.96,64.02,66.3,58.91,32.265,39.9894,7.2132,226.715,144.65,32.3,41.5,164.8,31.63,8.52,76.7,31.0,1410.2,1411.83,27.51,221.57,14.44,251.28,163.3,17.345,393.53,132.6502,93.57,356.7041,63.44,279.22,575.15,184.1,146.98,114.35,31.985,137.11,48.62,33.09,149.5,410.945,130.1683,317.84,77.88,306.81,116.894,198.004,51.43,98.445,42.5699,109.25,167.18,41.47,41.29,81.97,51.225,182.05,53.22,250.74,405.42,103.88,342.9446,198.85,351.65,53.02,18.14,130.87,36.095,116.5546,79.895,76.63,130.66,70.54,87.32,150.7014,88.2532,236.03,80.06,44.62,583.065,22.42,58.36,86.51,331.69,317.38,179.52,201.79,32.67,120.925,56.27,154.76,346.17,877.2675,34.64,132.525,302.38,182.925,104.93,43.51,195.5551,,73.535,266.92,29.06,57.74,45.42,33.61,109.25,122.19,10.07,44.39,26.75,75.39,99.53,59.96,52.19,140.76
2020-06-05 09:34:00+00:00,323.99,93.89,88.4154,205.765,383.4,126.7,156.575,41.68,38.8456,60.1975,219.16,263.85,2444.49,283.9,68.12,323.21,114.56,202.67,28.775,241.6,300.575,42.8,1826.34,558.0,60.79,197.31,38.02,61.585,138.3455,141.675,169.095,539.12,204.76,70.7,42.63,188.22,84.884,47.54,311.19,169.35,47.31,75.87,57.92,67.21,100.07,85.45,36.91,167.865,168.875,126.765,89.5,113.95,226.66,40.96,64.02,66.3,58.91,32.265,39.9894,7.2132,226.715,144.65,32.3,41.5,164.8,31.63,8.52,76.7,31.0,1410.2,1411.83,27.5113,221.57,14.44,251.28,163.3,17.345,393.53,132.6502,93.57,356.7041,63.44,279.22,575.15,184.32,146.98,114.35,31.985,137.11,48.62,33.09,149.5,410.945,130.1683,317.84,77.88,306.81,116.894,198.004,51.43,98.445,42.5699,109.25,167.18,41.47,41.29,81.97,51.225,182.05,53.22,250.74,405.42,103.88,342.9446,198.85,351.65,53.02,18.14,130.87,36.095,116.5546,79.895,76.63,130.66,70.54,87.32,150.7014,88.2532,236.03,80.06,44.62,583.065,22.42,58.36,86.51,331.69,317.38,179.77,201.79,32.67,120.925,56.27,154.76,346.17,877.2675,34.64,132.525,302.38,182.925,104.93,43.51,195.5551,,73.535,266.92,29.05,57.74,45.42,33.61,109.25,122.19,10.07,44.39,26.75,75.39,99.53,59.96,52.19,140.76
2020-06-05 09:35:00+00:00,323.99,93.47,88.15,205.62,383.4,126.7,156.575,41.61,38.41,60.1975,219.16,263.25,2444.49,284.26,68.12,323.21,115.52,201.01,28.79,241.8,300.575,42.82,1826.34,557.52,60.8831,197.38,38.11,61.41,137.58,141.2,169.095,539.12,207.42,70.565,42.63,188.22,84.45,47.81,311.19,167.7376,47.31,75.87,57.92,67.5,101.04,85.72,37.105,168.0874,168.92,126.8601,89.9,113.95,225.9,41.01,64.05,66.375,59.05,32.38,39.9894,7.2049,226.715,145.08,32.3,41.52,164.61,31.3599,8.52,76.7,31.065,1410.2,1411.83,27.5179,221.08,14.77,252.2,165.33,17.4591,393.53,133.5,96.13,356.7041,63.44,279.22,575.15,184.32,147.09,114.3624,31.985,136.945,48.77,32.85,149.7,411.385,129.76,317.84,79.49,306.94,116.894,198.329,51.43,98.75,42.03,109.825,167.42,41.77,41.045,81.95,51.54,182.05,53.22,252.485,405.42,104.385,342.9446,199.34,351.65,52.92,18.285,130.87,36.18,116.6391,79.616,77.16,130.61,70.845,87.21,150.7014,88.2532,236.03,80.06,44.84,583.065,22.96,58.64,88.94,330.225,317.6368,179.77,202.815,32.74,120.45,56.8723,154.76,347.79,877.2675,34.64,132.525,302.255,183.2295,104.945,43.82,196.11,,74.07,266.92,28.99,57.46,45.42,32.815,109.6374,121.33,10.445,44.55,26.55,75.32,99.74,60.04,52.88,140.43
2020-06-05 09:36:00+00:00,325.015,93.54,88.6617,205.85,384.73,126.97,157.3699,41.19,37.6,60.3934,220.24,264.48,2454.96,284.7,68.04,324.85,114.35,198.595,28.305,242.18,300.86,42.56,1816.0,555.01,60.98,197.06,38.235,59.9524,137.8001,138.97,169.455,539.26,207.84,70.7769,42.46,189.18,82.91,47.82,308.9,168.37,47.76,76.4775,57.95,67.66,100.69,85.71,36.3789,167.7565,169.975,126.92,89.74,114.4,225.46,41.0,64.06,66.32,59.01,32.3531,40.14,7.1128,226.99,144.16,31.8,41.51,163.22,31.39,8.35,76.495,30.58,1412.5,1413.7,27.515,218.9775,14.62,252.61,163.525,17.26,393.86,133.545,95.26,357.61,63.72,280.61,578.86,183.925,147.65,112.64,32.12,136.55,48.67,32.93,150.105,410.14,130.0,319.64,78.905,306.905,117.71,198.89,51.55,98.7,41.425,109.68,166.91,41.5899,40.75,82.28,51.18,182.7454,53.0083,252.36,409.39,104.4,341.62,198.705,351.005,53.18,18.1,131.49,36.27,116.66,79.275,76.87,128.79,69.5101,87.16,152.7771,89.2273,236.7976,81.19,44.7,585.1665,22.88,58.58,87.63,330.43,317.62,179.68,203.405,32.495,120.37,56.81,154.73,348.49,873.8348,34.5562,134.74,303.23,183.26,104.98,42.85,196.1136,23.84,74.1478,268.3409,28.92,57.43,45.485,32.4614,109.7517,121.24,10.525,44.42,26.41,75.17,99.98,60.01,52.4162,140.685
2020-06-05 09:37:00+00:00,325.6575,93.54,88.6617,205.85,386.67,127.205,157.62,41.19,37.6,60.52,220.28,264.48,2464.47,284.7,68.47,325.51,114.35,198.595,28.305,242.18,300.72,42.56,1808.24,555.01,60.98,197.06,38.235,59.9524,137.8001,138.97,169.455,538.73,207.84,70.7769,42.445,188.74,82.91,47.82,309.6629,168.37,47.825,76.26,58.04,67.66,100.69,85.71,36.3789,167.7565,169.975,126.92,89.74,115.1688,225.46,40.985,64.07,66.32,59.01,32.335,39.98,7.1128,227.5,144.16,31.615,41.49,163.22,31.38,8.35,76.4543,30.58,1415.9449,1416.92,27.52,218.9775,14.62,252.61,163.525,17.26,393.86,133.545,95.26,357.62,63.8299,282.265,577.295,183.925,147.65,112.64,32.18,136.55,48.67,32.93,150.105,410.14,130.0,320.5,78.905,306.905,117.07,198.89,51.49,98.7,41.425,109.68,166.91,41.5899,40.75,82.28,51.18,183.7631,53.52,252.36,411.38,104.4,341.62,198.705,352.79,53.18,18.1,131.17,36.27,116.66,79.275,76.87,128.79,69.5101,87.16,154.075,89.25,237.4402,81.34,44.7,585.1665,22.88,58.58,87.63,330.43,317.61,179.68,203.405,32.495,120.37,56.81,154.82,348.49,876.0925,34.5562,134.96,303.23,183.26,104.98,42.85,196.1136,23.83,74.1478,267.27,28.95,57.43,45.44,32.4614,109.7517,121.24,10.525,44.44,26.335,75.0299,100.22,60.01,52.4162,140.685
2020-06-05 09:38:00+00:00,325.84,93.54,88.6617,205.85,386.3501,127.065,157.655,41.19,37.6,60.6614,220.08,264.48,2462.3899,284.7,68.49,325.43,114.35,198.595,28.305,242.18,300.62,42.56,1809.52,555.01,60.98,197.06,38.235,59.9524,137.8001,138.97,169.455,537.7,207.84,70.7769,42.51,188.52,82.91,47.82,309.455,168.37,47.78,76.2402,57.96,67.66,100.69,85.71,36.3789,167.7565,169.975,126.92,89.74,114.915,225.46,40.965,64.035,66.32,59.01,32.27,39.99,7.1128,227.025,144.16,31.6,41.47,163.22,31.41,8.35,76.35,30.58,1413.7,1416.46,27.5193,218.9775,14.62,252.61,163.525,17.26,393.86,133.545,95.26,357.62,63.71,282.02,578.34,183.925,147.65,112.64,32.18,136.55,48.67,32.93,150.105,410.14,130.0,320.0,78.905,306.905,115.73,198.89,51.49,98.7,41.425,109.68,166.91,41.5899,40.75,82.28,51.18,183.6339,53.67,252.36,411.04,104.4,341.62,198.705,352.28,53.18,18.1,131.34,36.27,116.66,79.275,76.87,128.79,69.5101,87.16,153.765,89.21,237.27,81.3228,44.7,585.1665,22.88,58.58,87.63,330.43,317.42,179.68,203.405,32.495,120.37,56.81,154.81,348.49,875.9,34.5562,134.615,303.23,183.26,104.98,42.85,196.1136,23.84,74.1478,267.78,28.96,57.43,45.47,32.4614,109.7517,121.24,10.525,44.36,26.29,74.96,100.16,60.03,52.4162,140.685
2020-06-05 09:39:00+00:00,326.11,93.56,88.75,206.66,386.96,126.81,158.68,41.12,36.8,60.9659,220.7068,262.85,2461.01,285.39,68.45,326.075,114.37,199.7194,28.2,242.685,302.405,42.46,1810.285,553.565,61.1,196.83,38.6,60.17,136.665,137.54,169.2,538.94,208.5,70.94,42.57,188.62,82.8233,48.0025,309.36,170.28,47.83,76.2402,58.2,67.8695,100.6039,85.71,36.43,167.7166,170.485,127.035,89.6138,114.8185,225.37,41.01,64.09,66.23,59.08,32.27,40.04,7.0958,227.565,144.14,31.69,41.495,163.315,31.58,8.315,76.57,30.53,1415.4399,1416.61,27.52,219.59,14.5447,253.57,163.41,17.43,395.27,134.195,95.09,360.1474,63.74,281.69,581.655,183.925,147.62,112.1,32.08,135.915,48.71,32.93,150.185,407.36,129.75,321.09,79.55,307.29,116.8344,198.87,51.46,98.44,41.21,109.4,166.92,41.66,40.59,82.41,51.05,184.15,53.83,252.05,410.58,104.22,341.0625,198.55,352.28,53.36,18.175,131.51,36.265,116.68,78.98,76.8825,128.75,68.595,87.46,153.51,89.08,237.6866,81.72,45.06,585.1665,22.845,58.46,87.1569,330.69,317.9,180.41,204.69,32.55,120.46,56.72,154.73,348.74,877.732,34.745,135.14,303.23,184.01,105.25,42.95,196.8,23.84,74.0,267.97,28.85,57.39,45.595,32.608,109.46,121.445,10.5102,44.41,26.37,75.12,100.36,60.065,52.5,141.325
2020-06-05 09:40:00+00:00,326.06,93.3,88.36,206.6,386.04,126.79,158.55,41.18,37.1758,60.615,219.895,261.66,2455.6499,285.32,68.43,324.565,114.62,200.5399,28.42,241.6,301.72,42.61,1819.9301,553.56,61.04,197.204,38.49,60.45,136.39,137.91,169.22,538.13,208.055,70.77,42.575,188.47,82.58,48.05,308.17,170.505,47.7999,76.49,58.36,67.83,100.77,85.31,36.21,168.185,170.305,126.92,89.593,114.4,225.53,41.0,64.085,66.32,58.95,32.24,40.01,7.1,227.18,144.45,31.59,41.505,163.645,31.59,8.412,76.43,30.54,1415.3101,1416.71,27.5243,219.27,14.515,253.2,163.61,17.345,395.27,133.9557,95.04,359.725,63.65,282.06,579.91,183.27,147.205,112.56,32.07,135.51,48.5901,32.79,149.54,407.265,129.38,320.1392,79.77,306.91,117.0317,199.41,51.4799,98.575,41.5053,109.32,167.105,41.72,40.71,82.3,51.315,184.25,53.655,251.73,409.3015,103.98,340.75,199.22,350.7262,53.295,18.225,131.3,36.1801,116.39,79.01,76.91,129.48,68.965,87.582,153.14,89.1015,237.4001,81.64,45.26,575.25,22.8,58.47,88.1,330.2757,317.83,180.0,204.18,32.54,120.215,56.82,154.88,348.51,873.7315,34.68,135.2261,303.31,184.54,105.1371,43.17,196.66,23.73,74.135,266.78,28.96,57.35,45.74,32.86,109.425,121.24,10.565,44.42,26.4483,75.18,100.27,59.98,52.585,141.09
