time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-07-02 04:01:00+00:00,365.39,,,,,,,,,,,,,,,,,183.9,,,,,,,,,,,,,,,,,,,,,,,46.05,,,,,,28.2,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.26,,,,76.7,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.2,,490.0,,,,,,,,34.28,,,,103.5,,,,,250.32,,,,17.94,,,,312.27,,,29.98,,,,,1174.89,,,,,,,,,,,,,,,,,37.05,23.04,,,,44.0,
2020-07-02 04:02:00+00:00,365.39,,,,,,,,,,,,,,,,,183.23,,,,,,,,,,,,,,,,,,,,,,,46.05,,,,,,28.2,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.29,,36.5,,76.7,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.2,,490.0,,,,382.75,,17.88,,34.28,,,,103.5,,,,,251.85,,,,17.94,,,,312.46,,,29.98,,,,,1184.84,,,,,,,,,,,,,,,,,37.05,23.04,,,,44.0,
2020-07-02 04:03:00+00:00,365.57,,,,,,,,,,,,2896.74,,,,,184.83,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,27.74,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.29,,36.56,,76.7,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.2,,490.0,,,,382.75,,17.88,,34.13,,,,103.5,,,,,251.85,,,,17.94,,,,312.43,,,29.98,,,,,1180.03,,,,,,,,,,,,,25.32,,,,37.05,23.04,,,,44.0,
2020-07-02 04:04:00+00:00,365.57,,,,,,,,,,,,2896.74,,,,,184.29,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.1,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.29,,36.56,,76.7,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.2,,490.0,,,,382.75,,17.79,,34.13,,,,103.5,,,,,251.75,,,,17.94,,,,312.28,,,29.98,,,,,1170.85,,,,,,,,,,,,,25.32,,,,37.05,23.04,,,,44.35,
2020-07-02 04:05:00+00:00,365.9,,,,,,,,,,,,2896.76,,,,96.0,184.5,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.2,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.29,,36.56,,76.8,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.2,,490.0,,,,382.75,,17.85,,34.2,,,,103.5,,,,,251.64,,,,17.94,,,,312.31,,,29.98,,,,,1170.85,,,,,,,,,,,,,25.32,,,,37.05,23.04,,,,44.35,
2020-07-02 04:06:00+00:00,365.9,,,,,,,,,,,,2896.76,,,,96.0,184.5,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.3,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.29,,36.56,6.8,76.8,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.32,,490.0,,,,382.75,,17.8,,34.11,,,,103.5,,,,,251.69,,,,17.94,,,,312.21,,,29.98,,,,,1172.16,,,,,,,,,,,,,25.32,,,,37.05,23.04,,,,44.35,
2020-07-02 04:07:00+00:00,365.9,,,,,,,,,,,,2896.56,,,,96.0,184.5,23.55,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.36,,,,,,,,61.71,,,30.08,,5.99,,156.75,,41.29,,36.56,6.8,76.8,25.25,,,,,,,144.75,,,,,,,,,,,94.51,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.38,,490.0,,,,382.75,,17.8,,34.11,,,,103.5,,,,,251.69,,,,17.94,,,,312.21,,,29.98,,,,,1168.0,,,,,,,,,,,,,25.32,,,,37.05,23.04,,,,44.35,
2020-07-02 04:08:00+00:00,365.6,,,,,,,,,,,,2896.56,,,,96.0,184.5,23.55,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.36,,,,,,,,61.71,,,30.08,,5.99,237.6,156.75,,41.29,,36.56,6.8,76.8,25.25,,,,,,,144.75,,,,,,,,,,,93.75,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.6,,490.0,,,,382.75,,17.8,,34.11,,,,103.5,,,,,251.7,,,,17.94,,,,312.21,,,29.98,,,,,1168.0,,,,,,,,,,,,,25.69,,,,37.05,23.04,,,,44.35,
2020-07-02 04:09:00+00:00,365.6,,,,,,,,,,,,2896.56,,,,96.0,184.77,23.55,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.36,,,,,,,,61.71,,,30.08,,5.99,237.55,156.75,,41.29,,36.56,6.8,76.8,25.25,,,,,,,144.75,,,,,,,,,,,93.75,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.6,,490.0,,,,382.75,,17.84,,34.11,,,,103.5,,,,,251.78,,,,17.94,,,,312.4,,,29.98,,,,,1168.0,30.78,,,,,,,,,,,,25.59,,,,37.05,23.04,,,,44.26,
2020-07-02 04:10:00+00:00,365.6,,,,,,,,,,,,2896.56,,,,96.0,184.8,23.55,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,28.36,,,,,,,,61.71,,,30.08,,6.01,237.55,156.75,,41.29,,36.56,6.8,76.8,25.25,,,,,,,144.75,,,,,,,,,,,93.75,,,45.08,,,,,,,301.95,86.5,,,,,,,,,,,,50.6,,490.0,,,,382.75,,17.86,,34.11,,,,103.5,,,,,251.78,,,,17.94,,,,312.4,,,29.98,,,,,1174.0,30.78,,,,,,,,,,,,25.59,,,,37.05,23.04,,,,44.26,
