,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@W#,@YM#,BD#,BL#,BX#,CRD#,EX#,EZ#,IHO#,IRB#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-03-07 00:01:00,0.9281,63.91,2.0099,566.0,2716.0,1.0156,81.78,1309.0,1.5378,114.328125,103.2,57.6,0.009731,154.0,1169.25,90.3,12720.0,1717.0,655.4,1453.5,13.71,0.9783,370.1,107.53906200000002,117.203125,117.1875,1108.5,12069.0,117.49,111.64,92.72,105.41,3581.0,105.14,29364.0,26475.0,105.43,983.7,3.919,2.9699,9.752,2178.0,2.6536,20.35,365.4
2008-03-07 00:02:00,0.9282,63.91,2.0099,566.0,2716.0,1.0156,81.78,1309.0,1.5379,114.328125,103.2,57.6,0.009732,154.0,1169.25,90.3,12720.0,1717.0,655.4,1453.5,13.71,0.9783,370.1,107.53906200000002,117.203125,117.1875,1108.5,12069.0,117.49,111.64,92.72,105.41,3581.0,105.14,29364.0,26475.0,105.44,983.9,3.919,2.9699,9.752,2178.0,2.6536,20.375,365.4
2008-03-07 00:03:00,0.9282,63.91,2.0099,566.0,2716.0,1.0156,81.78,1308.25,1.5379,114.328125,103.2,57.6,0.009733,154.0,1169.25,90.3,12720.0,1717.0,655.4,1453.5,13.71,0.9783,370.1,107.53906200000002,117.203125,117.1875,1108.5,12067.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.43,983.9,3.919,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:04:00,0.9285,63.91,2.0099,566.0,2716.0,1.0158,81.78,1307.75,1.5379,114.328125,103.2,57.6,0.009734,154.0,1169.25,90.3,12720.0,1716.25,655.4,1454.25,13.71,0.9783,370.1,107.53906200000002,117.203125,117.1875,1108.5,12065.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.44,984.0,3.916,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:05:00,0.9291,63.91,2.0099,566.0,2716.0,1.0158,81.78,1308.0,1.5378,114.328125,103.2,57.6,0.009734,154.0,1169.25,90.3,12720.0,1716.25,655.4,1454.25,13.71,0.9783,370.1,107.53906200000002,117.203125,117.1875,1108.5,12062.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.43,984.1,3.916,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:06:00,0.9294,64.0,2.0099,566.0,2716.0,1.0158,81.78,1308.0,1.5379,114.328125,103.2,57.6,0.009734999999999999,154.0,1169.25,90.3,12720.0,1716.25,655.4,1454.25,13.71,0.9783,370.1,107.53906200000002,117.21875,117.203125,1108.5,12062.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.43,983.9,3.916,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:07:00,0.9294,64.0,2.0099,566.0,2716.0,1.0158,81.78,1308.25,1.5379,114.33593700000002,103.2,57.6,0.009737,154.0,1169.25,90.3,12720.0,1717.0,655.4,1454.25,13.71,0.9783,370.1,107.53906200000002,117.21875,117.203125,1108.5,12063.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.45,984.2,3.9145,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:08:00,0.9296,64.0,2.0099,566.0,2716.0,1.0158,81.78,1308.25,1.5382,114.33593700000002,103.2,57.6,0.009736,154.0,1169.25,90.3,12720.0,1717.0,655.4,1452.0,13.71,0.9783,370.1,107.53906200000002,117.21875,117.21875,1108.5,12068.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.44,984.0,3.9145,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:09:00,0.9297,64.0,2.0098,566.0,2716.0,1.0158,81.78,1308.25,1.5382,114.33593700000002,103.2,57.6,0.009738,154.0,1169.25,90.3,12720.0,1717.0,655.4,1452.0,13.71,0.9783,370.1,107.53906200000002,117.21875,117.21875,1108.5,12066.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.48,984.2,3.9175,2.9699,9.752,2178.0,2.6536,20.37,365.4
2008-03-07 00:10:00,0.9296,63.9,2.0099,565.75,2716.0,1.016,81.78,1308.25,1.5382,114.328125,103.2,57.6,0.009738,154.0,1169.25,90.3,12720.0,1717.0,655.4,1452.0,13.71,0.9783,370.1,107.546875,117.21875,117.21875,1108.5,12066.0,117.49,111.64,92.72,105.45,3581.0,105.14,29364.0,26475.0,105.48,984.2,3.9175,2.9699,9.752,2178.0,2.6536,20.37,365.4
