,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-04-04 00:01:00,0.9035,55.2,1.9835,596.25,2276.0,0.993,70.5,1373.0,1.5607,113.109375,100.8,70.75,0.009779000000000001,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12634.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.18,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:02:00,0.9034,55.2,1.9835,596.25,2276.0,0.993,70.5,1373.0,1.5607,113.109375,100.8,70.75,0.009779000000000001,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12634.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.18,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:03:00,0.9034,55.2,1.9835,596.25,2276.0,0.993,70.5,1373.0,1.5608,113.109375,100.8,70.75,0.009781,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12634.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.18,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:04:00,0.9034,55.2,1.9835,596.25,2276.0,0.993,70.5,1373.0,1.5609,113.109375,100.8,70.75,0.009781999999999999,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12634.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.18,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:05:00,0.9036,55.2,1.9835,596.0,2276.0,0.993,70.5,1373.0,1.5609,113.109375,100.8,70.75,0.009784000000000001,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12634.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.25,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:06:00,0.9032,55.2,1.9835,596.0,2276.0,0.993,70.5,1373.0,1.5609,113.109375,100.8,70.75,0.009784000000000001,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12631.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.25,905.5,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:07:00,0.9032,55.2,1.9835,596.0,2276.0,0.993,70.5,1373.0,1.5611,113.109375,100.8,70.75,0.009785,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12631.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.25,905.5,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:08:00,0.9032,55.2,1.9835,596.0,2276.0,0.993,70.5,1372.75,1.5611,113.109375,100.8,70.75,0.009788,131.7,992.0,89.325,13335.0,13365.0,1868.5,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12631.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.21,905.9,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:09:00,0.9032,55.2,1.9835,596.5,2276.0,0.993,70.5,1372.75,1.5609,113.109375,100.8,70.75,0.009788,131.7,992.0,89.325,13335.0,13365.0,1868.5,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12631.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.18,905.8,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.33,340.6
2008-04-04 00:10:00,0.9034,55.2,1.9836,596.5,2276.0,0.993,70.5,1372.75,1.5607,113.109375,100.8,70.75,0.009786,131.7,992.0,89.325,13335.0,13365.0,1868.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.15,905.5,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.36,340.6
2008-04-04 00:11:00,0.9033,55.2,1.9831,596.5,2276.0,0.993,70.5,1373.0,1.5607,113.109375,100.8,70.75,0.009786,131.7,992.0,89.325,13335.0,13365.0,1868.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.15,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.335,340.6
2008-04-04 00:12:00,0.9033,55.2,1.9831,596.5,2276.0,0.993,70.5,1373.0,1.5608,113.109375,100.8,70.75,0.009787,131.7,992.0,89.325,13335.0,13365.0,1868.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.15,905.6,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.335,340.6
2008-04-04 00:13:00,0.9033,55.2,1.9831,596.5,2276.0,0.993,70.5,1372.75,1.561,113.109375,100.8,70.75,0.009788,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.546875,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.15,905.8,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.35,340.6
2008-04-04 00:14:00,0.9033,55.2,1.9831,596.5,2276.0,0.993,70.5,1372.75,1.561,113.109375,100.8,70.75,0.009787,131.7,992.0,89.325,13335.0,13365.0,1869.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.5625,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.24,905.8,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.35,340.6
2008-04-04 00:15:00,0.9033,55.2,1.9831,596.5,2276.0,0.993,70.5,1372.75,1.5612,113.109375,100.8,70.75,0.009789,131.7,992.0,89.325,13335.0,13365.0,1869.0,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.5625,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.28,905.8,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.35,340.6
2008-04-04 00:16:00,0.9032,55.2,1.9831,596.5,2276.0,0.993,70.5,1372.75,1.561,113.109375,100.8,70.75,0.009789,131.7,992.0,89.325,13335.0,13365.0,1868.25,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.484375,117.5625,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.34,905.8,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.35,340.6
2008-04-04 00:17:00,0.9032,55.2,1.9831,596.5,2276.0,0.993,70.5,1372.75,1.561,113.109375,100.8,70.75,0.009789,131.7,992.0,89.325,13335.0,13365.0,1867.75,607.7,715.5,1259.0,11.84,0.9887,334.6,106.890625,117.46875,117.546875,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.34,905.7,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.36,340.6
2008-04-04 00:18:00,0.9033,55.2,1.9831,596.5,2276.0,0.993,70.5,1372.75,1.5609,113.109375,100.8,70.75,0.009788,131.7,992.0,89.325,13335.0,13365.0,1868.0,607.7,715.5,1259.0,11.84,0.9886,335.3,106.890625,117.484375,117.546875,935.75,12630.0,115.21,109.815,90.68,104.2,103.0,3716.0,104.295,29455.0,27289.0,103.09,1296.0,104.34,906.1,3.886,2.9355,9.392999999999999,1993.0,2.7272,17.36,340.6
