,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IRB#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-10-03 00:01:00,0.7762,42.77,1.7677,456.5,2447.0,0.929,58.86,1130.0,1.3854,113.53906200000002,100.9,61.25,0.009581999999999999,125.55,673.0,98.05,10985.0,11020.0,1516.75,430.8,640.0,1002.0,13.31,0.8866,273.6,107.359375,115.671875,119.53125,33.82,637.5,10590.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.08,844.7,2.6495,2.7048,7.42,970.5,2.23,11.165,368.3
2008-10-03 00:02:00,0.7762,42.77,1.7677,456.5,2447.0,0.929,58.86,1130.25,1.3853,113.53906200000002,100.9,61.25,0.009579,125.55,673.0,98.05,10985.0,11020.0,1516.75,430.8,640.0,1002.0,13.31,0.8866,273.6,107.359375,115.671875,119.53125,33.82,637.5,10590.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.08,844.7,2.6495,2.7048,7.42,970.5,2.23,11.165,368.3
2008-10-03 00:03:00,0.7762,42.77,1.7677,456.5,2447.0,0.929,58.86,1130.5,1.3853,113.53906200000002,100.9,61.25,0.009581000000000001,125.55,673.0,98.05,10985.0,11020.0,1516.75,430.8,640.0,1002.0,13.31,0.8866,273.6,107.359375,115.671875,119.546875,33.82,637.5,10592.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.11,844.9,2.6495,2.7048,7.42,970.5,2.23,11.17,368.3
2008-10-03 00:04:00,0.7761,42.77,1.7677,456.5,2447.0,0.929,58.86,1130.0,1.3855,113.53906200000002,100.9,61.25,0.009584,125.55,673.0,98.05,10985.0,11020.0,1516.75,430.8,640.0,1002.0,13.31,0.8866,273.6,107.359375,115.671875,119.546875,33.82,637.5,10592.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.08,844.9,2.6495,2.7048,7.42,970.5,2.23,11.185,368.3
2008-10-03 00:05:00,0.7763,42.77,1.7677,456.5,2447.0,0.929,58.86,1130.0,1.3861,113.546875,100.9,61.25,0.009584,125.55,673.0,98.05,10985.0,11020.0,1516.0,430.8,640.0,1002.5,13.31,0.8864,273.6,107.359375,115.671875,119.546875,33.82,637.5,10586.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.08,844.5,2.6495,2.7048,7.42,970.5,2.23,11.185,368.3
2008-10-03 00:06:00,0.7763,42.77,1.7677,456.5,2447.0,0.929,58.86,1129.25,1.386,113.546875,100.9,61.25,0.009584,125.55,673.0,98.05,10985.0,11020.0,1515.5,430.8,640.0,1002.5,13.31,0.8864,273.6,107.359375,115.6875,119.546875,33.82,637.5,10585.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.08,844.8,2.6495,2.7048,7.42,970.5,2.23,11.185,368.3
2008-10-03 00:07:00,0.7764,42.77,1.7677,456.75,2447.0,0.929,58.86,1129.5,1.386,113.5625,100.9,61.25,0.009585,125.55,673.0,98.05,10985.0,11020.0,1515.5,430.8,640.0,1002.5,13.31,0.8866,273.6,107.359375,115.6875,119.546875,33.82,637.5,10585.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.08,845.2,2.6495,2.7048,7.42,970.5,2.23,11.185,368.3
2008-10-03 00:08:00,0.7763,42.77,1.7677,456.75,2447.0,0.9288,58.86,1130.25,1.3858,113.55468700000002,100.9,61.25,0.009585,125.55,673.0,98.05,10985.0,11020.0,1515.5,430.8,640.0,1002.5,13.31,0.8868,273.6,107.359375,115.671875,119.546875,33.82,637.5,10585.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.11,845.0,2.6495,2.7048,7.42,970.5,2.23,11.185,368.3
2008-10-03 00:09:00,0.7762,42.77,1.7677,456.75,2447.0,0.9287,58.86,1130.0,1.3864,113.55468700000002,100.9,61.25,0.009584,125.55,673.0,98.05,10985.0,11020.0,1515.5,430.8,640.0,1002.5,13.31,0.8867,273.6,107.359375,115.671875,119.53125,33.82,637.5,10585.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.11,845.5,2.6495,2.7048,7.42,970.5,2.23,11.185,368.3
2008-10-03 00:10:00,0.7767,42.83,1.7677,456.75,2447.0,0.9289,58.86,1130.0,1.3871,113.55468700000002,100.9,61.25,0.009583,125.55,673.0,98.05,10985.0,11020.0,1515.5,430.8,640.0,1002.5,13.31,0.8867,273.6,107.359375,115.671875,119.53125,33.82,637.5,10591.0,115.72,110.435,92.02,93.1,89.87,3029.0,104.735,22295.0,90.82,1430.0,93.11,846.5,2.6495,2.7048,7.42,970.5,2.23,11.175,368.3
