,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-12-05 00:01:00,0.6438,29.16,1.4664,329.75,2226.0,0.7825,42.99,847.25,1.2745,118.515625,87.8,63.325,0.010829,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8336,242.4,108.25,124.046875,133.6875,61.5,482.25,8404.0,124.26,115.19,106.6,44.01,42.53,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.0,766.4,1.4575,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:02:00,0.6439,29.16,1.4664,329.75,2226.0,0.7825,42.99,847.75,1.275,118.515625,87.8,63.325,0.010831,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8336,242.4,108.25,124.046875,133.6875,61.5,482.25,8405.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.02,766.4,1.4575,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:03:00,0.6439,29.16,1.4664,329.75,2226.0,0.7825,42.99,848.5,1.275,118.515625,87.8,63.325,0.010828,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8336,242.4,108.25,124.03125,133.6875,61.5,482.25,8413.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.02,766.4,1.4585,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:04:00,0.644,29.16,1.4663,329.75,2226.0,0.7825,42.99,849.25,1.2755,118.515625,87.8,63.325,0.010826,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8342,242.4,108.25,124.015625,133.703125,61.5,482.25,8423.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.02,767.0,1.4585,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:05:00,0.644,29.16,1.4662,329.75,2226.0,0.7826,42.99,848.5,1.2751,118.515625,87.8,63.325,0.010829,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8336,242.4,108.25,124.015625,133.703125,61.5,482.25,8420.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.02,767.1,1.4585,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:06:00,0.644,29.16,1.4662,329.75,2226.0,0.7826,42.99,848.25,1.2756,118.515625,87.8,63.325,0.010827,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8339,242.4,108.25,124.015625,133.703125,61.5,482.25,8415.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.03,767.0,1.4585,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:07:00,0.644,29.16,1.466,329.75,2226.0,0.7827,42.99,848.25,1.2757,118.515625,87.8,63.325,0.010828,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8337,242.4,108.25,124.015625,133.703125,61.5,482.25,8415.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.04,766.9,1.4585,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:08:00,0.644,29.16,1.4656,329.75,2226.0,0.7827,42.99,848.25,1.2758,118.52343700000002,87.8,63.325,0.010828,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,802.5,10.82,0.8336,242.4,108.25,124.015625,133.703125,61.5,482.25,8414.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.04,767.0,1.4585,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:09:00,0.644,29.16,1.4656,329.75,2226.0,0.7825,42.99,848.0,1.2756,118.52343700000002,87.8,63.325,0.010831,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,803.0,10.82,0.834,242.4,108.25,124.015625,133.703125,61.5,482.25,8413.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.04,766.9,1.461,1.5137,5.916,803.1,0.98,9.54,305.6
2008-12-05 00:10:00,0.644,29.16,1.4657,329.75,2226.0,0.7822,42.99,848.0,1.2749,118.52343700000002,87.8,63.325,0.010832,106.8,510.0,82.75,7830.0,8025.0,1137.75,353.3,441.3,803.0,10.82,0.8335,242.4,108.25,124.015625,133.71875,61.5,482.25,8412.0,124.26,115.19,106.6,44.01,42.6,2337.0,107.06,14448.0,9535.0,41.94,1744.0,44.02,766.5,1.461,1.5137,5.916,803.1,0.98,9.54,305.6
