,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-02-06 00:01:00,0.6505,33.25,1.4599,373.5,2800.0,0.8092,49.6,839.75,1.278,118.0,94.25,60.35,0.011013,120.85,592.25,86.575,8115.0,8130.0,1234.75,430.4,450.9,993.25,12.97,0.8532,310.5,108.796875,122.40625,126.859375,42.55,563.5,7989.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.75,913.0,1.535,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:02:00,0.6505,33.25,1.4609,373.5,2800.0,0.8092,49.6,839.75,1.278,118.0,94.25,60.35,0.011013,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8532,310.5,108.796875,122.40625,126.859375,42.55,563.5,7989.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.6,913.1,1.535,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:03:00,0.6505,33.25,1.4608,373.5,2800.0,0.8092,49.6,839.75,1.2782,118.0,94.25,60.35,0.011013,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8532,310.5,108.796875,122.40625,126.859375,42.55,563.5,7989.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.61,913.2,1.535,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:04:00,0.6505,33.25,1.4611,373.5,2800.0,0.8092,49.6,839.75,1.2781,118.0,94.25,60.35,0.011011,120.85,592.25,86.575,8115.0,8130.0,1235.25,430.4,450.9,993.25,12.97,0.8532,310.5,108.796875,122.375,126.859375,42.55,563.5,7991.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.65,913.3,1.535,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:05:00,0.6505,33.25,1.461,373.5,2800.0,0.8092,49.6,840.5,1.2781,118.0,94.25,60.35,0.011011,120.85,592.25,86.575,8115.0,8130.0,1235.5,430.4,450.9,993.25,12.97,0.8532,310.5,108.796875,122.375,126.859375,42.55,563.5,7995.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.64,913.3,1.5355,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:06:00,0.6505,33.25,1.4604,373.75,2800.0,0.8092,49.6,840.5,1.2781,118.0,94.25,60.35,0.011009999999999999,120.85,592.25,86.575,8115.0,8130.0,1235.25,430.4,450.9,993.25,12.97,0.8532,310.5,108.796875,122.359375,126.859375,42.55,563.5,7993.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.64,913.4,1.5355,1.3654,4.658,982.5,1.2634,12.82,385.5
2009-02-06 00:07:00,0.6505,33.25,1.4605,373.75,2800.0,0.8092,49.6,840.0,1.2786,118.0,94.25,60.35,0.011008,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8537,310.5,108.796875,122.375,126.859375,42.55,563.5,7993.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.64,913.4,1.5365,1.3654,4.658,982.5,1.2634,12.82,385.5
2009-02-06 00:08:00,0.6505,33.25,1.4612,374.0,2800.0,0.8092,49.6,840.0,1.279,118.0,94.25,60.35,0.011004,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8537,310.5,108.796875,122.375,126.859375,42.55,563.5,7993.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.64,913.4,1.5365,1.3654,4.658,982.5,1.2634,12.82,385.5
2009-02-06 00:09:00,0.6505,33.25,1.4617,374.0,2800.0,0.8089,49.6,840.0,1.2789,118.0,94.25,60.35,0.011008,120.85,592.25,86.575,8115.0,8130.0,1235.5,430.4,450.9,993.25,12.97,0.8537,310.5,108.796875,122.375,126.859375,42.55,563.5,7991.0,122.39,116.19,97.58,40.65,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.68,913.4,1.5365,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:10:00,0.6506,33.25,1.4617,373.5,2800.0,0.8089,49.6,840.0,1.2788,118.0,94.25,60.35,0.011009999999999999,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8537,310.5,108.796875,122.375,126.859375,42.55,563.5,7989.0,122.39,116.19,97.58,40.73,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.72,913.7,1.5365,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:11:00,0.6514,33.25,1.4622,373.5,2800.0,0.8089,49.6,839.75,1.2787,118.0,94.25,60.35,0.011001,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.375,126.859375,42.55,563.5,7989.0,122.39,116.19,97.58,40.73,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.72,913.7,1.5365,1.3654,4.658,982.5,1.2634,12.825,385.5
2009-02-06 00:12:00,0.6514,33.25,1.4622,373.5,2800.0,0.8088,49.6,840.25,1.2786,118.0,94.25,60.35,0.011002,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8534,310.5,108.796875,122.375,126.859375,42.55,563.5,7989.0,122.39,116.19,97.58,40.73,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.72,913.6,1.5365,1.3654,4.658,982.5,1.2634,12.835,385.5
2009-02-06 00:13:00,0.6512,33.25,1.4622,373.5,2800.0,0.8088,49.6,840.0,1.2789,118.0,94.25,60.35,0.010995999999999999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8534,310.5,108.796875,122.375,126.828125,42.55,563.5,7991.0,122.39,116.19,97.58,40.73,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.74,913.3,1.536,1.3654,4.658,982.5,1.2634,12.845,385.5
2009-02-06 00:14:00,0.6522,33.25,1.4621,373.5,2800.0,0.8091,49.6,840.5,1.2788,118.0,94.25,60.35,0.010995999999999999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8534,310.5,108.796875,122.359375,126.796875,42.55,563.5,7993.0,122.39,116.19,97.58,40.73,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.74,913.3,1.5365,1.3654,4.658,982.5,1.2634,12.84,385.5
2009-02-06 00:15:00,0.6521,33.25,1.4619,374.0,2800.0,0.8091,49.6,840.5,1.2789,118.0,94.25,60.35,0.010998,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8534,310.5,108.796875,122.359375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.76,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.76,913.4,1.5365,1.3654,4.658,982.5,1.2634,12.84,385.5
2009-02-06 00:16:00,0.6521,33.25,1.4619,374.0,2800.0,0.8099,49.6,840.5,1.2789,118.0,94.25,60.35,0.010995999999999999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.76,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.76,913.8,1.5365,1.3654,4.658,982.5,1.2634,12.835,385.5
2009-02-06 00:17:00,0.6523,33.25,1.4624,374.0,2800.0,0.8099,49.6,840.5,1.2788,118.0,94.25,60.35,0.010997,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.76,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.79,913.8,1.5365,1.3654,4.658,982.8,1.2634,12.835,385.5
2009-02-06 00:18:00,0.6524,33.25,1.4624,374.0,2800.0,0.8099,49.6,840.25,1.2791,118.0,94.25,60.35,0.010999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.78,913.9,1.5365,1.3654,4.658,982.8,1.2634,12.835,385.5
2009-02-06 00:19:00,0.6527,33.25,1.4625,374.0,2800.0,0.809,49.6,840.25,1.2791,118.0,94.25,60.35,0.010999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.79,913.5,1.5365,1.3654,4.658,982.8,1.2634,12.835,385.5
2009-02-06 00:20:00,0.653,33.25,1.4625,374.25,2800.0,0.8088,49.6,840.5,1.2791,118.0,94.25,60.35,0.010999,120.85,592.25,86.575,8115.0,8130.0,1235.75,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.76,913.8,1.5365,1.3654,4.658,982.8,1.2634,12.84,385.5
2009-02-06 00:21:00,0.6525,33.25,1.4625,374.25,2800.0,0.8095,49.6,840.5,1.2791,118.0,94.25,60.35,0.010999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.375,126.796875,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.76,913.9,1.5365,1.3654,4.658,982.8,1.2634,12.84,385.5
2009-02-06 00:22:00,0.6524,33.25,1.4623,374.25,2800.0,0.8095,49.6,840.5,1.2787,118.00781200000002,94.25,60.35,0.010997,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.75,913.7,1.537,1.3654,4.658,982.8,1.2634,12.84,385.5
2009-02-06 00:23:00,0.6524,33.25,1.4623,374.0,2800.0,0.8095,49.6,840.5,1.2787,118.00781200000002,94.25,60.35,0.010995999999999999,120.85,592.25,86.575,8115.0,8130.0,1236.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.72,913.7,1.537,1.3654,4.658,982.8,1.2634,12.84,385.5
2009-02-06 00:24:00,0.6524,33.25,1.4622,374.0,2800.0,0.8095,49.6,840.25,1.2788,118.00781200000002,94.25,60.35,0.010995999999999999,120.85,592.25,86.575,8115.0,8130.0,1235.5,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.74,913.8,1.536,1.3654,4.658,982.8,1.2634,12.84,385.5
2009-02-06 00:25:00,0.6523,33.25,1.4631,374.0,2800.0,0.8095,49.6,840.5,1.279,118.00781200000002,94.25,60.35,0.010999,120.85,592.25,86.575,8115.0,8130.0,1235.5,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7995.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.74,913.9,1.5355,1.3654,4.658,982.8,1.2634,12.84,385.5
2009-02-06 00:26:00,0.6523,33.25,1.4629,374.25,2800.0,0.8095,49.6,840.0,1.2788,118.00781200000002,94.25,60.35,0.010998,120.85,592.25,86.575,8115.0,8130.0,1235.25,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7991.0,122.39,116.19,97.58,40.78,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.74,913.9,1.5365,1.3654,4.664,982.8,1.2634,12.835,385.5
2009-02-06 00:27:00,0.6523,33.25,1.4629,374.5,2800.0,0.8095,49.6,839.75,1.2788,118.00781200000002,94.25,60.35,0.010998,120.85,592.25,86.575,8115.0,8130.0,1235.0,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7989.0,122.39,116.19,97.58,40.79,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.79,913.9,1.538,1.3654,4.664,982.8,1.2634,12.845,385.5
2009-02-06 00:28:00,0.6523,33.25,1.4628,374.5,2800.0,0.8095,49.6,839.75,1.2788,118.00781200000002,94.25,60.35,0.010995999999999999,120.85,592.25,86.575,8115.0,8130.0,1235.25,430.4,450.9,993.25,12.97,0.8535,310.5,108.796875,122.359375,126.8125,42.55,563.5,7989.0,122.39,116.19,97.58,40.79,46.43,2299.0,108.065,13319.0,12530.0,1660.0,44.82,1974.0,40.79,914.0,1.54,1.3654,4.664,983.0,1.2634,12.855,385.5
