,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-03-06 00:01:00,0.6425,30.75,1.4182,360.0,2270.0,0.7781,42.23,685.0,1.2581,117.390625,92.825,61.75,0.01018,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.1,854.0,12.85,0.8597,262.7,108.57031200000002,121.75,126.859375,47.0,515.75,6618.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.94,936.2,1.6565,1.1791,4.114,1074.9,1.3271,13.295,384.2
2009-03-06 00:02:00,0.6425,30.75,1.4177,360.0,2270.0,0.7785,42.23,684.75,1.2581,117.390625,92.825,61.75,0.01018,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.1,854.0,12.85,0.8597,262.7,108.57031200000002,121.75,126.859375,47.0,515.75,6619.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.96,936.2,1.6565,1.1791,4.114,1074.9,1.3271,13.295,384.2
2009-03-06 00:03:00,0.6425,30.75,1.4182,360.0,2270.0,0.7785,42.23,684.5,1.2581,117.390625,92.825,61.75,0.010182,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.1,854.0,12.85,0.8597,262.7,108.57031200000002,121.75,126.859375,47.0,515.75,6615.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.96,936.2,1.6565,1.1791,4.114,1074.9,1.3271,13.295,384.2
2009-03-06 00:04:00,0.6428,30.75,1.4182,360.0,2270.0,0.7785,42.23,684.5,1.2581,117.390625,92.825,61.75,0.010182,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.1,854.0,12.85,0.8597,262.7,108.57031200000002,121.734375,126.84375,47.0,515.75,6615.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.94,936.2,1.6565,1.1791,4.114,1074.9,1.3271,13.295,384.2
2009-03-06 00:05:00,0.6428,30.75,1.4182,360.0,2270.0,0.7776,42.23,684.0,1.258,117.390625,92.825,61.75,0.010183,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.1,854.0,12.85,0.8597,262.7,108.57031200000002,121.734375,126.84375,47.0,515.75,6612.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.94,936.3,1.6565,1.1791,4.114,1074.9,1.3271,13.295,384.2
2009-03-06 00:06:00,0.6428,30.75,1.4182,360.0,2270.0,0.7786,42.23,684.25,1.258,117.390625,92.825,61.75,0.010185,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.1,854.0,12.85,0.8597,262.7,108.57031200000002,121.75,126.84375,47.0,516.0,6613.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.92,936.3,1.6575,1.1791,4.114,1074.9,1.3271,13.295,384.2
2009-03-06 00:07:00,0.6428,30.75,1.4184,360.0,2270.0,0.7785,42.23,684.25,1.258,117.375,92.825,61.75,0.010189,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.3,854.0,12.85,0.8597,262.7,108.57031200000002,121.734375,126.84375,47.0,516.0,6613.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.92,936.3,1.6575,1.1791,4.114,1074.9,1.3271,13.29,384.2
2009-03-06 00:08:00,0.6428,30.75,1.4182,360.0,2270.0,0.7785,42.23,684.25,1.2582,117.38281200000002,92.825,61.75,0.010189,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.3,854.0,12.85,0.8597,262.7,108.57031200000002,121.734375,126.828125,47.0,516.0,6613.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.9,936.3,1.6575,1.1791,4.114,1074.9,1.3271,13.285,384.2
2009-03-06 00:09:00,0.6428,30.75,1.4182,360.0,2270.0,0.7785,42.23,684.25,1.2582,117.38281200000002,92.825,61.75,0.010189,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.3,854.0,12.85,0.8597,262.7,108.57031200000002,121.734375,126.8125,47.0,516.0,6610.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.9,936.1,1.6575,1.1791,4.114,1074.9,1.3271,13.28,384.2
2009-03-06 00:10:00,0.6425,30.75,1.418,360.5,2270.0,0.7785,42.23,684.25,1.2581,117.375,92.825,61.75,0.010189,108.35,560.0,83.7,7130.0,7190.0,1080.0,351.3,854.0,12.85,0.8597,262.7,108.57031200000002,121.71875,126.8125,47.0,516.0,6610.0,124.44,116.875,100.6,43.86,44.1,1853.0,108.37,11880.0,13319.0,1525.0,44.09,1779.0,43.86,936.0,1.6575,1.1791,4.114,1074.9,1.3271,13.28,384.2
