,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-04-03 00:01:00,112.578125,0.7123,35.3,1.4728,401.0,2699.0,0.8067,46.09,835.0,1.3443,118.25781200000002,95.75,72.875,0.010042,117.1,591.0,83.225,8850.0,8860.0,1300.5,429.0,450.1,978.0,12.98,0.8822,300.1,108.71093700000002,123.359375,129.125,42.65,559.25,7945.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.92,906.8,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:02:00,112.578125,0.7123,35.3,1.4728,401.0,2699.0,0.8067,46.09,835.25,1.3443,118.25,95.75,72.875,0.010042,117.1,591.0,83.225,8850.0,8860.0,1302.5,429.0,450.1,978.0,12.98,0.8822,300.1,108.71093700000002,123.359375,129.125,42.65,559.25,7946.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.92,906.8,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:03:00,112.578125,0.7121,35.3,1.4728,401.0,2699.0,0.8067,46.09,835.25,1.3443,118.25,95.75,72.875,0.010042,117.1,591.0,83.225,8850.0,8860.0,1301.75,429.0,450.1,978.0,12.98,0.8822,300.1,108.71093700000002,123.359375,129.109375,42.65,559.25,7946.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.92,906.7,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:04:00,112.578125,0.7121,35.3,1.473,401.0,2699.0,0.8067,46.09,834.75,1.3449,118.25,95.75,72.875,0.010039,117.1,591.0,83.225,8850.0,8860.0,1301.25,429.0,450.1,978.0,12.98,0.8826,300.1,108.71093700000002,123.359375,129.109375,42.65,559.25,7942.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.93,906.9,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:05:00,112.578125,0.7121,35.3,1.4728,401.0,2699.0,0.8067,46.09,834.5,1.3448,118.25,95.75,72.875,0.010042,117.1,591.0,83.225,8850.0,8860.0,1299.75,429.0,450.1,978.0,12.98,0.8828,300.1,108.71093700000002,123.34375,129.09375,42.65,559.25,7938.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.93,906.6,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:06:00,112.578125,0.7121,35.3,1.4725,401.0,2699.0,0.8067,46.09,834.25,1.3442,118.25,95.75,72.875,0.010043,117.1,591.0,83.225,8850.0,8860.0,1300.0,429.0,450.1,978.0,12.98,0.8824,300.1,108.71093700000002,123.34375,129.09375,42.65,559.25,7935.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.92,906.9,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:07:00,112.578125,0.7121,35.3,1.4726,401.0,2699.0,0.8067,46.09,834.25,1.3445,118.25,95.75,72.875,0.010042,117.1,591.0,83.225,8850.0,8860.0,1300.5,429.0,450.1,978.0,12.98,0.8824,300.1,108.71093700000002,123.34375,129.09375,42.65,559.25,7943.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.93,906.9,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:08:00,112.578125,0.7121,35.3,1.4726,401.0,2699.0,0.8067,46.09,834.0,1.3447,118.24218700000002,95.75,72.875,0.010038,117.1,591.0,83.225,8850.0,8860.0,1299.5,429.0,450.1,978.0,12.98,0.8821,300.1,108.71093700000002,123.34375,129.09375,42.65,559.25,7938.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.93,906.9,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:09:00,112.578125,0.7121,35.3,1.4726,401.0,2699.0,0.8067,46.09,834.25,1.3447,118.25,95.75,72.875,0.010037,117.1,591.0,83.225,8850.0,8860.0,1299.75,429.0,450.1,978.0,12.98,0.8825,300.1,108.71093700000002,123.34375,129.09375,42.65,559.25,7938.0,122.62,115.465,96.46,51.89,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.93,907.1,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
2009-04-03 00:10:00,112.578125,0.7121,35.3,1.4726,400.5,2699.0,0.8067,46.09,834.5,1.3446,118.24218700000002,95.75,72.875,0.010037,117.1,591.0,83.225,8850.0,8860.0,1300.0,429.0,450.1,978.0,12.98,0.8825,300.1,108.71093700000002,123.34375,129.09375,42.65,559.25,7938.0,122.62,115.465,96.46,51.88,52.1,2138.0,107.815,1.4189,1.4901,1556.0,52.29,1937.0,51.9,907.1,1.88,1.4239,3.806,1153.0,1.4525,12.945,402.3
