,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-05-08 00:01:00,112.25,0.7508,38.9,1.5003,412.0,2444.0,0.8541,58.79,914.5,1.3371,116.53125,99.15,67.425,0.010097,124.4,611.25,82.35,9485.0,9490.0,1399.5,498.8,1111.25,15.47,0.8843,345.4,108.63281200000002,120.109375,120.25,32.9,590.0,8444.0,120.61,115.285,94.3,57.3,57.37,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.32,913.4,2.1505,1.5022,4.147,1154.0,1.6945,13.81,449.0
2009-05-08 00:02:00,112.25,0.7508,38.9,1.5003,412.0,2444.0,0.8541,58.79,914.0,1.3369,116.53125,99.15,67.425,0.010097,124.4,611.25,82.35,9485.0,9490.0,1399.5,498.8,1111.25,15.47,0.8842,345.4,108.63281200000002,120.109375,120.25,32.9,590.0,8444.0,120.61,115.285,94.3,57.3,57.37,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.3,913.4,2.1505,1.5022,4.147,1154.0,1.6945,13.795,449.0
2009-05-08 00:03:00,112.25,0.7505,38.9,1.5003,412.0,2444.0,0.8541,58.79,914.25,1.3366,116.53125,99.15,67.425,0.0101,124.4,611.25,82.35,9485.0,9490.0,1399.25,498.8,1111.25,15.47,0.8841,345.4,108.63281200000002,120.109375,120.25,32.9,590.0,8444.0,120.61,115.285,94.3,57.3,57.37,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.3,913.9,2.1505,1.5022,4.147,1154.0,1.6945,13.795,449.0
2009-05-08 00:04:00,112.25,0.7505,38.9,1.5002,412.25,2444.0,0.8541,58.79,914.25,1.3367,116.53125,99.15,67.425,0.010099,124.4,611.25,82.35,9485.0,9490.0,1399.25,498.8,1111.25,15.47,0.8843,345.4,108.625,120.109375,120.25,32.9,590.0,8443.0,120.61,115.285,94.3,57.3,57.37,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.3,913.9,2.1505,1.5022,4.147,1154.0,1.6945,13.795,449.0
2009-05-08 00:05:00,112.25,0.7505,38.9,1.5002,412.25,2444.0,0.8541,58.79,913.75,1.3366,116.53125,99.15,67.425,0.010101,124.4,611.25,82.35,9485.0,9490.0,1398.75,498.2,1111.25,15.47,0.8843,345.4,108.625,120.109375,120.25,32.9,590.0,8440.0,120.61,115.285,94.3,57.3,57.37,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.3,913.9,2.1505,1.5022,4.147,1154.0,1.6945,13.795,449.0
2009-05-08 00:06:00,112.25,0.7505,38.9,1.5002,412.25,2444.0,0.8539,58.79,914.0,1.3367,116.53125,99.15,67.425,0.010101,124.4,611.25,82.35,9485.0,9490.0,1398.75,498.2,1111.25,15.47,0.8842,345.4,108.625,120.109375,120.25,32.9,590.0,8441.0,120.61,115.285,94.3,57.3,57.37,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.3,913.6,2.1589,1.5022,4.147,1154.0,1.6945,13.8,449.0
2009-05-08 00:07:00,112.25,0.7505,38.9,1.5002,412.0,2444.0,0.854,58.79,914.0,1.3367,116.53125,99.15,67.425,0.010101,124.4,611.25,82.35,9485.0,9490.0,1398.75,498.2,1111.25,15.47,0.884,345.4,108.625,120.109375,120.25,32.9,590.0,8441.0,120.61,115.285,94.3,57.3,57.39,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.33,913.6,2.1589,1.5022,4.147,1154.0,1.6945,13.8,449.0
2009-05-08 00:08:00,112.25,0.7505,38.9,1.5002,412.0,2444.0,0.854,58.79,914.0,1.3366,116.53125,99.15,67.425,0.010103000000000001,124.4,611.25,82.35,9485.0,9490.0,1398.75,498.2,1111.25,15.47,0.884,345.4,108.625,120.109375,120.25,32.9,590.0,8441.0,120.61,115.285,94.3,57.3,57.39,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.34,913.5,2.1589,1.5022,4.158,1154.0,1.6945,13.8,449.0
2009-05-08 00:09:00,112.25,0.7504,38.9,1.5002,412.0,2444.0,0.854,58.79,914.0,1.3365,116.53125,99.15,67.425,0.010102,124.4,611.25,82.35,9485.0,9490.0,1398.75,498.2,1111.25,15.47,0.8841,345.4,108.625,120.09375,120.234375,32.9,590.0,8440.0,120.61,115.285,94.3,57.3,57.39,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.34,913.5,2.1589,1.5022,4.17,1154.0,1.6945,13.8,449.0
2009-05-08 00:10:00,112.25,0.7507,38.9,1.4996,412.0,2444.0,0.854,58.79,914.0,1.3367,116.52343700000002,99.15,67.425,0.010101,124.4,611.25,82.35,9485.0,9490.0,1399.0,498.2,1111.25,15.47,0.8841,345.4,108.625,120.09375,120.234375,32.9,590.0,8444.0,120.61,115.285,94.3,57.3,57.39,2404.0,108.035,1.512,1.6905,1460.0,57.55,1810.0,57.35,913.5,2.1589,1.5022,4.17,1154.0,1.6945,13.8,449.0
