,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-07-02 00:01:00,111.52343700000002,0.801,35.24,1.6465,355.0,2486.0,0.8708,60.75,917.0,1.411,114.97656200000002,103.55,61.225,0.010362,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9296,382.2,108.22656200000002,116.296875,118.375,28.25,537.5,8430.0,120.93,115.46,94.82,69.04,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.03,938.8,2.3185,1.7587,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:02:00,111.52343700000002,0.801,35.24,1.6463,355.0,2486.0,0.8708,60.75,917.0,1.4109,114.97656200000002,103.55,61.225,0.010362999999999999,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9296,382.2,108.22656200000002,116.296875,118.390625,28.25,537.5,8430.0,120.93,115.46,94.82,69.04,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.05,938.8,2.3185,1.7587,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:03:00,111.52343700000002,0.8011,35.24,1.6463,355.0,2486.0,0.8708,60.75,917.0,1.4109,114.97656200000002,103.55,61.225,0.010361,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9296,382.2,108.22656200000002,116.296875,118.390625,28.25,537.5,8428.0,120.93,115.46,94.82,69.08,68.56,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.09,939.2,2.319,1.7587,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:04:00,111.52343700000002,0.8011,35.24,1.6465,355.0,2486.0,0.8708,60.75,917.0,1.4112,114.97656200000002,103.55,61.225,0.010361,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9296,382.2,108.22656200000002,116.296875,118.390625,28.25,537.5,8428.0,120.93,115.46,94.82,69.08,68.55,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.09,939.0,2.319,1.7587,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:05:00,111.52343700000002,0.801,35.24,1.6467,355.0,2486.0,0.8708,60.75,917.0,1.4114,114.97656200000002,103.55,61.225,0.010362,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9297,382.2,108.22656200000002,116.3125,118.390625,28.25,537.5,8428.0,120.93,115.46,94.82,69.08,68.56,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.11,939.0,2.319,1.7584,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:06:00,111.52343700000002,0.8011,35.24,1.6467,355.0,2486.0,0.8708,60.75,916.75,1.4115,114.97656200000002,103.55,61.225,0.010362,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9297,382.2,108.22656200000002,116.3125,118.390625,28.25,537.5,8428.0,120.93,115.46,94.82,69.13,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.12,939.0,2.319,1.7585,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:07:00,111.52343700000002,0.8011,35.24,1.6467,355.0,2486.0,0.8708,60.75,917.0,1.4114,114.97656200000002,103.55,61.225,0.010361,118.8,576.25,85.325,9850.0,9900.0,1475.25,456.6,512.9,1158.5,17.72,0.9297,382.2,108.22656200000002,116.3125,118.375,28.25,537.5,8428.0,120.93,115.46,94.82,69.13,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.13,939.0,2.319,1.7581,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:08:00,111.52343700000002,0.8011,35.24,1.6467,355.0,2486.0,0.8708,60.75,917.0,1.4113,114.97656200000002,103.55,61.225,0.010361,118.8,576.25,85.325,9850.0,9900.0,1475.5,456.6,512.9,1158.5,17.72,0.9297,382.2,108.22656200000002,116.3125,118.375,28.25,537.5,8428.0,120.93,115.46,94.82,69.13,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.14,938.9,2.319,1.7581,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:09:00,111.52343700000002,0.8011,35.24,1.6467,354.75,2486.0,0.8708,60.75,916.75,1.411,114.984375,103.55,61.225,0.010362999999999999,118.8,576.25,85.325,9850.0,9900.0,1475.5,456.6,512.9,1158.5,17.72,0.9297,382.2,108.22656200000002,116.3125,118.40625,28.25,537.5,8428.0,120.93,115.46,94.82,69.13,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.14,938.9,2.319,1.7581,3.787,1192.0,1.851,13.71,460.7
2009-07-02 00:10:00,111.52343700000002,0.8008,35.24,1.6457,354.75,2486.0,0.8707,60.75,917.0,1.4109,114.984375,103.55,61.225,0.010364,118.8,576.25,85.325,9850.0,9900.0,1475.5,456.6,512.9,1158.5,17.72,0.9297,382.2,108.22656200000002,116.3125,118.390625,28.25,537.5,8428.0,120.93,115.46,94.82,69.13,68.58,2423.0,107.95,1.7091,1292.0,67.75,1571.0,69.12,938.9,2.319,1.7581,3.787,1192.0,1.851,13.71,460.7
