,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-09-04 00:01:00,112.74218700000002,0.8396,33.95,1.6327,315.0,2933.0,0.9072,59.4,1001.0,1.4254,115.6875,98.4,49.8,0.010799,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9413,291.5,108.30468700000002,117.5625,120.46875,28.95,474.75,9319.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.18,991.2,2.879,1.741,2.501,1263.0,1.7962,16.075,555.6
2009-09-04 00:02:00,112.74218700000002,0.8398,33.95,1.6328,315.0,2933.0,0.9073,59.4,1001.0,1.4254,115.6875,98.4,49.8,0.010797,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9413,291.5,108.30468700000002,117.546875,120.46875,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.18,991.2,2.879,1.741,2.501,1263.0,1.7962,16.075,555.6
2009-09-04 00:03:00,112.74218700000002,0.8398,33.95,1.6327,315.0,2933.0,0.9073,59.4,1001.0,1.4253,115.6875,98.4,49.8,0.010797,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9413,291.5,108.30468700000002,117.546875,120.46875,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.2,991.0,2.879,1.741,2.501,1263.0,1.7962,16.075,555.6
2009-09-04 00:04:00,112.74218700000002,0.8398,33.95,1.6327,315.0,2933.0,0.9073,59.4,1001.0,1.4254,115.67968700000002,98.4,49.8,0.010796,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9413,291.5,108.30468700000002,117.546875,120.46875,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.21,991.0,2.879,1.741,2.501,1263.0,1.7962,16.075,555.6
2009-09-04 00:05:00,112.74218700000002,0.8398,33.95,1.6327,315.0,2933.0,0.9073,59.4,1000.75,1.4254,115.671875,98.4,49.8,0.010797,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.30468700000002,117.53125,120.4375,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.21,991.1,2.879,1.741,2.501,1263.0,1.7962,16.075,555.6
2009-09-04 00:06:00,112.74218700000002,0.8395,33.95,1.6327,315.0,2933.0,0.9073,59.4,1000.75,1.4254,115.671875,98.4,49.8,0.010796,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.30468700000002,117.53125,120.4375,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.21,991.0,2.8785,1.741,2.501,1263.0,1.7962,16.059,555.6
2009-09-04 00:07:00,112.74218700000002,0.8394,33.95,1.6328,315.0,2933.0,0.9073,59.4,1000.5,1.4254,115.671875,98.4,49.8,0.010797,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.30468700000002,117.53125,120.4375,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.21,991.0,2.878,1.741,2.501,1263.0,1.7962,16.059,555.6
2009-09-04 00:08:00,112.74218700000002,0.8395,33.95,1.6328,315.0,2933.0,0.9072,59.4,1000.5,1.4253,115.671875,98.4,49.8,0.010796,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.30468700000002,117.53125,120.4375,28.95,474.75,9322.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.0,2.878,1.741,2.501,1263.0,1.7962,16.059,555.6
2009-09-04 00:09:00,112.74218700000002,0.8395,33.95,1.6327,315.0,2933.0,0.9072,59.4,1000.5,1.4254,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.1,2.878,1.741,2.504,1263.0,1.7962,16.059,555.6
2009-09-04 00:10:00,112.74218700000002,0.8394,33.95,1.6328,315.0,2933.0,0.9072,59.4,1000.5,1.4252,115.671875,98.4,49.8,0.010797,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.546875,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.1,2.878,1.741,2.504,1263.0,1.7962,16.059,555.6
2009-09-04 00:11:00,112.74218700000002,0.8397,33.95,1.6329,315.0,2933.0,0.9072,59.4,1000.75,1.4254,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.546875,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.1,2.878,1.741,2.504,1263.0,1.7962,16.059,555.6
2009-09-04 00:12:00,112.74218700000002,0.8397,33.95,1.6329,315.0,2933.0,0.9072,59.4,1000.75,1.4254,115.671875,98.4,49.8,0.010796,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.546875,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.1,2.878,1.741,2.504,1263.0,1.7962,16.059,555.6
2009-09-04 00:13:00,112.74218700000002,0.8395,33.95,1.6329,315.0,2933.0,0.9071,59.4,1000.5,1.4254,115.671875,98.4,49.8,0.010796,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.546875,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.2,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,991.1,2.878,1.741,2.504,1263.0,1.7962,16.059,555.6
2009-09-04 00:14:00,112.74218700000002,0.8395,33.95,1.6329,315.0,2933.0,0.9071,59.4,1000.75,1.4253,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,991.2,2.878,1.741,2.505,1263.0,1.7962,16.079,555.6
2009-09-04 00:15:00,112.74218700000002,0.8395,33.95,1.6328,315.0,2933.0,0.9072,59.4,1000.75,1.4251,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9411,291.5,108.296875,117.546875,120.4375,28.95,474.75,9318.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,991.3,2.878,1.741,2.505,1263.0,1.7962,16.079,555.6
2009-09-04 00:16:00,112.74218700000002,0.8394,33.95,1.6328,315.0,2933.0,0.9072,59.4,1000.75,1.4251,115.671875,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.941,291.5,108.296875,117.546875,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,991.2,2.878,1.741,2.505,1263.0,1.7962,16.079,555.6
2009-09-04 00:17:00,112.74218700000002,0.8394,33.95,1.6331,315.0,2933.0,0.9072,59.4,1000.75,1.4252,115.671875,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.941,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.2,991.1,2.878,1.741,2.505,1263.0,1.7962,16.079,555.6
2009-09-04 00:18:00,112.74218700000002,0.8395,33.95,1.6336,315.0,2933.0,0.9072,59.4,1000.75,1.4251,115.671875,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.3,2.878,1.741,2.505,1263.0,1.7962,16.09,555.6
2009-09-04 00:19:00,112.74218700000002,0.8395,33.95,1.6333,315.0,2933.0,0.9072,59.4,1000.5,1.4252,115.671875,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,991.4,2.878,1.741,2.505,1263.0,1.7962,16.09,555.6
2009-09-04 00:20:00,112.74218700000002,0.8394,33.95,1.6332,315.0,2933.0,0.9072,59.4,1000.5,1.4251,115.66406200000002,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9411,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.2,991.4,2.878,1.741,2.505,1263.0,1.7962,16.09,555.6
2009-09-04 00:21:00,112.74218700000002,0.8394,33.95,1.6332,315.0,2933.0,0.9072,59.4,1000.75,1.4252,115.66406200000002,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1603.25,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.2,991.5,2.8745,1.741,2.505,1263.0,1.7962,16.085,555.6
2009-09-04 00:22:00,112.74218700000002,0.8394,33.95,1.6333,315.0,2933.0,0.9072,59.4,1000.75,1.4253,115.66406200000002,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1603.25,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.18,991.4,2.8745,1.741,2.505,1263.0,1.7962,16.085,555.6
2009-09-04 00:23:00,112.74218700000002,0.8394,33.95,1.6333,315.0,2933.0,0.9072,59.4,1001.0,1.4252,115.66406200000002,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1603.75,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9317.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.18,991.4,2.8745,1.741,2.505,1263.0,1.7962,16.085,555.6
2009-09-04 00:24:00,112.74218700000002,0.8394,33.95,1.6331,315.0,2933.0,0.9072,59.4,1000.75,1.4253,115.65625,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9317.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,991.5,2.8745,1.741,2.505,1263.0,1.7962,16.085,555.6
2009-09-04 00:25:00,112.74218700000002,0.8394,33.95,1.6332,315.25,2933.0,0.9072,59.4,1001.0,1.4253,115.65625,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1603.5,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9319.0,122.76,116.65,98.32,68.23,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,991.5,2.874,1.741,2.505,1263.0,1.7962,16.1,555.6
2009-09-04 00:26:00,112.74218700000002,0.8396,33.95,1.6332,315.25,2933.0,0.9072,59.4,1001.0,1.4253,115.65625,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1604.0,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9321.0,122.76,116.65,98.32,68.23,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,991.6,2.8745,1.741,2.505,1263.0,1.7962,16.1,555.6
2009-09-04 00:27:00,112.74218700000002,0.8395,33.95,1.6337,315.25,2933.0,0.9072,59.4,1001.0,1.4255,115.65625,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1604.0,408.3,560.2,937.5,23.22,0.9412,291.5,108.296875,117.53125,120.4375,28.95,474.75,9321.0,122.76,116.65,98.32,68.25,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,991.6,2.8745,1.741,2.505,1263.0,1.7962,16.1,555.6
2009-09-04 00:28:00,112.74218700000002,0.8395,33.95,1.6334,315.25,2933.0,0.9072,59.4,1001.25,1.4255,115.65625,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1604.0,408.3,560.4,937.5,23.22,0.9413,291.5,108.296875,117.53125,120.4375,28.95,474.75,9321.0,122.76,116.65,98.32,68.27,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.26,991.6,2.8745,1.741,2.505,1263.0,1.7962,16.1,555.6
2009-09-04 00:29:00,112.74218700000002,0.8395,33.95,1.6336,315.25,2933.0,0.9072,59.4,1001.5,1.4255,115.65625,98.4,49.8,0.010790000000000001,121.0,494.0,86.5,10230.0,10265.0,1604.5,408.3,560.5,937.5,23.22,0.9413,291.5,108.296875,117.53125,120.4375,28.95,474.75,9325.0,122.76,116.65,98.32,68.27,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,991.7,2.8745,1.741,2.5069999999999997,1263.0,1.7962,16.105,555.6
2009-09-04 00:30:00,112.74218700000002,0.8394,33.95,1.6336,315.25,2933.0,0.9071,59.4,1001.5,1.4254,115.66406200000002,98.4,49.8,0.010791,121.0,494.0,86.5,10230.0,10265.0,1604.5,408.3,560.5,937.5,23.22,0.9413,291.5,108.296875,117.53125,120.4375,28.95,474.75,9325.0,122.76,116.65,98.32,68.27,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,991.7,2.8745,1.741,2.5069999999999997,1263.0,1.7962,16.105,555.6
2009-09-04 00:31:00,112.74218700000002,0.8392,33.95,1.6333,315.25,2933.0,0.907,59.4,1001.5,1.4252,115.66406200000002,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1604.25,408.3,560.5,937.5,23.22,0.9413,291.5,108.296875,117.53125,120.4375,28.95,474.75,9323.0,122.76,116.65,98.32,68.27,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,991.8,2.886,1.741,2.5069999999999997,1263.0,1.7962,16.11,555.6
2009-09-04 00:32:00,112.74218700000002,0.8389,33.95,1.6334,315.25,2933.0,0.9069,59.4,1001.5,1.4251,115.66406200000002,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1604.25,408.3,560.5,937.5,23.22,0.9413,291.5,108.296875,117.53125,120.4375,28.95,474.75,9324.0,122.76,116.65,98.32,68.23,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,992.0,2.878,1.741,2.508,1263.0,1.7962,16.125,555.6
2009-09-04 00:33:00,112.74218700000002,0.8391,33.95,1.6333,315.25,2933.0,0.9069,59.4,1001.5,1.4252,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1604.5,408.3,560.5,937.5,23.22,0.941,291.5,108.296875,117.546875,120.4375,28.95,474.75,9324.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.24,992.3,2.8775,1.741,2.51,1263.0,1.7962,16.145,555.6
2009-09-04 00:34:00,112.74218700000002,0.8393,33.95,1.6334,315.25,2933.0,0.907,59.4,1001.75,1.4252,115.671875,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.5,937.5,23.22,0.941,291.5,108.296875,117.546875,120.46875,28.95,474.75,9326.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.22,992.3,2.8775,1.741,2.504,1263.0,1.7962,16.135,555.6
2009-09-04 00:35:00,112.74218700000002,0.8396,33.95,1.6336,315.25,2933.0,0.9071,59.4,1001.75,1.4253,115.671875,98.4,49.8,0.010792,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.8,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9329.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,992.3,2.8775,1.741,2.504,1263.0,1.7962,16.135,555.6
2009-09-04 00:36:00,112.74218700000002,0.8395,33.95,1.634,315.25,2933.0,0.9071,59.4,1002.0,1.4256,115.671875,98.4,49.8,0.010792,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.8,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9329.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,992.5,2.8785,1.741,2.504,1263.0,1.7962,16.14,555.6
2009-09-04 00:37:00,112.74218700000002,0.8398,33.95,1.634,315.25,2933.0,0.9073,59.4,1001.75,1.4257,115.671875,98.4,49.8,0.010793,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.8,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9329.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,992.7,2.8785,1.741,2.504,1263.0,1.7962,16.129,555.6
2009-09-04 00:38:00,112.74218700000002,0.8397,33.95,1.6338,315.25,2933.0,0.9073,59.4,1002.0,1.4256,115.671875,98.4,49.8,0.010794,121.0,494.0,86.5,10230.0,10265.0,1605.5,408.3,560.9,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9329.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.23,992.5,2.8785,1.741,2.505,1263.0,1.7962,16.129,555.6
2009-09-04 00:39:00,112.74218700000002,0.8396,33.95,1.6337,315.25,2933.0,0.9073,59.4,1002.0,1.4256,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.9,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9329.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,992.5,2.882,1.741,2.506,1263.0,1.7962,16.129,555.6
2009-09-04 00:40:00,112.74218700000002,0.8398,33.95,1.6336,315.25,2933.0,0.9073,59.4,1002.0,1.4256,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.9,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9329.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.25,992.4,2.886,1.741,2.506,1263.0,1.7962,16.129,555.6
2009-09-04 00:41:00,112.74218700000002,0.8398,33.95,1.6337,315.25,2933.0,0.9073,59.4,1001.75,1.4256,115.671875,98.4,49.8,0.010795,121.0,494.0,86.5,10230.0,10265.0,1605.25,408.3,560.9,937.5,23.22,0.9413,291.5,108.296875,117.546875,120.46875,28.95,474.75,9328.0,122.76,116.65,98.32,68.22,67.36,2709.0,108.52,1.7275,1.7857,1404.0,1880.0,68.26,992.5,2.8855,1.741,2.506,1263.0,1.7962,16.129,555.6
