,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-11-06 00:01:00,112.46875,0.9102,37.35,1.6603,376.75,3277.0,0.9388,67.62,1061.75,1.4872,116.40625,97.35,56.5,0.011027,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.25,577.5,978.5,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.75,9939.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.8,2.9885,2.0678,4.771,1362.0,1.998,17.485,586.7
2009-11-06 00:02:00,112.46875,0.91,37.35,1.6602,376.75,3277.0,0.9388,67.62,1061.75,1.4872,116.40625,97.35,56.5,0.011026000000000001,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.25,577.5,978.5,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.75,9939.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.5,2.9885,2.0678,4.771,1362.0,1.998,17.485,586.7
2009-11-06 00:03:00,112.46875,0.9101,37.35,1.6602,376.5,3277.0,0.9388,67.62,1062.0,1.4874,116.40625,97.35,56.5,0.011026000000000001,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.5,978.5,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.75,9940.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.6,2.9885,2.0678,4.773,1362.0,1.998,17.485,586.7
2009-11-06 00:04:00,112.46875,0.9099,37.35,1.6602,376.75,3277.0,0.9388,67.62,1062.0,1.4873,116.40625,97.35,56.5,0.011025,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.5,978.75,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.75,9941.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.6,2.9885,2.0678,4.774,1362.0,1.998,17.485,586.7
2009-11-06 00:05:00,112.46875,0.9099,37.36,1.6602,376.5,3277.0,0.9388,67.62,1062.0,1.4872,116.40625,97.35,56.5,0.011025,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.6,978.75,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.75,9941.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.6,2.989,2.0678,4.774,1362.0,1.998,17.485,586.7
2009-11-06 00:06:00,112.46875,0.9101,37.36,1.6601,376.75,3277.0,0.9388,67.62,1062.25,1.4874,116.40625,97.35,56.5,0.011027,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.75,577.7,978.25,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.75,9943.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.6,2.989,2.0678,4.774,1362.0,1.998,17.485,586.7
2009-11-06 00:07:00,112.46875,0.9103,37.36,1.66,376.75,3277.0,0.9387,67.62,1062.25,1.4874,116.39843700000002,97.35,56.5,0.011028,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.75,577.7,978.25,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9943.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.5,2.989,2.0678,4.774,1362.0,1.998,17.49,586.7
2009-11-06 00:08:00,112.46875,0.9102,37.36,1.66,376.75,3277.0,0.9387,67.62,1062.0,1.4873,116.39843700000002,97.35,56.5,0.011029,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.7,978.25,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9942.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.6,2.9885,2.0678,4.774,1362.0,1.998,17.495,586.7
2009-11-06 00:09:00,112.46875,0.9103,37.36,1.6602,376.75,3277.0,0.9387,67.62,1062.0,1.4873,116.39843700000002,97.35,56.5,0.011029,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.7,978.25,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9942.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.6,2.989,2.0678,4.774,1362.0,1.998,17.495,586.7
2009-11-06 00:10:00,112.46875,0.9102,37.36,1.6602,376.75,3277.0,0.9387,67.62,1062.0,1.4873,116.39843700000002,97.35,56.5,0.011027,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.7,978.25,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9942.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.6,2.9895,2.0678,4.776,1362.0,1.998,17.495,586.7
2009-11-06 00:11:00,112.46875,0.9104,37.36,1.6603,376.75,3277.0,0.9387,67.62,1062.0,1.4873,116.39843700000002,97.35,56.5,0.011028,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.7,978.25,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9942.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.7,2.989,2.0678,4.776,1362.0,1.998,17.5,586.7
2009-11-06 00:12:00,112.46875,0.91,37.36,1.66,376.75,3277.0,0.9387,67.62,1062.0,1.4871,116.39843700000002,97.35,56.5,0.011028,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.7,978.5,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9941.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.8,2.989,2.0678,4.776,1362.0,1.998,17.5,586.7
2009-11-06 00:13:00,112.46875,0.9102,37.36,1.6604,376.75,3277.0,0.9387,67.62,1062.0,1.4873,116.39843700000002,97.35,56.5,0.011029,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.5,577.7,978.5,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9943.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.09,1091.8,2.99,2.0678,4.776,1362.0,1.998,17.51,586.7
2009-11-06 00:14:00,112.46875,0.9102,37.36,1.6604,376.75,3277.0,0.9387,67.62,1062.0,1.4874,116.39843700000002,97.35,56.5,0.011029,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.25,577.7,978.5,22.99,0.9843,293.0,108.85156200000002,118.046875,118.25,26.45,511.5,9942.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.8,2.99,2.0678,4.777,1362.0,1.998,17.51,586.7
2009-11-06 00:15:00,112.46875,0.9103,37.43,1.6603,376.75,3277.0,0.9387,67.62,1062.0,1.4873,116.39843700000002,97.35,56.5,0.01103,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.25,577.7,978.75,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.5,9942.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.08,1091.9,2.99,2.0678,4.777,1362.0,1.998,17.51,586.7
2009-11-06 00:16:00,112.46875,0.9104,37.43,1.6603,376.25,3277.0,0.9387,67.62,1061.75,1.4873,116.39843700000002,97.35,56.5,0.01103,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.25,577.7,978.75,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.5,9939.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.9,2.99,2.0678,4.777,1362.0,1.998,17.505,586.7
2009-11-06 00:17:00,112.46875,0.9104,37.43,1.6604,376.25,3277.0,0.9387,67.62,1061.75,1.4873,116.39843700000002,97.35,56.5,0.01103,145.45,501.5,86.225,1535.8,937.7,9765.0,9770.0,1717.25,577.7,978.25,22.99,0.9843,293.0,108.859375,118.046875,118.25,26.45,511.5,9940.0,121.12,115.35,96.62,80.07,78.63,2779.0,108.185,2.0529,1.9205,1412.0,77.01,2100.0,80.07,1091.8,2.989,2.0678,4.777,1362.0,1.998,17.505,586.7
