,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-12-04 00:01:00,0.9228,40.09,1.6538,399.25,3414.0,0.9467,74.09,1097.5,1.5058,116.75781200000002,93.45,65.8,0.011341,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1042.5,22.99,0.9993,309.4,108.83593700000002,118.765625,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,77.96,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.01,1205.3,3.2225,2.0396,4.478,1486.9,1.9858,18.82,624.8
2009-12-04 00:02:00,0.9229,40.09,1.6537,399.25,3414.0,0.9469,74.09,1097.5,1.5059,116.75781200000002,93.45,65.8,0.011343,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1042.5,22.99,0.9994,309.4,108.83593700000002,118.765625,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,77.96,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.03,1205.5,3.223,2.0396,4.478,1486.9,1.9858,18.84,624.8
2009-12-04 00:03:00,0.923,40.09,1.6539,399.75,3414.0,0.9472,74.09,1097.75,1.506,116.75781200000002,93.45,65.8,0.011341,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1042.5,22.99,0.9995,309.4,108.83593700000002,118.765625,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,77.98,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.04,1206.0,3.223,2.0396,4.478,1486.9,1.9858,18.83,624.8
2009-12-04 00:04:00,0.9229,40.09,1.6539,399.75,3414.0,0.9472,74.09,1097.75,1.5059,116.74218700000002,93.45,65.8,0.011341,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1042.5,22.99,0.9995,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,77.98,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.04,1205.7,3.2235,2.0396,4.485,1486.9,1.9858,18.83,624.8
2009-12-04 00:05:00,0.923,40.09,1.654,399.25,3414.0,0.9472,74.09,1097.75,1.5059,116.74218700000002,93.45,65.8,0.011344,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1042.5,22.99,0.9995,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,78.0,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.02,1205.3,3.223,2.0396,4.4830000000000005,1486.9,1.9858,18.84,624.8
2009-12-04 00:06:00,0.923,40.1,1.6539,399.25,3414.0,0.9472,74.09,1098.0,1.5059,116.74218700000002,93.45,65.8,0.011346,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1043.0,22.99,0.9995,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,78.0,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.02,1205.4,3.2225,2.0396,4.4830000000000005,1486.9,1.9858,18.84,624.8
2009-12-04 00:07:00,0.9231,40.1,1.6541,399.25,3414.0,0.9472,74.09,1098.0,1.506,116.74218700000002,93.45,65.8,0.011345000000000001,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.0,1042.75,22.99,0.9995,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,78.0,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.01,1205.7,3.223,2.0396,4.482,1486.9,1.9858,18.84,624.8
2009-12-04 00:08:00,0.9231,40.1,1.6541,399.25,3414.0,0.9472,74.09,1098.0,1.506,116.74218700000002,93.45,65.8,0.011345000000000001,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.1,1042.75,22.99,0.9998,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,78.0,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.05,1206.0,3.2235,2.0396,4.482,1486.9,1.9858,18.845,624.8
2009-12-04 00:09:00,0.9229,40.1,1.654,399.25,3414.0,0.9472,74.09,1098.0,1.506,116.74218700000002,93.45,65.8,0.011345000000000001,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.2,1043.0,22.99,0.9997,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,78.0,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.05,1205.7,3.2235,2.0396,4.481,1486.9,1.9858,18.84,624.8
2009-12-04 00:10:00,0.923,40.1,1.654,399.25,3414.0,0.9472,74.09,1097.75,1.5059,116.74218700000002,93.45,65.8,0.011347,144.3,559.0,83.1,1620.6,986.5,9995.0,10040.0,1775.0,412.1,588.2,1043.0,22.99,0.9998,309.4,108.83593700000002,118.75,120.125,22.4,567.75,10286.0,123.4,116.65,99.44,75.93,78.0,2862.0,108.535,2.0228,1342.0,78.17,2196.0,76.03,1206.0,3.224,2.0396,4.481,1486.9,1.9858,18.84,624.8
