,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-01-08 00:01:00,112.015625,0.9094,39.85,1.5935,416.25,3290.0,0.9669,73.13,1137.75,1.431,114.60156200000002,96.6,67.8,0.010737,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.25,639.5,1018.0,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10548.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.38,1125.5,3.4135,2.1795,5.806,1546.6,2.1295,18.13,724.5
2010-01-08 00:02:00,112.015625,0.9094,39.85,1.5935,416.25,3290.0,0.9669,73.13,1137.75,1.431,114.60156200000002,96.6,67.8,0.010737,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.25,639.5,1018.5,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10548.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.38,1125.6,3.4135,2.1795,5.806,1546.6,2.1295,18.13,724.5
2010-01-08 00:03:00,112.015625,0.9094,39.85,1.5935,416.0,3290.0,0.9669,73.13,1137.75,1.4311,114.60156200000002,96.6,67.8,0.010737,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.25,639.5,1018.75,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10548.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.38,1125.5,3.4135,2.1795,5.808,1546.6,2.1295,18.13,724.5
2010-01-08 00:04:00,112.015625,0.9095,39.85,1.5935,416.0,3290.0,0.9669,73.13,1137.75,1.4311,114.60156200000002,96.6,67.8,0.010738,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.25,639.5,1019.25,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10547.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.36,1125.5,3.414,2.1795,5.808,1546.6,2.1295,18.13,724.5
2010-01-08 00:05:00,112.015625,0.9095,39.85,1.5935,416.0,3290.0,0.9669,73.13,1138.0,1.4311,114.609375,96.6,67.8,0.010737,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.75,639.5,1019.25,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10547.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.38,1125.1,3.414,2.1795,5.808,1546.6,2.1295,18.125,724.5
2010-01-08 00:06:00,112.015625,0.9095,39.85,1.5935,416.0,3290.0,0.9669,73.13,1138.0,1.4312,114.609375,96.6,67.8,0.010736,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.75,639.5,1019.25,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10547.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.4,1124.8,3.413,2.1795,5.807,1546.6,2.1295,18.125,724.5
2010-01-08 00:07:00,112.015625,0.9095,39.84,1.5935,416.0,3290.0,0.9669,73.13,1138.25,1.4312,114.609375,96.6,67.8,0.010736,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.75,639.5,1019.25,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10550.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.4,1125.0,3.413,2.1795,5.805,1546.6,2.1295,18.125,724.5
2010-01-08 00:08:00,112.015625,0.9096,39.88,1.5935,416.25,3290.0,0.9669,73.13,1137.75,1.4312,114.609375,96.6,67.8,0.010734,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.75,639.5,1019.5,27.81,0.9674,298.4,108.32031200000002,115.625,114.875,20.7,550.25,10551.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.37,1125.1,3.414,2.1795,5.805,1546.6,2.1295,18.125,724.5
2010-01-08 00:09:00,112.015625,0.9096,39.88,1.5938,416.0,3290.0,0.9669,73.13,1138.0,1.4312,114.609375,96.6,67.8,0.010735,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1878.75,639.5,1019.5,27.81,0.9674,298.4,108.32031200000002,115.640625,114.875,20.7,550.25,10551.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.4,1125.1,3.414,2.1795,5.805,1546.6,2.1295,18.13,724.5
2010-01-08 00:10:00,112.015625,0.9096,39.88,1.5938,416.0,3290.0,0.9669,73.13,1138.0,1.4312,114.609375,96.6,67.8,0.010735,142.15,543.5,86.0,1618.7,1026.4,10825.0,10865.0,1879.0,639.5,1019.25,27.81,0.9674,298.4,108.32031200000002,115.640625,114.875,20.7,550.25,10551.0,121.3,115.83,96.36,82.39,81.16,3022.0,108.07,2.1756,1348.0,2267.0,82.4,1125.2,3.4125,2.1795,5.808,1546.6,2.1295,18.13,724.5
