,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-02-05 00:01:00,113.0625,0.8642,37.1,1.5732,354.5,3107.0,0.9323,69.1,1064.25,1.3711,116.64843700000002,97.5,66.7,0.011154,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1737.5,382.2,590.5,915.5,27.49,0.9312,271.7,109.02343700000002,118.203125,123.5625,118.59375,25.1,474.25,9997.0,123.87,117.66,100.1,73.37,72.19,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.36,1064.9,2.867,1.9331,5.48,1487.5,1.947,15.29,733.2
2010-02-05 00:02:00,113.0625,0.8643,37.1,1.5732,354.5,3107.0,0.9323,69.1,1064.0,1.3712,116.64843700000002,97.5,66.7,0.011154,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1737.5,382.2,590.5,915.5,27.49,0.9312,271.7,109.02343700000002,118.203125,123.5625,118.59375,25.1,474.25,9997.0,123.87,117.66,100.1,73.37,72.21,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.38,1065.0,2.867,1.9331,5.48,1487.5,1.947,15.29,733.2
2010-02-05 00:03:00,113.0625,0.8641,37.1,1.5732,354.5,3107.0,0.9323,69.21,1063.75,1.3713,116.64843700000002,97.5,66.7,0.011154,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1737.25,382.2,590.5,915.5,27.49,0.9312,271.7,109.02343700000002,118.203125,123.5625,118.59375,25.1,474.25,9995.0,123.87,117.66,100.1,73.37,72.23,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.38,1064.9,2.8695,1.9331,5.48,1487.5,1.947,15.295,733.2
2010-02-05 00:04:00,113.0625,0.8639,37.1,1.5732,354.5,3107.0,0.9323,69.21,1063.75,1.3711,116.64843700000002,97.5,66.7,0.011155,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1736.75,382.2,590.5,915.5,27.49,0.9312,271.7,109.02343700000002,118.21875,123.5625,118.59375,25.1,474.25,9995.0,123.87,117.66,100.1,73.37,72.24,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.41,1064.9,2.8695,1.9331,5.48,1487.5,1.947,15.3,733.2
2010-02-05 00:05:00,113.0625,0.8639,37.1,1.5732,354.25,3107.0,0.9323,69.21,1063.5,1.3711,116.64843700000002,97.5,66.7,0.011154,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1737.25,382.2,590.5,915.5,27.49,0.9312,271.6,109.02343700000002,118.21875,123.5625,118.59375,25.1,474.25,9995.0,123.87,117.66,100.1,73.37,72.23,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.41,1065.4,2.866,1.9331,5.48,1487.5,1.947,15.3,733.2
2010-02-05 00:06:00,113.0625,0.8638,37.1,1.5731,354.25,3107.0,0.9323,69.21,1063.75,1.3711,116.65625,97.5,66.7,0.011154,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1737.5,382.2,590.5,915.5,27.49,0.9312,271.6,109.02343700000002,118.203125,123.5625,118.5625,25.1,474.25,9995.0,123.87,117.66,100.1,73.43,72.23,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.4,1065.2,2.868,1.9331,5.48,1487.5,1.947,15.3,733.2
2010-02-05 00:07:00,113.0625,0.8636,37.1,1.5731,354.0,3107.0,0.9321,69.21,1063.75,1.3709,116.65625,97.5,66.7,0.011153,133.05,487.0,89.875,1453.5,894.8,9910.0,10050.0,1737.5,382.2,590.5,915.5,27.49,0.9309,271.6,109.02343700000002,118.203125,123.5625,118.5625,25.1,474.25,9994.0,123.87,117.66,100.1,73.39,72.22,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.39,1065.0,2.865,1.9331,5.477,1487.5,1.947,15.3,733.2
2010-02-05 00:08:00,113.0625,0.8637,37.1,1.5733,354.0,3107.0,0.9322,69.21,1063.75,1.371,116.65625,97.5,66.85,0.011154,133.05,487.0,89.85,1453.5,894.8,9910.0,10050.0,1737.5,382.2,590.5,915.5,27.49,0.9309,271.6,109.02343700000002,118.21875,123.5625,118.5625,25.1,474.25,9996.0,123.87,117.66,100.1,73.43,72.29,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.43,1065.1,2.8635,1.9331,5.477,1487.5,1.947,15.29,733.2
2010-02-05 00:09:00,113.0625,0.8637,37.1,1.5733,354.0,3107.0,0.9321,69.21,1063.75,1.371,116.65625,97.5,66.85,0.011153,133.05,487.0,89.85,1453.5,894.8,9910.0,10050.0,1737.75,382.2,590.5,915.0,27.49,0.9309,271.6,109.02343700000002,118.21875,123.5625,118.5625,25.1,474.25,9998.0,123.87,117.66,100.1,73.42,72.25,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.41,1065.0,2.8635,1.9331,5.477,1487.5,1.947,15.285,733.2
2010-02-05 00:10:00,113.0625,0.8638,37.1,1.5733,354.0,3107.0,0.9321,69.21,1063.75,1.3711,116.65625,97.5,66.85,0.011154,133.05,487.0,89.85,1453.5,894.8,9910.0,10050.0,1737.75,382.2,590.6,915.0,27.49,0.9312,271.6,109.02343700000002,118.21875,123.5625,118.5625,25.1,474.25,9996.0,123.87,117.66,100.1,73.42,72.26,2702.0,108.715,1.896,1.909,1306.0,71.78,2241.0,73.41,1064.9,2.8645,1.9331,5.477,1487.5,1.947,15.29,733.2
