,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-03-05 00:01:00,0.8999,40.05,1.5037,384.25,2827.0,0.9699,81.97,1123.75,1.359,115.89843700000002,104.85,73.65,0.011206,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.9289,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.7,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.71,1134.7,3.395,2.0807,4.561,1580.6,2.248,17.245,598.0
2010-03-05 00:02:00,0.9,40.05,1.5037,384.25,2827.0,0.9699,81.97,1123.5,1.359,115.89843700000002,104.85,73.65,0.011206,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.9289,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.7,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.71,1134.7,3.395,2.0807,4.561,1580.6,2.248,17.255,598.0
2010-03-05 00:03:00,0.9,40.05,1.5037,384.25,2827.0,0.9699,81.97,1123.5,1.359,115.89843700000002,104.85,73.65,0.011206,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.9289,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.7,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.71,1134.8,3.395,2.0807,4.561,1580.6,2.248,17.265,598.0
2010-03-05 00:04:00,0.9,40.05,1.5037,384.25,2827.0,0.9699,81.97,1123.5,1.359,115.89843700000002,104.85,73.65,0.011206,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.9289,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.7,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.71,1134.7,3.395,2.0807,4.561,1580.6,2.248,17.26,598.0
2010-03-05 00:05:00,0.9,40.05,1.5039,384.25,2827.0,0.9699,81.97,1123.75,1.359,115.89843700000002,104.85,73.65,0.011206,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.9289,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.71,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.73,1134.8,3.395,2.0807,4.561,1580.6,2.248,17.26,598.0
2010-03-05 00:06:00,0.9,40.07,1.5038,384.25,2827.0,0.9699,81.97,1124.0,1.3593,115.89843700000002,104.85,73.65,0.011204,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.9289,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.72,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.72,1134.9,3.395,2.0807,4.561,1580.6,2.248,17.26,598.0
2010-03-05 00:07:00,0.8999,40.07,1.5036,384.25,2827.0,0.9699,81.97,1123.75,1.3591,115.89843700000002,104.85,73.65,0.011205,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.0,943.25,21.82,0.929,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.72,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.72,1134.9,3.395,2.0807,4.561,1580.6,2.248,17.26,598.0
2010-03-05 00:08:00,0.8999,40.07,1.5037,384.25,2827.0,0.9699,81.97,1124.0,1.3591,115.90625,104.85,73.65,0.011205,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.2,943.25,21.82,0.929,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.72,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.74,1134.7,3.396,2.0807,4.561,1580.6,2.248,17.26,598.0
2010-03-05 00:09:00,0.8999,40.07,1.5038,384.25,2827.0,0.9699,81.97,1124.25,1.3591,115.90625,104.85,73.65,0.011205,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,943.25,21.82,0.929,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.74,79.04,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.75,1134.8,3.3955,2.0807,4.561,1580.6,2.248,17.26,598.0
2010-03-05 00:10:00,0.9,40.07,1.5036,384.25,2827.0,0.9699,81.97,1124.25,1.359,115.90625,104.85,73.65,0.011203,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,942.75,21.82,0.929,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.74,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.74,1134.7,3.398,2.0807,4.562,1580.6,2.248,17.26,598.0
2010-03-05 00:11:00,0.9,40.07,1.5036,384.25,2827.0,0.9699,81.97,1124.25,1.359,115.90625,104.85,73.65,0.011202,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,942.75,21.82,0.929,258.8,108.640625,117.46875,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.74,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.74,1134.6,3.3985,2.0807,4.562,1580.6,2.248,17.265,598.0
2010-03-05 00:12:00,0.9001,40.07,1.5036,384.25,2827.0,0.9699,81.97,1124.0,1.359,115.91406200000002,104.85,73.65,0.011204,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,942.75,21.82,0.929,258.8,108.640625,117.484375,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.74,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.76,1134.6,3.3975,2.0807,4.563,1580.6,2.248,17.25,598.0
2010-03-05 00:13:00,0.9001,40.07,1.5036,384.25,2827.0,0.9699,81.97,1124.25,1.359,115.91406200000002,104.85,73.65,0.011202,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,943.5,21.82,0.929,258.8,108.640625,117.484375,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.74,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.75,1134.3,3.398,2.0807,4.563,1580.6,2.248,17.235,598.0
2010-03-05 00:14:00,0.9001,40.07,1.5036,384.25,2827.0,0.9699,81.97,1124.25,1.359,115.91406200000002,104.85,73.65,0.011203,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,943.5,21.82,0.929,258.8,108.640625,117.484375,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.75,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.76,1134.3,3.3995,2.0807,4.563,1580.2,2.248,17.24,598.0
2010-03-05 00:15:00,0.9,40.07,1.5038,384.25,2827.0,0.9699,81.97,1124.25,1.3589,115.91406200000002,104.85,73.65,0.011202,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,943.5,21.82,0.929,258.8,108.640625,117.484375,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.75,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.76,1134.4,3.3975,2.0807,4.565,1580.2,2.248,17.235,598.0
2010-03-05 00:16:00,0.9001,40.07,1.5038,384.75,2827.0,0.9699,81.97,1124.25,1.3591,115.91406200000002,104.85,73.65,0.011203,130.75,509.5,92.8,1539.3,974.7,10385.0,10375.0,1858.75,653.4,943.5,21.82,0.929,258.8,108.640625,117.484375,122.40625,117.71875,19.3,504.0,10382.0,122.81,116.85,100.9,80.75,79.08,2825.0,108.61,2.1037,2.254,1219.0,79.69,2136.0,80.76,1134.5,3.398,2.0807,4.565,1580.2,2.248,17.235,598.0
