,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-05-07 00:01:00,113.03906200000002,0.8883,37.99,1.4892,370.25,3137.0,0.9574,81.15,1128.75,1.2709,116.63281200000002,115.675,84.1,0.010787999999999999,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.0,672.5,957.75,13.33,0.8991,278.8,109.109375,119.46875,130.09375,122.5,28.85,505.25,10518.0,127.29,120.01,107.5,77.66,80.4,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.65,1199.8,3.095,2.128,3.931,1662.5,2.1663,17.655,431.0
2010-05-07 00:02:00,113.03906200000002,0.8879,38.0,1.4889,370.25,3137.0,0.9573,81.15,1128.75,1.2711,116.63281200000002,115.675,84.1,0.010791,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.75,672.5,957.75,13.33,0.8992,278.8,109.109375,119.46875,130.09375,122.5,28.85,505.25,10516.0,127.29,120.01,107.5,77.65,80.44,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.63,1199.8,3.095,2.128,3.931,1662.5,2.1663,17.655,431.0
2010-05-07 00:03:00,113.03906200000002,0.8884,38.0,1.4889,370.25,3137.0,0.9571,81.15,1129.0,1.2712,116.63281200000002,115.675,84.1,0.010797,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.5,672.5,957.5,13.33,0.8992,278.8,109.109375,119.484375,130.09375,122.53125,28.85,505.25,10517.0,127.29,120.01,107.5,77.65,80.43,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.67,1199.8,3.095,2.128,3.931,1662.5,2.1663,17.655,431.0
2010-05-07 00:04:00,113.03906200000002,0.8886,38.0,1.4899,370.25,3137.0,0.9571,81.15,1129.0,1.2712,116.63281200000002,115.675,84.1,0.010801999999999999,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.5,672.5,957.5,13.33,0.8993,278.8,109.109375,119.46875,130.09375,122.53125,28.85,505.25,10517.0,127.29,120.01,107.5,77.65,80.43,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.67,1199.9,3.095,2.128,3.931,1664.3,2.1663,17.645,431.0
2010-05-07 00:05:00,113.03906200000002,0.889,38.0,1.4901,370.25,3137.0,0.9572,81.15,1128.75,1.2714,116.63281200000002,115.675,84.1,0.010799,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.0,672.3,957.5,13.33,0.8994,278.8,109.109375,119.46875,130.09375,122.53125,28.85,505.25,10518.0,127.29,120.01,107.5,77.65,80.44,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.66,1200.2,3.095,2.128,3.931,1664.3,2.1665,17.655,431.0
2010-05-07 00:06:00,113.03906200000002,0.8889,38.01,1.4915,370.25,3137.0,0.9575,81.15,1129.0,1.2724,116.625,115.675,84.1,0.010801999999999999,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.25,672.3,957.5,13.33,0.9,278.8,109.109375,119.453125,130.09375,122.53125,28.85,505.25,10518.0,127.29,120.01,107.5,77.71,80.5,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.71,1199.9,3.095,2.128,3.931,1664.3,2.1667,17.665,431.0
2010-05-07 00:07:00,113.03906200000002,0.8886,38.01,1.4905,370.25,3137.0,0.9571,81.15,1128.75,1.2722,116.625,115.675,84.1,0.010801999999999999,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.75,672.3,957.5,13.33,0.8995,278.8,109.109375,119.453125,130.09375,122.53125,28.85,505.25,10518.0,127.29,120.01,107.5,77.71,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.73,1200.1,3.095,2.128,3.931,1664.3,2.1667,17.665,431.0
2010-05-07 00:08:00,113.03906200000002,0.8892,38.01,1.4896,370.5,3137.0,0.9573,81.15,1128.75,1.2721,116.625,115.675,84.1,0.010806,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.75,672.3,957.75,13.33,0.8995,278.8,109.109375,119.484375,130.09375,122.53125,28.85,505.5,10518.0,127.29,120.01,107.5,77.7,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.67,1199.9,3.099,2.128,3.931,1664.9,2.1667,17.665,431.0
2010-05-07 00:09:00,113.03906200000002,0.8891,38.01,1.4894,370.5,3137.0,0.9574,81.15,1128.75,1.272,116.640625,115.675,84.1,0.010806999999999999,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.75,672.3,957.75,13.33,0.8995,278.8,109.109375,119.5,130.09375,122.5625,28.85,505.5,10516.0,127.29,120.01,107.5,77.67,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.69,1200.0,3.1005,2.128,3.931,1666.2,2.1667,17.68,431.0
2010-05-07 00:10:00,113.03906200000002,0.8887,38.01,1.4892,370.25,3137.0,0.9572,81.15,1128.75,1.2719,116.65625,115.675,84.1,0.010808,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.0,672.3,957.75,13.33,0.8992,278.8,109.109375,119.515625,130.09375,122.5625,28.85,505.5,10517.0,127.29,120.01,107.5,77.67,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.69,1199.8,3.0995,2.128,3.931,1666.2,2.1667,17.665,431.0
2010-05-07 00:11:00,113.03906200000002,0.8887,38.01,1.4892,370.25,3137.0,0.9573,81.15,1129.75,1.2723,116.66406200000002,115.675,84.1,0.010817,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.5,672.6,958.0,13.33,0.8995,279.4,109.109375,119.515625,130.09375,122.5625,28.85,505.25,10522.0,127.29,120.01,107.5,77.67,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.71,1200.2,3.098,2.128,3.931,1666.2,2.1667,17.665,431.0
2010-05-07 00:12:00,113.03906200000002,0.8885,38.0,1.4888,370.25,3137.0,0.9571,81.15,1129.0,1.2723,116.671875,115.675,84.1,0.010824,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.5,672.3,958.0,13.33,0.8994,279.4,109.109375,119.546875,130.09375,122.5625,28.85,505.25,10519.0,127.29,120.01,107.5,77.7,80.41,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.68,1200.1,3.099,2.128,3.931,1663.8,2.1667,17.665,431.0
2010-05-07 00:13:00,113.03906200000002,0.8887,38.0,1.4892,370.25,3137.0,0.9572,81.15,1128.75,1.273,116.671875,115.675,84.1,0.010822,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1896.75,672.3,958.0,13.33,0.9,279.4,109.11718700000002,119.5625,130.09375,122.59375,28.85,505.25,10521.0,127.29,120.01,107.5,77.7,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.72,1200.3,3.1,2.128,3.931,1663.8,2.1667,17.675,431.0
2010-05-07 00:14:00,113.03906200000002,0.8889,38.0,1.49,370.5,3137.0,0.9576,81.15,1129.25,1.2739,116.671875,115.675,84.1,0.010822,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.75,672.5,958.25,13.33,0.9004,279.4,109.11718700000002,119.53125,130.09375,122.5625,28.85,505.25,10525.0,127.29,120.01,107.5,77.74,80.45,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.74,1200.1,3.1,2.128,3.931,1663.8,2.1667,17.675,431.0
2010-05-07 00:15:00,113.03906200000002,0.8887,38.01,1.4896,370.5,3137.0,0.9575,81.15,1129.25,1.2736,116.671875,115.675,84.1,0.010820999999999999,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.75,672.6,958.25,13.33,0.9,279.4,109.11718700000002,119.53125,130.09375,122.5625,28.85,505.25,10521.0,127.29,120.01,107.5,77.74,80.46,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.73,1199.8,3.1,2.128,3.931,1663.8,2.1667,17.67,431.0
2010-05-07 00:16:00,113.03906200000002,0.889,38.01,1.4894,370.5,3137.0,0.9575,81.15,1129.25,1.2733,116.671875,115.675,84.1,0.010816,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1898.25,672.6,958.25,13.33,0.8998,279.4,109.11718700000002,119.546875,130.09375,122.5625,28.85,505.25,10522.0,127.29,120.01,107.5,77.73,80.46,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.73,1199.8,3.1,2.128,3.931,1664.8,2.1667,17.665,431.0
2010-05-07 00:17:00,113.03906200000002,0.8889,38.01,1.49,370.5,3137.0,0.9576,81.15,1129.0,1.2731,116.67968700000002,115.675,84.1,0.010817,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1898.0,672.6,958.25,13.33,0.8996,279.4,109.11718700000002,119.546875,130.09375,122.5625,28.85,505.5,10522.0,127.29,120.01,107.5,77.73,80.46,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.7,1199.8,3.1,2.128,3.931,1664.8,2.1666,17.665,431.0
2010-05-07 00:18:00,113.03906200000002,0.889,38.01,1.4897,370.75,3137.0,0.9575,81.15,1128.75,1.2731,116.67968700000002,115.675,84.1,0.010817,132.6,517.25,96.1,1382.7,924.8,10465.0,10440.0,1897.5,672.6,958.0,13.33,0.8995,279.4,109.11718700000002,119.546875,130.09375,122.5625,28.85,505.5,10520.0,127.29,120.01,107.5,77.73,80.46,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.7,1199.8,3.1,2.128,3.931,1664.8,2.1666,17.665,431.0
2010-05-07 00:19:00,113.03906200000002,0.8891,38.01,1.4892,370.5,3137.0,0.9573,81.15,1129.25,1.2729,116.67968700000002,115.675,84.1,0.010813,132.6,517.25,96.1,1382.7,924.8,10465.0,10425.0,1897.75,672.6,958.25,13.33,0.8995,279.4,109.11718700000002,119.546875,130.09375,122.5625,28.85,505.5,10520.0,127.29,120.01,107.5,77.71,80.46,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.69,1199.7,3.099,2.128,3.931,1664.8,2.1666,17.665,431.0
2010-05-07 00:20:00,113.03906200000002,0.8892,38.01,1.489,370.5,3137.0,0.9575,81.15,1129.0,1.2727,116.67968700000002,115.675,84.1,0.010814,132.6,517.25,96.1,1382.7,924.8,10465.0,10425.0,1897.5,672.6,958.0,13.33,0.8995,279.3,109.11718700000002,119.546875,130.09375,122.5625,28.85,505.5,10519.0,127.29,120.01,107.5,77.71,80.46,2487.0,109.745,2.1175,2.1486,1324.0,80.5,2390.0,77.67,1199.9,3.099,2.128,3.931,1664.8,2.1666,17.665,431.0
