,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-06-04 00:01:00,113.78125,0.843,37.58,1.4634,350.25,3069.0,0.9608,78.35,1102.0,1.2179,116.41406200000002,110.0,81.5,0.010787999999999999,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.5,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10240.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.3,1207.7,2.9575,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:02:00,113.78125,0.8431,37.58,1.4634,350.25,3069.0,0.9608,78.35,1102.0,1.218,116.41406200000002,110.0,81.5,0.010787999999999999,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.5,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10241.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.31,1207.7,2.9575,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:03:00,113.78125,0.8431,37.58,1.4633,350.25,3069.0,0.9607,78.35,1102.0,1.2181,116.41406200000002,110.0,81.5,0.010787,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.75,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10243.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.3,1207.6,2.9565,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:04:00,113.78125,0.8431,37.58,1.4633,350.25,3069.0,0.9607,78.35,1101.75,1.218,116.41406200000002,110.0,81.5,0.010789,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.75,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10243.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.3,1207.6,2.9565,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:05:00,113.78125,0.8431,37.58,1.4634,350.0,3069.0,0.9608,78.35,1102.0,1.2181,116.41406200000002,110.0,81.5,0.010787999999999999,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.75,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10241.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.29,1207.6,2.9525,2.0315,4.689,1545.9,2.0722,17.94,459.1
2010-06-04 00:06:00,113.78125,0.8432,37.58,1.4634,350.0,3069.0,0.9608,78.35,1101.75,1.2181,116.41406200000002,110.0,81.5,0.010790000000000001,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.25,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10241.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.31,1207.8,2.9545,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:07:00,113.78125,0.8431,37.58,1.4634,350.0,3069.0,0.9608,78.35,1102.0,1.2179,116.421875,110.0,81.5,0.010792,135.9,471.5,90.3,1339.0,902.4,9905.0,9975.0,1893.5,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.4375,127.96875,122.09375,31.75,442.5,10240.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.31,1207.8,2.9535,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:08:00,113.78125,0.8433,37.58,1.4634,350.0,3069.0,0.9608,78.4,1101.5,1.2178,116.421875,110.0,81.5,0.010793,135.9,471.5,90.3,1339.0,902.4,9905.0,9970.0,1893.25,376.1,667.7,952.25,14.12,0.8667,280.8,108.92968700000002,119.453125,127.96875,122.09375,31.75,442.5,10240.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.3,1207.8,2.9535,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:09:00,113.78125,0.8429,37.58,1.463,350.0,3069.0,0.9606,78.44,1101.5,1.2175,116.42968700000002,110.0,81.5,0.010795,135.9,471.5,90.3,1339.0,902.4,9905.0,9970.0,1892.75,376.1,667.7,952.25,14.12,0.8664,280.8,108.92968700000002,119.453125,127.96875,122.09375,31.75,442.5,10238.0,128.79,120.73,110.3,74.25,75.21,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.3,1207.7,2.9535,2.0315,4.689,1545.9,2.0722,17.95,459.1
2010-06-04 00:10:00,113.78125,0.8429,37.58,1.463,350.0,3069.0,0.9606,78.48,1101.5,1.2175,116.4375,110.0,81.5,0.010797,135.9,471.5,90.3,1339.0,902.4,9905.0,9970.0,1892.25,376.1,667.7,952.25,14.12,0.8664,280.8,108.92968700000002,119.453125,127.96875,122.09375,31.75,442.5,10237.0,128.79,120.73,110.3,74.25,75.25,2628.0,110.015,2.0077,1342.0,75.4,2562.0,74.34,1208.0,2.9535,2.0315,4.689,1545.9,2.0722,17.955,459.1
