,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-08-06 00:01:00,0.9114,41.41,1.5877,402.25,3153.0,0.9834,79.89,1125.0,1.3188,119.89843700000002,112.8,75.175,0.011625,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1904.75,472.8,655.9,1030.5,18.47,0.9541,302.0,109.59375,123.796875,133.65625,128.40625,24.65,825.5,10646.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.05,1197.7,3.355,2.1924,4.627,1575.7,2.1665,18.35,549.9
2010-08-06 00:02:00,0.9113,41.41,1.5877,402.25,3153.0,0.9834,79.89,1125.0,1.3187,119.89843700000002,112.8,75.175,0.011627,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1904.75,472.8,655.9,1030.5,18.47,0.954,302.0,109.59375,123.796875,133.65625,128.40625,24.65,825.0,10645.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.05,1197.7,3.355,2.1924,4.627,1575.7,2.1665,18.355,549.9
2010-08-06 00:03:00,0.9113,41.41,1.5875,402.25,3153.0,0.9834,79.89,1125.25,1.3185,119.89843700000002,112.8,75.175,0.011627,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1904.75,472.8,655.9,1030.5,18.47,0.954,302.0,109.59375,123.78125,133.65625,128.40625,24.65,825.0,10644.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.05,1197.7,3.355,2.1924,4.627,1575.7,2.1665,18.355,549.9
2010-08-06 00:04:00,0.9114,41.41,1.5877,402.25,3153.0,0.9834,79.89,1125.25,1.3186,119.89843700000002,112.8,75.175,0.011626000000000001,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1904.75,472.8,655.9,1030.5,18.47,0.954,302.0,109.59375,123.796875,133.65625,128.40625,24.65,826.25,10644.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.06,1197.7,3.355,2.1924,4.627,1575.7,2.1665,18.35,549.9
2010-08-06 00:05:00,0.9114,41.41,1.5876,402.25,3153.0,0.9834,79.89,1125.25,1.3187,119.89843700000002,112.8,75.175,0.011623,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1905.0,472.8,655.9,1030.5,18.47,0.954,302.0,109.59375,123.796875,133.65625,128.40625,24.65,826.0,10646.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.06,1197.7,3.355,2.1924,4.627,1575.7,2.1665,18.35,549.9
2010-08-06 00:06:00,0.9115,41.41,1.5876,402.25,3153.0,0.9834,79.9,1125.25,1.3187,119.89843700000002,112.8,75.175,0.011618999999999999,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1905.0,472.8,655.9,1030.5,18.47,0.954,302.0,109.59375,123.796875,133.65625,128.40625,24.65,826.25,10645.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.06,1197.6,3.355,2.1924,4.627,1575.7,2.1665,18.35,549.9
2010-08-06 00:07:00,0.9115,41.41,1.5878,402.25,3153.0,0.9834,79.9,1125.25,1.3188,119.90625,112.8,75.175,0.011618999999999999,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1905.25,472.8,655.9,1030.5,18.47,0.9539,302.0,109.59375,123.796875,133.65625,128.375,24.65,826.0,10645.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.06,1197.6,3.3575,2.1924,4.627,1575.7,2.1665,18.35,549.9
2010-08-06 00:08:00,0.9115,41.41,1.5878,402.25,3153.0,0.9834,79.9,1125.25,1.3189,119.90625,112.8,75.175,0.011618,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1905.25,472.8,655.9,1030.5,18.47,0.9541,302.0,109.59375,123.78125,133.65625,128.375,24.65,827.0,10645.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.07,1197.7,3.357,2.1924,4.626,1575.7,2.1665,18.35,549.9
2010-08-06 00:09:00,0.9113,41.41,1.5878,402.25,3153.0,0.9834,79.9,1125.25,1.3188,119.90625,112.8,75.175,0.01162,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1905.25,472.8,655.9,1030.5,18.47,0.9541,302.0,109.59375,123.796875,133.65625,128.40625,24.65,827.0,10645.0,129.62,120.68,112.88,82.07,81.5,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.07,1197.8,3.357,2.1924,4.626,1575.7,2.1665,18.35,549.9
2010-08-06 00:10:00,0.9113,41.41,1.5879,402.5,3153.0,0.9834,79.9,1125.25,1.3187,119.90625,112.8,75.175,0.01162,170.0,811.5,95.95,1514.5,1007.9,9640.0,9630.0,1905.25,472.8,655.9,1030.5,18.47,0.9541,302.0,109.59375,123.796875,133.65625,128.40625,24.65,827.5,10645.0,129.62,120.68,112.88,82.06,81.57,2828.0,109.325,2.1768,1742.0,81.17,2284.0,82.11,1197.8,3.357,2.1924,4.625,1575.7,2.1665,18.35,549.9
