,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-10-08 00:01:00,0.9761,44.71,1.5885,503.0,2749.0,0.9826,106.49,1158.25,1.3949,121.53906200000002,108.925,71.275,0.012157,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.25,480.2,685.8,1079.0,25.38,1.0358,298.6,109.90625,127.25,141.03125,134.65625,23.05,664.25,10924.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.61,1334.6,3.702,2.256,3.625,1698.0,2.1194,22.59,667.7
2010-10-08 00:02:00,0.9763,44.71,1.5885,503.0,2749.0,0.9826,106.42,1158.5,1.3948,121.53906200000002,108.925,71.275,0.012156,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.0,480.2,685.8,1079.0,25.38,1.0359,298.6,109.90625,127.25,141.03125,134.65625,23.05,664.25,10924.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.61,1334.7,3.701,2.256,3.628,1698.0,2.1194,22.59,667.7
2010-10-08 00:03:00,0.9764,44.71,1.5888,503.0,2749.0,0.9827,106.41,1158.25,1.3949,121.53906200000002,108.925,71.275,0.012154,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.25,480.2,685.8,1079.0,25.38,1.0358,298.6,109.90625,127.25,141.03125,134.625,23.05,664.25,10924.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.61,1334.8,3.701,2.256,3.628,1698.0,2.1194,22.59,667.7
2010-10-08 00:04:00,0.9764,44.71,1.5887,503.0,2749.0,0.9827,106.5,1158.5,1.3949,121.53906200000002,108.925,71.275,0.012155,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.25,480.2,685.8,1079.0,25.38,1.0356,298.6,109.90625,127.25,141.03125,134.625,23.05,665.25,10925.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.63,1334.8,3.701,2.256,3.628,1698.0,2.1194,22.59,667.7
2010-10-08 00:05:00,0.9766,44.71,1.5888,503.0,2749.0,0.9827,106.5,1158.5,1.3948,121.53906200000002,108.925,71.275,0.012155,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.25,480.2,685.8,1079.0,25.38,1.0357,298.6,109.90625,127.25,141.03125,134.625,23.05,665.25,10925.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.63,1334.9,3.701,2.256,3.628,1698.0,2.1194,22.59,667.7
2010-10-08 00:06:00,0.9764,44.71,1.5887,503.0,2749.0,0.9826,106.5,1158.5,1.3948,121.53906200000002,108.925,71.275,0.012158,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.25,480.2,685.8,1079.0,25.38,1.0359,298.6,109.90625,127.25,141.03125,134.625,23.05,665.25,10926.0,131.7,120.94,119.22,81.62,83.43,2777.0,109.17,1618.0,82.43,1848.0,81.63,1335.0,3.701,2.256,3.627,1698.0,2.1194,22.59,667.7
2010-10-08 00:07:00,0.9763,44.71,1.5888,503.0,2749.0,0.9826,106.5,1158.25,1.3947,121.53906200000002,108.925,71.275,0.012155,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2018.25,480.2,686.0,1079.0,25.38,1.0359,298.7,109.90625,127.265625,141.03125,134.625,23.05,665.25,10926.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.63,1335.0,3.701,2.256,3.63,1698.0,2.1194,22.59,667.7
2010-10-08 00:08:00,0.9762,44.71,1.5889,503.0,2749.0,0.9828,106.5,1158.25,1.3947,121.53906200000002,108.925,71.275,0.012156,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2017.5,480.2,685.8,1079.0,25.38,1.0357,298.7,109.90625,127.265625,141.03125,134.625,23.05,665.25,10926.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.61,1335.0,3.701,2.256,3.63,1698.0,2.1194,22.585,667.7
2010-10-08 00:09:00,0.9762,44.71,1.589,503.0,2749.0,0.9828,106.5,1158.25,1.3947,121.53906200000002,108.925,71.275,0.012155,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2017.5,480.2,685.8,1079.25,25.38,1.0357,298.7,109.90625,127.265625,141.03125,134.625,23.05,665.25,10926.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.62,1334.9,3.701,2.256,3.63,1698.0,2.1194,22.59,667.7
2010-10-08 00:10:00,0.9762,44.71,1.589,503.0,2749.0,0.9827,106.5,1158.25,1.3947,121.53906200000002,108.925,71.275,0.012155,174.35,704.5,96.925,1605.7,1101.8,9650.0,9680.0,2017.5,480.2,685.8,1079.25,25.38,1.0357,298.7,109.90625,127.265625,141.03125,134.625,23.05,665.25,10926.0,131.7,120.94,119.22,81.62,83.44,2777.0,109.17,1618.0,82.43,1848.0,81.63,1334.8,3.701,2.256,3.63,1698.0,2.1194,22.585,667.7
