,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-01-07 00:01:00,0.9854,57.4,1.5435,601.0,2828.0,1.0014,141.35,1270.75,1.2985,117.35156200000002,123.375,79.55,0.011989,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.25,791.4,1378.0,30.31,1.0361,368.4,109.265625,119.890625,123.5625,120.21875,18.6,783.25,11658.0,125.9,118.9,108.18,88.76,93.94,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1370.5,4.3385,2.5151,4.407,1732.1,2.447,29.025,735.7
2011-01-07 00:02:00,0.9854,57.4,1.5437,601.0,2828.0,1.0014,141.35,1271.0,1.2988,117.35156200000002,123.375,79.55,0.01199,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.25,791.4,1378.0,30.31,1.0361,368.4,109.265625,119.890625,123.5625,120.21875,18.6,783.25,11658.0,125.9,118.9,108.18,88.76,93.94,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1370.7,4.339,2.5151,4.41,1732.1,2.447,29.025,735.7
2011-01-07 00:03:00,0.9855,57.4,1.5438,601.0,2828.0,1.0014,141.35,1271.0,1.2989,117.34375,123.375,79.55,0.01199,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.25,791.4,1378.0,30.31,1.0361,368.4,109.265625,119.890625,123.5625,120.21875,18.6,783.25,11658.0,125.9,118.9,108.18,88.76,93.94,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1370.7,4.339,2.5151,4.41,1732.1,2.447,29.025,735.7
2011-01-07 00:04:00,0.9855,57.4,1.5439,601.0,2828.0,1.0014,141.35,1270.75,1.2992,117.34375,123.375,79.55,0.01199,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.5,791.4,1378.0,30.31,1.0361,368.4,109.265625,119.890625,123.5625,120.25,18.6,783.25,11658.0,125.9,118.9,108.18,88.73,93.9,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1370.7,4.339,2.5151,4.409,1732.1,2.447,29.035,735.7
2011-01-07 00:05:00,0.9856,57.4,1.5439,601.0,2828.0,1.0015,141.35,1271.0,1.2994,117.34375,123.375,79.55,0.011992000000000001,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.5,791.4,1378.0,30.31,1.0361,368.4,109.265625,119.890625,123.5625,120.25,18.6,783.25,11658.0,125.9,118.9,108.18,88.73,93.9,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1371.5,4.339,2.5151,4.409,1732.1,2.447,29.04,735.7
2011-01-07 00:06:00,0.9855,57.4,1.5439,601.0,2828.0,1.0015,141.35,1271.0,1.2992,117.34375,123.375,79.55,0.011991,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.5,791.4,1378.0,30.31,1.0361,368.4,109.265625,119.890625,123.5625,120.25,18.6,783.25,11658.0,125.9,118.9,108.18,88.73,93.9,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1370.9,4.338,2.5151,4.407,1732.1,2.447,29.03,735.7
2011-01-07 00:07:00,0.9855,57.4,1.5439,601.0,2828.0,1.0015,141.35,1271.25,1.2992,117.34375,123.375,79.55,0.011988,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.5,791.4,1378.0,30.31,1.0362,368.4,109.265625,119.875,123.5625,120.25,18.6,783.25,11658.0,125.9,118.9,108.18,88.73,93.9,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.73,1370.8,4.3385,2.5149,4.407,1732.1,2.447,29.03,735.7
2011-01-07 00:08:00,0.9855,57.4,1.5437,600.75,2828.0,1.0015,141.35,1270.75,1.2993,117.33593700000002,123.375,79.55,0.011989,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.25,791.4,1378.0,30.31,1.0363,368.4,109.265625,119.875,123.5625,120.21875,18.6,782.75,11657.0,125.9,118.9,108.18,88.72,93.86,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.7,1370.8,4.337,2.5149,4.407,1732.1,2.447,29.025,735.7
2011-01-07 00:09:00,0.9854,57.4,1.5438,600.75,2828.0,1.0015,141.35,1271.0,1.2992,117.32031200000002,123.375,79.55,0.011988,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.25,791.4,1378.0,30.31,1.0363,368.4,109.265625,119.859375,123.5625,120.1875,18.6,782.75,11657.0,125.9,118.9,108.18,88.72,93.91,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.71,1370.8,4.3355,2.5149,4.407,1732.1,2.447,29.03,735.7
2011-01-07 00:10:00,0.9852,57.4,1.5438,600.75,2828.0,1.0015,141.35,1271.0,1.2993,117.32031200000002,123.375,79.55,0.011988,232.6,854.0,106.475,1643.0,1149.8,10530.0,10580.0,2277.25,791.4,1378.0,30.31,1.0363,368.4,109.265625,119.859375,123.5625,120.1875,18.6,782.75,11657.0,125.9,118.9,108.18,88.72,93.91,2823.0,108.96,2.5025,2010.0,94.12,1926.0,88.7,1370.7,4.3355,2.5136,4.412,1732.1,2.447,29.025,735.7
