,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-07-08 00:01:00,1.0675,56.65,1.5938,628.75,3200.0,1.0406,115.7,1351.0,1.432,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10165.0,10165.0,2416.25,578.7,857.2,1343.25,29.55,1.1847,345.2,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12677.0,126.06,117.08,105.26,98.49,118.16,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.5,1531.6,4.437,3.0892,4.156000000000001,1738.0,3.1098,36.435,812.2
2011-07-08 00:02:00,1.0677,56.65,1.5938,628.75,3200.0,1.0404,115.7,1350.75,1.432,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10165.0,10165.0,2416.25,578.7,857.2,1343.25,29.55,1.1847,345.2,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12677.0,126.06,117.08,105.26,98.49,118.14,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.51,1531.3,4.437,3.0892,4.156000000000001,1738.0,3.1098,36.435,812.2
2011-07-08 00:03:00,1.0676,56.65,1.5938,628.75,3200.0,1.0405,115.7,1350.5,1.432,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10165.0,10165.0,2415.75,578.7,857.0,1343.25,29.55,1.1847,345.2,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12677.0,126.06,117.08,105.26,98.49,118.17,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.52,1531.5,4.437,3.0892,4.156000000000001,1738.0,3.1098,36.43,812.2
2011-07-08 00:04:00,1.0676,56.7,1.5939,628.75,3200.0,1.0405,115.7,1350.75,1.432,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10165.0,10165.0,2415.75,578.7,857.0,1343.25,29.55,1.1847,345.2,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12677.0,126.06,117.08,105.26,98.49,118.13,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.51,1531.5,4.437,3.0892,4.156000000000001,1738.0,3.1098,36.43,812.2
2011-07-08 00:05:00,1.0675,56.7,1.5938,628.75,3200.0,1.0405,115.7,1350.5,1.432,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10165.0,10165.0,2415.5,578.7,857.0,1343.25,29.55,1.1847,345.2,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12677.0,126.06,117.08,105.26,98.49,118.13,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.52,1531.4,4.4385,3.0892,4.156000000000001,1738.0,3.1098,36.43,812.2
2011-07-08 00:06:00,1.0673,56.7,1.5938,628.75,3200.0,1.0405,115.7,1350.75,1.4319,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10160.0,10165.0,2415.5,578.7,857.0,1343.25,29.55,1.1847,345.2,109.640625,122.46875,126.40625,123.28125,16.65,634.75,12674.0,126.06,117.08,105.26,98.49,118.13,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.53,1531.4,4.4365,3.0892,4.156000000000001,1738.0,3.1098,36.455,812.2
2011-07-08 00:07:00,1.0675,56.7,1.5937,628.75,3200.0,1.0405,115.7,1350.5,1.4319,119.265625,144.05,95.6,0.012311,268.65,724.0,114.7,1708.8,1182.3,10160.0,10165.0,2415.5,578.7,857.0,1343.25,29.55,1.1847,345.4,109.640625,122.46875,126.40625,123.28125,16.65,634.75,12674.0,126.06,117.08,105.26,98.49,118.11,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.51,1531.5,4.4365,3.0892,4.156000000000001,1738.0,3.1098,36.455,812.2
2011-07-08 00:08:00,1.0674,56.7,1.5937,628.75,3200.0,1.0405,115.79,1350.75,1.4318,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10160.0,10165.0,2415.5,578.7,857.0,1343.25,29.55,1.1846,345.4,109.640625,122.46875,126.40625,123.28125,16.65,634.75,12675.0,126.06,117.08,105.26,98.49,118.01,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.5,1531.3,4.4385,3.0892,4.156000000000001,1738.0,3.1112,36.455,812.2
2011-07-08 00:09:00,1.0674,56.7,1.5938,628.75,3200.0,1.0405,115.79,1350.75,1.4317,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10160.0,10165.0,2415.5,578.7,857.0,1343.25,29.55,1.1846,345.4,109.640625,122.46875,126.40625,123.28125,16.65,634.75,12676.0,126.06,117.08,105.26,98.49,118.01,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.5,1531.6,4.4385,3.0892,4.156000000000001,1738.0,3.1112,36.455,812.2
2011-07-08 00:10:00,1.0674,56.7,1.5938,628.75,3200.0,1.0405,115.79,1350.5,1.4317,119.265625,144.05,95.6,0.012309,268.65,724.0,114.7,1708.8,1182.3,10140.0,10165.0,2415.5,578.7,857.0,1343.25,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12674.0,126.06,117.08,105.26,98.49,118.06,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.5,1531.5,4.439,3.0892,4.156000000000001,1738.0,3.1112,36.455,812.2
2011-07-08 00:11:00,1.0674,56.7,1.5937,628.75,3200.0,1.0406,115.79,1350.5,1.4318,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10165.0,2415.75,578.7,857.0,1343.25,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,634.75,12677.0,126.06,117.08,105.26,98.49,118.09,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.52,1531.5,4.438,3.0892,4.156000000000001,1738.0,3.1112,36.46,812.2
2011-07-08 00:12:00,1.0674,56.7,1.5937,628.75,3200.0,1.0406,115.79,1350.5,1.4317,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10165.0,2415.5,578.7,856.8,1343.25,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,634.5,12675.0,126.06,117.08,105.26,98.49,118.09,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.55,1531.4,4.438,3.0892,4.156000000000001,1738.0,3.1112,36.46,812.2
2011-07-08 00:13:00,1.0672,56.7,1.5936,628.75,3200.0,1.0404,115.44,1350.25,1.4315,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10150.0,2415.5,578.7,856.8,1343.25,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,634.5,12673.0,126.06,117.08,105.26,98.48,117.9,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.46,1531.5,4.438,3.0892,4.156000000000001,1738.0,3.1095,36.46,812.2
2011-07-08 00:14:00,1.0672,56.7,1.5936,628.5,3200.0,1.0404,115.44,1350.5,1.4315,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10155.0,2415.5,578.7,856.8,1343.25,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12673.0,126.06,117.08,105.26,98.48,118.0,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.46,1531.6,4.438,3.0892,4.156000000000001,1738.0,3.1095,36.46,812.2
2011-07-08 00:15:00,1.0672,56.7,1.5936,628.5,3200.0,1.0404,115.44,1350.5,1.4314,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10155.0,2415.75,578.7,856.8,1343.25,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12676.0,126.06,117.08,105.26,98.48,118.0,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.45,1531.6,4.438,3.0892,4.156000000000001,1738.0,3.1095,36.45,812.2
2011-07-08 00:16:00,1.0672,56.7,1.5937,628.5,3200.0,1.0404,115.44,1350.75,1.4315,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10155.0,2416.0,578.7,856.8,1343.5,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12676.0,126.06,117.08,105.26,98.48,118.0,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.48,1531.6,4.44,3.0892,4.156000000000001,1738.0,3.1095,36.435,812.2
2011-07-08 00:17:00,1.0672,56.7,1.5937,628.5,3200.0,1.0404,115.44,1350.5,1.4315,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10145.0,10160.0,2416.0,578.7,857.0,1343.5,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12676.0,126.06,117.08,105.26,98.48,118.0,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.49,1531.6,4.44,3.0892,4.159,1738.0,3.1094,36.465,812.2
2011-07-08 00:18:00,1.0672,56.7,1.5939,628.5,3200.0,1.0405,115.44,1350.75,1.4315,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10145.0,10160.0,2416.0,578.7,857.0,1343.5,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12676.0,126.06,117.08,105.26,98.48,117.9,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.48,1531.5,4.44,3.0888,4.16,1738.0,3.1094,36.465,812.2
2011-07-08 00:19:00,1.0672,56.7,1.5937,628.5,3200.0,1.0405,115.43,1350.75,1.4315,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10145.0,10160.0,2416.0,578.7,857.0,1343.5,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12676.0,126.06,117.08,105.26,98.48,117.99,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.48,1531.5,4.44,3.0885,4.16,1738.0,3.1094,36.465,812.2
2011-07-08 00:20:00,1.0672,56.75,1.5937,628.5,3200.0,1.0405,115.43,1350.75,1.4314,119.265625,144.05,95.6,0.012311,268.65,724.0,114.7,1708.8,1182.3,10145.0,10160.0,2416.0,578.7,857.1,1343.5,29.55,1.1848,345.4,109.640625,122.453125,126.40625,123.28125,16.65,635.0,12676.0,126.06,117.08,105.26,98.51,118.05,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.49,1531.5,4.44,3.0895,4.159,1738.0,3.1094,36.465,812.2
2011-07-08 00:21:00,1.067,56.75,1.5934,628.5,3200.0,1.0403,115.41,1350.75,1.4308,119.265625,144.05,95.6,0.012309,268.65,724.0,114.7,1708.8,1182.3,10135.0,10160.0,2415.75,578.7,857.1,1343.5,29.55,1.1846,345.4,109.640625,122.453125,126.40625,123.28125,16.65,634.5,12676.0,126.06,117.08,105.26,98.51,118.05,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.49,1531.4,4.4395,3.0895,4.159,1738.0,3.1094,36.425,812.2
2011-07-08 00:22:00,1.0672,56.75,1.5934,628.5,3200.0,1.0403,115.41,1350.5,1.4311,119.265625,144.05,95.6,0.01231,268.65,724.0,114.7,1708.8,1182.3,10135.0,10160.0,2415.75,578.7,857.1,1343.5,29.55,1.1845,345.4,109.640625,122.46875,126.40625,123.28125,16.65,634.5,12675.0,126.06,117.08,105.26,98.51,118.0,2860.0,107.63,3.108,3.1068,2420.0,118.02,1986.0,98.45,1531.5,4.4395,3.0895,4.159,1738.0,3.1094,36.44,812.2
