,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-10-07 00:01:00,0.9711,49.3,1.5459,605.5,2690.0,0.963,103.11,1159.0,1.3429,122.35156200000002,141.725,89.05,0.013061000000000001,235.8,700.75,122.125,1406.2,870.5,8645.0,8665.0,2208.75,521.2,671.9,1160.75,24.88,1.0894,303.4,110.08593700000002,129.53125,157.75,142.40625,37.85,618.75,11056.0,135.86,121.84,122.22,82.93,105.99,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.95,1664.6,3.329,2.8652,3.591,1539.9,2.686,32.395,646.6
2011-10-07 00:02:00,0.9708,49.3,1.5459,605.5,2690.0,0.9629,103.11,1159.0,1.3426,122.34375,141.725,89.05,0.013063,235.8,700.75,122.125,1406.2,870.5,8645.0,8665.0,2209.0,521.2,671.9,1160.75,24.88,1.089,303.4,110.08593700000002,129.53125,157.75,142.375,37.85,618.75,11055.0,135.86,121.84,122.22,82.98,106.0,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.94,1664.7,3.331,2.8652,3.591,1539.9,2.686,32.395,646.6
2011-10-07 00:03:00,0.9701,49.3,1.5459,605.5,2690.0,0.9628,103.11,1159.0,1.3425,122.35156200000002,141.725,89.05,0.013063,235.8,700.75,122.125,1406.2,870.5,8645.0,8665.0,2208.75,521.2,671.9,1160.75,24.88,1.0894,303.4,110.08593700000002,129.53125,157.75,142.375,37.85,618.75,11053.0,135.86,121.84,122.22,82.98,105.98,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.96,1664.7,3.3305,2.8652,3.591,1539.9,2.686,32.395,646.6
2011-10-07 00:04:00,0.9701,49.3,1.5456,605.5,2690.0,0.9627,103.11,1159.0,1.3425,122.35156200000002,141.725,89.05,0.013062,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2209.0,521.2,671.9,1160.75,24.88,1.0894,303.4,110.08593700000002,129.546875,157.75,142.375,37.85,618.75,11054.0,135.86,121.84,122.22,82.98,105.98,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.97,1665.4,3.331,2.8652,3.591,1539.9,2.686,32.43,646.6
2011-10-07 00:05:00,0.9696,49.3,1.5453,605.0,2690.0,0.9626,103.11,1158.5,1.3423,122.35156200000002,141.725,89.05,0.013062,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2208.25,521.2,671.7,1160.0,24.88,1.0892,303.4,110.08593700000002,129.546875,157.75,142.375,37.85,618.75,11050.0,135.86,121.84,122.22,82.92,105.9,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.95,1664.7,3.3285,2.8652,3.591,1539.7,2.686,32.435,646.6
2011-10-07 00:06:00,0.9695,49.26,1.5451,604.75,2690.0,0.9627,103.11,1158.75,1.3423,122.35156200000002,141.725,89.05,0.013063,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2208.5,521.2,671.7,1159.75,24.88,1.0891,303.4,110.08593700000002,129.546875,157.75,142.40625,37.85,618.5,11051.0,135.86,121.84,122.22,82.98,106.01,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.99,1664.6,3.328,2.8652,3.591,1539.7,2.686,32.425,646.6
2011-10-07 00:07:00,0.9695,49.25,1.5454,604.0,2690.0,0.9625,103.11,1158.5,1.3426,122.359375,141.725,89.05,0.013063,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2208.0,521.2,671.7,1159.75,24.88,1.0891,303.4,110.08593700000002,129.546875,157.75,142.40625,37.85,617.0,11050.0,135.86,121.84,122.22,82.98,105.92,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.97,1663.7,3.327,2.8652,3.591,1538.8,2.686,32.41,646.6
2011-10-07 00:08:00,0.9693,49.25,1.545,604.25,2690.0,0.9622,103.11,1158.25,1.3422,122.35156200000002,141.725,89.05,0.013063,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2207.75,521.2,671.6,1159.25,24.88,1.0893,303.4,110.08593700000002,129.546875,157.75,142.40625,37.85,617.0,11048.0,135.86,121.84,122.22,82.98,105.96,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.94,1663.7,3.3205,2.8654,3.591,1538.8,2.686,32.37,646.6
2011-10-07 00:09:00,0.9695,49.25,1.5453,604.25,2690.0,0.9623,103.11,1158.25,1.3423,122.35156200000002,141.725,89.05,0.013062,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2207.75,521.2,671.6,1159.25,24.88,1.0892,303.4,110.08593700000002,129.546875,157.75,142.375,37.85,617.0,11048.0,135.86,121.84,122.22,82.96,105.95,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.98,1663.6,3.32,2.8654,3.591,1539.1,2.686,32.37,646.6
2011-10-07 00:10:00,0.9695,49.25,1.5453,603.75,2690.0,0.9624,103.11,1158.25,1.3424,122.35156200000002,141.725,89.05,0.013062,235.8,700.75,122.15,1406.2,870.5,8645.0,8665.0,2207.75,521.2,671.5,1159.0,24.88,1.0896,303.4,110.08593700000002,129.546875,157.75,142.375,37.85,617.0,11047.0,135.86,121.84,122.22,82.96,105.95,2244.0,109.495,42.2,2.8465,2.6526,2042.0,105.4,1737.0,82.95,1663.7,3.317,2.8654,3.591,1539.1,2.686,32.37,646.6
