,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2012-03-09 00:01:00,1.0649,54.2,1.5823,639.25,2376.0,1.0105,89.95,1361.5,1.3269,123.10156200000002,157.325,87.55,0.012227,188.75,682.25,126.55,1551.9,1063.2,9920.0,9950.0,2633.75,802.6,1350.75,24.09,1.1006,369.2,110.08593700000002,130.828125,154.8125,140.46875,19.75,640.25,12852.0,138.32,124.14,126.3,106.92,125.6,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.94,1705.4,3.816,3.2743,2.292,1673.9,3.3116,34.02,632.6
2012-03-09 00:02:00,1.0649,54.17,1.5825,639.25,2376.0,1.0105,89.95,1361.25,1.3269,123.10156200000002,157.325,87.55,0.012227,188.75,682.25,126.55,1551.9,1063.2,9920.0,9950.0,2634.0,802.6,1350.25,24.09,1.1006,369.2,110.08593700000002,130.828125,154.8125,140.46875,19.75,640.25,12852.0,138.32,124.14,126.3,106.92,125.59,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.93,1705.2,3.8165,3.2743,2.292,1673.9,3.3116,34.02,632.6
2012-03-09 00:03:00,1.0648,54.17,1.5824,639.0,2376.0,1.0104,89.94,1361.5,1.3268,123.10156200000002,157.325,87.55,0.012227,188.75,682.25,126.55,1551.9,1063.2,9920.0,9950.0,2634.0,802.6,1350.0,24.09,1.1006,369.2,110.08593700000002,130.84375,154.8125,140.46875,19.75,640.25,12852.0,138.32,124.14,126.3,106.92,125.59,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.94,1705.2,3.816,3.2743,2.292,1673.3,3.3124,34.02,632.6
2012-03-09 00:04:00,1.0649,54.16,1.5825,639.25,2376.0,1.0106,89.94,1361.5,1.3269,123.10156200000002,157.325,87.55,0.012227,188.75,682.25,126.55,1551.9,1063.2,9925.0,9950.0,2634.0,802.6,1349.5,24.09,1.1007,368.9,110.08593700000002,130.84375,154.8125,140.5,19.75,640.25,12852.0,138.32,124.14,126.3,106.92,125.59,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.93,1705.2,3.8165,3.2743,2.292,1673.3,3.3124,34.04,632.6
2012-03-09 00:05:00,1.0651,54.17,1.5825,639.25,2376.0,1.0105,89.94,1362.0,1.3269,123.10156200000002,157.325,87.55,0.012225,188.75,682.25,126.55,1551.9,1063.2,9935.0,9950.0,2634.5,802.7,1349.5,24.09,1.1007,368.9,110.08593700000002,130.84375,154.8125,140.5,19.75,640.25,12854.0,138.32,124.14,126.3,106.96,125.57,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.96,1705.2,3.817,3.2743,2.292,1673.2,3.3124,34.04,632.6
2012-03-09 00:06:00,1.0651,54.17,1.5825,639.25,2376.0,1.0106,89.94,1361.75,1.327,123.10156200000002,157.325,87.55,0.012225,188.75,682.25,126.55,1551.9,1063.2,9930.0,9950.0,2634.5,802.7,1349.75,24.09,1.1005,368.9,110.08593700000002,130.828125,154.8125,140.5,19.75,640.25,12854.0,138.32,124.14,126.3,106.98,125.57,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.98,1705.0,3.817,3.2743,2.296,1674.0,3.3124,34.045,632.6
2012-03-09 00:07:00,1.0653,54.17,1.5827,639.0,2376.0,1.0107,89.95,1362.0,1.327,123.10156200000002,157.325,87.55,0.012225,188.75,682.25,126.55,1551.9,1063.2,9930.0,9950.0,2634.5,803.1,1349.75,24.09,1.1005,368.9,110.08593700000002,130.828125,154.8125,140.5,19.75,640.25,12854.0,138.32,124.14,126.3,106.98,125.6,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.98,1705.5,3.818,3.2743,2.296,1674.0,3.3124,34.05,632.6
2012-03-09 00:08:00,1.0652,54.17,1.5827,639.0,2376.0,1.0106,89.95,1361.75,1.3271,123.10156200000002,157.325,87.55,0.012225,188.75,682.25,126.55,1551.9,1063.2,9930.0,9950.0,2634.5,803.0,1349.75,24.09,1.1005,368.9,110.08593700000002,130.828125,154.8125,140.5,19.75,640.25,12855.0,138.32,124.14,126.3,106.98,125.59,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.98,1705.5,3.818,3.2743,2.296,1673.8,3.3124,34.045,632.6
2012-03-09 00:09:00,1.0653,54.17,1.5827,639.25,2376.0,1.0106,89.95,1362.0,1.327,123.10156200000002,157.325,87.55,0.012225,188.75,682.25,126.55,1551.9,1063.2,9930.0,9950.0,2634.5,802.9,1350.0,24.09,1.1007,368.9,110.08593700000002,130.828125,154.8125,140.5,19.75,640.25,12856.0,138.32,124.14,126.3,106.98,125.6,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,106.98,1705.6,3.818,3.2743,2.296,1673.9,3.3124,34.045,632.6
2012-03-09 00:10:00,1.0653,54.17,1.5827,639.25,2376.0,1.0107,90.0,1362.0,1.327,123.09375,157.325,87.55,0.012225,188.75,682.25,126.55,1551.9,1063.2,9935.0,9950.0,2634.5,802.9,1350.0,24.09,1.1006,368.9,110.08593700000002,130.8125,154.8125,140.46875,19.75,640.25,12856.0,138.32,124.14,126.3,106.98,125.63,2517.0,110.395,25.1,3.2594,3.3123,2060.0,125.03,1497.0,107.0,1705.9,3.819,3.2743,2.296,1674.9,3.3125,34.045,632.6
