,@AD#,@BP#,@CD#,@ES#,@EU#,@FV#,@JY#,@NIY#,@NKD#,@NQ#,@RTY#,@SF#,@TU#,@TY#,@UB#,@US#,@YM#
2012-04-06 00:01:00,1.0228,1.5849,1.0053,1392.5,1.3074,122.71093700000002,0.012164,9695.0,9690.0,2758.75,812.7,1.0888,110.05468700000002,129.9375,151.53125,138.28125,12994.0
2012-04-06 00:02:00,1.0228,1.585,1.0053,1392.5,1.3075,122.71093700000002,0.012164,9695.0,9690.0,2758.75,812.7,1.0888,110.05468700000002,129.9375,151.53125,138.28125,12994.0
2012-04-06 00:03:00,1.0228,1.585,1.0053,1392.5,1.3075,122.71093700000002,0.012164,9695.0,9690.0,2758.5,813.1,1.0888,110.05468700000002,129.9375,151.53125,138.28125,12994.0
2012-04-06 00:04:00,1.0228,1.585,1.0053,1392.5,1.3074,122.71093700000002,0.012163,9695.0,9690.0,2758.75,813.1,1.0888,110.05468700000002,129.953125,151.53125,138.28125,12994.0
2012-04-06 00:05:00,1.0228,1.5848,1.0053,1392.75,1.3074,122.71093700000002,0.012163,9695.0,9690.0,2758.75,813.1,1.0888,110.05468700000002,129.9375,151.53125,138.28125,12994.0
2012-04-06 00:06:00,1.0227,1.5846,1.0053,1392.5,1.3074,122.71093700000002,0.012164,9695.0,9690.0,2758.75,813.1,1.0888,110.05468700000002,129.9375,151.53125,138.3125,12994.0
2012-04-06 00:07:00,1.0228,1.5843,1.0053,1392.5,1.3073,122.703125,0.012164,9695.0,9690.0,2758.75,813.2,1.0888,110.05468700000002,129.921875,151.53125,138.28125,12993.0
2012-04-06 00:08:00,1.0226,1.5844,1.0053,1392.25,1.3073,122.703125,0.012164,9690.0,9690.0,2758.25,813.2,1.0888,110.05468700000002,129.921875,151.53125,138.28125,12993.0
2012-04-06 00:09:00,1.0227,1.5845,1.0053,1392.0,1.3072,122.703125,0.012164,9690.0,9690.0,2758.0,813.2,1.0888,110.05468700000002,129.921875,151.53125,138.28125,12991.0
2012-04-06 00:10:00,1.0227,1.5845,1.0053,1392.0,1.3072,122.703125,0.012164,9690.0,9690.0,2758.0,813.2,1.0888,110.05468700000002,129.921875,151.53125,138.28125,12991.0
2012-04-06 00:11:00,1.0227,1.5843,1.0053,1392.25,1.3072,122.703125,0.012163,9690.0,9690.0,2758.25,813.2,1.0888,110.05468700000002,129.921875,151.53125,138.28125,12991.0
