,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2012-10-05 00:01:00,1.0204,51.59,1.619,756.0,2397.0,1.0184,71.95,1457.0,1.3022,124.63281200000002,145.75,76.575,0.012777,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0754,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13505.0,141.31,125.57,131.68,91.39,112.0,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.39,1796.1,3.7985,3.1737,3.418,1728.7,2.9325,35.075,595.8
2012-10-05 00:02:00,1.0203,51.59,1.619,756.0,2397.0,1.0185,71.95,1457.0,1.3022,124.63281200000002,145.75,76.575,0.012776000000000001,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0755,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13505.0,141.31,125.57,131.68,91.39,112.02,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.38,1796.0,3.799,3.1737,3.418,1728.4,2.9325,35.085,595.8
2012-10-05 00:03:00,1.0203,51.59,1.619,756.0,2397.0,1.0185,71.95,1457.0,1.3022,124.63281200000002,145.75,76.575,0.012775,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0755,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13505.0,141.31,125.57,131.68,91.39,112.0,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.38,1795.8,3.799,3.1735,3.418,1728.1,2.9325,35.075,595.8
2012-10-05 00:04:00,1.0202,51.59,1.619,756.0,2397.0,1.0185,71.95,1457.0,1.3022,124.63281200000002,145.75,76.575,0.012773,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0755,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13505.0,141.31,125.57,131.68,91.39,112.0,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.39,1795.9,3.799,3.1735,3.418,1728.1,2.9325,35.085,595.8
2012-10-05 00:05:00,1.0203,51.59,1.619,756.0,2397.0,1.0185,71.95,1457.25,1.3023,124.63281200000002,145.75,76.575,0.012771,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0755,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13505.0,141.31,125.57,131.68,91.39,112.0,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.39,1795.6,3.799,3.1736,3.418,1728.8,2.9325,35.075,595.8
2012-10-05 00:06:00,1.0202,51.59,1.619,755.75,2397.0,1.0184,71.95,1457.0,1.3024,124.63281200000002,145.75,76.575,0.012772,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0754,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13504.0,141.31,125.57,131.68,91.39,112.01,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.41,1795.8,3.799,3.1736,3.418,1728.5,2.9319,35.085,595.8
2012-10-05 00:07:00,1.0201,51.59,1.6189,755.75,2397.0,1.0184,71.95,1457.25,1.3023,124.63281200000002,145.75,76.575,0.012772,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0754,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13506.0,141.31,125.57,131.68,91.39,112.01,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.4,1795.6,3.7995,3.1736,3.418,1728.4,2.9319,35.085,595.8
2012-10-05 00:08:00,1.0201,51.59,1.6189,755.75,2397.0,1.0184,71.95,1457.25,1.3023,124.63281200000002,145.75,76.575,0.012772,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0753,469.7,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13506.0,141.31,125.57,131.68,91.39,111.99,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.4,1795.8,3.7995,3.1736,3.418,1728.4,2.9319,35.085,595.8
2012-10-05 00:09:00,1.0203,51.59,1.6189,755.75,2397.0,1.0184,71.95,1457.25,1.3023,124.63281200000002,145.75,76.575,0.012773,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2825.0,605.3,841.9,1554.75,21.65,1.0753,469.6,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13506.0,141.31,125.57,131.68,91.39,112.0,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.4,1795.9,3.7995,3.1736,3.418,1729.4,2.9319,35.085,595.8
2012-10-05 00:10:00,1.0201,51.59,1.6189,755.75,2397.0,1.0185,71.95,1457.25,1.3023,124.625,145.75,76.575,0.012772,175.75,887.5,125.75,1540.0,1006.5,8820.0,8835.0,2824.75,605.3,841.9,1554.75,21.65,1.0753,469.6,110.24218700000002,133.390625,163.96875,148.8125,15.65,869.5,13506.0,141.31,125.57,131.68,91.39,111.99,2492.0,110.66,22.6,3.1746,2.9734,2138.0,133.75,112.13,1524.0,91.4,1796.0,3.7995,3.1736,3.418,1729.1,2.9319,35.085,595.8
