,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2014-03-07 00:01:00,0.9084,44.6,1.6736,495.5,2951.0,0.9093,92.27,1878.0,1.3858,119.60156200000002,172.675,113.275,0.00971,194.25,714.75,143.075,1945.6,971.2,15250.0,15285.0,3723.5,1204.8,1447.75,18.35,1.1371,454.4,109.890625,124.03125,141.375,131.75,15.1,648.0,16426.0,142.26,125.03,127.22,101.92,108.46,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.95,1350.6,3.2105,2.9892,4.66,1486.3,2.9506,21.545,485.2
2014-03-07 00:02:00,0.9083,44.6,1.6736,495.5,2951.0,0.9093,92.27,1877.75,1.3857,119.60156200000002,172.675,113.275,0.00971,194.25,714.75,143.075,1945.6,971.2,15250.0,15285.0,3723.5,1204.8,1447.75,18.35,1.1371,454.4,109.890625,124.03125,141.375,131.78125,15.1,648.0,16426.0,142.26,125.03,127.22,101.92,108.46,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.95,1350.7,3.2105,2.9892,4.6610000000000005,1486.3,2.9506,21.545,485.2
2014-03-07 00:03:00,0.9084,44.58,1.6736,495.25,2951.0,0.9093,92.27,1878.0,1.3857,119.60156200000002,172.675,113.275,0.00971,194.25,714.75,143.075,1945.6,971.2,15250.0,15285.0,3723.5,1204.8,1447.75,18.35,1.1372,454.4,109.890625,124.03125,141.375,131.78125,15.1,648.0,16427.0,142.26,125.03,127.22,101.92,108.46,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.94,1350.7,3.2105,2.9892,4.6610000000000005,1486.2,2.9506,21.545,485.2
2014-03-07 00:04:00,0.9084,44.58,1.6737,495.5,2951.0,0.9093,92.27,1878.0,1.3857,119.609375,172.675,113.275,0.00971,194.25,714.75,143.075,1945.6,971.2,15250.0,15285.0,3723.5,1204.8,1448.0,18.35,1.1372,454.4,109.890625,124.046875,141.375,131.78125,15.1,648.0,16427.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.95,1350.7,3.2105,2.9892,4.663,1486.0,2.9506,21.545,485.2
2014-03-07 00:05:00,0.9083,44.58,1.6736,495.5,2951.0,0.9093,92.27,1878.5,1.3858,119.609375,172.675,113.275,0.009706999999999999,194.25,714.75,143.075,1945.6,971.2,15275.0,15285.0,3724.25,1205.1,1448.0,18.35,1.1372,454.4,109.890625,124.046875,141.375,131.78125,15.1,648.0,16430.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.95,1350.7,3.2105,2.9892,4.663,1486.0,2.9506,21.545,485.2
2014-03-07 00:06:00,0.9083,44.58,1.6736,495.5,2951.0,0.9092,92.33,1878.5,1.3858,119.60156200000002,172.675,113.275,0.009706000000000001,194.25,714.75,143.075,1945.6,971.2,15275.0,15290.0,3724.25,1205.1,1448.0,18.35,1.1372,454.6,109.890625,124.03125,141.375,131.78125,15.1,648.0,16432.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.94,1350.7,3.211,2.9892,4.662,1486.0,2.9506,21.535,485.2
2014-03-07 00:07:00,0.9083,44.58,1.6736,495.5,2951.0,0.9092,92.27,1878.5,1.3858,119.60156200000002,172.675,113.275,0.009706000000000001,194.25,714.75,143.075,1945.6,971.2,15275.0,15290.0,3724.75,1205.3,1448.0,18.35,1.1372,454.6,109.890625,124.015625,141.375,131.78125,15.1,648.0,16431.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.94,1350.7,3.211,2.9892,4.662,1486.0,2.9506,21.54,485.2
2014-03-07 00:08:00,0.9083,44.58,1.6736,495.5,2951.0,0.9092,92.27,1878.5,1.3857,119.60156200000002,172.675,113.275,0.009706999999999999,194.25,714.75,143.075,1945.6,971.2,15270.0,15290.0,3724.5,1205.3,1448.0,18.35,1.1372,454.6,109.890625,124.015625,141.375,131.78125,15.1,648.0,16430.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.93,1351.0,3.21,2.9892,4.662,1486.0,2.9506,21.54,485.2
2014-03-07 00:09:00,0.9083,44.58,1.6736,495.75,2951.0,0.9092,92.27,1878.25,1.3857,119.60156200000002,172.675,113.275,0.009709,194.25,714.75,143.075,1945.6,971.2,15265.0,15290.0,3724.25,1205.3,1448.0,18.35,1.1372,454.7,109.890625,124.03125,141.375,131.78125,15.1,648.0,16430.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.96,1350.9,3.2105,2.9892,4.66,1486.0,2.9506,21.54,485.2
2014-03-07 00:10:00,0.9082,44.58,1.6736,495.75,2951.0,0.9092,92.27,1878.25,1.3857,119.60156200000002,172.675,113.275,0.009708,194.25,714.75,143.075,1945.6,971.2,15265.0,15290.0,3724.25,1205.3,1448.5,18.35,1.1373,454.8,109.890625,124.03125,141.375,131.78125,15.1,648.0,16430.0,142.26,125.03,127.22,101.92,108.45,3151.0,110.405,18.15,2.9827,2.942,2163.0,134.54,108.38,1825.0,101.96,1350.9,3.211,2.9906,4.66,1486.0,2.9506,21.545,485.2
