,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2015-02-06 00:01:00,0.7812,31.67,1.5327,386.25,2768.0,0.8035,61.88,2053.75,1.1474,120.8671875,196.85,66.9,0.008524,168.0,566.0,148.825,1819.0,983.5,17650.0,17685.0,4246.75,457.6,1202.2,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17771.0,158.66,130.85,167.9,51.18,57.05,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.04,1933.0,51.16,1266.6,2.604,1.817,2.6180000000000003,1254.1,1.5315,17.28,379.7
2015-02-06 00:02:00,0.7812,31.66,1.5327,386.25,2768.0,0.8035,61.88,2053.75,1.1474,120.8671875,196.85,66.9,0.008524,168.0,566.0,148.825,1819.0,983.5,17655.0,17685.0,4246.75,457.6,1202.2,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17771.0,158.66,130.85,167.9,51.18,57.05,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.04,1933.0,51.18,1266.8,2.604,1.817,2.6180000000000003,1254.1,1.5315,17.275,379.7
2015-02-06 00:03:00,0.7812,31.67,1.5327,386.25,2768.0,0.8035,61.88,2054.0,1.1474,120.8671875,196.85,66.9,0.008523000000000001,168.0,566.0,148.825,1819.0,983.5,17660.0,17690.0,4247.5,457.6,1202.2,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17774.0,158.66,130.85,167.9,51.18,57.05,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.04,1933.0,51.19,1266.6,2.604,1.817,2.6180000000000003,1254.1,1.5315,17.27,379.7
2015-02-06 00:04:00,0.7812,31.67,1.5327,386.25,2768.0,0.8035,61.88,2053.75,1.1474,120.8671875,196.85,66.9,0.008523000000000001,168.0,566.0,148.825,1819.0,983.5,17655.0,17690.0,4247.0,457.6,1202.2,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17773.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.04,1933.0,51.19,1266.6,2.604,1.817,2.6180000000000003,1254.6,1.5315,17.27,379.7
2015-02-06 00:05:00,0.7812,31.67,1.5329,386.25,2768.0,0.8035,61.87,2053.75,1.1475,120.8671875,196.85,66.9,0.008523000000000001,168.0,566.0,148.825,1819.0,983.5,17655.0,17685.0,4246.75,457.6,1202.6,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17773.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.05,1933.0,51.2,1266.7,2.604,1.817,2.6180000000000003,1254.6,1.5315,17.275,379.7
2015-02-06 00:06:00,0.7813,31.67,1.5329,386.25,2768.0,0.8035,61.87,2053.5,1.1475,120.8671875,196.85,66.9,0.008525,168.0,566.0,148.825,1819.0,983.5,17650.0,17680.0,4246.5,457.6,1202.6,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17771.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.05,1933.0,51.19,1267.3,2.605,1.817,2.6180000000000003,1254.6,1.5315,17.285,379.7
2015-02-06 00:07:00,0.7813,31.67,1.5329,386.25,2768.0,0.8035,61.87,2053.5,1.1475,120.8671875,196.85,66.9,0.008523000000000001,168.0,566.0,148.825,1819.0,983.5,17650.0,17685.0,4247.0,457.6,1202.6,982.75,14.48,1.0857,331.5,109.796875,129.90625,173.75,148.90625,18.8,527.25,17773.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.05,1933.0,51.2,1266.9,2.605,1.817,2.6180000000000003,1254.4,1.5315,17.285,379.7
2015-02-06 00:08:00,0.7814,31.67,1.5329,386.25,2768.0,0.8035,61.87,2053.5,1.1474,120.8671875,196.85,66.9,0.008524,168.0,566.0,148.825,1819.0,983.5,17650.0,17685.0,4247.0,457.6,1202.6,982.75,14.48,1.0857,331.5,109.796875,129.890625,173.75,148.90625,18.8,527.25,17773.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.05,1933.0,51.21,1266.8,2.605,1.817,2.6180000000000003,1254.4,1.5315,17.285,379.7
2015-02-06 00:09:00,0.7813,31.67,1.5329,386.25,2768.0,0.8035,61.87,2054.0,1.1473,120.8515625,196.85,66.9,0.008524,168.0,566.0,148.825,1819.0,983.5,17650.0,17680.0,4247.25,457.6,1202.6,982.75,14.48,1.0857,331.5,109.796875,129.890625,173.71875,148.875,18.8,527.25,17774.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.05,1933.0,51.22,1267.0,2.605,1.817,2.6189999999999998,1254.3,1.5315,17.285,379.7
2015-02-06 00:10:00,0.7813,31.67,1.5329,386.25,2768.0,0.8035,61.95,2053.75,1.1472,120.8515625,196.85,66.9,0.008524,168.0,566.0,148.825,1819.0,983.5,17640.0,17675.0,4247.0,457.6,1202.6,982.75,14.48,1.0857,331.5,109.796875,129.890625,173.71875,148.875,18.8,527.25,17773.0,158.66,130.85,167.9,51.18,57.06,3406.0,111.26,22.95,541.75,1.8402,1.5586,1925.0,149.43,57.05,1933.0,51.22,1267.2,2.605,1.817,2.6189999999999998,1254.3,1.5315,17.29,379.7
