,@AD#,@BP#,@CD#,@ES#,@EU#,@FV#,@JY#,@NIY#,@NKD#,@NQ#,@RTY#,@SF#,@TU#,@TY#,@UB#,@US#,@VX#,@YM#
2015-04-03 00:01:00,0.7567,1.4818,0.7953,2060.75,1.0882,120.3828125,0.008364,19395.0,19440.0,4306.5,1251.9,1.0445,109.625,129.125,170.28125,164.375,15.6,17682.0
2015-04-03 00:02:00,0.7567,1.4818,0.7953,2060.75,1.0883,120.3828125,0.008362999999999999,19395.0,19440.0,4307.25,1251.9,1.0445,109.625,129.125,170.28125,164.375,15.6,17684.0
2015-04-03 00:03:00,0.7567,1.4818,0.7953,2061.0,1.0883,120.3828125,0.008362999999999999,19395.0,19435.0,4307.25,1251.9,1.0445,109.625,129.125,170.28125,164.375,15.6,17687.0
2015-04-03 00:04:00,0.7567,1.4818,0.7953,2061.0,1.0883,120.3828125,0.008362999999999999,19395.0,19435.0,4307.75,1251.9,1.0445,109.625,129.125,170.28125,164.375,15.6,17684.0
2015-04-03 00:05:00,0.7567,1.4818,0.7953,2061.0,1.0883,120.3828125,0.008362999999999999,19395.0,19435.0,4307.75,1251.9,1.0445,109.625,129.125,170.28125,164.375,15.6,17687.0
2015-04-03 00:06:00,0.7565,1.4818,0.7953,2060.75,1.0883,120.3828125,0.008362999999999999,19395.0,19435.0,4307.5,1251.9,1.0445,109.625,129.125,170.28125,164.375,15.6,17687.0
2015-04-03 00:07:00,0.7566,1.4818,0.7953,2060.25,1.0883,120.3828125,0.008365000000000001,19375.0,19415.0,4306.0,1251.9,1.0445,109.625,129.140625,170.28125,164.375,15.6,17677.0
2015-04-03 00:08:00,0.7568,1.4818,0.7953,2060.0,1.0883,120.390625,0.008364,19375.0,19415.0,4306.5,1251.9,1.0445,109.625,129.140625,170.28125,164.375,15.6,17678.0
2015-04-03 00:09:00,0.7569,1.4818,0.7953,2060.0,1.0883,120.390625,0.008364,19380.0,19415.0,4306.5,1251.9,1.0445,109.625,129.140625,170.28125,164.375,15.6,17678.0
2015-04-03 00:10:00,0.757,1.4818,0.7953,2060.25,1.0883,120.390625,0.008364,19380.0,19415.0,4306.0,1251.9,1.0445,109.625,129.140625,170.28125,164.375,15.6,17676.0
2015-04-03 00:11:00,0.7571,1.4818,0.7955,2060.25,1.0883,120.390625,0.008364,19385.0,19425.0,4306.0,1251.9,1.0445,109.625,129.140625,170.28125,164.375,15.6,17679.0
2015-04-03 00:12:00,0.757,1.4818,0.7955,2060.0,1.0883,120.3984375,0.008364,19380.0,19420.0,4306.5,1251.9,1.0445,109.625,129.171875,170.28125,164.375,15.6,17680.0
2015-04-03 00:13:00,0.7571,1.4818,0.7955,2060.0,1.0883,120.3984375,0.008364,19385.0,19425.0,4306.75,1251.9,1.0445,109.625,129.15625,170.28125,164.375,15.6,17675.0
2015-04-03 00:14:00,0.7571,1.4821,0.7956,2060.5,1.0886,120.3984375,0.008364,19385.0,19425.0,4306.75,1251.9,1.0445,109.625,129.171875,170.28125,164.375,15.6,17681.0
2015-04-03 00:15:00,0.757,1.4821,0.7956,2060.75,1.0885,120.3984375,0.008364,19385.0,19425.0,4308.0,1251.9,1.0445,109.625,129.171875,170.28125,164.375,15.6,17683.0
2015-04-03 00:16:00,0.757,1.4821,0.7956,2060.75,1.0885,120.3984375,0.008364,19390.0,19430.0,4307.0,1251.9,1.0445,109.625,129.171875,170.28125,164.375,15.6,17683.0
2015-04-03 00:17:00,0.7571,1.4821,0.7956,2060.75,1.0886,120.3984375,0.008364,19390.0,19430.0,4307.75,1251.9,1.0445,109.625,129.171875,170.28125,164.375,15.6,17683.0
2015-04-03 00:18:00,0.7571,1.4821,0.7956,2060.5,1.0885,120.390625,0.008362999999999999,19390.0,19430.0,4308.0,1251.9,1.0445,109.625,129.15625,170.28125,164.375,15.6,17683.0
2015-04-03 00:19:00,0.7571,1.4822,0.7956,2060.5,1.0885,120.3828125,0.008362999999999999,19390.0,19425.0,4307.5,1251.9,1.0446,109.625,129.15625,170.28125,164.375,15.6,17683.0
2015-04-03 00:20:00,0.7571,1.4822,0.7956,2060.5,1.0885,120.3828125,0.008362999999999999,19385.0,19425.0,4307.5,1251.9,1.0446,109.625,129.15625,170.28125,164.375,15.6,17683.0
2015-04-03 00:21:00,0.757,1.4822,0.7956,2060.75,1.0885,120.3828125,0.008362999999999999,19385.0,19425.0,4307.5,1251.9,1.0446,109.625,129.15625,170.28125,164.375,15.6,17683.0
2015-04-03 00:22:00,0.7571,1.4822,0.7956,2060.75,1.0887,120.3828125,0.008364,19385.0,19425.0,4307.5,1251.9,1.0444,109.625,129.15625,170.28125,164.375,15.6,17683.0
2015-04-03 00:23:00,0.7571,1.4822,0.7956,2060.75,1.0887,120.3828125,0.008364,19385.0,19425.0,4307.5,1251.9,1.0444,109.625,129.15625,170.28125,164.375,15.6,17683.0
2015-04-03 00:24:00,0.7571,1.4822,0.7956,2060.75,1.0887,120.3828125,0.008364,19390.0,19430.0,4307.25,1251.9,1.0444,109.625,129.15625,170.28125,164.375,15.6,17684.0
2015-04-03 00:25:00,0.7569,1.4822,0.7956,2060.5,1.0887,120.3828125,0.008364,19395.0,19435.0,4307.25,1251.9,1.0444,109.625,129.15625,170.28125,164.375,15.6,17680.0
