,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2015-05-08 00:01:00,0.787,32.53,1.5463,361.0,2953.0,0.8252,65.4,2087.0,1.1213,119.6640625,217.575,83.975,0.008342,131.7,500.75,150.8,1890.0,1026.6,19410.0,19425.0,4410.75,1224.8,973.75,13.01,1.0838,313.4,109.546875,127.546875,161.03125,156.5625,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.38,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.61,1182.4,2.9195,1.9601,2.7310000000000003,1131.8,1.9877,16.295,375.6
2015-05-08 00:02:00,0.7871,32.53,1.5461,361.0,2953.0,0.8252,65.4,2086.75,1.1214,119.6640625,217.575,83.975,0.008341,131.7,500.75,150.8,1890.0,1026.6,19405.0,19420.0,4410.75,1224.8,973.75,13.01,1.0838,313.4,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.38,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.62,1182.4,2.9195,1.9601,2.7310000000000003,1131.8,1.9877,16.295,375.6
2015-05-08 00:03:00,0.787,32.53,1.5462,361.0,2953.0,0.8252,65.4,2087.0,1.1214,119.6640625,217.575,83.975,0.008341,131.7,500.75,150.8,1890.0,1026.6,19405.0,19420.0,4410.5,1224.8,973.75,13.01,1.0838,313.4,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.38,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.4,2.9195,1.9601,2.7310000000000003,1131.8,1.9877,16.295,375.6
2015-05-08 00:04:00,0.787,32.52,1.546,361.0,2953.0,0.8252,65.4,2086.75,1.1211,119.6640625,217.575,83.975,0.00834,131.7,500.75,150.8,1890.0,1026.6,19420.0,19430.0,4410.5,1224.8,973.75,13.01,1.0838,313.4,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.38,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9877,16.29,375.6
2015-05-08 00:05:00,0.7869,32.52,1.5455,361.0,2953.0,0.8251,65.4,2087.0,1.1211,119.6640625,217.575,83.975,0.00834,131.7,500.75,150.8,1890.0,1026.6,19420.0,19435.0,4410.5,1224.8,973.75,13.01,1.0838,313.4,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.38,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.62,1182.0,2.9195,1.9601,2.7310000000000003,1132.2,1.9877,16.285,375.6
2015-05-08 00:06:00,0.787,32.52,1.5456,361.0,2953.0,0.8252,65.4,2087.0,1.1212,119.6640625,217.575,83.975,0.008342,131.7,500.75,150.8,1890.0,1026.6,19415.0,19430.0,4410.5,1224.8,973.75,13.01,1.0838,313.4,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.38,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9877,16.29,375.6
2015-05-08 00:07:00,0.787,32.51,1.5457,361.0,2953.0,0.8251,65.4,2087.0,1.1211,119.6640625,217.575,83.975,0.008342,131.7,500.75,150.8,1890.0,1026.6,19415.0,19430.0,4411.0,1224.8,973.75,13.01,1.0835,313.5,109.546875,127.546875,161.03125,156.5,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.39,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.64,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9877,16.295,375.6
2015-05-08 00:08:00,0.7869,32.51,1.5458,361.25,2953.0,0.8251,65.4,2087.0,1.1211,119.6640625,217.575,83.975,0.008342,131.7,500.75,150.8,1890.0,1026.6,19415.0,19430.0,4411.0,1224.8,973.75,13.01,1.0835,313.5,109.546875,127.53125,161.03125,156.5,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.37,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.64,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9877,16.29,375.6
2015-05-08 00:09:00,0.7869,32.5,1.5458,361.25,2953.0,0.8252,65.4,2087.0,1.121,119.65625,217.575,83.975,0.008343999999999999,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4411.0,1224.8,973.25,13.01,1.0835,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.37,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.62,1182.2,2.9195,1.9601,2.7310000000000003,1132.2,1.9878,16.29,375.6
2015-05-08 00:10:00,0.7868,32.5,1.5456,361.25,2953.0,0.8251,65.4,2087.0,1.1209,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4410.75,1224.8,973.25,13.01,1.0836,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17910.0,154.42,128.45,160.96,58.6,65.37,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.62,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9878,16.29,375.6
2015-05-08 00:11:00,0.7866,32.5,1.5458,361.25,2953.0,0.8249,65.4,2086.75,1.1211,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4410.25,1224.7,973.25,13.01,1.0836,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.36,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.62,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9878,16.29,375.6
2015-05-08 00:12:00,0.7865,32.49,1.5458,361.25,2953.0,0.8249,65.4,2087.0,1.1212,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4410.25,1224.7,973.25,13.01,1.0836,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.36,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.9879,16.295,375.6
2015-05-08 00:13:00,0.7864,32.49,1.546,361.25,2953.0,0.8249,65.4,2086.75,1.1211,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4410.0,1224.7,973.25,13.01,1.0838,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.36,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.62,1182.3,2.9195,1.9601,2.7310000000000003,1132.2,1.987,16.295,375.6
2015-05-08 00:14:00,0.7865,32.49,1.5463,361.25,2953.0,0.8249,65.4,2086.75,1.1214,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19415.0,19425.0,4410.25,1224.7,973.25,13.01,1.0838,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.35,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.4,2.9195,1.9601,2.7310000000000003,1132.2,1.9884,16.295,375.6
2015-05-08 00:15:00,0.7866,32.49,1.5464,361.25,2953.0,0.825,65.4,2086.75,1.1215,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4410.25,1224.7,973.25,13.01,1.0839,313.5,109.546875,127.546875,161.03125,156.53125,15.4,473.75,17908.0,154.42,128.45,160.96,58.6,65.35,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.5,2.9195,1.9601,2.7310000000000003,1132.1,1.9884,16.295,375.6
2015-05-08 00:16:00,0.7868,32.49,1.5466,361.25,2953.0,0.825,65.4,2087.0,1.1216,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19415.0,19430.0,4410.5,1224.7,973.25,13.01,1.0839,313.5,109.546875,127.546875,161.09375,156.59375,15.4,473.75,17908.0,154.42,128.45,160.96,58.6,65.36,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.65,1182.6,2.92,1.9601,2.7310000000000003,1132.1,1.9884,16.3,375.6
2015-05-08 00:17:00,0.7868,32.49,1.5466,361.25,2953.0,0.8251,65.4,2087.0,1.1217,119.65625,217.575,83.975,0.008343999999999999,131.7,500.75,150.8,1890.0,1026.6,19410.0,19430.0,4410.25,1224.7,973.25,13.01,1.0839,313.5,109.546875,127.546875,161.0625,156.5625,15.4,473.75,17909.0,154.42,128.45,160.96,58.6,65.34,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.63,1182.6,2.92,1.9601,2.7310000000000003,1132.1,1.9884,16.305,375.6
2015-05-08 00:18:00,0.787,32.49,1.5467,361.25,2953.0,0.8252,65.4,2086.75,1.1219,119.65625,217.575,83.975,0.008343999999999999,131.7,500.75,150.8,1890.0,1026.6,19405.0,19420.0,4410.25,1224.6,973.25,13.01,1.0839,313.5,109.546875,127.546875,161.0625,156.53125,15.4,473.75,17908.0,154.42,128.45,160.96,58.6,65.34,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.64,1182.9,2.92,1.9601,2.7310000000000003,1132.4,1.9884,16.315,375.6
2015-05-08 00:19:00,0.7869,32.49,1.5466,361.25,2953.0,0.8252,65.4,2086.75,1.1217,119.65625,217.575,83.975,0.008343000000000001,131.7,500.75,150.8,1890.0,1026.6,19400.0,19420.0,4410.0,1224.6,973.25,13.01,1.0839,313.5,109.546875,127.546875,161.0625,156.53125,15.4,473.75,17908.0,154.42,128.45,160.96,58.6,65.36,3518.0,111.17,22.55,596.25,1.9735,2.0086,1680.0,151.44,65.36,1995.0,58.64,1182.9,2.92,1.9599,2.7310000000000003,1132.4,1.9884,16.315,375.6
