,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2016-01-08 00:01:00,0.704,29.67,1.4634,354.0,2988.0,0.7102,61.4,1953.5,1.0891,119.046875,160.775,59.525,0.008455500000000001,119.2,465.5,133.975,1618.8,17825.0,17860.0,4341.0,1067.9,868.75,14.78,1.0056,269.7,108.7734375,126.921875,160.71875,155.6875,22.2,471.25,16585.0,159.28,131.17,152.88,33.9,34.45,3077.0,111.61,27.75,321.25,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.89,1102.4,2.027,1.0783,2.394,877.0,1.1681,14.21,428.6
2016-01-08 00:02:00,0.7039,29.67,1.4633,354.0,2988.0,0.7104,61.4,1952.5,1.0893,119.0390625,160.775,59.525,0.008455500000000001,119.2,465.5,133.975,1618.8,17830.0,17860.0,4339.25,1067.8,868.75,14.78,1.0056,269.7,108.7734375,126.921875,160.6875,155.65625,22.2,471.25,16578.0,159.28,131.17,152.88,33.9,34.45,3077.0,111.61,27.75,321.25,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.9,1102.1,2.026,1.0783,2.3930000000000002,877.0,1.1681,14.205,428.6
2016-01-08 00:03:00,0.704,29.67,1.4633,354.0,2988.0,0.7104,61.4,1952.75,1.0893,119.046875,160.775,59.525,0.008454999999999999,119.2,465.5,133.975,1618.8,17820.0,17860.0,4339.0,1067.1,868.75,14.78,1.0056,269.7,108.7734375,126.9375,160.75,155.71875,22.2,471.25,16577.0,159.28,131.17,152.88,33.9,34.42,3077.0,111.61,27.75,321.25,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.89,1102.2,2.0265,1.0783,2.392,877.0,1.1681,14.21,428.6
2016-01-08 00:04:00,0.7039,29.67,1.4635,354.0,2988.0,0.7104,61.4,1952.75,1.0894,119.0546875,160.775,59.525,0.008457,119.2,465.5,133.975,1618.8,17835.0,17870.0,4339.75,1067.0,868.75,14.78,1.0056,269.7,108.7734375,126.9375,160.75,155.6875,22.2,471.25,16581.0,159.28,131.17,152.88,33.9,34.45,3077.0,111.61,27.75,321.25,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.91,1102.2,2.027,1.0783,2.3930000000000002,876.7,1.1681,14.21,428.6
2016-01-08 00:05:00,0.7038,29.67,1.4636,354.0,2988.0,0.7102,61.4,1952.5,1.0895,119.046875,160.775,59.525,0.0084575,119.2,465.5,133.975,1618.8,17805.0,17840.0,4337.5,1066.9,868.75,14.78,1.0056,269.7,108.7734375,126.9375,160.71875,155.6875,22.25,471.5,16574.0,159.28,131.17,152.88,33.9,34.41,3077.0,111.61,27.75,321.25,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.2,2.026,1.0783,2.394,876.3,1.1681,14.205,428.6
2016-01-08 00:06:00,0.7037,29.67,1.4636,354.0,2988.0,0.7102,61.4,1952.5,1.0896,119.046875,160.775,59.525,0.008457,119.2,465.5,133.975,1618.8,17805.0,17840.0,4338.5,1067.6,868.75,14.78,1.0056,269.7,108.7734375,126.921875,160.71875,155.6875,22.2,471.5,16577.0,159.28,131.17,152.88,33.9,34.42,3077.0,111.61,27.75,321.25,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.89,1102.2,2.027,1.0783,2.3890000000000002,876.3,1.1681,14.21,428.6
2016-01-08 00:07:00,0.7035,29.67,1.4636,354.0,2988.0,0.7101,61.4,1951.5,1.0896,119.046875,160.775,59.525,0.008459,119.2,465.5,133.975,1618.8,17790.0,17825.0,4335.75,1066.8,868.75,14.78,1.0056,269.7,108.7734375,126.9375,160.71875,155.6875,22.2,471.5,16568.0,159.28,131.17,152.88,33.9,34.42,3077.0,111.61,27.75,321.0,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.3,2.026,1.0783,2.387,876.3,1.1681,14.21,428.6
2016-01-08 00:08:00,0.7035,29.67,1.4636,354.0,2988.0,0.7101,61.44,1951.5,1.0896,119.046875,160.775,59.525,0.008458499999999999,119.2,465.5,133.975,1618.8,17790.0,17825.0,4335.75,1066.8,868.75,14.78,1.0056,269.7,108.7734375,126.9375,160.75,155.71875,22.3,471.5,16570.0,159.28,131.17,152.88,33.9,34.4,3077.0,111.61,27.75,321.0,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.2,2.0265,1.0783,2.388,876.6,1.1681,14.21,428.6
2016-01-08 00:09:00,0.7035,29.66,1.4635,354.0,2988.0,0.7101,61.47,1951.0,1.0896,119.046875,160.775,59.525,0.008459999999999999,119.2,465.5,133.975,1618.8,17765.0,17795.0,4334.25,1066.9,868.25,14.78,1.0056,269.6,108.7734375,126.9375,160.71875,155.6875,22.3,471.5,16563.0,159.28,131.17,152.88,33.89,34.39,3077.0,111.61,27.75,321.0,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.2,2.026,1.0783,2.388,876.6,1.1681,14.21,428.6
2016-01-08 00:10:00,0.7036,29.66,1.4634,354.0,2988.0,0.7101,61.44,1950.5,1.0899,119.046875,160.775,59.525,0.008462,119.2,465.5,133.975,1618.8,17750.0,17785.0,4333.5,1066.4,868.5,14.78,1.0056,269.6,108.7734375,126.9375,160.71875,155.6875,22.35,471.5,16561.0,159.28,131.17,152.88,33.89,34.38,3077.0,111.61,27.75,321.0,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.4,2.0255,1.0783,2.388,876.9,1.1681,14.21,428.6
2016-01-08 00:11:00,0.7035,29.66,1.4634,354.0,2988.0,0.7101,61.43,1950.0,1.0898,119.0546875,160.775,59.525,0.008462,119.2,465.5,133.975,1618.8,17740.0,17775.0,4332.5,1066.0,868.75,14.78,1.0055,269.6,108.7734375,126.9375,160.75,155.71875,22.4,471.5,16555.0,159.28,131.17,152.88,33.89,34.36,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.86,1102.5,2.0255,1.0783,2.392,877.0,1.1681,14.21,428.6
2016-01-08 00:12:00,0.7035,29.66,1.463,354.0,2988.0,0.7101,61.43,1950.0,1.0896,119.0546875,160.775,59.525,0.0084615,119.2,465.5,133.975,1618.8,17740.0,17775.0,4333.0,1066.0,868.75,14.78,1.0055,269.6,108.7734375,126.9375,160.75,155.71875,22.4,471.5,16560.0,159.28,131.17,152.88,33.89,34.35,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.86,1102.5,2.0255,1.0783,2.394,877.0,1.1681,14.215,428.6
2016-01-08 00:13:00,0.7035,29.66,1.4627,354.0,2988.0,0.7101,61.43,1950.5,1.0896,119.0546875,160.775,59.525,0.008461,119.2,465.5,133.975,1618.8,17750.0,17785.0,4334.0,1066.0,868.75,14.78,1.0055,269.6,108.7734375,126.9375,160.75,155.71875,22.4,471.5,16563.0,159.28,131.17,152.88,33.89,34.36,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.86,1102.4,2.0245,1.0783,2.3930000000000002,877.0,1.1681,14.215,428.6
2016-01-08 00:14:00,0.7035,29.66,1.4628,354.0,2988.0,0.7101,61.43,1950.5,1.0895,119.0546875,160.775,59.525,0.008460500000000001,119.2,465.5,133.975,1618.8,17750.0,17785.0,4334.25,1066.6,868.75,14.78,1.0055,269.6,108.7734375,126.9375,160.75,155.71875,22.4,471.5,16563.0,159.28,131.17,152.88,33.89,34.37,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.87,1102.0,2.025,1.0783,2.392,877.0,1.1681,14.21,428.6
2016-01-08 00:15:00,0.7034,29.66,1.4629,354.0,2988.0,0.7101,61.43,1950.25,1.0896,119.0546875,160.775,59.525,0.008460500000000001,119.2,465.5,133.975,1618.8,17745.0,17780.0,4333.0,1066.3,868.75,14.78,1.0055,269.5,108.7734375,126.9375,160.71875,155.71875,22.4,471.5,16560.0,159.28,131.17,152.88,33.89,34.36,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.86,1102.0,2.0245,1.0783,2.39,876.9,1.1663,14.21,428.6
2016-01-08 00:16:00,0.7034,29.66,1.463,354.0,2988.0,0.7101,61.43,1950.5,1.0896,119.0546875,160.775,59.525,0.008460500000000001,119.2,465.5,133.975,1618.8,17755.0,17790.0,4333.5,1066.3,868.5,14.78,1.0055,269.6,108.7734375,126.9375,160.71875,155.71875,22.4,471.5,16561.0,159.28,131.17,152.88,33.89,34.36,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.0,2.0255,1.0783,2.39,877.2,1.1663,14.21,428.6
2016-01-08 00:17:00,0.7034,29.66,1.4629,354.0,2988.0,0.7102,61.43,1950.75,1.0897,119.046875,160.775,59.525,0.0084595,119.2,465.5,133.975,1618.8,17765.0,17800.0,4334.25,1066.7,868.5,14.78,1.0055,269.6,108.7734375,126.921875,160.71875,155.6875,22.3,471.5,16563.0,159.28,131.17,152.88,33.91,34.38,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.88,1102.1,2.0265,1.0783,2.39,877.6,1.1663,14.21,428.6
2016-01-08 00:18:00,0.7035,29.66,1.463,354.0,2988.0,0.7102,61.43,1950.5,1.0898,119.046875,160.775,59.525,0.0084595,119.2,465.5,133.975,1618.8,17770.0,17805.0,4334.0,1066.4,868.5,14.78,1.0055,269.6,108.7734375,126.921875,160.71875,155.6875,22.3,471.5,16563.0,159.28,131.17,152.88,33.86,34.36,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.87,1102.1,2.0265,1.0783,2.39,877.6,1.167,14.21,428.6
2016-01-08 00:19:00,0.7033,29.66,1.463,354.25,2988.0,0.7102,61.43,1949.5,1.0898,119.046875,160.775,59.525,0.008459999999999999,119.2,465.5,133.975,1618.8,17760.0,17790.0,4331.75,1065.8,868.5,14.78,1.0055,269.6,108.7734375,126.921875,160.6875,155.6875,22.3,471.75,16554.0,159.28,131.17,152.88,33.86,34.35,3077.0,111.61,27.75,320.75,1.0733,1.1602,1442.0,150.99,34.4,2125.0,33.87,1102.2,2.026,1.0783,2.391,877.6,1.1668,14.21,428.6
