,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2016-02-05 00:01:00,0.7176,31.39,1.4566,368.75,2767.0,0.7282,60.55,1904.25,1.1205,121.1953125,155.45,70.25,0.008577,125.8,460.25,135.1,1577.2,16665.0,16695.0,4145.5,468.1,1008.4,876.5,13.01,1.0073,268.2,140.78125,109.4609375,130.484375,168.78125,163.28125,23.15,472.0,16304.0,163.84,132.51,164.44,31.73,34.34,2903.0,111.825,29.5,313.75,1.0787,1.021,1441.0,154.69,34.33,1974.0,31.71,1156.0,2.1135,1.069,1.99,906.3,1.0195,14.865,394.6
2016-02-05 00:02:00,0.7176,31.39,1.4566,368.75,2767.0,0.7282,60.55,1904.75,1.12055,121.1953125,155.45,70.25,0.008576,125.8,460.25,135.1,1577.2,16680.0,16695.0,4146.5,468.1,1008.4,876.5,13.01,1.0073,268.2,140.78125,109.4609375,130.484375,168.78125,163.28125,23.15,472.0,16307.0,163.84,132.51,164.44,31.73,34.34,2903.0,111.825,29.5,314.0,1.0787,1.021,1441.0,154.69,34.33,1974.0,31.72,1155.9,2.1135,1.0698,1.99,906.1,1.0199,14.86,394.6
2016-02-05 00:03:00,0.7177,31.39,1.4565,368.75,2767.0,0.7283,60.55,1904.25,1.1207,121.1953125,155.45,70.25,0.0085765,125.8,460.25,135.1,1577.2,16670.0,16700.0,4145.75,468.1,1008.3,876.5,13.01,1.0073,268.2,140.78125,109.4609375,130.46875,168.75,163.28125,23.15,472.0,16304.0,163.84,132.51,164.44,31.73,34.36,2903.0,111.825,29.5,314.0,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.73,1155.7,2.1135,1.0705,1.9909999999999999,905.8,1.0199,14.855,394.6
2016-02-05 00:04:00,0.7178,31.39,1.4564,368.75,2767.0,0.7283,60.55,1904.5,1.12055,121.1953125,155.45,70.25,0.0085765,125.8,460.25,135.1,1577.2,16675.0,16700.0,4146.0,468.1,1008.3,876.5,13.01,1.0073,268.2,140.78125,109.4609375,130.46875,168.75,163.28125,23.15,472.0,16305.0,163.84,132.51,164.44,31.73,34.36,2903.0,111.825,29.5,314.0,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.73,1155.9,2.1135,1.0705,1.992,906.1,1.0199,14.86,394.6
2016-02-05 00:05:00,0.7177,31.39,1.4564,368.75,2767.0,0.7284,60.55,1904.75,1.1206,121.1953125,155.45,70.25,0.008575,125.8,460.25,135.1,1577.2,16685.0,16715.0,4146.5,468.1,1008.5,876.5,13.01,1.0073,268.2,140.78125,109.4609375,130.46875,168.75,163.25,23.15,472.0,16308.0,163.84,132.51,164.44,31.73,34.37,2903.0,111.825,29.5,314.25,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.73,1155.9,2.1125,1.0705,1.992,906.1,1.0199,14.865,394.6
2016-02-05 00:06:00,0.7177,31.4,1.4564,368.75,2767.0,0.7284,60.55,1904.75,1.1205,121.1875,155.45,70.25,0.0085755,125.8,460.25,135.1,1577.2,16690.0,16710.0,4146.25,468.1,1008.8,876.5,13.01,1.0073,268.2,140.78125,109.453125,130.46875,168.75,163.25,23.15,472.0,16307.0,163.84,132.51,164.44,31.73,34.37,2903.0,111.825,29.5,314.25,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.75,1155.9,2.112,1.0705,1.995,906.0,1.0199,14.87,394.6
2016-02-05 00:07:00,0.7176,31.4,1.4564,368.75,2767.0,0.7284,60.55,1904.5,1.1205,121.1875,155.45,70.25,0.008577,125.8,460.25,135.1,1577.2,16660.0,16685.0,4145.25,468.1,1008.8,876.5,13.01,1.0073,268.2,140.78125,109.453125,130.46875,168.75,163.25,23.15,472.0,16305.0,163.84,132.51,164.44,31.73,34.37,2903.0,111.825,29.5,314.25,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.74,1155.9,2.1115,1.0705,1.9969999999999999,906.5,1.0199,14.865,394.6
2016-02-05 00:08:00,0.7177,31.4,1.4566,368.75,2767.0,0.7284,60.55,1904.25,1.12065,121.1875,155.45,70.25,0.008578,125.8,460.25,135.1,1577.2,16650.0,16680.0,4145.25,468.1,1008.1,876.5,13.01,1.0072,268.2,140.78125,109.453125,130.46875,168.75,163.25,23.15,472.0,16303.0,163.84,132.51,164.44,31.73,34.37,2903.0,111.825,29.5,314.25,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.74,1156.0,2.1115,1.0705,1.996,906.5,1.0199,14.865,394.6
2016-02-05 00:09:00,0.7177,31.4,1.4566,368.75,2767.0,0.7283,60.55,1903.75,1.1206,121.1875,155.45,70.25,0.008579,125.8,460.25,135.1,1577.2,16635.0,16665.0,4144.5,468.1,1008.1,876.5,13.01,1.0073,268.2,140.78125,109.453125,130.46875,168.75,163.25,23.1,472.0,16303.0,163.84,132.51,164.44,31.73,34.37,2903.0,111.825,29.5,314.25,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.74,1156.1,2.1115,1.0705,1.995,906.5,1.0199,14.87,394.6
2016-02-05 00:10:00,0.7176,31.4,1.4565,368.75,2767.0,0.7283,60.55,1903.75,1.1206,121.1875,155.45,70.25,0.008579,125.8,460.25,135.1,1577.2,16640.0,16670.0,4144.0,468.1,1008.1,876.5,13.01,1.0073,268.2,140.78125,109.453125,130.46875,168.75,163.25,23.1,472.0,16301.0,163.84,132.51,164.44,31.73,34.35,2903.0,111.825,29.5,314.0,1.0787,1.021,1441.0,154.69,34.37,1974.0,31.74,1156.1,2.1115,1.0705,1.995,906.5,1.0199,14.87,394.6
