,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2016-07-08 00:01:00,0.7483,29.83,1.2962,345.75,3115.0,0.7694,64.55,2089.25,1.111,122.46875,143.325,79.9,0.0099855,142.0,413.75,111.95,1583.0,818.8,15130.0,15205.0,4443.75,1144.9,1050.75,19.62,1.0266,368.5,147.28125,109.640625,133.875,192.75,176.8125,16.25,427.5,17793.0,167.68,133.87,196.14,45.55,46.94,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.57,1360.3,2.123,1.4211,2.7569999999999997,1092.0,1.374,19.795,543.7
2016-07-08 00:02:00,0.7483,29.83,1.296,345.75,3115.0,0.7693,64.55,2089.0,1.11095,122.46875,143.325,79.9,0.009988,142.0,413.75,111.95,1583.0,818.8,15125.0,15200.0,4443.5,1144.9,1050.75,19.62,1.0266,368.5,147.28125,109.640625,133.875,192.71875,176.8125,16.25,427.5,17791.0,167.68,133.87,196.14,45.55,46.93,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.57,1360.5,2.123,1.4211,2.7569999999999997,1092.0,1.374,19.8,543.7
2016-07-08 00:03:00,0.7483,29.83,1.2962,345.75,3115.0,0.7693,64.55,2088.5,1.111,122.4609375,143.325,79.9,0.009987000000000001,142.0,413.75,111.95,1583.0,818.8,15130.0,15210.0,4443.25,1144.9,1050.75,19.62,1.0266,368.5,147.296875,109.640625,133.890625,192.71875,176.78125,16.25,427.5,17791.0,167.68,133.87,196.14,45.55,46.92,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.55,1360.2,2.123,1.4211,2.7569999999999997,1091.6,1.374,19.79,543.7
2016-07-08 00:04:00,0.7483,29.83,1.2958,346.0,3115.0,0.7692,64.55,2088.5,1.11085,122.4609375,143.325,79.9,0.0099855,142.0,413.75,111.95,1583.0,818.8,15140.0,15220.0,4443.25,1144.9,1050.75,19.62,1.0266,368.5,147.28125,109.640625,133.875,192.75,176.78125,16.25,427.5,17790.0,167.68,133.87,196.14,45.55,46.91,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.54,1359.9,2.1235,1.4211,2.7569999999999997,1091.4,1.374,19.79,543.7
2016-07-08 00:05:00,0.7482,29.83,1.2959,346.0,3115.0,0.7692,64.55,2088.5,1.1109,122.4609375,143.325,79.9,0.009987000000000001,142.0,413.75,111.95,1583.0,818.8,15135.0,15210.0,4442.5,1145.0,1051.0,19.62,1.0266,368.5,147.296875,109.640625,133.875,192.75,176.78125,16.25,427.25,17789.0,167.68,133.87,196.14,45.55,46.92,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.54,1360.0,2.1235,1.4211,2.7569999999999997,1090.0,1.374,19.785,543.7
2016-07-08 00:06:00,0.7481,29.83,1.2958,345.75,3115.0,0.7692,64.6,2088.25,1.1108,122.4609375,143.325,79.9,0.0099875,142.0,413.75,111.95,1583.0,818.8,15125.0,15205.0,4442.5,1145.1,1051.0,19.62,1.0265,368.5,147.296875,109.640625,133.875,192.75,176.78125,16.25,427.5,17790.0,167.68,133.87,196.14,45.55,46.92,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.55,1360.4,2.1235,1.4205,2.7569999999999997,1090.0,1.374,19.795,543.7
2016-07-08 00:07:00,0.748,29.83,1.2957,346.0,3115.0,0.7691,64.64,2088.25,1.1108,122.4609375,143.325,79.9,0.009987000000000001,142.0,413.75,111.95,1583.0,818.8,15125.0,15205.0,4443.0,1145.1,1051.0,19.62,1.0265,368.5,147.296875,109.640625,133.859375,192.75,176.75,16.25,427.25,17788.0,167.68,133.87,196.14,45.55,46.92,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.94,2550.0,45.53,1360.4,2.1235,1.4205,2.7569999999999997,1090.0,1.374,19.795,543.7
2016-07-08 00:08:00,0.7479,29.83,1.2961,346.0,3115.0,0.7691,64.64,2088.25,1.1108,122.453125,143.325,79.9,0.009987000000000001,142.0,413.75,111.95,1583.0,818.8,15120.0,15200.0,4442.5,1145.1,1051.0,19.62,1.0265,368.5,147.296875,109.640625,133.859375,192.75,176.78125,16.25,427.25,17789.0,167.68,133.87,196.14,45.55,46.93,2763.0,112.12,26.05,417.75,1.4183,1.3685,1780.0,161.7,46.92,2550.0,45.56,1360.5,2.1235,1.4219,2.7569999999999997,1090.0,1.374,19.795,543.7
2016-07-08 00:09:00,0.7479,29.83,1.2956,346.0,3115.0,0.769,64.6,2087.75,1.11065,122.4609375,143.325,79.9,0.0099905,142.0,413.75,111.95,1583.0,818.8,15115.0,15190.0,4441.5,1144.9,1050.75,19.62,1.0265,368.5,147.3125,109.640625,133.890625,192.8125,176.8125,16.25,427.5,17785.0,167.68,133.87,196.14,45.55,46.92,2763.0,112.12,26.05,417.5,1.4183,1.3685,1780.0,161.7,46.92,2550.0,45.55,1360.5,2.1235,1.4219,2.758,1089.8,1.374,19.795,543.7
2016-07-08 00:10:00,0.7478,29.83,1.2962,346.0,3115.0,0.769,64.6,2088.0,1.11115,122.484375,143.325,79.9,0.0099985,142.0,413.75,111.95,1583.0,818.8,15105.0,15180.0,4441.5,1144.9,1050.75,19.62,1.0266,368.5,147.34375,109.640625,133.90625,192.875,176.90625,16.25,427.5,17784.0,167.68,133.87,196.14,45.55,46.92,2763.0,112.12,26.05,417.5,1.4183,1.3685,1780.0,161.7,46.91,2550.0,45.54,1360.5,2.124,1.4219,2.758,1089.9,1.374,19.795,543.7
