,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2016-10-07 00:01:00,0.7564,33.47,1.2445,341.75,2772.0,0.75555,67.79,2152.5,1.11465,120.8359375,121.525,43.35,0.009658499999999999,146.45,407.25,102.225,1681.0,915.1,16840.0,16885.0,4863.0,467.6,1241.6,960.5,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.28125,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.45,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.4,1256.2,2.1485,1.594,3.022,968.2,1.4965,17.345,591.0
2016-10-07 00:02:00,0.7564,33.47,1.2448,341.75,2772.0,0.75555,67.79,2152.5,1.1146,120.8359375,121.525,43.35,0.009658499999999999,146.45,407.25,102.225,1681.0,915.1,16840.0,16885.0,4863.0,467.6,1241.6,960.5,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.375,15.2,398.0,18163.0,164.24,131.75,185.92,50.37,52.45,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.4,1256.1,2.1485,1.594,3.022,967.8,1.4965,17.335,591.0
2016-10-07 00:03:00,0.7564,33.47,1.2448,341.75,2772.0,0.75555,67.79,2152.5,1.11445,120.84375,121.525,43.35,0.009658499999999999,146.45,407.25,102.225,1681.0,915.1,16840.0,16885.0,4862.75,467.6,1241.6,960.5,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.41,1256.2,2.149,1.594,3.022,967.8,1.4965,17.345,591.0
2016-10-07 00:04:00,0.7564,33.47,1.2447,341.75,2772.0,0.75555,67.79,2152.5,1.1144,120.84375,121.525,43.35,0.0096575,146.45,407.25,102.225,1681.0,915.1,16840.0,16880.0,4862.75,467.6,1241.6,960.5,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.41,1256.1,2.149,1.594,3.022,967.8,1.4965,17.34,591.0
2016-10-07 00:05:00,0.7564,33.47,1.2447,341.5,2772.0,0.75555,67.79,2152.5,1.11445,120.84375,121.525,43.35,0.009658499999999999,146.45,407.25,102.225,1681.0,915.1,16835.0,16875.0,4862.75,467.6,1241.6,960.5,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.41,1255.9,2.1485,1.594,3.022,967.7,1.4965,17.34,591.0
2016-10-07 00:06:00,0.7563,33.47,1.244,341.75,2772.0,0.75555,67.79,2152.25,1.1144,120.84375,121.525,43.35,0.0096575,146.45,407.25,102.225,1681.0,915.1,16835.0,16875.0,4862.75,467.6,1241.6,960.5,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.41,1256.0,2.1485,1.594,3.022,967.7,1.4965,17.335,591.0
2016-10-07 00:07:00,0.7563,33.46,1.2445,341.75,2772.0,0.75555,67.79,2152.5,1.1144,120.84375,121.525,43.35,0.009658,146.45,407.25,102.225,1681.0,915.1,16835.0,16875.0,4862.75,467.6,1241.6,960.0,22.97,1.0212,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.41,1255.8,2.148,1.594,3.022,967.7,1.4965,17.33,591.0
2016-10-07 00:08:00,0.7563,33.46,1.2449,341.75,2772.0,0.75555,67.79,2152.5,1.1146,120.84375,121.525,43.35,0.009658,146.45,407.25,102.225,1681.0,915.1,16840.0,16875.0,4862.75,467.6,1241.6,960.0,22.97,1.0214,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.4,1255.9,2.1485,1.594,3.022,967.7,1.4965,17.33,591.0
2016-10-07 00:09:00,0.7563,33.47,1.2452,341.75,2772.0,0.75555,67.82,2152.5,1.11465,120.84375,121.525,43.35,0.009658,146.45,407.25,102.225,1681.0,915.1,16840.0,16875.0,4863.25,467.6,1241.6,960.0,22.97,1.0215,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.46,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.41,1256.1,2.149,1.594,3.022,967.4,1.4965,17.33,591.0
2016-10-07 00:10:00,0.7563,33.47,1.2451,341.75,2772.0,0.75555,67.82,2152.5,1.11465,120.84375,121.525,43.35,0.009658499999999999,146.45,407.25,102.225,1681.0,915.1,16840.0,16875.0,4863.25,467.6,1241.6,960.0,22.97,1.0215,303.3,142.59375,109.0390625,130.03125,180.09375,165.34375,15.2,398.0,18164.0,164.24,131.75,185.92,50.37,52.45,3014.0,112.09,21.25,470.0,1.5878,1.4995,1985.0,158.74,52.45,2294.0,50.39,1256.0,2.149,1.594,3.022,967.2,1.4965,17.33,591.0
