,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2017-07-07 00:01:00,0.7577,32.72,1.2997,389.0,1911.0,0.77075,68.19,2409.25,1.14555,117.5234375,145.05,82.8,0.0088285,129.15,540.75,115.65,1874.0,1002.0,19895.0,19925.0,5607.0,987.75,13.87,1.0453,324.5,133.921875,107.984375,124.921875,163.90625,152.15625,13.0,533.75,21281.0,160.45,131.34,160.28,44.93,47.52,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.93,1220.3,2.656,1.4643,2.89,908.6,1.5107,15.88,415.2
2017-07-07 00:02:00,0.7578,32.72,1.2997,389.0,1911.0,0.77075,68.19,2409.25,1.14555,117.5234375,145.05,82.8,0.00883,129.15,540.75,115.65,1874.0,1002.0,19890.0,19925.0,5607.25,987.75,13.87,1.0453,324.5,133.921875,107.984375,124.9375,163.90625,152.15625,13.0,533.75,21280.0,160.45,131.34,160.28,44.93,47.52,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.3,2.6555,1.4643,2.89,908.6,1.5107,15.88,415.2
2017-07-07 00:03:00,0.7579,32.71,1.2999,389.25,1911.0,0.7708,68.19,2409.5,1.14555,117.5234375,145.05,82.8,0.008828,129.15,540.75,115.65,1874.0,1002.0,19895.0,19925.0,5606.75,987.75,13.87,1.0453,324.5,133.921875,107.984375,124.9375,163.90625,152.15625,13.0,533.75,21282.0,160.45,131.34,160.28,44.93,47.51,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.93,1220.4,2.6555,1.4643,2.892,908.8,1.5107,15.88,415.2
2017-07-07 00:04:00,0.7579,32.71,1.3,389.0,1911.0,0.7708,68.19,2409.75,1.14565,117.5234375,145.05,82.8,0.0088285,129.15,540.75,115.65,1874.0,1002.0,19895.0,19930.0,5606.5,987.75,13.87,1.0453,324.5,133.90625,107.984375,124.921875,163.90625,152.15625,13.0,533.75,21282.0,160.45,131.34,160.28,44.93,47.51,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.5,2.6555,1.4643,2.889,908.8,1.5107,15.89,415.2
2017-07-07 00:05:00,0.7579,32.71,1.3,389.0,1911.0,0.7708,68.19,2409.75,1.1455,117.5234375,145.05,82.8,0.0088285,129.15,540.75,115.65,1874.0,1002.0,19885.0,19925.0,5605.75,987.75,13.87,1.0453,324.5,133.90625,107.984375,124.921875,163.90625,152.15625,12.95,534.0,21281.0,160.45,131.34,160.28,44.93,47.51,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.4,2.6555,1.4635,2.889,908.8,1.5107,15.89,415.2
2017-07-07 00:06:00,0.7578,32.71,1.2998,389.0,1911.0,0.7708,68.19,2409.75,1.14555,117.515625,145.05,82.8,0.008829,129.15,540.75,115.65,1874.0,1002.0,19890.0,19925.0,5606.0,987.75,13.87,1.0453,324.5,133.90625,107.984375,124.921875,163.90625,152.125,12.95,534.0,21282.0,160.45,131.34,160.28,44.93,47.51,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.4,2.656,1.4635,2.889,909.0,1.5107,15.895,415.2
2017-07-07 00:07:00,0.7578,32.71,1.3,389.25,1911.0,0.7708,68.19,2409.75,1.14565,117.515625,145.05,82.8,0.0088285,129.15,540.75,115.65,1874.0,1002.0,19890.0,19925.0,5606.25,987.75,13.87,1.0453,324.5,133.90625,107.984375,124.90625,163.90625,152.15625,12.95,533.75,21280.0,160.45,131.34,160.28,44.93,47.51,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.93,1220.4,2.6555,1.4635,2.889,909.1,1.5107,15.89,415.2
2017-07-07 00:08:00,0.7579,32.71,1.2999,389.25,1911.0,0.7708,68.19,2409.75,1.14565,117.5234375,145.05,82.8,0.008828,129.15,540.75,115.65,1874.0,1002.0,19890.0,19925.0,5605.0,987.75,13.87,1.0453,324.5,133.90625,107.984375,124.921875,163.90625,152.15625,12.95,533.75,21280.0,160.45,131.34,160.28,44.93,47.51,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.5,2.6555,1.4634,2.889,909.1,1.5107,15.885,415.2
2017-07-07 00:09:00,0.7579,32.71,1.2999,389.0,1911.0,0.7708,68.19,2409.25,1.14565,117.515625,145.05,82.8,0.008828,129.15,540.75,115.65,1874.0,1002.0,19890.0,19925.0,5606.0,987.75,13.87,1.0453,324.7,133.90625,107.984375,124.921875,163.90625,152.15625,12.95,533.75,21281.0,160.45,131.34,160.28,44.93,47.5,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.4,2.656,1.4634,2.889,908.8,1.5107,15.88,415.2
2017-07-07 00:10:00,0.7578,32.7,1.2999,389.0,1911.0,0.7708,68.19,2409.5,1.14555,117.515625,145.05,82.8,0.0088285,129.15,540.5,115.65,1874.0,1002.0,19890.0,19925.0,5605.25,987.75,13.87,1.0453,324.7,133.90625,107.984375,124.921875,163.90625,152.15625,12.95,533.75,21281.0,160.45,131.34,160.28,44.93,47.5,3448.0,111.865,16.2,434.25,1.4484,1.5028,2157.0,147.21,47.52,1506.0,44.94,1220.4,2.656,1.4634,2.889,908.8,1.5107,15.88,415.2
