,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2018-05-04 00:01:00,0.7556,30.72,1.3604,9665.0,407.5,2831.0,0.77925,84.62,2628.25,1.20285,113.53125,146.9,73.025,0.0091985,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.25,1549.5,1047.5,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.65,535.5,23882.0,159.16,131.18,164.04,68.37,73.58,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.37,1313.8,3.0955,2.114,2.733,903.6,2.0884,16.48,322.3
2018-05-04 00:02:00,0.7556,30.72,1.3604,9645.0,407.5,2831.0,0.7793,84.62,2628.0,1.20275,113.53125,146.9,73.025,0.0091985,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.0,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.65,535.5,23881.0,159.16,131.18,164.04,68.37,73.58,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.37,1313.9,3.096,2.114,2.733,903.6,2.0884,16.48,322.3
2018-05-04 00:03:00,0.7556,30.73,1.3604,9655.0,407.5,2831.0,0.77935,84.63,2628.0,1.2028,113.53125,146.9,73.025,0.0091985,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.5,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.65,535.5,23882.0,159.16,131.18,164.04,68.37,73.58,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.37,1313.8,3.096,2.114,2.733,903.6,2.0884,16.48,322.3
2018-05-04 00:04:00,0.7556,30.73,1.3604,9645.0,407.5,2831.0,0.7793,84.63,2628.0,1.2028,113.53125,146.9,73.025,0.009198,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.5,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.65,535.5,23881.0,159.16,131.18,164.04,68.37,73.58,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.37,1313.9,3.0965,2.114,2.733,903.4,2.0884,16.48,322.3
2018-05-04 00:05:00,0.7557,30.73,1.3604,9645.0,407.5,2831.0,0.77935,84.63,2628.0,1.20275,113.53125,146.9,73.025,0.009198,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.25,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.65,535.5,23879.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.36,1313.9,3.0965,2.114,2.733,903.4,2.0884,16.48,322.3
2018-05-04 00:06:00,0.7558,30.73,1.3604,9640.0,407.5,2831.0,0.7793,84.63,2628.0,1.20275,113.53125,146.9,73.025,0.009198,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.0,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.5,16.65,535.5,23879.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.35,1314.0,3.0965,2.114,2.733,903.5,2.0884,16.48,322.3
2018-05-04 00:07:00,0.7558,30.74,1.3604,9650.0,407.5,2831.0,0.77935,84.63,2628.0,1.20275,113.53125,146.9,73.025,0.009198,124.4,565.0,106.85,2017.8,1135.8,22345.0,22355.0,6651.25,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.5,16.65,535.5,23881.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.36,1313.9,3.096,2.114,2.733,903.5,2.0884,16.48,322.3
2018-05-04 00:08:00,0.7559,30.74,1.3604,9650.0,407.5,2831.0,0.77935,84.63,2628.25,1.2028,113.53125,146.9,73.025,0.009198,124.4,565.0,106.85,2017.8,1135.8,22345.0,22360.0,6651.25,1549.5,1047.5,11.7,1.006,396.9,127.765625,106.0390625,119.640625,156.375,143.5,16.65,535.5,23880.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.38,1314.1,3.0965,2.114,2.733,903.6,2.0884,16.485,322.3
2018-05-04 00:09:00,0.7559,30.74,1.3604,9640.0,407.5,2831.0,0.77935,84.63,2629.25,1.2028,113.53125,146.9,73.025,0.009197,124.4,565.0,106.85,2017.8,1135.8,22350.0,22360.0,6655.0,1549.5,1047.75,11.7,1.006,396.9,127.765625,106.0390625,119.65625,156.375,143.5,16.65,535.5,23890.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.37,1314.1,3.0965,2.114,2.733,903.7,2.0884,16.48,322.3
2018-05-04 00:10:00,0.7558,30.74,1.3603,9645.0,407.5,2831.0,0.7793,84.63,2629.75,1.20265,113.53125,146.9,73.025,0.009196,124.4,565.0,106.85,2017.8,1135.8,22350.0,22365.0,6657.0,1550.2,1047.75,11.7,1.0059,396.9,127.765625,106.0390625,119.65625,156.375,143.46875,16.65,535.5,23897.0,159.16,131.18,164.04,68.37,73.59,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.38,1314.0,3.0965,2.114,2.733,903.9,2.0884,16.48,322.3
2018-05-04 00:11:00,0.7558,30.74,1.3605,9645.0,407.5,2831.0,0.7794,84.63,2631.25,1.2028,113.53125,146.9,73.025,0.009196,124.4,565.0,106.85,2017.8,1135.8,22365.0,22375.0,6663.0,1551.0,1048.0,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23911.0,159.16,131.18,164.04,68.37,73.59,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.39,1314.0,3.098,2.114,2.733,903.9,2.0884,16.48,322.3
2018-05-04 00:12:00,0.7558,30.74,1.3604,9645.0,407.5,2831.0,0.77945,84.63,2631.5,1.20275,113.53125,146.9,73.025,0.0091965,124.4,565.0,106.85,2017.8,1135.8,22365.0,22375.0,6664.25,1551.2,1048.0,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23918.0,159.16,131.18,164.04,68.37,73.59,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.39,1314.0,3.098,2.114,2.733,903.9,2.0884,16.48,322.3
2018-05-04 00:13:00,0.7558,30.74,1.3604,9655.0,407.5,2831.0,0.77945,84.63,2631.5,1.20275,113.53125,146.9,73.025,0.0091965,124.4,565.0,106.85,2017.8,1135.8,22365.0,22375.0,6663.0,1551.0,1047.5,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23918.0,159.16,131.18,164.04,68.37,73.59,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.38,1314.0,3.0985,2.114,2.733,903.9,2.0884,16.48,322.3
2018-05-04 00:14:00,0.7558,30.74,1.3603,9645.0,407.5,2831.0,0.77935,84.63,2631.25,1.20275,113.53125,146.9,73.025,0.0091965,124.4,565.0,106.85,2017.8,1135.8,22365.0,22375.0,6662.75,1551.2,1047.75,11.7,1.0059,396.9,127.765625,106.0390625,119.65625,156.375,143.46875,16.6,535.5,23917.0,159.16,131.18,164.04,68.37,73.59,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.39,1314.0,3.0985,2.114,2.733,903.8,2.0884,16.48,322.3
2018-05-04 00:15:00,0.7558,30.74,1.3604,9645.0,407.5,2831.0,0.77935,84.63,2631.25,1.20275,113.53125,146.9,73.025,0.009197,124.4,565.0,106.85,2017.8,1135.8,22365.0,22375.0,6662.25,1551.5,1048.0,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23916.0,159.16,131.18,164.04,68.37,73.6,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.39,1314.1,3.099,2.114,2.733,903.8,2.0895,16.48,322.3
2018-05-04 00:16:00,0.7558,30.74,1.3604,9645.0,407.5,2831.0,0.77935,84.63,2631.0,1.20275,113.53125,146.9,73.025,0.009197,124.4,565.0,106.85,2017.8,1135.8,22365.0,22370.0,6661.25,1551.5,1047.75,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23914.0,159.16,131.18,164.04,68.37,73.6,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.39,1314.0,3.0995,2.114,2.733,903.8,2.0895,16.48,322.3
2018-05-04 00:17:00,0.7558,30.74,1.3604,9645.0,407.5,2831.0,0.77935,84.63,2631.5,1.20275,113.53125,146.9,73.025,0.009197,124.4,565.0,106.85,2017.8,1135.8,22365.0,22370.0,6662.5,1551.6,1047.75,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23917.0,159.16,131.18,164.04,68.37,73.6,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.39,1314.0,3.099,2.114,2.733,903.7,2.0895,16.48,322.3
2018-05-04 00:18:00,0.7558,30.74,1.3604,9645.0,407.5,2831.0,0.7793,84.63,2631.25,1.20275,113.53125,146.9,73.025,0.009197,124.4,565.0,106.85,2017.8,1135.8,22365.0,22370.0,6661.75,1551.2,1047.75,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23915.0,159.16,131.18,164.04,68.37,73.6,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.38,1313.9,3.099,2.114,2.733,903.7,2.0896,16.48,322.3
2018-05-04 00:19:00,0.7558,30.74,1.3604,9645.0,407.75,2831.0,0.77925,84.63,2631.25,1.2027,113.53125,146.9,73.025,0.0091965,124.4,565.0,106.85,2017.8,1135.8,22365.0,22370.0,6662.5,1551.2,1047.5,11.7,1.0059,396.9,127.765625,106.0390625,119.640625,156.375,143.46875,16.6,535.5,23916.0,159.16,131.18,164.04,68.37,73.58,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.36,1313.8,3.098,2.114,2.733,903.5,2.0896,16.48,322.3
2018-05-04 00:20:00,0.7557,30.74,1.3604,9655.0,407.75,2831.0,0.77925,84.63,2631.0,1.2027,113.53125,146.9,73.025,0.0091965,124.4,565.0,106.85,2017.8,1135.8,22365.0,22370.0,6661.25,1551.1,1047.75,11.7,1.0059,396.9,127.765625,106.0390625,119.65625,156.375,143.46875,16.6,535.5,23914.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.36,1313.7,3.0985,2.114,2.733,903.5,2.0896,16.48,322.3
2018-05-04 00:21:00,0.7557,30.74,1.3605,9655.0,407.75,2831.0,0.77925,84.63,2631.25,1.20265,113.53125,146.9,73.025,0.009196,124.4,565.0,106.85,2017.8,1135.8,22365.0,22370.0,6661.5,1551.1,1047.75,11.7,1.0058,396.9,127.765625,106.0390625,119.65625,156.375,143.46875,16.6,535.25,23915.0,159.16,131.18,164.04,68.37,73.57,3490.0,111.92,14.85,642.0,2.1163,2.0899,1832.0,154.08,73.6,1900.0,68.37,1313.7,3.099,2.114,2.734,903.5,2.0896,16.475,322.3
