time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CELG,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,DWDP,EA,ECL,EEM,EMR,EOG,ESRX,EXC,F,FB,FDX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VLO,VRTX,VZ,WBA,WFC,WM,WMT,X,XOM,ZTS
2018-12-07 09:31:00+00:00,173.34,89.797,71.395,158.86,247.36,89.01,142.625,,155.85,39.255,34.41,198.36,166.9,1703.5,286.5,47.61,236.8302,108.4,331.9,26.14,48.25,241.4,325.8,47.8,1867.22,400.71,,,36.64,59.79,129.68,,117.045,72.35,324.71,213.99,63.51,37.74,189.99,84.76,68.21,232.31,141.44,48.03,69.55,69.2,75.82,117.94,74.95,57.44,153.78,105.25,113.8,89.92,,83.42,157.395,40.55,63.98,105.69,98.07,46.85,9.0301,139.38,214.94,49.39,170.63,7.31,69.75,35.47,1066.0,1074.6801,184.02,30.57,,,23.91,315.32,123.85,79.5,332.05,47.87,210.2,510.835,134.49,145.7,105.31,49.36,112.92,49.33,115.41,285.65,90.71,133.5,89.02,,,185.02,44.07,95.77,,,,55.34,64.32,78.1,42.52,108.47,37.29,181.99,281.7199,75.16,256.5,163.03,158.21,46.48,67.94,116.06,44.81,93.56,64.79,84.61,129.24,,93.99,84.87,56.77,166.12,167.31,65.96,42.48,,43.41,46.4814,189.97,173.706,269.53,191.31,172.06,30.2851,69.08,,,369.85,32.99,96.68,273.92,152.0,,52.25,121.24,140.57,79.89,178.03,57.9,82.65,50.89,92.79,94.71,22.24,79.44,90.58
2018-12-07 09:32:00+00:00,173.03,89.52,71.395,158.58,247.18,88.77,142.625,43.51,155.815,39.28,34.3,197.7153,166.48,1695.0,285.945,47.53,236.25,108.38,332.35,26.15,48.06,241.46,325.3078,47.86,1867.22,401.16,53.15,208.34,36.675,59.8,129.5,130.81,116.84,72.7973,324.71,214.78,63.52,37.72,190.0,84.62,67.84,232.6,141.07,47.95,69.84,69.28,75.92,117.82,74.91,57.6,154.405,104.86,113.55,89.83,55.98,83.64,157.395,40.54,64.04,105.26,97.98,46.82,9.05,139.23,214.54,49.32,170.685,7.285,69.7,35.58,1068.16,1077.87,184.1,30.55,175.25,142.97,23.74,315.32,123.55,79.5,332.95,47.64,210.09,513.86,134.49,145.88,105.23,49.43,112.92,49.39,115.36,285.65,90.81,135.96,88.885,202.97,114.89,185.08,44.11,96.06,41.22,85.475,202.995,55.56,64.11,77.85,42.383,108.555,37.15,181.99,280.13,75.11,256.5,163.13,157.15,46.4,67.45,116.25,44.71,93.47,64.785,85.0,129.17,87.52,93.98,84.689,56.6,165.96,167.53,66.1,42.48,402.286,43.4,46.5,189.97,174.06,269.44,190.8,172.06,30.3972,68.83,46.31,242.461,371.6138,32.9,96.29,274.6448,152.105,108.04,52.37,121.24,140.13,79.3,178.03,57.97,82.81,50.83,92.79,94.72,22.1403,79.4644,90.45
2018-12-07 09:33:00+00:00,172.7913,89.58,71.34,158.6,246.85,89.29,142.625,43.6,155.5524,39.4,34.38,198.05,166.68,1701.0,288.32,47.695,237.9199,108.54,333.3248,26.2,48.23,241.06,324.805,47.97,1880.75,403.33,53.0937,208.62,36.52,59.87,129.48,131.63,116.91,72.83,323.86,214.85,63.52,37.77,190.8,84.62,67.77,233.015,140.73,48.05,69.85,69.19,75.99,117.59,74.9,57.79,154.505,104.82,113.34,89.66,56.06,83.88,157.3,40.59,64.08,104.9,98.12,46.7,9.0634,139.3017,214.4993,49.32,172.21,7.27,69.84,35.63,1067.4,1077.37,184.17,30.42,176.25,142.465,23.72,315.32,123.71,79.4,333.0,47.83,209.91,514.14,133.7,145.9601,105.51,49.45,112.9,49.44,115.24,287.33,91.25,133.21,88.875,203.14,114.84,185.3,44.16,96.03,41.26,85.475,202.83,56.1,64.2337,77.97,42.4,108.71,37.08,181.75,280.936,75.57,256.13,163.13,157.0,46.4,67.34,116.25,44.71,93.43,64.785,85.43,129.405,87.38,94.14,84.96,56.74,166.14,168.13,66.13,42.585,402.286,43.38,46.5,189.36,174.62,269.71,191.27,172.06,30.46,69.03,46.31,242.55,372.91,33.03,96.67,275.725,152.28,108.25,52.49,121.57,140.07,79.37,177.9624,58.0,83.13,50.854,93.1538,94.93,22.02,79.21,90.43
2018-12-07 09:34:00+00:00,173.13,89.825,71.37,158.82,247.25,89.21,142.83,43.63,155.7,39.4,34.28,197.295,166.98,1701.98,287.44,47.98,237.61,108.67,333.15,26.26,48.32,240.85,324.8,48.02,1873.4,402.915,52.93,208.97,36.495,59.96,129.29,131.66,116.86,72.609,323.81,214.19,63.51,37.79,191.39,84.8,67.6441,232.39,141.09,48.14,69.8,69.37,75.79,117.24,74.73,57.79,154.37,104.9,113.36,89.512,56.27,84.43,157.3375,40.57,64.02,104.6,98.05,46.55,9.0465,138.92,214.955,49.34,172.4,7.281,69.63,35.5968,1064.5699,1074.05,184.12,30.395,176.0,142.76,23.69,316.26,123.63,79.83,333.1582,47.82,209.99,512.945,133.405,146.22,105.62,49.32,112.46,49.34,115.21,287.19,91.14,133.5,88.5,203.64,114.89,185.33,44.09,96.05,41.28,85.47,203.0724,55.79,64.14,77.94,42.41,108.7,37.0,181.75,280.04,75.5728,257.68,162.76,157.0,46.4,67.16,115.9601,44.65,93.39,64.8701,85.05,129.62,87.65,93.84,85.19,56.6,166.12,168.47,66.07,42.77,401.3,43.41,46.39,189.325,174.18,269.58,191.23,171.845,30.4041,68.91,46.23,242.47,372.88,33.04,96.42,275.3942,152.31,108.35,52.49,121.87,140.46,79.225,177.9624,57.87,82.92,50.885,93.1,94.74,22.11,78.9901,90.09
2018-12-07 09:35:00+00:00,173.255,89.83,71.32,158.77,247.11,88.88,142.91,43.66,155.64,39.48,34.39,197.38,167.17,1705.2638,286.0,48.0,236.69,109.14,333.9,26.3,48.42,240.85,325.01,48.14,1869.425,404.67,52.96,209.15,36.396,60.1262,129.25,131.89,116.92,72.64,323.58,214.04,63.56,37.88,190.82,85.0974,67.91,232.36,140.92,48.155,69.845,69.36,75.84,117.41,74.57,57.58,154.47,105.0,113.45,89.47,56.43,84.2,156.93,40.6,64.07,104.99,97.86,46.49,9.065,139.13,214.82,49.32,172.71,7.315,69.43,35.7,1065.55,1076.27,184.56,30.38,176.3,142.34,23.69,316.26,123.95,79.77,332.35,47.82,210.54,510.66,133.01,146.23,105.97,49.27,112.48,49.24,115.09,286.76,91.0,133.15,88.675,203.89,114.85,185.65,44.035,95.97,41.35,85.46,203.17,55.52,64.27,78.085,42.57,108.73,37.08,181.34,280.63,75.57,257.48,162.81,157.7357,46.36,67.25,115.74,44.71,93.21,64.92,85.12,129.925,87.8,94.26,85.43,56.58,166.32,168.35,66.2,42.9,402.41,43.44,46.34,188.5,174.16,269.82,191.13,171.58,30.435,68.9,46.29,242.035,374.35,33.14,96.49,274.78,152.36,108.2485,52.57,121.61,140.77,79.55,178.24,57.81,82.87,50.949,92.8,94.85,22.22,79.22,90.09
2018-12-07 09:36:00+00:00,173.32,89.7601,71.22,158.71,247.345,89.09,142.97,43.7,156.18,39.59,34.405,197.26,167.32,1710.3092,285.53,47.99,235.61,109.22,334.2099,26.35,48.47,240.97,325.55,48.21,1872.49,404.49,53.0,209.38,36.46,60.09,129.4,132.155,116.8,72.58,324.83,214.24,63.54,37.99,190.705,85.15,67.93,231.75,140.77,48.12,69.92,69.42,75.84,117.51,74.52,57.54,154.2,105.16,113.62,89.35,56.55,84.45,157.21,40.64,64.075,105.17,97.96,46.31,9.06,139.77,214.78,49.35,172.98,7.32,69.44,35.7,1068.9293,1080.0,184.78,30.49,176.09,142.28,23.61,314.35,123.68,79.9,333.14,47.74,210.45,510.795,132.485,146.4276,105.9601,49.29,112.53,49.25,114.91,288.01,90.95,133.57,88.93,204.18,115.37,185.91,44.04,95.935,41.45,85.46,203.165,55.14,64.335,78.15,42.61,108.72,37.14,180.91,281.411,75.425,258.35,163.19,157.4294,46.315,67.6,115.5301,44.74,93.15,64.89,84.85,130.115,87.97,94.27,85.5,56.54,166.49,168.87,66.22,42.98,402.85,43.635,46.22,187.9,174.11,269.9,190.69,171.38,30.48,69.05,46.22,241.86,374.84,33.1299,96.49,275.2,152.65,108.355,52.63,121.56,141.095,79.615,178.34,57.82,82.77,51.035,92.81,94.71,22.13,79.19,90.15
2018-12-07 09:37:00+00:00,173.13,89.695,71.19,158.72,247.52,88.95,143.145,43.7112,156.64,39.6168,34.34,197.065,166.95,1708.8879,285.28,47.9,235.08,109.1,333.67,26.39,48.41,241.165,326.01,48.18,1872.49,405.87,52.94,209.5011,36.46,60.18,128.71,132.07,116.945,72.4,325.35,214.41,63.6,37.945,190.08,85.1306,67.95,231.86,141.0,48.05,69.92,69.39,76.0,117.66,74.58,57.42,153.55,105.15,113.66,89.39,56.58,84.53,157.21,40.65,64.03,105.17,98.06,46.39,9.0845,139.9,214.78,49.41,172.78,7.3455,69.3638,35.64,1069.1118,1079.13,184.97,30.58,176.88,142.15,23.58,314.35,123.37,79.805,333.14,47.59,210.59,511.105,132.0338,146.66,106.2501,49.31,112.74,49.29,114.99,287.19,91.24,131.1311,88.61,204.42,115.29,186.05,44.1,95.98,41.42,85.465,202.66,55.16,64.5,78.15,42.66,108.63,37.01,181.27,281.11,75.45,258.41,163.3439,157.25,46.29,67.745,115.6806,44.76,93.17,64.81,84.74,130.05,88.01,94.43,85.518,56.48,166.37,168.88,66.31,42.87,402.85,43.75,46.22,188.29,174.35,269.94,190.64,171.76,30.53,69.27,46.2568,242.045,376.03,33.35,96.34,275.9499,152.88,108.48,52.59,121.57,141.08,79.61,178.34,57.74,82.62,51.15,92.72,94.91,22.15,79.21,90.12
2018-12-07 09:38:00+00:00,173.235,89.17,71.05,158.93,247.59,89.03,142.9701,43.69,156.31,39.61,34.375,196.948,167.05,1710.38,285.68,47.83,235.16,109.11,333.78,26.35,48.29,240.91,326.01,48.16,1871.465,404.94,52.9535,209.24,36.47,60.23,128.76,131.93,116.915,72.4,326.06,214.41,63.65,37.99,189.93,85.0,68.08,232.0,141.53,48.1,70.05,69.585,76.045,117.62,74.63,57.63,153.29,105.18,113.81,89.41,56.57,84.36,157.21,40.66,64.07,105.2,98.1,46.37,9.085,140.11,214.855,49.43,172.3043,7.32,69.38,35.69,1071.2358,1082.0,185.1,30.58,176.71,141.89,23.6,314.35,123.28,79.57,332.5,47.67,210.55,511.105,133.02,146.34,106.08,49.32,112.91,49.31,114.72,287.61,91.28,128.74,88.765,204.7485,115.25,186.1,44.145,95.96,41.43,85.38,202.665,55.13,64.42,78.04,42.66,108.86,37.02,181.24,281.62,75.48,258.48,163.44,157.4074,46.315,67.73,115.84,44.705,93.12,64.83,84.78,129.83,87.79,94.46,85.73,56.6,166.52,168.845,66.25,42.83,402.715,43.775,46.25,188.3,174.33,269.96,190.76,171.76,30.535,69.37,46.26,242.045,376.3152,33.48,96.37,275.1683,152.93,108.51,52.52,121.44,141.39,79.3879,178.333,57.75,82.59,51.08,92.926,94.98,22.08,79.11,90.11
2018-12-07 09:39:00+00:00,173.45,89.26,71.02,158.94,248.19,89.22,143.17,43.65,156.345,39.65,34.38,197.15,167.07,1710.6899,286.37,47.9,233.93,109.21,333.72,26.38,48.28,241.09,326.55,48.16,1870.76,405.9299,53.01,209.45,36.48,60.32,129.17,131.94,116.97,72.54,326.05,214.38,63.66,37.93,190.0,85.09,68.19,231.84,141.585,48.135,70.13,69.63,75.9,117.76,74.7,57.83,153.58,105.18,113.79,89.39,56.61,84.5,157.39,40.68,64.2195,105.59,98.09,46.36,9.085,140.2,214.95,49.43,172.85,7.315,69.36,35.74,1071.0375,1079.47,185.1,30.69,177.27,142.165,23.66,314.56,123.44,79.69,332.8733,47.6,211.075,514.18,133.1,146.47,106.17,49.29,112.92,49.28,114.82,287.5401,91.43,131.05,88.905,204.76,115.25,186.09,44.11,95.95,41.49,85.35,203.0,54.96,64.43,78.1,42.715,108.9,37.02,181.24,281.5,75.5698,258.475,163.7075,157.41,46.4,67.88,115.51,44.74,93.12,64.86,84.82,129.83,88.039,94.428,85.74,56.54,166.51,169.045,66.33,42.92,402.065,43.905,46.28,188.06,174.42,270.125,191.1,171.92,30.535,69.54,46.24,242.42,376.58,33.44,96.32,275.17,153.09,108.59,52.64,121.57,141.36,79.39,178.22,57.72,82.64,51.12,92.926,94.93,22.16,79.26,90.1698
2018-12-07 09:40:00+00:00,173.93,89.28,71.05,159.15,248.2959,89.03,143.265,43.69,156.6,39.69,34.455,197.25,167.2,1713.98,286.5382,47.89,234.865,109.21,334.66,26.41,48.44,240.84,325.56,48.34,1874.86,406.8299,53.06,209.935,36.47,60.46,129.35,132.28,117.27,72.48,325.94,214.5,63.84,37.91,190.25,85.05,68.14,231.86,141.72,48.19,70.2,69.65,75.86,118.04,74.76,57.695,153.85,105.18,113.9,89.42,56.65,84.55,157.28,40.74,64.45,106.11,98.2,46.46,9.09,140.2375,215.41,49.47,172.83,7.33,69.37,35.75,1071.41,1081.99,185.5,30.76,177.35,142.3,23.7,315.41,123.54,79.82,331.73,47.67,211.03,512.55,133.24,146.68,106.44,49.42,112.94,49.4,114.84,288.59,91.4,130.04,89.1,205.139,115.15,185.99,44.17,95.95,41.58,85.4,202.8,55.34,64.52,78.15,42.8,108.98,37.12,181.16,282.65,75.79,258.7,163.94,157.51,46.47,67.97,115.54,44.76,93.26,65.06,85.12,129.93,88.238,94.77,85.69,56.63,166.79,169.27,66.325,43.04,402.665,44.02,46.35,187.84,174.74,270.54,191.59,171.6,30.59,69.47,46.2,242.74,376.69,33.55,96.36,275.3,153.1,108.73,52.72,121.6,141.5,79.71,178.7012,57.74,82.61,51.26,92.765,95.0549,22.13,79.39,90.08
