time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CELG,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,DWDP,EA,ECL,EEM,EMR,EOG,EXC,F,FB,FDX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VLO,VRTX,VZ,WBA,WFC,WM,WMT,X,XOM,ZTS
2019-01-04 09:31:00+00:00,144.5,87.58,67.09,138.04,218.88,81.69,,,,,32.52,191.42,158.055,1526.245,,45.75,235.085,,316.99,25.18,44.81,,,47.31,1692.4615,384.3438,45.965,,33.6,53.85,124.32,,,82.46,,186.84,58.975,34.92,183.765,77.74,63.28,203.01,133.23,41.82,61.3,62.46,66.0,,70.84,46.56,,,107.98,84.29,53.93,81.02,,39.03,59.64,92.3,43.81,7.905,134.65,160.15,47.7,154.4302,8.23,66.16,32.78,1031.4301,1041.17,173.5,27.695,170.2,132.83,20.54,,114.64,,292.05,45.64,,459.2,,127.635,99.12,43.5655,,46.81,,,,127.0,,185.1,103.28,175.96,40.04,86.93,41.76,78.51,186.75,49.44,,74.81,40.51,99.35,31.73,169.17,281.309,73.56,,,130.49,45.37,62.3414,108.81,42.54,90.92,,67.11,120.0,83.64,88.47,83.7,56.41,152.21,,62.4,41.6,380.565,38.44,44.12,164.35,,247.68,,,29.96,,44.81,,307.1624,28.54,90.11,,,96.1,46.48,104.695,130.92,,,56.62,68.1577,47.38,89.53,93.1101,19.03,69.63,
2019-01-04 09:32:00+00:00,143.96,87.65,67.16,137.9853,218.6,81.4,128.205,,137.93,39.485,32.416,191.32,158.29,1524.78,249.91,45.29,234.4877,95.45,316.4823,25.14,44.81,214.31,310.35,47.31,1689.99,382.73,46.04,194.92,33.56,54.17,123.9,126.82,107.7,82.97,290.32,186.925,59.24,34.92,183.75,78.1,63.06,201.95,132.83,41.67,61.73,62.265,66.2,,70.98,46.25,147.03,98.81,107.3419,84.4,53.81,81.1,,38.95,59.33,91.415,43.81,7.87,134.17,160.0,47.63,154.4302,8.2,66.14,32.65,1028.87,1038.95,172.97,27.65,170.2599,132.17,20.34,274.05,114.5,74.68,291.36,45.665,190.22,457.29,125.24,127.28,98.89,43.63,110.9,46.78,112.32,,92.02,125.96,84.36,184.69,103.5201,175.75,40.02,86.9135,41.76,78.56,186.54,49.49,60.1,74.77,40.56,99.1599,31.71,169.42,279.2929,73.36,,,130.08,45.35,62.31,108.86,42.39,90.76,59.25,67.12,120.23,83.45,88.47,83.5275,56.31,151.89,,62.37,41.64,382.08,38.38,44.1,165.4775,167.03,247.39,162.79,,30.0,66.12,44.8343,216.095,303.96,28.5,89.94,240.35,134.96,96.1,46.42,105.02,130.595,75.12,165.76,56.5003,68.17,47.42,89.42,92.8,18.879,69.53,
2019-01-04 09:33:00+00:00,144.003,87.72,67.25,137.67,219.09,81.0,127.67,45.12,138.25,39.49,32.51,191.96,158.52,1521.02,250.54,45.4,233.7,95.23,317.0,25.16,44.79,214.13,312.135,47.32,1689.99,383.065,46.1,195.0525,33.6,54.21,124.03,127.03,107.7,83.12,290.71,186.94,59.23,34.95,182.17,78.3,62.82,201.5565,133.15,41.65,61.74,61.96,66.22,109.74,70.81,46.3,147.55,99.11,107.71,84.34,53.78,81.495,,38.925,59.25,91.29,43.75,7.87,134.52,159.69,47.67,154.97,8.17,66.21,32.54,1030.7733,1040.26,173.08,27.62,170.16,132.59,20.4,272.535,114.77,74.57,291.17,45.68,190.67,458.61,124.92,127.13,98.79,43.66,110.8,46.76,112.32,,92.04,125.86,84.2,185.02,103.4225,175.93,40.04,86.905,41.88,78.61,186.41,49.46,59.64,74.99,40.66,99.08,31.745,169.18,279.5,73.27,243.2899,147.43,129.88,45.49,62.04,108.9,42.48,90.65,59.12,67.18,120.38,83.3,88.22,83.6175,56.31,151.88,151.36,62.4,41.595,382.015,38.16,44.13,165.4775,167.03,247.3657,163.14,154.72,29.97,66.21,44.78,217.16,304.0,28.63,89.9,240.66,135.445,95.84,46.38,105.19,130.47,74.86,165.76,56.5454,68.05,47.44,89.32,92.85,18.99,69.4,
2019-01-04 09:34:00+00:00,144.33,87.61,67.4,138.11,218.92,80.75,127.94,45.03,138.31,39.505,32.45,191.94,158.63,1523.4337,250.24,45.55,233.2,95.145,317.0,25.16,44.77,214.72,311.22,47.17,1682.7457,382.07,46.195,194.98,33.62,54.16,123.8,127.03,107.31,83.305,292.15,186.2,59.34,34.93,182.65,78.18,62.805,202.53,132.99,41.76,62.0,62.095,66.2,109.76,70.99,46.45,147.56,99.07,107.53,84.67,53.72,81.4,143.1,38.95,59.28,91.2218,43.93,7.86,134.68,159.81,47.64,154.82,8.17,66.22,32.5,1029.735,1041.3101,173.32,27.48,170.75,132.58,20.34,272.62,114.56,74.51,292.7712,45.67,191.29,462.2,125.28,127.415,98.87,43.639,110.75,46.83,112.62,,92.17,125.72,84.34,185.41,103.775,176.18,40.09,87.015,41.78,78.57,186.55,49.52,59.37,75.18,40.66,99.45,31.6991,169.84,281.505,73.51,243.5,147.86,130.15,45.64,62.18,108.89,42.56,90.825,59.08,67.22,120.2,83.3,88.13,83.7072,56.375,152.14,151.6782,62.5601,41.58,382.29,38.12,44.24,165.64,167.3,247.65,163.07,155.0675,29.95,66.12,44.8267,217.3,304.26,28.59,89.75,240.02,135.72,96.015,46.365,105.25,130.86,74.71,166.69,56.49,68.22,47.45,89.3151,93.117,18.94,69.62,82.81
2019-01-04 09:35:00+00:00,144.51,87.45,67.3,138.15,218.5,80.91,127.69,45.0,138.52,39.41,32.52,192.12,158.3,1525.0,249.6,45.48,233.51,95.34,317.01,25.22,44.76,214.88,312.335,47.18,1682.54,383.42,46.05,194.73,33.695,54.15,123.88,126.95,106.97,83.39,292.03,185.58,59.33,34.9,182.9899,78.04,63.04,202.9968,133.27,41.63,61.855,62.29,66.02,109.97,71.04,46.38,147.62,99.17,107.41,84.36,53.67,81.42,142.59,38.955,59.11,91.6847,43.86,7.87,134.67,159.74,47.65,154.81,8.1601,66.16,32.5328,1029.62,1038.3,172.1,27.57,171.2,132.465,20.32,273.18,114.72,74.48,292.13,45.63,190.8,460.425,125.02,127.13,98.98,43.52,110.7771,46.78,112.65,261.86,92.2071,126.25,84.67,185.65,103.7045,176.25,40.05,86.98,41.77,78.49,186.738,49.4,59.77,75.04,40.6,99.33,31.78,169.75,283.4,73.57,243.59,147.6,130.0,45.6,62.3,108.66,42.48,90.71,59.1,67.02,120.34,83.4,88.36,83.75,56.33,152.09,151.48,62.45,41.65,382.405,38.25,44.17,165.81,167.5,247.48,163.02,154.64,29.9,66.47,44.95,217.52,304.2926,28.68,89.72,239.63,135.71,96.11,46.37,105.05,131.0,75.11,166.4164,56.39,68.05,47.43,89.36,93.25,19.05,69.74,82.88
2019-01-04 09:36:00+00:00,144.25,86.83,67.25,138.43,217.92,80.75,127.74,44.98,138.69,39.446,32.4784,192.0,158.17,1519.3949,249.18,45.16,233.1,95.4,316.7,25.22,44.815,214.33,313.04,47.18,1682.54,383.42,46.11,194.82,33.6,54.18,124.17,127.03,107.05,83.65,292.03,185.89,59.3,34.91,182.64,78.1,63.125,203.16,132.355,41.57,61.73,62.37,66.08,110.07,70.9,46.42,147.82,98.95,107.37,84.38,53.6824,81.22,142.88,38.955,59.07,91.79,43.86,7.915,134.5,159.56,47.7,154.395,8.2,66.367,32.5253,1027.4178,1036.86,172.945,27.705,171.139,132.16,20.31,272.08,114.97,74.2935,291.9,45.63,190.1,457.51,125.07,127.14,99.12,43.62,110.59,46.78,112.71,261.19,92.42,125.93,84.6,185.16,103.565,175.94,40.025,86.78,41.82,78.4,186.32,49.5,59.8,74.95,40.66,99.25,31.73,169.29,282.49,73.33,242.73,147.57,130.15,45.61,62.47,108.69,42.45,90.67,59.06,67.16,120.46,83.5,88.75,83.52,56.325,151.95,151.16,62.5,41.7,382.42,38.46,44.26,165.65,167.015,247.45,162.26,154.47,29.94,66.49,44.95,217.26,303.2375,28.64,89.5069,239.27,135.59,96.11,46.42,105.02,130.47,75.38,166.75,56.34,68.23,47.485,89.5,93.04,19.0,69.93,82.72
2019-01-04 09:37:00+00:00,144.3,86.605,67.06,138.45,217.975,80.69,127.84,45.0,138.76,39.59,32.54,191.93,158.0,1523.0,249.55,45.22,232.93,95.5013,317.37,25.24,44.83,213.79,312.82,47.21,1680.0,384.17,46.2988,194.85,33.53,54.2,124.46,126.92,107.02,83.84,291.39,186.0,59.22,34.955,182.04,78.23,63.24,203.42,132.4544,41.59,61.89,62.4,66.165,110.18,70.9,46.38,148.09,98.87,107.58,84.355,53.82,81.435,142.835,38.98,59.06,91.9808,43.85,7.99,134.4054,160.01,47.71,154.97,8.24,66.35,32.65,1028.84,1038.385,172.94,27.75,171.53,132.14,20.315,271.63,114.97,74.03,291.39,45.75,190.36,458.03,125.06,127.11,99.0801,43.84,110.82,46.79,112.73,261.21,92.7,127.18,84.63,185.26,103.78,176.03,40.16,86.77,41.92,78.34,186.36,49.53,60.155,74.95,40.72,99.335,31.845,169.1,284.25,73.55,243.5,147.8,130.41,45.66,62.56,108.72,42.41,90.71,58.9,67.29,120.68,83.595,88.91,83.57,56.42,152.17,151.6,62.55,41.8,383.29,38.5,44.215,165.8,166.92,247.89,163.04,154.47,30.02,66.77,45.1,217.0,305.03,28.69,89.62,239.06,135.65,96.13,46.43,105.24,130.44,75.38,166.64,56.43,68.4,47.56,89.423,93.28,19.15,70.08,82.85
2019-01-04 09:38:00+00:00,144.65,87.02,67.09,138.35,218.02,80.91,127.8132,45.08,139.2,39.56,32.68,192.77,158.36,1525.585,249.545,45.355,233.32,95.585,317.5,25.2,44.86,214.185,313.59,47.22,1680.0,383.93,46.48,195.0058,33.56,54.23,124.69,126.9731,107.12,83.9,291.73,186.6,59.38,35.04,181.9848,78.21,63.3,203.7022,132.93,41.6,61.75,62.51,66.313,110.38,71.034,46.474,148.25,98.9,107.625,84.15,53.86,81.575,142.98,39.0,59.05,92.08,43.85,8.03,134.22,160.15,47.73,154.96,8.23,66.56,32.78,1030.0,1039.25,173.42,27.745,171.44,132.2357,20.41,272.08,115.24,74.17,291.85,45.97,190.08,457.8512,125.24,127.1536,99.0,43.98,110.59,46.81,112.44,261.28,92.68,126.84,84.8,185.69,104.0,176.18,40.19,86.77,41.95,78.36,186.27,49.51,60.25,75.03,40.74,99.33,31.877,168.99,283.76,73.615,243.52,147.455,130.81,45.78,62.56,108.96,42.45,90.86,58.92,67.3,120.61,83.66,89.13,83.545,56.55,152.37,151.53,62.54,41.82,384.965,38.69,44.18,165.96,166.92,248.08,163.25,154.59,30.025,66.8,45.04,217.465,306.3779,28.74,89.81,239.204,135.61,96.13,46.44,105.1957,130.5,75.7,167.1,56.55,68.44,47.59,89.4345,93.1802,19.21,70.13,82.945
2019-01-04 09:39:00+00:00,144.7444,86.7,67.06,138.37,218.9584,81.16,127.89,45.0624,139.45,39.65,32.67,193.08,158.28,1523.13,250.135,45.25,234.15,95.59,317.29,25.1865,44.82,214.2975,313.23,47.22,1680.0,383.93,46.54,194.625,33.57,54.17,124.89,127.32,107.26,83.96,292.37,187.4,59.37,35.04,182.03,78.02,63.3,203.54,132.94,41.63,61.73,62.52,66.39,110.2999,71.04,46.5574,148.24,99.16,107.73,84.23,53.92,81.61,142.99,39.0,59.07,91.99,43.87,8.0,133.7737,160.32,47.76,154.925,8.225,66.6,32.665,1029.6801,1038.08,173.11,27.7,171.06,132.495,20.35,272.08,115.33,74.09,291.895,46.03,191.18,457.85,125.14,127.23,98.9,44.0,110.77,46.78,112.48,261.15,92.77,127.31,85.32,185.64,104.01,176.39,40.2,86.77,41.92,78.3,186.29,49.505,60.14,75.11,40.66,99.36,31.93,168.92,282.68,73.57,243.52,147.47,130.78,45.825,62.47,108.87,42.42,90.81,58.99,67.28,120.52,83.88,89.147,83.59,56.445,152.29,151.26,62.62,41.85,382.89,38.66,44.16,166.02,167.075,247.86,163.65,154.43,30.03,66.7231,45.06,217.67,307.0,28.75,89.82,239.5786,135.51,96.08,46.43,105.19,130.55,75.62,167.64,56.515,68.47,47.51,89.46,92.98,19.25,70.11,82.905
2019-01-04 09:40:00+00:00,144.895,86.45,67.17,138.54,219.15,81.12,128.06,45.08,139.68,39.64,32.61,193.0,158.5,1525.0,250.36,45.37,233.84,95.63,317.55,25.17,44.83,214.07,313.38,47.17,1680.6899,383.957,46.795,194.38,33.57,54.1,124.56,127.39,107.3725,84.245,292.71,186.96,59.33,35.04,181.75,77.88,63.44,203.74,133.48,41.55,61.84,62.71,66.28,110.27,71.1,46.45,148.035,99.14,107.8,84.21,53.72,81.72,143.025,39.0,58.96,92.02,43.96,7.92,134.37,160.293,47.76,154.31,8.21,66.61,32.48,1029.9307,1038.4301,172.84,27.62,170.98,132.5,20.37,273.55,115.42,74.06,291.9,46.0,191.54,458.8,124.96,127.23,98.885,44.0236,110.55,46.79,112.6,261.1844,92.72,127.03,84.98,185.96,103.98,176.79,40.23,86.8,42.01,78.25,186.275,49.46,60.37,75.19,40.63,99.54,31.97,168.96,283.06,73.45,243.52,147.68,130.9,45.9,62.59,108.94,42.49,90.88,59.013,67.232,120.49,83.46,89.44,83.91,56.37,152.46,151.6099,62.65,41.84,383.29,38.6,44.2,165.97,167.46,247.98,163.3595,154.74,30.06,66.53,45.1,217.89,305.31,28.79,89.82,239.39,135.56,95.99,46.41,105.21,130.85,75.71,167.905,56.44,68.45,47.51,89.29,93.03,19.13,70.14,83.01
