time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BBT,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CELG,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2019-10-04 09:31:00+00:00,225.2,74.12,81.29,186.48,274.78,111.79,158.33,51.21,167.1,53.2,50.01,193.3,224.5,1724.04,239.14,55.13,279.02,112.8,371.87,27.9,50.8,252.06,224.26,,1970.64,421.15,49.55,205.09,40.28,66.76,120.03,156.765,137.41,98.43,421.335,148.69,70.9,44.48,210.5,85.76,53.74,288.2601,148.4,47.26,66.37,60.37,61.18,113.5,80.115,52.83,164.78,139.81,128.8,,94.78,193.15,40.69,63.71,64.57,71.15,41.5,47.9,8.71,179.43,141.99,30.69,40.02,174.9233,27.2,8.65,62.47,34.9,1191.31,1192.34,26.51,196.95,18.64,227.15,,16.99,253.82,142.06,91.56,298.46,50.28,264.28,522.5731,150.19,131.45,112.46,26.47,140.1302,53.98,24.56,107.31,381.3,107.16,190.96,85.52,269.17,119.765,210.655,54.85,107.64,44.5027,96.89,155.805,40.62,60.32,83.21,40.29,136.64,43.65,230.655,268.5169,92.11,365.49,171.0,180.55,53.9,43.125,137.78,35.48,122.035,75.475,76.45,137.16,85.5,99.46,102.01,76.13,187.06,191.0,84.84,35.16,546.34,32.31,61.49,,240.77,291.29,196.24,213.97,37.1973,,54.4,145.38,282.77,231.34,40.41,129.08,216.75,154.29,116.005,53.12,131.0,174.9,,83.75,170.8,25.17,59.015,52.78,48.6,115.485,116.49,10.84,57.22,26.98,74.9,79.79,60.57,68.16,125.2
2019-10-04 09:32:00+00:00,225.1759,74.2928,82.25,187.45,275.425,112.0,158.79,51.34,167.6744,53.4114,50.26,193.88,225.19,1725.97,239.6479,55.1114,280.4345,113.118,373.5,28.02,51.0175,252.94,224.2887,42.51,1969.0,421.05,49.61,205.49,40.49,67.045,120.53,157.2741,137.88,98.58,421.33,148.21,71.09,44.56,210.5,85.98,53.94,287.4776,148.703,47.43,66.58,60.5,61.34,113.825,80.3875,53.04,164.94,140.765,128.95,95.66,94.91,193.16,40.725,63.77,64.73,71.27,41.605,48.04,8.7252,179.5147,142.52,30.72,40.07,175.2,27.1807,8.6602,62.5716,35.0925,1192.4301,1194.715,26.51,197.5152,18.685,227.79,162.1443,17.0,254.47,142.5,91.94,297.93,50.51,265.48,523.0138,150.19,131.8437,112.83,26.58,139.98,54.0514,24.61,107.585,381.255,107.61,191.51,85.72,270.0603,120.06,210.98,55.06,107.84,44.5811,96.82,155.9999,40.6513,60.4376,83.485,40.38,137.15,43.5611,231.12,269.4654,92.4204,365.54,171.62,180.7845,54.06,43.37,137.85,35.62,122.36,75.66,76.5995,137.22,85.8001,99.497,102.2753,76.37,187.47,191.535,85.12,35.235,546.66,32.28,61.68,148.41,241.41,291.95,196.4053,215.45,37.31,106.9528,54.55,145.22,284.16,232.06,40.57,129.78,217.5,154.455,116.39,53.23,131.34,175.11,18.41,84.22,171.07,24.96,59.145,52.94,48.835,115.59,116.623,10.9002,57.32,27.05,75.04,80.0027,60.66,68.2718,125.63
2019-10-04 09:33:00+00:00,224.8242,74.16,82.3116,187.71,275.11,112.03,158.44,51.49,167.64,53.65,50.05,193.76,225.2344,1721.33,240.6575,54.9661,279.5755,113.1722,373.6273,28.01,50.98,252.93,224.16,42.58,1969.02,421.9535,49.67,205.19,40.54,67.0315,120.64,157.1831,138.15,98.65,421.6306,149.4085,71.2014,44.47,210.2441,85.98,53.9495,286.9156,148.37,47.41,66.7,60.74,61.3912,113.68,80.7,53.0913,165.96,140.9,129.1,95.52,94.9319,193.27,40.69,63.75,64.74,71.2714,41.57,48.0109,8.7102,178.835,142.5128,30.75,40.03,175.3484,27.18,8.6708,62.5212,35.0307,1190.429,1191.465,26.5045,197.37,18.8754,227.8,162.15,17.0203,254.07,142.5219,91.68,298.1,50.31,265.0,522.51,150.61,131.785,112.7922,26.68,140.17,54.05,24.59,107.5,381.06,107.6,191.8885,85.8617,269.6377,119.89,210.8835,55.05,107.79,44.64,97.02,155.9231,40.7708,60.339,83.4116,40.37,137.0971,43.5659,231.055,268.1253,92.38,365.76,171.275,179.7535,53.98,43.4009,137.75,35.575,122.2624,75.65,76.9315,137.335,85.8001,99.61,101.86,76.15,187.18,192.3838,84.88,35.4207,546.66,32.39,61.54,148.75,241.6447,291.81,197.717,215.0842,37.255,107.11,54.6511,145.31,283.965,231.5864,40.3306,129.3,217.69,153.81,116.4823,53.25,131.3829,174.9554,18.46,84.1457,170.8,25.02,59.12,52.9604,48.821,115.75,116.5423,10.915,57.36,27.04,75.1,79.89,60.68,68.2513,125.4025
2019-10-04 09:34:00+00:00,224.5184,74.13,82.0431,187.447,275.0803,111.75,158.3709,51.49,167.63,53.49,50.0619,193.96,224.7084,1722.7957,240.6575,54.942,279.5104,113.19,373.4589,27.961,50.92,252.78,224.275,42.5516,1969.02,422.23,49.67,205.43,40.36,66.9825,120.6495,157.31,137.76,98.68,421.3666,149.1563,71.21,44.4517,210.53,86.21,53.805,285.85,147.98,47.4018,66.71,60.615,61.3623,113.55,80.568,53.022,165.44,140.44,128.9848,95.5936,95.23,194.3372,40.69,63.75,64.65,71.09,41.565,48.02,8.7003,178.7667,142.3153,30.6211,40.01,175.035,27.26,8.625,62.616,35.0213,1190.95,1192.0699,26.51,197.7,18.79,227.6934,162.106,16.8756,254.81,142.4753,91.73,297.4611,50.2419,265.54,523.355,150.53,131.7278,112.71,26.621,140.4252,54.072,24.65,107.534,380.8352,107.58,191.51,85.58,270.33,120.01,210.8779,55.03,107.734,44.59,97.0,155.5,40.7656,60.23,83.28,40.3615,136.84,43.6616,230.5,268.23,92.33,365.7536,171.32,179.3167,53.95,43.2,137.85,35.5466,122.31,75.53,76.7629,137.64,85.81,99.5,101.95,76.27,187.127,192.6222,84.9232,35.319,546.66,32.31,61.53,148.45,241.65,291.7,197.175,215.14,37.2,107.3168,54.5,145.3,283.675,231.1936,40.2915,129.2748,218.01,154.0657,116.5043,53.242,131.302,175.21,18.52,83.91,170.97,25.09,59.14,52.91,48.71,115.745,116.63,10.8904,57.25,27.04,75.0628,79.85,60.69,68.145,125.295
2019-10-04 09:35:00+00:00,224.3957,74.205,81.94,187.5645,275.1099,112.264,158.295,51.47,167.63,53.6,50.1818,194.61,224.66,1722.635,240.03,54.802,278.93,113.19,373.27,27.951,50.9,252.74,225.0,42.55,1969.97,422.43,49.72,205.37,40.415,66.9924,120.87,157.31,137.88,98.7,421.5352,149.2,71.15,44.5,211.0,86.3231,53.75,284.7104,147.7353,47.3906,66.86,60.78,61.3722,113.54,80.9529,52.9919,165.78,140.34,128.95,95.93,95.0884,194.3372,40.69,63.76,64.86,71.25,41.6,48.07,8.7053,178.8764,141.89,30.69,40.015,175.13,27.261,8.635,62.57,35.0213,1190.6313,1191.84,26.51,197.57,18.8807,227.5882,162.31,16.7856,254.9752,142.595,92.09,296.9657,50.2518,265.129,522.675,150.71,131.87,112.7,26.7,139.9,54.0472,24.64,107.52,381.099,107.6039,191.313,85.98,270.104,120.1643,210.7176,54.99,107.75,44.62,97.1,155.432,40.82,60.19,83.27,40.3688,136.9638,43.7281,230.545,267.8085,92.2433,366.0,171.78,179.5065,54.05,43.14,137.93,35.5699,122.3344,75.54,76.98,137.73,85.79,99.4877,101.775,76.3227,187.1667,192.45,84.9016,35.475,546.88,32.3112,61.56,148.935,241.52,291.71,197.7871,214.89,37.22,107.37,54.542,145.34,284.66,231.1472,40.1614,129.5797,218.54,153.84,116.33,53.18,131.4,174.7053,18.5207,83.88,171.44,25.0848,59.165,52.7719,48.73,115.71,116.6482,10.9054,57.24,27.05,75.1,79.85,60.68,68.1401,125.54
2019-10-04 09:36:00+00:00,224.2998,74.335,81.84,187.775,276.06,112.18,158.54,51.42,167.65,53.468,50.29,194.625,224.655,1726.2174,240.55,55.02,279.835,113.295,374.2,27.98,50.89,252.84,224.94,42.67,1969.97,422.0904,49.79,205.425,40.51,67.0111,120.85,157.19,137.8,98.78,421.37,149.575,71.14,44.49,210.48,86.42,53.77,283.7546,148.0124,47.4431,66.91,60.8,61.42,113.52,81.305,53.01,165.38,140.4723,128.9,95.9316,95.14,194.4932,40.71,63.78,64.82,71.115,41.62,48.0408,8.71,179.0479,142.31,30.69,40.03,175.2216,27.23,8.635,62.63,35.07,1193.5391,1194.515,26.51,197.76,18.85,227.58,162.25,16.7303,255.99,142.455,91.74,297.38,50.25,265.8673,522.315,150.515,131.91,112.735,26.68,140.17,54.0259,24.64,107.52,381.4358,107.69,191.1349,86.09,270.75,120.92,210.94,55.03,107.8,44.6407,97.02,155.592,40.78,60.315,83.37,40.38,137.29,43.63,230.47,268.0,92.37,366.45,171.98,179.5029,54.13,43.12,138.39,35.62,122.335,75.635,76.9213,137.8,85.95,99.76,101.8417,76.415,187.33,192.58,84.9164,35.485,547.42,32.34,61.53,148.66,241.735,291.91,198.043,214.89,37.17,107.36,54.68,145.36,285.315,231.57,40.1407,129.64,217.94,153.97,116.475,53.16,131.3721,175.09,18.4,84.03,171.87,24.97,59.14,52.69,48.75,115.63,116.6739,10.87,57.23,27.06,75.13,79.93,60.69,68.06,125.5
2019-10-04 09:37:00+00:00,224.65,74.4716,81.9192,188.01,276.57,112.18,158.565,51.45,167.78,53.52,50.36,194.95,224.9473,1729.16,240.48,55.35,280.05,113.42,374.222,27.98,50.92,252.78,225.35,42.66,1973.0,421.91,49.85,205.48,40.5113,67.0139,120.87,157.19,137.77,98.86,421.03,149.6548,71.12,44.48,210.7,86.43,53.6865,285.49,148.2575,47.46,66.81,60.85,61.4384,113.45,81.3126,52.8917,165.33,140.45,128.9292,96.02,95.53,194.79,40.7,63.78,64.7547,71.1,41.62,48.08,8.715,178.9299,142.1193,30.601,40.025,175.28,27.2109,8.625,62.575,35.09,1194.1556,1195.729,26.51,197.825,18.7225,227.38,162.27,16.8005,256.5583,142.52,91.68,297.715,50.3,266.48,522.8,150.65,131.9286,112.74,26.68,140.095,54.045,24.65,107.83,381.295,107.24,191.42,85.96,271.01,120.7939,210.875,55.085,107.8,44.59,97.12,155.44,40.83,60.335,83.465,40.41,137.43,43.59,230.79,268.3187,92.3394,366.52,172.15,179.87,54.17,43.11,138.455,35.675,122.37,75.66,76.97,137.66,85.98,99.7461,101.85,76.415,187.4999,192.7362,85.05,35.555,548.08,32.325,61.58,148.63,242.42,292.0461,198.0764,214.99,37.1662,107.3435,54.665,145.33,285.3,232.2575,40.3,129.72,218.05,153.94,116.53,53.16,131.4,175.31,18.26,84.1777,172.125,24.9975,59.135,52.66,48.75,115.77,116.51,10.89,57.21,27.069,75.11,80.02,60.7,67.98,125.35
2019-10-04 09:38:00+00:00,224.9301,74.51,81.94,187.83,276.64,111.97,158.51,51.44,167.86,53.465,50.23,195.06,224.87,1728.2065,240.27,55.18,279.6709,113.24,373.46,27.95,50.89,252.48,225.38,42.6218,1976.2975,421.91,49.81,205.42,40.5,66.912,120.63,157.19,137.845,98.84,421.72,149.25,71.14,44.4401,211.08,86.178,53.485,285.0719,148.252,47.29,66.69,60.7,61.45,113.47,81.5627,52.7968,164.94,140.4075,128.89,96.04,95.614,194.88,40.67,63.77,64.68,70.8812,41.535,48.054,8.6956,178.51,141.8067,30.59,40.01,175.28,27.275,8.6204,62.49,34.99,1192.0601,1194.89,26.51,197.54,18.705,227.48,162.005,16.7807,256.31,142.3814,91.72,298.12,50.12,265.17,522.8,150.5,131.97,112.63,26.66,140.3014,54.07,24.64,107.88,381.0,107.3137,190.99,85.59,270.7549,120.6,210.74,55.04,107.72,44.58,97.055,155.3584,40.76,60.33,83.54,40.35,137.3,43.45,230.61,268.07,92.275,366.18,171.82,179.5263,54.0986,43.0,138.5,35.66,122.35,75.58,76.915,137.6458,85.85,99.68,101.775,76.37,187.32,192.56,84.9,35.53,547.96,32.29,61.62,148.099,242.76,291.8501,197.3682,214.81,37.2061,107.345,54.7,145.42,285.62,231.768,40.15,129.5,217.74,153.665,116.39,53.1088,131.4555,175.18,18.2708,84.09,171.8703,25.06,59.1325,52.55,48.752,115.8244,116.46,10.8405,57.16,27.049,75.03,79.94,60.69,67.96,125.6775
2019-10-04 09:39:00+00:00,225.27,74.34,81.99,187.94,277.17,111.96,158.7,51.4,167.76,53.41,50.22,194.97,225.24,1730.33,240.37,54.9922,279.7412,113.285,373.794,27.87,50.81,252.51,225.11,42.57,1974.3918,421.312,49.8,205.3,40.515,66.75,120.3418,157.32,138.09,98.81,422.665,149.65,71.11,44.45,211.06,86.01,53.34,285.76,148.58,47.3,66.585,60.71,61.5138,113.4293,81.5,52.88,164.77,140.62,128.95,96.01,95.5438,194.88,40.67,63.7701,64.55,70.68,41.49,48.02,8.6741,178.59,141.5,30.5,40.0,175.1297,27.3,8.575,62.4543,34.925,1194.53,1195.875,26.51,196.94,18.63,227.51,162.19,16.8357,256.5046,142.42,91.7231,298.092,50.182,265.98,522.8897,150.33,132.16,112.48,26.57,140.34,54.1,24.57,107.92,381.22,107.13,190.865,85.2,270.815,120.14,211.0,55.08,107.87,44.5,97.135,155.01,40.76,60.2732,83.66,40.225,137.57,43.5,230.65,267.7557,92.4,366.4119,171.92,179.54,54.17,42.86,138.51,35.64,122.465,75.565,76.885,137.54,85.72,99.7,101.7254,76.27,187.43,192.991,85.0532,35.43,547.96,32.166,61.62,148.43,242.49,291.87,197.935,215.31,37.21,107.33,54.63,145.43,285.57,231.8,40.2635,129.49,218.02,153.735,116.46,53.0522,131.37,175.4,18.3407,84.01,172.16,25.04,59.19,52.35,48.705,115.9706,116.52,10.7644,57.06,27.01,74.98,80.015,60.7,67.89,125.6865
2019-10-04 09:40:00+00:00,225.4,74.34,81.95,187.9,277.14,111.84,158.58,51.36,167.84,53.4476,50.09,194.9104,225.22,1731.1783,240.47,54.89,279.21,113.07,373.4,27.8865,50.83,252.56,225.01,42.47,1976.6899,421.312,49.82,205.18,40.48,66.73,120.19,157.32,138.06,98.8,422.82,149.25,71.1,44.455,211.22,86.02,53.23,285.95,148.44,47.25,66.52,60.605,61.53,113.425,81.6,52.82,164.8409,140.49,128.9114,96.04,95.445,194.5,40.66,63.76,64.54,70.5,41.47,47.97,8.68,178.6,141.6278,30.47,40.0,174.88,27.36,8.5855,62.38,34.92,1193.3943,1195.5601,26.52,196.86,18.63,227.561,162.08,16.85,256.265,142.38,91.87,298.42,50.1334,265.63,522.431,150.16,132.19,112.545,26.55,140.27,54.06,24.57,107.82,380.745,107.1,190.97,85.07,270.8846,119.745,211.04,55.13,107.75,44.5,97.14,154.85,40.75,60.3,83.5001,40.23,137.4173,43.4365,230.27,267.51,92.45,365.9001,171.7,179.8724,54.15,42.8287,138.62,35.63,122.44,75.56,76.91,137.69,85.635,99.56,101.82,76.28,187.39,193.11,85.06,35.42,548.16,32.19,61.55,148.11,242.79,291.81,197.635,215.24,37.21,107.51,54.74,145.475,285.84,232.59,40.22,129.5818,218.17,153.74,116.395,53.07,131.33,175.47,18.41,83.895,172.11,25.065,59.18,52.33,48.755,115.81,116.49,10.76,57.03,27.02,74.93,79.99,60.69,67.89,125.66
