time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,RTN,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,UTX,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-01-10 09:31:00+00:00,310.8822,90.24,86.79,206.86,341.47,120.5538,171.7305,52.63,192.93,52.22,62.57,238.15,227.73,1902.3022,307.33,59.41,305.4647,,335.7599,35.0,274.78,295.4244,51.2816,2085.99,514.365,65.6,228.5,46.05,80.0,147.62,153.47,140.625,505.4,212.125,69.72,45.4,208.0366,102.5,65.66,300.0645,180.0057,47.4115,73.7723,61.21,73.18,117.5947,82.3,59.1636,178.31,158.3457,145.42,91.15,109.0835,190.4061,45.62,69.64,77.7342,87.54,47.05,46.2915,9.2703,219.385,157.59,37.1933,44.415,181.2063,28.1909,11.84,65.98,35.0661,1425.0,1425.78,26.0301,242.45,24.0199,224.7772,179.9,,365.6021,136.98,94.53,334.5106,59.7019,275.42,614.3411,179.27,145.62,136.96,30.7041,139.06,55.54,28.47,135.76,414.865,,236.12,90.41,310.635,146.29,208.75,54.32,118.945,52.39,112.1,181.6,50.96,59.6851,89.55,52.192,162.8152,57.4594,244.0878,337.92,101.78,372.57,199.9814,247.0179,54.51,45.165,135.3043,39.075,123.68,74.0551,88.57,160.61,94.6091,105.5834,113.24,90.6129,219.72,228.3342,90.8329,48.06,567.85,39.725,63.44,144.495,290.62,327.23,192.09,212.545,38.835,125.0,62.54,137.67,331.97,481.405,32.95,131.63,292.48,179.5307,,57.06,153.65,193.4912,,95.903,231.1486,14.1503,58.875,54.81,52.79,116.25,117.08,10.8176,60.0319,30.92,83.3827,94.91,62.79,69.64,135.61
2020-01-10 09:32:00+00:00,311.285,90.04,86.91,207.31,341.865,120.61,171.72,52.68,192.875,52.2,62.65,237.74,227.98,1901.4,306.43,59.51,304.17,127.63,335.78,34.98,274.78,294.4,51.25,2080.1599,514.3906,65.6132,227.945,45.98,79.82,147.52,153.54,140.63,505.4,211.19,69.52,45.36,207.9,102.3,65.5789,299.97,180.22,47.41,73.76,61.15,73.11,117.57,82.265,59.14,177.76,158.34,145.15,91.15,109.09,190.3225,45.6,69.65,77.79,87.2841,47.03,46.25,9.27,219.1718,158.0352,37.1,44.39,181.225,28.245,11.84,65.85,35.018,1423.675,1424.69,26.035,241.9001,24.03,224.39,179.29,21.295,365.68,136.98,94.255,334.5106,59.7,276.0,607.08,179.41,145.81,136.86,30.59,138.67,55.6,28.55,135.76,415.19,,235.8685,90.46,311.1,146.23,208.56,54.26,118.7,52.3,112.1,181.82,50.9,59.5,89.95,52.09,162.61,57.46,244.23,337.38,101.79,372.52,199.75,247.92,54.5,45.17,135.38,39.11,123.54,73.81,88.53,160.44,94.43,105.73,113.08,90.66,219.71,228.28,90.62,48.1103,566.32,39.66,63.4,143.695,290.51,327.165,192.09,212.475,38.87,125.2175,62.56,137.64,331.9,482.45,32.97,131.727,294.31,179.62,116.93,56.96,153.4718,193.74,12.44,95.71,230.87,14.15,58.93,54.79,52.66,116.33,116.66,10.78,59.965,30.885,83.39,94.96,62.73,69.5754,135.45
2020-01-10 09:33:00+00:00,310.61,89.96,86.81,207.36,341.5253,120.52,171.79,52.6957,192.86,52.175,62.6472,238.47,227.831,1898.0,306.98,59.42,300.43,127.53,336.0638,34.98,274.78,295.1178,51.28,2080.6201,515.2536,65.63,227.91,46.01,79.93,147.69,153.59,140.385,505.54,212.11,69.58,45.37,208.82,102.38,65.6117,299.88,179.465,47.455,73.7419,61.14,73.115,117.5972,82.31,59.12,177.46,158.365,145.1391,91.1072,108.7,190.29,45.6,69.65,77.75,87.3423,47.02,46.33,9.275,219.2,157.9942,37.11,44.385,181.37,28.27,11.83,65.895,34.98,1424.85,1425.075,26.035,241.905,24.045,223.6859,179.41,21.31,366.4996,137.14,94.24,335.065,59.735,275.55,609.216,179.26,145.81,136.8636,30.59,138.65,55.585,28.53,135.96,415.45,,235.7662,90.33,310.655,146.1938,208.4521,54.31,118.665,52.3,112.28,181.69,50.9801,59.57,89.96,52.1014,162.5,57.3564,244.09,336.42,101.685,372.94,199.8153,247.79,54.54,45.3,135.29,39.1,123.6,73.805,88.54,160.57,94.57,105.81,112.66,90.93,219.58,228.82,90.54,48.1312,566.26,39.745,63.45,144.04,289.56,327.09,192.05,212.03,38.875,125.0743,62.61,137.74,331.83,482.8027,32.9009,131.545,294.9178,179.65,116.9831,56.95,153.67,193.655,12.4,95.6862,230.86,14.15,58.995,54.8272,52.75,116.33,116.38,10.7903,59.99,30.8829,83.39,94.86,62.73,69.64,135.4177
2020-01-10 09:34:00+00:00,310.4916,90.04,86.96,207.495,341.4392,120.42,171.81,52.72,193.05,52.22,62.435,238.5,227.5,1898.01,306.43,59.44,301.71,127.53,337.54,34.99,275.23,296.78,51.295,2080.6201,514.555,65.62,228.03,46.06,79.9216,147.57,153.81,140.26,505.815,212.0542,69.55,45.405,208.68,102.44,65.65,299.5724,179.31,47.5,73.795,61.155,73.11,117.61,82.32,58.86,177.403,158.52,145.215,91.06,108.93,190.29,45.58,69.64,77.79,87.43,47.005,46.315,9.2807,218.7494,158.15,37.1,44.3799,181.39,28.245,11.84,66.06,35.0,1423.51,1423.3947,26.035,241.9647,24.0505,224.0,179.4535,21.33,365.44,137.16,94.2,335.065,59.745,275.55,611.675,179.38,145.875,136.77,30.64,139.01,55.575,28.52,135.8477,415.4701,121.4324,235.95,90.49,310.15,146.05,208.58,54.2,118.61,52.36,112.29,181.7,50.88,59.6512,90.05,52.0832,162.29,57.17,244.13,336.49,101.64,372.99,200.3639,247.61,54.45,45.35,135.14,39.18,123.54,74.0015,88.525,160.82,94.62,105.9389,112.33,90.7,219.4199,229.08,90.34,48.08,566.56,39.7,63.43,143.74,290.015,327.03,191.9288,212.55,38.855,125.16,62.67,137.69,331.79,481.835,32.82,131.35,294.84,179.45,116.92,56.93,153.715,193.75,12.4102,95.6055,230.7434,14.1521,58.895,54.8355,52.77,116.35,116.525,10.85,60.0,30.89,83.41,94.805,62.7032,69.62,135.19
2020-01-10 09:35:00+00:00,309.94,90.05,86.86,207.55,341.795,120.39,171.77,52.73,193.28,52.15,62.47,238.52,227.65,1894.27,307.42,59.485,301.965,127.29,337.3026,34.93,275.12,295.9,51.26,2082.95,514.81,65.57,227.96,46.05,79.86,147.55,153.78,140.35,505.815,211.73,69.55,45.4,207.54,102.445,65.77,299.3825,179.6167,47.4871,73.7,61.14,73.03,117.61,82.39,58.81,177.23,158.31,145.1399,91.06,108.97,190.02,45.5634,69.6204,77.77,87.6133,46.99,46.33,9.275,218.88,158.2203,37.11,44.365,181.4116,28.22,11.835,66.06,34.9913,1421.47,1421.3101,26.035,242.019,24.1,223.88,179.49,21.34,364.9536,137.1414,94.12,335.26,59.75,275.27,612.49,179.5,146.035,136.62,30.72,138.87,55.585,28.55,136.04,414.9,121.6345,235.49,90.48,309.4,145.93,208.37,54.19,118.6,52.32,112.21,181.6303,50.855,59.66,90.04,52.035,162.245,57.1363,244.2391,336.086,101.59,372.965,200.0,247.4041,54.47,45.405,135.14,39.24,123.4498,73.9628,88.5233,160.59,94.55,105.8811,112.56,90.785,219.325,228.88,90.4483,47.99,566.56,39.74,63.465,143.995,289.345,326.91,191.52,212.29,38.86,125.0947,62.65,137.7,331.44,478.9541,32.8434,131.26,294.381,179.485,116.99,56.935,153.4,193.26,12.45,95.585,230.6557,14.16,58.955,54.815,52.755,116.31,116.56,10.8554,60.02,30.875,83.36,94.74,62.6967,69.59,135.415
2020-01-10 09:36:00+00:00,310.45,89.99,86.925,207.625,342.28,120.56,171.81,52.75,193.28,52.15,62.53,238.89,227.88,1898.005,308.01,59.43,300.85,127.2,336.726,34.925,275.56,297.56,51.245,2080.25,514.4185,65.425,227.7088,46.07,79.73,147.495,154.1,140.35,505.24,211.74,69.5,45.3429,207.82,102.34,65.58,299.26,179.775,47.5,73.66,61.15,72.93,117.525,82.3173,58.9121,177.08,158.28,145.44,91.09,108.88,189.94,45.58,69.635,77.77,87.42,47.0,46.27,9.2703,218.95,158.15,37.17,44.39,181.04,28.21,11.825,65.96,34.88,1422.855,1423.75,26.04,241.78,24.08,223.11,179.57,21.34,363.7,137.0,94.28,335.17,59.85,275.41,611.495,179.35,145.89,136.58,30.71,139.14,55.585,28.51,136.2849,414.43,121.3314,235.6101,90.395,309.985,145.98,208.1567,54.2,118.6,52.27,112.24,181.5262,50.77,59.6921,89.85,51.995,162.42,57.3477,244.31,336.015,101.67,372.5,199.9607,248.16,54.44,45.2441,135.23,39.25,123.34,74.01,88.3242,160.64,94.53,105.85,112.72,90.5228,219.45,228.857,90.335,47.97,566.86,39.72,63.41,143.99,288.585,326.9099,190.76,212.62,38.83,124.7645,62.66,137.69,331.245,477.66,32.69,131.3,294.6156,179.41,117.02,56.91,153.25,193.85,12.41,95.68,230.54,14.125,58.98,54.82,52.68,116.15,116.48,10.8404,59.96,30.855,83.31,94.8337,62.68,69.4578,135.19
2020-01-10 09:37:00+00:00,310.36,89.9701,86.95,207.53,341.84,120.61,171.69,52.75,193.3,52.14,62.57,239.75,227.73,1894.66,307.66,59.35,300.56,127.14,336.44,34.905,274.98,297.18,51.19,2085.0,513.4196,65.48,227.78,46.05,79.6129,147.54,154.11,140.45,505.435,211.96,69.52,45.305,207.67,102.26,65.51,299.25,179.56,47.51,73.65,61.15,72.98,117.57,82.28,58.79,176.77,158.34,145.3724,91.07,108.79,189.57,45.57,69.63,77.84,87.4111,47.02,46.25,9.275,218.7,158.323,37.19,44.388,180.898,28.26,11.82,66.03,34.835,1421.8658,1422.05,26.04,241.75,24.09,223.685,179.55,21.36,365.208,137.12,94.33,334.32,59.88,275.05,613.665,179.47,145.86,136.5322,30.79,139.13,55.535,28.49,136.3895,414.0,121.303,235.52,90.3115,309.46,145.82,207.9129,54.17,118.5,52.33,112.08,181.41,50.7408,59.781,89.82,51.985,162.25,57.36,244.05,334.55,101.6,372.334,199.79,247.95,54.42,45.2564,135.1,39.31,123.43,73.96,88.32,160.5726,94.49,105.89,112.47,90.37,219.3,228.85,90.15,47.955,567.878,39.73,63.4,143.9519,288.36,326.82,190.7684,212.1,38.84,124.5,62.56,137.705,331.22,476.31,32.6655,131.19,294.3948,179.28,116.78,56.9,153.25,193.46,12.49,95.7316,230.44,14.145,59.035,54.82,52.705,116.1879,116.53,10.835,59.9605,30.85,83.3,94.77,62.67,69.4634,135.15
2020-01-10 09:38:00+00:00,310.03,89.92,86.91,207.27,341.83,120.43,171.535,52.765,193.26,52.23,62.37,239.75,227.73,1893.6919,307.66,59.35,301.5617,126.9466,335.8194,34.87,274.8111,297.22,51.195,2079.5835,513.25,65.59,227.74,45.995,79.51,147.53,154.24,140.41,505.415,211.87,69.63,45.285,208.15,102.19,65.47,299.23,179.99,47.5235,73.565,61.14,72.78,117.4,82.4,58.9,176.77,158.205,145.25,91.14,108.7488,190.14,45.57,69.625,77.76,87.5,47.0,46.29,9.2703,218.455,158.29,37.21,44.375,180.81,28.28,11.815,66.0,34.785,1420.73,1421.7,26.04,241.68,24.1108,224.09,179.51,21.36,365.975,137.1,94.42,334.32,59.805,275.04,613.15,179.52,145.96,136.48,30.801,139.2499,55.595,28.475,136.58,413.75,121.27,235.26,90.2929,309.02,145.6,208.022,54.23,118.41,52.33,112.25,181.26,50.7,59.79,89.85,51.94,162.29,57.15,244.105,334.24,101.61,372.42,199.79,246.9096,54.39,45.29,135.25,39.2863,123.52,74.07,88.31,160.35,94.5,105.99,112.3891,90.39,219.18,228.85,90.13,47.885,567.878,39.78,63.38,143.99,288.31,326.75,190.8645,212.02,38.84,124.725,62.59,137.77,330.985,475.12,32.57,131.16,294.48,179.27,116.835,56.87,153.23,193.43,12.51,95.745,230.3936,14.15,59.06,54.8,52.67,116.14,116.57,10.8331,59.96,30.8366,83.28,94.7114,62.73,69.47,135.3
2020-01-10 09:39:00+00:00,309.88,89.95,86.9392,207.4,341.54,120.19,171.53,52.8,193.29,52.34,62.27,239.87,227.81,1892.54,308.18,59.23,301.25,127.0895,335.74,34.895,274.81,297.245,51.13,2082.9199,513.2,65.6327,227.96,45.93,79.56,147.38,154.45,140.29,504.02,211.725,69.71,45.23,208.42,102.18,65.64,299.205,179.71,47.5,73.6,61.12,72.8428,117.37,82.38,58.8601,176.56,158.18,145.19,91.13,108.65,190.43,45.5595,69.62,77.82,87.3624,47.01,46.325,9.283,217.83,158.28,37.2,44.38,180.76,28.2821,11.81,66.04,34.78,1419.0,1419.7,26.035,241.6291,24.0905,223.68,179.34,21.36,365.975,137.07,94.385,336.25,59.81,274.83,611.1801,179.48,146.05,136.57,30.81,139.32,55.67,28.49,136.6853,413.7386,121.07,234.76,90.23,309.195,145.69,208.265,54.31,118.51,52.365,112.25,181.11,50.76,59.645,89.9,51.95,162.21,57.12,244.38,334.0174,101.51,371.705,199.825,246.585,54.355,45.1956,135.2675,39.395,123.78,74.09,88.56,160.47,94.6,105.91,112.47,90.26,219.0579,228.56,90.13,47.91,567.878,39.75,63.45,144.26,288.55,326.7,191.32,212.07,38.8315,124.545,62.58,137.765,331.055,474.6776,32.5064,131.1,294.8985,179.01,116.76,56.87,153.3181,193.36,12.53,95.625,230.26,14.16,59.08,54.825,52.71,116.13,116.4542,10.795,59.93,30.84,83.23,94.6643,62.78,69.47,135.25
2020-01-10 09:40:00+00:00,310.3519,89.94,86.81,207.5,341.65,120.23,171.46,52.82,193.3,52.31,62.295,239.78,227.79,1891.4615,307.51,59.22,301.1664,127.205,336.535,34.8999,274.845,296.8645,51.11,2082.9199,512.6963,65.695,228.0,45.84,79.57,147.35,154.32,140.3025,503.98,211.8,69.75,45.27,207.81,102.25,65.55,299.125,179.87,47.49,73.59,61.155,72.854,117.23,82.365,58.83,177.04,158.12,145.135,91.2299,108.565,190.18,45.55,69.62,77.81,87.14,46.97,46.27,9.285,217.651,158.2175,37.205,44.382,180.838,28.2809,11.805,65.97,34.77,1420.38,1419.72,26.035,241.7414,24.06,223.51,179.36,21.375,366.2711,137.16,94.35,334.57,59.885,274.9,609.5,179.4,146.07,136.57,30.8213,139.33,55.68,28.495,136.38,414.28,121.17,234.79,90.28,309.28,145.55,207.86,54.32,118.33,52.345,112.32,181.16,50.74,59.565,89.88,51.94,162.32,57.16,244.22,334.06,101.62,372.1,199.97,246.5399,54.3517,45.0701,135.24,39.4,123.83,74.1,88.54,160.27,94.57,105.83,112.53,90.3401,219.12,228.585,90.11,47.93,567.878,39.68,63.4501,144.1302,288.76,326.6901,191.49,211.675,38.835,124.675,62.63,137.78,330.89,476.294,32.551,131.14,294.72,179.18,116.765,56.85,153.3972,193.51,12.54,95.6301,230.185,14.1655,59.06,54.8,52.7,116.08,116.3,10.79,59.84,30.84,83.27,94.73,62.78,69.36,135.17
