,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2020-03-06 00:01:00,0.6602,29.17,1.2956,9130.0,380.25,2593.0,0.74595,62.85,2979.5,1.1235,124.328125,131.175,65.3,0.009450499999999999,112.25,443.0,106.075,1819.4,1012.9,20705.0,20590.0,8544.75,460.0,1459.2,896.5,13.42,1.0592,304.3,154.421875,109.8125,137.375,216.59375,176.25,33.75,516.5,25783.0,176.47,136.68,224.04,45.4,49.44,3284.0,112.57,30.3,442.25,1.4696,1.4914,172.47,49.45,1864.0,45.39,1679.0,2.558,1.4731,1.7380000000000002,862.6,1.4929,17.39,381.7
2020-03-06 00:02:00,0.6602,29.17,1.2958,9130.0,380.25,2593.0,0.74595,62.85,2979.75,1.12365,124.3359375,131.175,65.3,0.009451000000000001,112.25,443.0,106.075,1819.4,1012.9,20715.0,20590.0,8545.75,460.0,1459.7,896.5,13.42,1.0593,304.3,154.4375,109.8125,137.390625,216.625,176.28125,33.8,516.5,25784.0,176.48,136.68,224.04,45.4,49.45,3285.0,112.57,30.3,442.25,1.4696,1.4914,172.47,49.45,1864.0,45.42,1678.6,2.558,1.4731,1.7380000000000002,862.4,1.4929,17.385,381.7
2020-03-06 00:03:00,0.6601,29.17,1.2958,9130.0,380.25,2593.0,0.74595,62.85,2977.5,1.1238,124.3359375,131.175,65.3,0.0094525,112.25,443.0,106.075,1819.4,1012.1,20700.0,20590.0,8539.75,460.0,1458.4,896.25,13.42,1.0594,304.3,154.46875,109.8125,137.40625,216.75,176.3125,33.9,516.5,25767.0,176.49,136.68,224.04,45.4,49.44,3283.0,112.57,30.3,442.25,1.4696,1.4914,172.47,49.43,1864.0,45.4,1678.7,2.5575,1.4727,1.7369999999999999,861.8,1.4929,17.395,381.7
2020-03-06 00:04:00,0.6601,29.17,1.2958,9130.0,380.25,2593.0,0.74595,62.85,2977.5,1.12385,124.328125,131.175,65.3,0.009452,112.25,443.0,106.075,1819.4,1012.1,20700.0,20590.0,8538.5,460.0,1458.5,896.5,13.42,1.0594,304.3,154.453125,109.8125,137.390625,216.6875,176.3125,33.9,516.5,25766.0,176.48,136.68,224.04,45.4,49.41,3284.0,112.57,30.3,442.25,1.4696,1.4914,172.47,49.42,1864.0,45.39,1677.9,2.5575,1.4725,1.7369999999999999,861.7,1.4929,17.375,381.7
2020-03-06 00:05:00,0.6601,29.17,1.2958,9130.0,380.25,2593.0,0.74595,62.8,2978.75,1.1238,124.328125,131.175,65.3,0.0094515,112.25,443.0,106.075,1819.4,1012.1,20700.0,20590.0,8541.25,460.0,1459.1,896.5,13.42,1.0595,304.3,154.4375,109.8125,137.375,216.71875,176.28125,33.9,516.5,25776.0,176.47,136.68,224.1,45.4,49.42,3283.0,112.57,30.3,442.25,1.4696,1.4914,172.47,49.4,1864.0,45.39,1677.7,2.5575,1.4725,1.736,861.7,1.4929,17.365,381.7
2020-03-06 00:06:00,0.6601,29.17,1.2958,9130.0,380.25,2593.0,0.746,62.76,2978.25,1.1238,124.3203125,131.175,65.3,0.009451000000000001,112.25,443.0,106.075,1819.4,1013.0,20705.0,20590.0,8539.0,460.0,1458.7,896.25,13.42,1.0594,304.3,154.40625,109.80859375,137.359375,216.625,176.25,33.85,516.5,25772.0,176.45,136.68,224.1,45.4,49.41,3284.0,112.57,30.3,442.25,1.4696,1.4914,172.47,49.4,1864.0,45.39,1677.9,2.558,1.4726,1.736,861.7,1.4929,17.37,381.7
2020-03-06 00:07:00,0.6601,29.17,1.2956,9130.0,380.25,2593.0,0.7459,62.76,2977.25,1.12375,124.3203125,131.175,65.3,0.0094515,112.25,443.0,106.075,1819.4,1012.7,20690.0,20590.0,8535.0,460.0,1458.2,896.25,13.42,1.0594,304.3,154.40625,109.8125,137.375,216.59375,176.25,33.9,516.5,25765.0,176.46,136.68,224.1,45.4,49.38,3283.0,112.57,30.3,442.0,1.4696,1.4914,172.47,49.37,1864.0,45.36,1678.7,2.558,1.4719,1.734,861.7,1.4929,17.38,381.7
2020-03-06 00:08:00,0.6601,29.18,1.2956,9130.0,380.25,2593.0,0.7459,62.76,2975.75,1.1238,124.328125,131.175,65.3,0.009452,112.25,443.0,106.075,1819.4,1012.6,20690.0,20590.0,8529.5,460.0,1457.6,896.0,13.42,1.0594,304.2,154.421875,109.8125,137.375,216.625,176.28125,33.95,516.5,25751.0,176.47,136.68,224.18,45.4,49.37,3282.0,112.57,30.3,442.0,1.4696,1.4914,172.47,49.35,1864.0,45.33,1678.2,2.5575,1.4719,1.734,861.7,1.4929,17.38,381.7
2020-03-06 00:09:00,0.6601,29.19,1.2956,9140.0,380.25,2593.0,0.7459,62.76,2973.75,1.12385,124.328125,131.175,65.3,0.009452,112.25,443.0,106.075,1819.4,1012.6,20685.0,20590.0,8527.0,460.0,1456.8,896.0,13.42,1.0595,304.2,154.4375,109.81640625,137.390625,216.6875,176.3125,34.05,516.25,25731.0,176.48,136.68,224.18,45.4,49.35,3281.0,112.57,30.3,441.75,1.4696,1.4914,172.47,49.33,1864.0,45.31,1679.1,2.5575,1.4709,1.734,861.3,1.4909,17.385,381.7
2020-03-06 00:10:00,0.6602,29.18,1.2957,9145.0,380.25,2593.0,0.7459,62.76,2973.75,1.12385,124.328125,131.175,65.3,0.009452,112.25,443.0,106.075,1819.4,1012.3,20680.0,20590.0,8528.0,460.0,1456.6,896.0,13.42,1.0595,304.2,154.453125,109.81640625,137.375,216.75,176.3125,34.0,516.25,25728.0,176.48,136.68,224.18,45.31,49.35,3280.0,112.57,30.3,441.5,1.4696,1.4914,172.47,49.34,1864.0,45.3,1679.3,2.557,1.471,1.739,861.3,1.491,17.385,381.7
2020-03-06 00:11:00,0.6601,29.17,1.2958,9145.0,380.0,2593.0,0.7459,62.76,2973.5,1.1238,124.328125,131.175,65.3,0.0094525,112.25,443.0,106.075,1819.4,1012.3,20670.0,20590.0,8526.75,460.0,1456.4,895.25,13.42,1.0595,304.1,154.453125,109.81640625,137.390625,216.75,176.28125,34.1,516.25,25718.0,176.48,136.68,224.18,45.31,49.34,3280.0,112.57,30.3,441.5,1.4696,1.4914,172.47,49.34,1864.0,45.29,1678.9,2.5565,1.4708,1.7380000000000002,861.3,1.4906,17.385,381.7
2020-03-06 00:12:00,0.6601,29.17,1.2958,9145.0,380.0,2593.0,0.7459,62.76,2972.5,1.12395,124.328125,131.175,65.3,0.0094545,112.25,443.0,106.075,1819.4,1012.1,20665.0,20590.0,8525.0,460.0,1456.3,895.25,13.42,1.0595,304.1,154.453125,109.81640625,137.390625,216.71875,176.3125,34.15,516.25,25711.0,176.48,136.68,224.18,45.31,49.34,3280.0,112.57,30.3,441.5,1.4696,1.4914,172.47,49.34,1864.0,45.29,1679.6,2.5565,1.4708,1.742,861.3,1.4906,17.385,381.7
2020-03-06 00:13:00,0.6601,29.16,1.2958,9145.0,380.0,2593.0,0.7459,62.76,2973.0,1.1239,124.328125,131.175,65.3,0.0094555,112.25,443.0,106.075,1819.4,1012.4,20660.0,20590.0,8525.0,460.0,1456.4,894.5,13.42,1.0595,304.0,154.453125,109.81640625,137.390625,216.75,176.3125,34.1,516.25,25715.0,176.48,136.68,224.18,45.31,49.34,3280.0,112.57,30.3,441.5,1.4696,1.4914,172.47,49.34,1864.0,45.29,1679.7,2.5565,1.471,1.743,861.3,1.4909,17.39,381.7
2020-03-06 00:14:00,0.6601,29.16,1.2958,9145.0,380.0,2593.0,0.7459,62.76,2972.25,1.1239,124.3359375,131.175,65.3,0.009456,112.25,443.0,106.075,1819.4,1012.3,20655.0,20530.0,8522.25,460.0,1456.0,894.75,13.42,1.0595,304.0,154.453125,109.81640625,137.390625,216.8125,176.3125,34.15,516.25,25711.0,176.48,136.68,224.18,45.31,49.36,3279.0,112.57,30.3,441.75,1.4696,1.4914,172.47,49.35,1864.0,45.32,1679.8,2.5575,1.4711,1.744,861.9,1.4909,17.39,381.7
