time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AGN,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VIX,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-04-03 09:31:00+00:00,243.18,74.6934,78.75,156.65,299.86,87.3917,130.24,31.53,176.99,21.53,43.32,205.7,218.9117,1912.825,208.43,61.21,235.795,76.16,125.9789,20.41,230.33,302.52,33.465,1256.33,425.0,55.4,178.91,30.81,39.09,115.4096,105.0378,145.5917,435.68,167.89,67.66,34.3,166.93,43.58,34.63,288.44,133.985,39.66,56.89,44.03,55.1,78.7209,70.46,23.085,138.455,135.75,96.42,78.4368,102.945,152.07,33.6901,51.2,47.725,40.33,22.53,34.0,4.37,156.86,115.4377,22.4,37.28,127.92,25.26,6.9,77.0,18.28,1110.02,1109.13,28.135,148.57,7.9776,179.335,132.04,15.33,296.535,109.0159,81.5,270.11,54.07,222.74,463.42,141.31,132.11,85.96,24.57,128.7,43.63,31.86,140.97,352.0,82.55,183.2,46.1,238.14,64.12,159.655,50.91,86.7,27.96,,135.438,36.32,21.86,76.24,33.58,154.9,40.92,224.29,367.4701,79.175,312.03,143.03,253.44,49.46,13.67,123.046,32.69,113.0506,75.75,74.35,89.44,46.83,52.3631,92.74,68.08,185.38,64.42,34.06,435.0,14.5252,51.59,44.28,236.02,250.922,134.505,149.65,28.46,93.2,168.6,285.49,502.4,23.8,101.77,238.68,141.43,92.23,32.19,155.99,,41.3049,241.0,47.13,55.04,39.92,26.85,90.57,117.44,6.23,31.12,19.9,57.025,78.009,54.65,41.7,115.55
2020-04-03 09:32:00+00:00,243.81,74.95,78.8604,156.89,300.73,87.77,130.02,31.415,177.23,21.63,43.32,207.65,220.115,1921.76,209.45,61.53,236.17,76.6,124.916,20.46,232.28,304.62,33.505,1243.3101,427.85,55.56,178.99,30.9,39.125,115.44,105.0,146.33,435.68,167.83,67.68,34.32,166.765,43.55,34.6757,290.1022,134.435,39.76,56.94,44.37,55.405,78.45,70.46,22.92,138.8,135.16,96.2,78.43,102.765,152.87,33.73,51.255,47.725,40.7166,22.595,33.975,4.36,156.41,115.02,22.48,37.32,127.47,25.42,6.93,77.66,18.27,1117.26,1112.625,28.13,149.18,7.89,179.72,131.68,15.36,297.385,109.3277,81.155,270.03,54.15,221.7,463.715,141.91,132.37,85.995,24.68,129.03,43.7,32.02,141.665,352.03,82.32,182.35,46.39,239.115,63.28,159.703,50.59,86.53,27.85,,136.44,36.3055,21.8798,76.51,33.72,155.04,40.9824,224.29,369.1074,79.25,312.03,144.085,252.35,49.5,13.7422,123.41,32.78,113.72,76.15,74.81,89.48,46.7039,52.47,92.75,68.19,185.77,64.13,34.16,435.0,14.48,51.78,44.78,237.02,251.15,131.43,149.6,28.4573,93.63,168.51,286.03,505.2723,23.87,101.942,237.9786,141.65,92.06,32.17,155.73,49.76,41.1701,243.14,46.99,55.0701,40.17,26.9,90.58,117.64,6.235,31.13,19.88,57.0,78.11,54.8,41.8786,116.64
2020-04-03 09:33:00+00:00,244.17,74.62,78.78,157.0,299.022,87.915,130.3,31.38,177.085,21.54,43.42,207.3,219.88,1922.47,209.405,61.42,238.39,75.86,125.99,20.49,231.18,305.09,33.505,1261.74,428.02,55.64,179.0386,30.91,39.08,116.16,105.31,145.5159,438.94,167.24,67.79,34.4604,166.93,43.41,34.68,291.3532,134.1,39.8299,57.07,44.41,55.6772,78.57,70.42,23.08,138.95,135.43,96.15,78.4171,102.84,153.0,33.76,51.31,47.77,40.24,22.6,33.99,4.385,157.19,115.0,22.57,37.35,127.24,25.5,7.005,77.57,18.28,1119.8685,1115.23,28.135,150.31,7.8312,180.81,131.29,15.31,295.59,109.59,81.735,271.02,54.34,223.7,463.17,141.95,132.38,86.36,24.83,129.03,43.65,32.32,141.3464,351.74,82.5389,182.1176,46.44,238.68,63.53,160.32,50.6,86.29,27.99,81.607,136.865,36.54,21.747,76.52,33.89,155.06,41.39,223.65,369.3783,79.51,312.03,144.38,252.99,49.57,13.7,123.41,33.06,113.5,75.59,74.905,89.75,46.8,52.62,92.41,68.28,186.04,63.94,34.345,437.0076,14.44,51.995,44.88,237.015,251.67,130.54,149.82,28.5,93.91,168.61,285.3,512.645,23.9,102.63,237.17,141.69,92.15,32.37,155.96,49.55,41.2436,243.98,46.74,55.02,40.7,27.03,90.78,117.92,6.245,31.195,19.94,57.11,78.17,54.83,42.035,116.131
2020-04-03 09:34:00+00:00,243.84,74.4966,78.65,156.95,298.3775,87.91,130.82,31.5,177.39,21.53,43.44,208.14,218.38,1918.0496,208.92,61.435,238.995,75.79,125.6675,20.5316,230.13,305.63,33.61,1256.145,428.18,55.865,179.2238,31.015,39.05,116.43,105.78,145.26,439.0,167.8001,68.16,34.37,167.485,43.395,34.77,292.33,133.84,39.91,57.24,44.52,55.679,78.71,70.45,23.1397,138.495,135.43,95.91,78.37,102.82,153.77,33.75,51.32,48.01,40.09,22.61,34.095,4.407,156.88,114.905,22.55,37.345,127.24,25.4469,7.0027,78.38,18.4334,1119.8625,1114.84,28.1353,150.82,7.83,180.54,131.66,15.43,295.78,109.38,81.765,271.37,54.45,223.7,463.15,142.0166,132.96,86.45,24.91,129.75,43.7242,32.44,141.35,352.0,82.48,182.78,46.29,237.49,62.94,159.94,50.66,86.2,28.06,81.607,136.7401,36.65,21.8591,76.49,33.9,154.7469,41.26,223.27,368.9401,79.5,311.7,143.84,252.1749,49.71,13.89,124.2,33.0436,114.0,75.56,75.18,89.795,47.02,52.67,92.22,68.5448,186.055,63.795,34.43,437.0076,14.45,51.91,44.768,238.54,251.7,130.0693,149.916,28.53,93.97,168.51,284.83,514.32,24.07,102.83,237.3,142.13,92.27,32.41,155.98,49.67,41.877,243.413,46.75,54.93,40.72,27.05,90.47,117.85,6.26,31.27,19.98,57.17,78.15,54.97,42.16,115.55
2020-04-03 09:35:00+00:00,244.1536,74.44,78.6095,156.57,299.07,88.355,131.11,31.51,177.28,21.52,43.46,208.22,219.31,1919.5,207.76,61.57,240.82,75.53,124.78,20.48,231.57,307.57,33.49,1265.0,426.3493,55.79,178.8,31.1,38.98,116.31,105.88,145.63,439.0,167.015,67.91,34.47,166.52,43.17,34.82,291.92,134.3437,39.91,57.3,44.57,55.825,78.515,70.42,23.12,139.242,136.29,96.02,78.312,102.875,153.965,33.76,51.33,47.82,40.01,22.61,34.075,4.401,156.9374,115.3,22.6,37.35,126.9662,25.565,7.025,78.04,18.34,1119.955,1114.2,28.1353,150.41,7.88,180.26,131.14,15.47,297.08,109.31,82.0194,272.77,54.45,224.33,465.87,142.02,132.67,86.27,24.95,129.435,43.655,32.37,141.44,352.085,82.49,182.0,47.12,238.055,62.68,160.171,50.734,86.11,27.97,82.757,136.29,36.62,21.6166,76.55,33.795,155.01,41.338,223.375,369.2,79.5617,312.38,143.66,252.655,49.69,13.84,123.73,33.0,113.855,75.86,74.865,89.56,46.82,52.64,92.5,68.582,186.1168,63.8,34.47,440.035,14.5,51.82,45.47,238.5101,251.56,132.045,150.32,28.5155,93.9,168.53,284.83,507.0452,24.265,102.77,237.5,141.825,92.15,32.27,156.22,49.26,41.65,247.41,46.74,54.86,40.52,27.04,90.47,117.7249,6.24,31.2115,19.93,57.13,78.26,54.89,42.0,115.91
2020-04-03 09:36:00+00:00,243.885,74.355,78.245,156.05,299.555,88.49,130.97,31.52,177.295,21.42,43.43,208.575,219.43,1918.1793,208.35,61.39,241.0,75.335,124.174,20.51,231.41,307.55,33.5161,1260.4399,431.62,55.77,178.94,31.24,39.031,116.09,105.15,145.565,437.51,166.545,68.0,34.47,167.16,43.17,34.87,291.5,134.44,39.89,57.21,44.48,55.61,78.245,70.33,23.2,139.18,136.2736,96.085,78.132,102.975,154.64,33.73,51.28,47.93,39.89,22.61,34.16,4.37,156.9047,115.05,22.58,37.33,127.1451,25.72,7.035,78.485,18.37,1118.51,1114.0551,28.14,149.52,7.96,180.0,132.14,15.47,295.92,109.14,81.8121,272.655,54.47,224.065,462.6585,141.7505,132.7,86.36,25.23,129.11,43.75,32.58,140.47,351.591,82.39,183.6539,47.15,238.38,62.62,160.005,50.66,86.32,28.06,82.05,136.11,36.66,21.6403,76.525,33.81,155.315,41.4152,224.46,370.29,79.58,312.6,143.5234,252.36,49.61,13.88,123.6899,33.015,113.99,76.04,74.81,89.725,46.87,52.56,92.18,68.5,186.11,63.74,34.53,439.43,14.5468,51.946,45.6,239.48,251.51,132.5,149.1,28.515,93.65,168.6616,285.42,510.83,24.14,102.71,236.38,141.91,92.205,32.395,156.02,49.16,41.93,245.645,46.73,54.82,40.41,27.11,90.75,117.73,6.265,31.2104,19.935,57.07,78.23,54.96,42.01,116.05
2020-04-03 09:37:00+00:00,243.63,74.38,78.34,156.15,299.4,88.45,131.26,31.6,177.24,21.29,43.36,208.46,219.05,1916.5699,207.87,61.3367,240.535,74.99,123.46,20.475,231.01,309.09,33.57,1253.02,427.16,55.87,179.165,31.265,38.85,116.07,105.3,145.58,438.2,166.3501,68.05,34.3,166.8123,43.01,34.85,291.5,134.05,39.85,57.41,44.38,55.805,78.1073,70.3,22.995,138.445,136.4,95.81,78.295,103.28,153.73,33.72,51.28,48.0,39.57,22.56,34.1,4.34,156.55,114.6201,22.51,37.33,127.52,25.73,7.0184,78.855,18.24,1119.735,1114.621,28.14,148.735,7.8801,179.95,131.43,15.46,295.38,109.085,81.83,272.25,54.62,223.35,463.265,141.75,132.7,86.165,25.08,128.805,43.73,32.62,140.87,351.85,82.06,183.655,46.6719,238.215,61.8482,159.58,50.505,86.48,28.0,82.8439,136.2,36.61,21.47,76.52,33.71,155.23,41.4665,224.9736,368.185,79.3,311.5395,143.81,252.3,49.6,13.72,123.94,33.13,114.25,76.14,74.94,89.11,46.84,52.28,91.93,68.41,185.94,63.3134,34.55,439.545,14.44,51.96,45.51,239.855,251.42,131.09,149.21,28.53,93.66,168.69,285.37,502.1,24.0,102.895,237.07,142.02,92.25,32.35,155.87,49.37,41.54,244.325,46.84,54.85,40.7,27.06,90.745,118.1,6.2438,31.07,19.91,57.06,78.19,55.0,41.76,115.8
2020-04-03 09:38:00+00:00,243.7,74.72,78.56,155.75,299.74,88.515,131.355,31.65,177.47,21.35,43.35,208.54,220.0,1914.2174,208.26,61.41,239.745,75.145,123.802,20.5,231.36,308.72,33.65,1251.365,428.68,56.09,179.23,31.29,39.08,116.2844,105.49,145.82,438.32,166.93,68.0,34.38,166.81,43.23,34.89,291.5,133.8985,39.94,57.39,44.52,56.09,78.255,70.56,23.04,138.7,136.33,96.01,78.39,103.68,153.4,33.75,51.32,48.14,39.57,22.6,34.14,4.3504,156.68,114.99,22.53,37.34,127.52,25.735,6.995,78.4034,18.31,1119.1801,1113.38,28.135,148.8797,7.879,180.44,130.95,15.505,294.685,109.35,81.93,272.2672,54.705,223.34,463.265,142.27,133.2,86.3476,25.13,129.095,43.82,32.62,141.28,352.315,82.76,183.375,46.74,238.62,61.99,160.13,50.54,86.67,28.03,82.643,136.44,36.8,21.43,76.74,33.805,155.66,41.47,225.24,368.325,79.21,312.96,143.57,252.16,49.63,13.745,124.325,33.21,114.34,76.21,75.13,89.94,47.05,52.29,92.03,68.4268,186.0501,63.349,34.645,435.53,14.43,52.1,45.93,239.93,251.79,133.04,149.0,28.58,93.71,168.69,285.65,504.01,24.005,102.9,236.85,141.635,92.41,32.53,156.2,49.25,41.605,242.69,46.69,54.895,40.93,27.1,90.89,118.34,6.2401,31.07,19.96,57.13,78.3,55.12,41.775,115.8
2020-04-03 09:39:00+00:00,243.41,74.57,78.42,155.23,299.45,88.18,131.2026,31.52,177.36,21.26,43.275,207.936,219.57,1914.84,207.8718,61.35,239.775,75.23,123.79,20.49,231.01,307.99,33.64,1245.0,428.49,56.11,178.8461,31.21,39.03,116.3903,105.215,145.79,436.95,167.735,68.0,34.365,167.505,43.27,34.74,291.12,134.0,39.9,57.3,44.44,55.96,78.005,70.43,23.08,138.525,136.42,95.835,78.33,103.62,152.16,33.72,51.27,48.17,39.41,22.55,34.1,4.35,156.67,114.65,22.56,37.33,127.6366,25.665,7.005,78.16,18.32,1116.74,1110.76,28.148,148.8933,7.7999,179.79,131.23,15.455,294.6381,109.24,81.8,271.82,54.645,222.755,463.3,141.665,133.33,86.36,24.98,129.47,43.72,32.52,140.88,350.8,82.61,183.17,46.69,238.18,62.355,159.62,50.52,86.7339,27.94,82.4,136.44,36.81,21.4268,76.72,33.785,155.65,41.39,225.28,367.31,79.24,313.86,143.2,252.1595,49.635,13.6498,123.9101,33.19,114.17,75.9,75.03,90.02,46.78,52.56,91.92,68.125,185.92,63.1875,34.6,434.32,14.27,51.995,46.175,239.42,251.5,131.6508,148.845,28.52,93.4011,168.77,285.53,502.1232,23.995,102.81,236.385,141.6,92.46,32.47,156.29,49.18,41.01,242.195,46.8,54.83,40.9308,27.055,91.0486,118.255,6.25,30.91,19.945,57.09,78.225,55.04,41.5983,115.68
2020-04-03 09:40:00+00:00,244.21,74.7721,78.97,155.83,300.46,88.44,131.45,31.61,177.825,21.31,43.365,209.13,219.9118,1920.1,208.945,61.49,239.81,75.295,124.3831,20.505,232.0,309.395,33.83,1247.02,428.49,56.17,179.31,31.2787,39.04,116.5,105.49,146.26,436.97,167.9,68.23,34.405,167.43,43.21,34.54,291.3,135.0449,40.03,57.38,44.48,56.248,77.96,70.49,23.162,138.5,136.78,95.89,78.52,103.54,152.9067,33.8,51.35,48.38,39.535,22.61,34.065,4.36,157.33,115.01,22.44,37.39,127.6,25.72,6.995,78.61,18.4,1119.155,1115.0,28.1401,149.115,7.8315,180.61,131.97,15.5,296.47,109.53,82.095,272.14,54.85,222.45,465.38,142.49,133.77,86.61,25.02,129.89,43.7801,32.6261,141.47,350.98,82.94,184.31,46.86,239.35,62.245,159.87,50.53,86.97,27.993,82.475,136.55,36.915,21.5,76.985,33.92,156.35,41.4969,224.665,367.79,79.31,312.665,143.77,253.38,49.82,13.54,124.21,33.44,114.41,76.115,75.16,90.15,46.835,52.51,92.46,68.25,186.44,62.9,34.6604,436.47,14.32,52.0,46.1019,241.3,252.18,130.935,149.785,28.55,93.31,168.76,286.07,503.33,24.13,102.93,237.04,141.65,92.59,32.62,157.08,48.95,41.275,242.35,46.64,54.915,40.83,27.09,91.21,118.51,6.32,30.9202,19.995,57.22,78.5,55.14,41.55,116.04
