,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#
2020-05-08 00:01:00,0.6534,26.39,1.2396,10050.0,319.25,2382.0,0.71745,56.29,2913.25,1.08545,125.71875,138.3,63.025,0.0094065,109.1,478.5,96.15,1639.5,903.8,20070.0,20100.0,9206.25,1304.7,848.25,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.1875,180.84375,31.4,522.5,24130.0,173.85,135.81,214.98,23.9,29.82,2886.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.88,1727.1,2.4075,0.8546,1.912,786.5,0.9319,15.74
2020-05-08 00:02:00,0.6535,26.39,1.2396,10040.0,319.25,2382.0,0.71745,56.33,2914.0,1.08545,125.71875,138.3,63.025,0.0094065,109.1,478.5,96.15,1639.5,903.8,20070.0,20100.0,9209.0,1304.7,848.25,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.1875,180.84375,31.4,522.5,24135.0,173.84,135.81,214.98,23.9,29.84,2887.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.91,1727.1,2.4075,0.8546,1.913,786.5,0.9319,15.74
2020-05-08 00:03:00,0.6535,26.39,1.2396,10045.0,319.25,2382.0,0.71745,56.33,2913.75,1.0854,125.7109375,138.3,63.025,0.0094065,109.1,478.5,96.15,1639.5,903.8,20070.0,20100.0,9207.5,1305.2,848.25,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.84375,31.4,522.5,24131.0,173.84,135.81,214.98,23.9,29.9,2887.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.92,1726.8,2.408,0.8546,1.913,786.5,0.9319,15.74
2020-05-08 00:04:00,0.6535,26.39,1.2397,10030.0,319.25,2382.0,0.71745,56.33,2913.5,1.0855,125.7109375,138.3,63.025,0.0094065,109.1,478.5,96.15,1639.5,903.8,20060.0,20100.0,9207.5,1305.2,848.25,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.84375,31.4,522.5,24132.0,173.84,135.81,214.98,23.9,29.88,2886.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.92,1726.8,2.408,0.8546,1.913,786.5,0.9319,15.735
2020-05-08 00:05:00,0.6536,26.41,1.2397,10035.0,319.25,2382.0,0.71745,56.33,2913.75,1.08555,125.7109375,138.3,63.025,0.0094065,109.1,478.5,96.15,1639.5,903.8,20065.0,20100.0,9208.25,1304.8,848.25,10.32,1.0302,288.7,156.859375,110.30859375,139.1875,222.15625,180.84375,31.4,522.5,24134.0,173.84,135.81,214.98,23.9,29.88,2887.0,112.295,31.8,256.75,0.8549,0.9326,167.7,29.88,23.93,1727.0,2.4075,0.8546,1.913,786.5,0.9319,15.74
2020-05-08 00:06:00,0.6534,26.41,1.2396,10030.0,319.25,2382.0,0.71745,56.33,2914.25,1.0855,125.7109375,138.3,63.025,0.009407500000000001,109.1,478.5,96.15,1639.5,903.8,20065.0,20100.0,9208.75,1304.8,848.5,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.84375,31.4,522.5,24138.0,173.84,135.81,214.98,23.9,29.88,2887.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.93,1726.8,2.4075,0.8546,1.913,786.5,0.9319,15.74
2020-05-08 00:07:00,0.6534,26.41,1.2396,10040.0,319.25,2382.0,0.7174,56.33,2914.0,1.08545,125.7109375,138.3,63.025,0.009407500000000001,109.1,478.5,96.15,1639.5,903.8,20055.0,20100.0,9207.75,1304.6,848.5,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.84375,31.4,522.5,24132.0,173.84,135.81,214.98,23.9,29.9,2887.0,112.295,31.8,256.75,0.8549,0.9326,167.7,29.88,23.93,1726.7,2.4075,0.8542,1.9140000000000001,786.5,0.9319,15.74
2020-05-08 00:08:00,0.6534,26.41,1.2397,10040.0,319.25,2382.0,0.7174,56.33,2914.0,1.0854,125.7109375,138.3,63.025,0.009407500000000001,109.1,478.5,96.15,1639.5,903.8,20050.0,20080.0,9208.5,1304.9,848.5,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.84375,31.4,522.5,24134.0,173.84,135.81,214.98,23.9,29.91,2887.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.94,1726.7,2.4075,0.8542,1.915,786.5,0.9319,15.74
2020-05-08 00:09:00,0.6534,26.41,1.2396,10040.0,319.25,2382.0,0.7174,56.33,2914.0,1.08545,125.7109375,138.3,63.025,0.009406999999999999,109.1,478.5,96.15,1639.5,903.8,20045.0,20080.0,9209.75,1305.1,848.5,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.875,31.4,522.5,24136.0,173.84,135.81,214.98,23.9,29.92,2887.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.96,1726.6,2.408,0.8542,1.9140000000000001,786.5,0.934,15.735
2020-05-08 00:10:00,0.6534,26.41,1.2397,10040.0,319.25,2382.0,0.7174,56.33,2914.5,1.0854,125.7109375,138.3,63.025,0.009407500000000001,109.1,478.5,96.15,1639.5,903.8,20050.0,20085.0,9210.5,1305.6,848.25,10.32,1.0301,288.7,156.859375,110.30859375,139.1875,222.15625,180.875,31.4,522.75,24140.0,173.84,135.81,214.98,23.9,29.93,2888.0,112.295,31.8,256.5,0.8549,0.9326,167.7,29.88,23.95,1726.9,2.4075,0.8542,1.9140000000000001,786.5,0.934,15.735
