,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2020-07-02 00:01:00,0.692,28.51,1.2494,9300.0,349.75,2179.0,0.7352,62.55,3106.25,1.128,125.625,133.3,49.4,0.0093135,104.3,441.0,97.525,1789.1,1006.2,22115.0,22160.0,10289.75,1424.8,892.5,12.2,1.0594,295.5,157.1875,110.3828125,138.984375,217.6875,178.25,30.0,497.25,25609.0,175.21,134.51,216.18,39.84,42.08,3235.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.82,1777.4,2.7535,1.2031,1.705,836.4,1.219,18.2,357.0
2020-07-02 00:02:00,0.6919,28.51,1.2495,9305.0,349.75,2179.0,0.7352,62.55,3106.0,1.12805,125.625,133.3,49.4,0.009314,104.3,441.0,97.525,1789.1,1006.3,22115.0,22160.0,10289.75,1424.9,892.5,12.2,1.0594,295.5,157.1875,110.3828125,138.984375,217.6875,178.25,30.0,497.25,25612.0,175.21,134.51,216.18,39.84,42.08,3235.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.83,1777.5,2.7535,1.2032,1.706,837.4,1.219,18.2,357.0
2020-07-02 00:03:00,0.6917,28.51,1.2494,9305.0,349.75,2179.0,0.7352,62.55,3106.0,1.12805,125.625,133.3,49.4,0.0093145,104.3,441.0,97.525,1789.1,1006.2,22105.0,22160.0,10288.75,1424.7,892.5,12.2,1.0594,295.5,157.1875,110.3828125,138.984375,217.71875,178.25,30.0,497.25,25612.0,175.2,134.51,216.18,39.84,42.06,3234.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.82,1777.0,2.753,1.2032,1.706,837.4,1.219,18.195,357.0
2020-07-02 00:04:00,0.6917,28.51,1.2495,9305.0,349.75,2179.0,0.7352,62.55,3105.75,1.12805,125.625,133.3,49.4,0.009314,104.3,441.0,97.525,1789.1,1006.1,22105.0,22155.0,10288.25,1424.6,892.5,12.2,1.0594,295.5,157.203125,110.3828125,138.984375,217.71875,178.28125,30.0,497.25,25610.0,175.2,134.51,216.18,39.84,42.06,3233.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.81,1777.1,2.7535,1.2032,1.705,837.4,1.219,18.2,357.0
2020-07-02 00:05:00,0.6918,28.51,1.2494,9305.0,349.75,2179.0,0.7352,62.55,3105.75,1.128,125.625,133.3,49.4,0.0093145,104.3,441.0,97.525,1789.1,1006.3,22100.0,22155.0,10287.75,1424.5,892.5,12.2,1.0594,295.5,157.203125,110.3828125,138.984375,217.71875,178.28125,30.0,497.25,25606.0,175.2,134.51,216.18,39.84,42.07,3233.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.82,1777.0,2.7535,1.203,1.705,837.4,1.219,18.205,357.0
2020-07-02 00:06:00,0.6917,28.51,1.2494,9305.0,349.75,2179.0,0.7352,62.53,3106.75,1.128,125.625,133.3,49.4,0.0093135,104.3,441.0,97.525,1789.1,1006.2,22115.0,22145.0,10291.0,1425.2,892.5,12.2,1.0594,295.5,157.1875,110.3828125,139.0,217.71875,178.28125,30.0,497.25,25617.0,175.21,134.51,216.18,39.84,42.08,3234.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.84,1776.9,2.7535,1.203,1.705,837.4,1.219,18.205,357.0
2020-07-02 00:07:00,0.6918,28.51,1.2495,9305.0,349.75,2179.0,0.7352,62.53,3107.0,1.12805,125.625,133.3,49.4,0.0093145,104.3,441.0,97.525,1789.1,1006.9,22110.0,22165.0,10292.75,1425.5,892.5,12.2,1.0594,295.5,157.1875,110.3828125,139.0,217.71875,178.28125,29.95,497.25,25618.0,175.2,134.51,216.18,39.84,42.08,3235.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.84,1777.2,2.754,1.2036,1.706,837.4,1.219,18.205,357.0
2020-07-02 00:08:00,0.6918,28.51,1.2493,9305.0,349.75,2179.0,0.7352,62.53,3106.75,1.12805,125.625,133.3,49.4,0.009315,104.3,441.0,97.525,1789.1,1006.9,22115.0,22160.0,10292.25,1425.5,892.5,12.2,1.0594,295.5,157.1875,110.3828125,139.0,217.71875,178.28125,30.0,497.25,25617.0,175.2,134.51,216.18,39.84,42.08,3235.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.83,1777.1,2.754,1.2036,1.706,837.4,1.219,18.205,357.0
2020-07-02 00:09:00,0.6919,28.51,1.2492,9305.0,349.75,2179.0,0.7352,62.53,3107.0,1.128,125.625,133.3,49.4,0.009315,104.3,441.0,97.525,1789.1,1007.2,22120.0,22155.0,10293.25,1425.7,892.5,12.2,1.0594,295.5,157.1875,110.3828125,138.984375,217.71875,178.28125,29.95,497.25,25619.0,175.2,134.51,216.18,39.84,42.09,3235.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.84,1777.3,2.754,1.2036,1.706,837.4,1.219,18.205,357.0
2020-07-02 00:10:00,0.6918,28.51,1.2491,9305.0,349.75,2179.0,0.73515,62.53,3107.0,1.128,125.625,133.3,49.4,0.009315,104.3,441.0,97.525,1789.1,1007.3,22125.0,22170.0,10293.25,1425.6,892.5,12.2,1.0594,295.5,157.1875,110.3828125,138.984375,217.71875,178.28125,29.9,497.25,25619.0,175.19,134.51,216.18,39.84,42.09,3235.0,112.05,28.6,360.0,1.2087,1.219,166.68,42.07,1600.0,39.84,1777.1,2.754,1.2036,1.705,837.4,1.219,18.205,357.0
