time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VLO,VRTX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-08-07 04:01:00+00:00,453.0,,,,,,,,,,,,,,86.2,,,170.72,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6,,,,43.86,,,,,,,263.93,,,42.44,,44.29,6.45,68.81,,,,,,,,,,,96.6,,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,,,,,204.2,,274.21,,,,,,,,334.02,,,29.93,,,171.62,,1485.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:02:00+00:00,453.0,,,,,,,,,,,,,,86.2,,,170.72,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6,,,,43.86,,,,,,,264.0,,,42.35,,44.29,6.45,68.81,,,,,,,,,,,96.6,,48.52,,,,,,,,,,,,,,,,,,,,,,,,,,,215.51,,,,,,,,,,,,,,,,,,204.2,,274.1,,,,,,,,334.02,,,29.93,,,171.62,,1485.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:03:00+00:00,453.15,,,,,,,,,,,,,,86.2,,,170.72,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6,,,,43.86,,,,,,,264.0,,,42.2,,44.0,6.45,68.81,,,,,,,,,,,96.6,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,215.51,,,,,,,,,,,,,,,,,,204.2,,274.1,,,,,,,,333.93,,,29.93,,,171.62,,1485.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:04:00+00:00,453.5,,,,,,,,,,,,,,86.2,,,170.72,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.99,,,129.5,,,,43.86,,,,,,,264.03,,,42.25,,44.0,6.45,68.88,,,,,,,,,,,96.6,,48.47,,,,,,,,,,,,,,,,,,,,,,,,,,,215.51,48.71,,,,,,,,,,,,,,,,,204.2,110.5,274.06,,,,,,,,333.9,,,29.93,,,171.62,,1485.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:05:00+00:00,453.5,,,,,,,,,,,,,,86.2,,,170.72,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,,129.5,,,,43.86,,,,,,,264.03,,,42.25,,44.0,6.45,68.88,,,,,,,,,,,96.6,,48.41,,,,,,,,,,,,,,,,,,,,,,,,,,,215.51,48.71,,,,,,,,,,,,,,,,,204.2,110.5,274.0,,,,,,,,333.9,,,29.93,,,171.62,,1485.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:06:00+00:00,452.95,,,,,,,,,,,,,,86.2,,,170.72,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,,129.5,,,,43.86,,,,,,,264.03,,,42.25,,44.0,6.45,68.88,,,,,,,,,,,96.6,,48.41,,,,,,,,47.44,,,,,,,,,,,,,,,,,,,215.51,48.71,,,,,,,,,,,,,,,,,204.2,110.5,273.87,,,,,,,,333.65,,,29.93,,,171.75,,1486.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:07:00+00:00,452.95,,,,,,,,,,,,,,86.2,,,171.12,25.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,,129.5,,,,43.86,,,,,,,264.02,,,42.25,,44.0,6.45,68.88,,,,,,,,,,,96.6,,48.35,,,,,,,,47.44,,,,,,,,,,,,,,,,,,,215.51,48.71,,,,,,,,,,,,,,,,,204.2,110.5,273.89,,,,,,,,333.79,,,29.93,,,171.75,,1486.0,37.67,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:08:00+00:00,452.65,,,,,,,,,,,,,,86.2,,,171.12,25.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,129.5,,,,43.86,,,,,,,264.03,,,42.25,,44.0,6.45,68.88,,,,,,,,,,,96.6,,48.35,,,,,,,,47.37,,,,,,,,,,,,,,,,,,,215.51,48.71,,,,,,,,,,,,,,,,,204.2,110.5,273.76,,,,,,,,333.71,,,29.93,,,171.75,,1486.0,37.67,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:09:00+00:00,452.95,,,,,,,,,,,,,,86.2,,,171.12,25.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,129.5,,,,43.86,,,,,,,264.03,,,42.25,,44.0,6.45,68.88,,,,,,,,,,,96.6,,48.22,,,,,,,,47.37,,,,,,,,,,,,,,,,,,,215.51,48.71,,,,,,,,,,,,,,,,,204.2,110.5,273.74,,,,,,,,333.62,,,29.93,,,171.75,,1486.0,37.67,,,,,,,,,,,,,,,,,,,,,
2020-08-07 04:10:00+00:00,452.95,,,,,,,,,,,,,,86.2,,,171.12,25.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,129.5,,,,43.86,,,,,,,264.03,,,42.15,,44.0,6.29,68.88,,,,,,,,,,,96.6,,48.22,,,,,,,,47.37,,,,,,,,,,,,,,,,,,,215.51,48.58,,,,,,,,,,,,,,,,,204.2,110.5,273.73,,,,,,,,333.61,,,29.93,,,171.75,,1486.0,37.67,,,,,,,,,,,,,,,,,,,,,
