,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2020-09-04 00:01:00,116.59375,0.727,33.22,1.3277,10310.0,355.0,2641.0,0.76165,64.07,3442.75,1.1848,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1090.1,23170.0,23065.0,11645.25,504.5,1548.1,966.25,12.11,1.0992,308.1,160.390625,110.47265625,139.6875,224.8125,177.5,34.15,553.5,28257.0,176.91,135.05,221.78,40.92,43.6,3289.0,112.125,30.55,345.25,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.9,1942.4,2.9865,1.1541,2.4819999999999998,897.1,1.1958,26.835,354.4
2020-09-04 00:02:00,116.59375,0.727,33.22,1.3276,10310.0,355.25,2641.0,0.76165,64.07,3442.5,1.1848,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1089.9,23170.0,23065.0,11645.25,504.5,1548.3,966.25,12.11,1.0992,308.1,160.390625,110.47265625,139.6875,224.8125,177.5,34.15,553.5,28254.0,176.91,135.05,221.78,40.92,43.62,3288.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.9,1942.5,2.9865,1.1541,2.483,897.1,1.1958,26.84,354.4
2020-09-04 00:03:00,116.59375,0.727,33.22,1.3277,10310.0,355.25,2641.0,0.76165,64.07,3442.5,1.1848,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1089.2,23170.0,23065.0,11643.0,504.5,1548.1,966.25,12.11,1.0992,308.1,160.375,110.47265625,139.703125,224.8125,177.5,34.15,553.5,28255.0,176.91,135.05,221.78,40.92,43.62,3288.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.9,1943.0,2.9865,1.1541,2.484,897.1,1.1958,26.86,354.4
2020-09-04 00:04:00,116.59375,0.727,33.22,1.3278,10310.0,355.25,2641.0,0.7617,64.07,3443.0,1.18485,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1090.3,23170.0,23065.0,11648.5,504.5,1547.9,966.25,12.11,1.0992,308.1,160.375,110.47265625,139.6875,224.78125,177.5,34.15,553.5,28261.0,176.91,135.05,221.78,40.92,43.62,3288.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.91,1943.2,2.986,1.1541,2.485,898.4,1.1958,26.87,354.4
2020-09-04 00:05:00,116.59375,0.727,33.22,1.3278,10310.0,355.25,2641.0,0.7617,64.07,3443.25,1.1849,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1089.6,23170.0,23065.0,11650.75,504.5,1548.2,966.25,12.11,1.0992,308.1,160.375,110.47265625,139.6875,224.8125,177.5,34.15,553.5,28262.0,176.91,135.05,221.78,40.92,43.62,3289.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.91,1943.1,2.986,1.1541,2.485,897.4,1.1958,26.87,354.4
2020-09-04 00:06:00,116.59375,0.727,33.22,1.3278,10320.0,355.25,2641.0,0.7617,64.07,3443.25,1.18485,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1089.6,23165.0,23065.0,11649.25,504.5,1548.2,966.25,12.11,1.0993,308.1,160.375,110.47265625,139.6875,224.8125,177.5,34.15,553.5,28260.0,176.91,135.05,221.78,40.92,43.62,3289.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.91,1943.3,2.986,1.1541,2.487,897.4,1.1958,26.875,354.4
2020-09-04 00:07:00,116.59375,0.727,33.22,1.3278,10325.0,355.25,2641.0,0.7617,64.07,3443.5,1.18485,126.109375,138.7,60.725,0.0094185,133.2,476.5,104.65,1875.8,1089.6,23160.0,23065.0,11650.75,504.5,1548.4,966.25,12.11,1.0993,308.1,160.375,110.47265625,139.671875,224.8125,177.5,34.15,553.5,28260.0,176.91,135.05,221.78,40.92,43.63,3288.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.91,1943.3,2.9865,1.1541,2.4859999999999998,897.1,1.1966,26.87,354.4
2020-09-04 00:08:00,116.59375,0.727,33.22,1.3278,10325.0,355.25,2641.0,0.76175,64.07,3442.0,1.1849,126.109375,138.7,60.725,0.009419,133.2,476.5,104.65,1875.8,1089.6,23150.0,23065.0,11644.5,504.5,1547.8,966.0,12.11,1.0993,308.1,160.375,110.47265625,139.6875,224.84375,177.5,34.2,553.25,28253.0,176.91,135.05,221.78,40.92,43.62,3287.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.91,1943.9,2.9865,1.1552,2.487,897.1,1.1966,26.875,354.4
2020-09-04 00:09:00,116.59375,0.727,33.22,1.3278,10325.0,355.25,2641.0,0.76175,64.07,3442.5,1.1849,126.109375,138.7,60.725,0.009419,133.2,476.5,104.65,1875.8,1089.4,23150.0,23065.0,11644.25,504.5,1548.2,966.25,12.11,1.0993,308.1,160.390625,110.47265625,139.6875,224.84375,177.5,34.2,553.25,28255.0,176.91,135.05,221.78,40.92,43.64,3288.0,112.125,30.55,345.75,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.92,1943.6,2.987,1.1552,2.485,897.1,1.1966,26.86,354.4
2020-09-04 00:10:00,116.59375,0.727,33.22,1.3278,10355.0,355.25,2641.0,0.76175,64.07,3443.5,1.18495,126.109375,138.7,60.725,0.009418000000000001,133.2,476.5,104.65,1875.8,1089.9,23155.0,23065.0,11650.5,504.5,1548.7,966.25,12.11,1.0993,308.1,160.375,110.47265625,139.6875,224.8125,177.5,34.15,553.25,28264.0,176.91,135.05,221.78,40.93,43.63,3289.0,112.125,30.55,346.0,1.158,1.1978,1550.0,168.67,43.63,1785.0,40.93,1944.0,2.988,1.1552,2.484,897.9,1.1966,26.88,354.4
