time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2020-10-02 04:01:00+00:00,114.06,,108.02,,,,,,,59.67,,,3169.0,,,,,164.52,23.73,,,,,,59.38,,,42.8,,,,,,,45.873,,,,,,38.55,,,,69.76,,30.5,,,121.81,,131.85,,,,,,,,6.7,262.9,,,42.23,,,6.1,63.3,30.0,,,,,11.0,,,,,,,308.0,51.2,,,,,,,,48.49,,,375.0,,,,,,,,,,,,,,81.0,46.6,208.68,47.22,,520.0,,,,529.2,57.9704,9.5,,36.28,,,,,,,,,277.7,,,,14.86,,63.227,,332.85,,,27.7654,,,164.0,,424.0,45.8,,,,,,,39.84,272.17,25.81,,,23.15,,142.05,,,,,116.31,,32.63,
2020-10-02 04:02:00+00:00,113.81,,108.02,,,,,,,59.67,,,3169.0,,,,,163.9,23.7,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.55,,,,69.76,,30.36,,,121.81,,131.85,,,,,,,,6.62,262.9,,,42.23,,39.6,6.1,63.3,30.0,,,,,11.0,,,,,,,308.0,51.4,,,,,,,,48.49,,,375.0,,,,,,,,,,,,,,81.0,46.6,208.5,47.22,,520.0,,,,530.0,57.9704,9.5,,36.28,,,,,,,,,277.33,,,,14.85,,64.0124,,332.73,,,27.7654,,,164.0,,425.15,45.66,,,,,,,39.84,272.17,25.83,,,23.12,,142.05,,,,,116.31,,32.63,
2020-10-02 04:03:00+00:00,114.2,,108.02,,,,,,,59.67,,,3169.0,,,,,163.74,23.71,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.55,,,,69.76,,30.5,,,122.0,,131.85,,,,,,,,6.62,262.9,,,42.23,,39.6,6.1,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,51.2,,,,,94.4021,,,48.49,,,375.0,,,,,,,,,,,,,,80.92,46.6,208.26,47.0,,520.0,,,,530.0,57.9704,9.48,,36.28,,,,,,,,,277.7,,,,14.85,,64.0124,,332.86,,,27.7654,,,164.0,,428.0,45.66,,,,,,,39.84,272.17,25.84,,,23.1,,141.0,,,,,116.31,,32.63,
2020-10-02 04:04:00+00:00,114.12,,108.02,,,,,,,59.67,,,3169.0,,,,,163.52,23.7,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.55,,,,69.76,,30.0,,,122.0,,131.85,,,,,,,,6.62,262.9,,,41.96,,39.6,6.1,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,51.2,,,,,94.422,,,48.49,,,375.0,,,,,,,,,,,,,,80.92,46.6,208.26,47.0,,520.0,,,,530.0,57.9704,9.34,,36.32,,,,,,,,,277.51,,,,14.85,,63.7179,,332.9,,,28.27,,,164.0,,431.33,45.66,,,,,,,39.84,272.17,25.87,,,23.09,,141.0,,,,,116.31,,32.59,
2020-10-02 04:05:00+00:00,114.03,,108.02,,,,,,,59.67,,,3169.0,,,,,163.83,23.7,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.55,,,,69.76,,30.0,,,122.0,,131.85,,,,,,,,6.62,262.9,,,41.96,,39.6,6.1,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,51.03,,,,,94.3823,,,48.49,,,375.0,,336.0,,,,,,,,,,,,80.92,46.6,208.26,46.96,,520.0,,,,531.0,57.9704,9.37,,36.33,,,,,,,,,277.61,,,,14.66,,63.708,,332.86,,,28.27,,,164.0,,430.06,45.66,,,,,,,39.84,272.17,25.87,,,23.09,,141.0,,,,,116.31,,32.59,
2020-10-02 04:06:00+00:00,114.04,,108.02,,,,,,,59.67,,,3152.94,,,,,163.7,23.7,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.3,,,,69.76,,30.0,,,122.0,,131.85,,,,,,,,6.62,261.0,,,41.96,,39.6,6.1,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,51.06,,,,,94.3823,,,48.65,,,375.0,,336.0,,,,,,,,,,,,80.92,46.6,208.18,46.96,,520.0,,,,531.0,57.9704,9.38,,36.33,,,,,,,193.0,,277.61,,,,14.66,,63.708,,333.0,,,28.27,,55.67,164.0,,429.12,45.68,,,,,,,39.84,272.17,25.86,,,23.12,,141.0,7.3,,,,116.31,,32.5,
2020-10-02 04:07:00+00:00,114.0,,108.02,,,,,,,59.67,,,3152.94,,,,,163.6,23.7,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.3,,,,69.76,,30.0,,,122.0,,131.85,,,,,,,,6.62,261.0,,,41.96,,39.6,6.11,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,51.2,,,,,94.3823,,,48.65,,,375.0,,336.0,,,,,,,,,,,,80.92,46.6,208.18,47.0,,520.0,,,,531.0,58.4385,9.38,,36.33,,,,,,,193.0,,277.8,,,,14.66,,63.708,,332.92,,,28.27,,55.67,164.0,,428.55,45.68,,,,,,,39.84,272.17,25.9,,,23.12,,141.0,7.3,,,,116.31,,32.52,
2020-10-02 04:08:00+00:00,113.9,,108.02,,,,,,,59.67,,,3152.94,,,,,163.52,23.7,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.3,,,,69.76,,30.05,,,122.0,,131.85,,,,,,,,6.62,261.0,,,41.96,,39.6,6.11,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,51.03,,,,,94.3823,,,48.65,,,375.0,,336.0,,,,,,,,,,,,80.92,46.6,208.35,47.0,,520.0,,,,531.0,58.4385,9.38,,36.33,,,,,,,193.0,,277.46,,,,14.66,,63.708,,332.82,,,28.27,,55.67,164.0,,427.95,45.83,,,,,,,39.84,272.17,25.9,,,23.12,,141.0,7.26,,,,116.31,,32.52,
2020-10-02 04:09:00+00:00,113.83,,108.02,,,,,,,59.67,,,3150.0,,,,,163.5,23.67,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.3,,,,69.76,,30.0,,,122.0,,131.85,,,,,,,,6.62,261.0,,,41.9,,39.6,6.11,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,50.98,,,,,94.4121,,,48.65,,,375.0,,336.0,,,,,,,,,,,,80.92,46.6,208.35,47.0,,520.0,,,,531.0,58.4385,9.42,,36.33,,,,,,,193.0,,277.48,,,,14.66,,63.708,,332.7,,,28.27,,55.67,164.0,,428.4,45.83,,,,,,,39.83,272.17,25.96,,,23.06,,141.0,7.26,,,,116.31,,32.52,
2020-10-02 04:10:00+00:00,113.82,,108.02,,,,,,,59.67,,,3150.0,,,,,163.18,23.67,,,,,,59.38,,,42.58,,,,,,,45.873,,,,,,38.3,,,,69.76,,30.0,,,122.0,,131.85,,,,,,,,6.62,261.0,,,41.9,,39.6,6.11,63.3,30.0,,,,195.13,11.0,,,,,,,308.0,50.98,,,,,94.4121,,,48.63,,,375.0,,336.0,,,,,,,,,,,,80.92,46.36,208.65,47.0,,520.0,,,,530.0,58.4385,9.42,,36.33,,,,,,,193.0,,277.48,,,,14.66,,62.8637,,332.59,,,28.27,,55.67,164.0,,427.96,46.18,,,,,,,39.83,272.17,25.97,,,23.06,,141.0,7.26,,,,116.31,,32.52,
