,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2021-01-08 00:01:00,116.3984375,0.7771,43.82,1.3566,39140.0,497.5,2542.0,0.78895,79.94,3811.25,1.22805,125.640625,137.375,69.525,0.0096345,120.0,597.5,114.9,2207.8,1343.0,28020.0,28035.0,12958.25,2107.5,1362.25,15.73,1.1314,432.7,153.6875,110.44140625,136.75,204.25,168.53125,22.9,643.5,31088.0,177.21,135.12,222.92,51.03,54.54,3633.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.98,1909.5,3.71,1.5425,2.6919999999999997,1126.9,1.4896,27.145,435.6
2021-01-08 00:02:00,116.3984375,0.7772,43.82,1.3566,39050.0,497.75,2542.0,0.78895,79.94,3811.0,1.22795,125.640625,137.375,69.525,0.009634,120.0,597.5,114.9,2207.8,1343.7,28020.0,28050.0,12959.25,2108.2,1362.0,15.73,1.1314,432.7,153.6875,110.44140625,136.75,204.25,168.53125,22.9,643.5,31085.0,177.21,135.12,222.92,51.03,54.54,3633.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.98,1909.3,3.7095,1.5425,2.694,1126.9,1.4896,27.145,435.6
2021-01-08 00:03:00,116.3984375,0.77715,43.82,1.3566,39050.0,497.75,2542.0,0.78895,79.97,3811.0,1.22795,125.640625,137.375,69.525,0.009634,120.0,597.5,114.9,2207.8,1343.7,28025.0,28060.0,12958.75,2107.7,1362.0,15.73,1.1313,432.7,153.6875,110.44140625,136.75,204.25,168.5625,22.9,643.75,31088.0,177.21,135.12,222.92,51.03,54.52,3634.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.96,1909.4,3.7095,1.5425,2.694,1126.9,1.4896,27.145,435.6
2021-01-08 00:04:00,116.3984375,0.77705,43.82,1.3567,39050.0,497.75,2542.0,0.78885,79.92,3811.0,1.22795,125.640625,137.375,69.525,0.0096345,120.0,597.5,114.9,2207.8,1343.7,28030.0,28055.0,12958.0,2107.6,1362.25,15.73,1.1313,432.7,153.6875,110.44140625,136.75,204.25,168.5625,22.9,643.75,31088.0,177.21,135.12,222.92,51.03,54.52,3634.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.97,1909.7,3.7095,1.5425,2.694,1126.9,1.4896,27.145,435.6
2021-01-08 00:05:00,116.3984375,0.77705,43.82,1.3567,39100.0,498.0,2542.0,0.78885,79.92,3811.0,1.22785,125.640625,137.375,69.525,0.0096325,120.0,597.5,114.9,2207.8,1343.7,28035.0,28055.0,12957.25,2107.8,1362.5,15.73,1.1313,432.7,153.6875,110.44140625,136.75,204.25,168.5625,22.9,643.5,31092.0,177.21,135.12,222.92,51.03,54.51,3634.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.97,1909.4,3.71,1.5425,2.694,1126.9,1.4896,27.14,435.6
2021-01-08 00:06:00,116.3984375,0.77705,43.82,1.3565,38980.0,497.75,2542.0,0.7888,79.88,3810.75,1.22785,125.640625,137.375,69.525,0.0096325,120.0,597.5,114.9,2207.8,1343.7,28040.0,28070.0,12957.0,2107.4,1362.25,15.73,1.1313,432.7,153.6875,110.44140625,136.765625,204.25,168.5625,22.9,643.5,31091.0,177.21,135.12,222.92,51.03,54.52,3634.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.96,1909.6,3.709,1.5425,2.6919999999999997,1126.9,1.4896,27.14,435.6
2021-01-08 00:07:00,116.3984375,0.77715,43.81,1.3565,38910.0,497.75,2542.0,0.7888,79.88,3811.5,1.22795,125.640625,137.375,69.525,0.009633,120.0,597.25,114.9,2207.8,1343.7,28045.0,28065.0,12958.25,2107.9,1362.25,15.73,1.1313,432.7,153.6875,110.44140625,136.765625,204.25,168.5625,22.9,643.25,31095.0,177.21,135.12,222.92,51.03,54.54,3634.0,112.27,20.45,439.75,1.5472,1.4968,167.51,54.54,1692.0,50.98,1910.0,3.7095,1.5425,2.69,1127.4,1.4896,27.145,435.6
2021-01-08 00:08:00,116.3984375,0.7772,43.85,1.3567,38920.0,498.0,2542.0,0.7889,79.88,3812.0,1.22795,125.640625,137.375,69.525,0.0096335,120.0,597.25,114.9,2207.8,1343.7,28035.0,28060.0,12959.5,2108.0,1362.25,15.73,1.1313,432.7,153.6875,110.44140625,136.765625,204.21875,168.5625,22.9,643.25,31098.0,177.21,135.12,222.92,51.03,54.55,3634.0,112.27,20.45,440.0,1.5472,1.4968,167.51,54.58,1692.0,50.99,1910.4,3.711,1.5425,2.6910000000000003,1127.4,1.4907,27.15,435.6
2021-01-08 00:09:00,116.3984375,0.77725,43.86,1.3567,38950.0,498.25,2542.0,0.7889,79.88,3812.5,1.228,125.640625,137.375,69.525,0.009634,120.0,597.75,114.9,2207.8,1344.0,28035.0,28065.0,12962.25,2108.4,1363.0,15.73,1.1314,432.8,153.6875,110.44140625,136.765625,204.25,168.53125,22.9,643.75,31102.0,177.21,135.12,222.92,51.03,54.59,3635.0,112.27,20.45,440.25,1.5472,1.4968,167.51,54.58,1692.0,51.02,1910.7,3.713,1.5447,2.6910000000000003,1127.4,1.4917,27.16,435.6
2021-01-08 00:10:00,116.3984375,0.77715,43.89,1.3567,38950.0,498.25,2542.0,0.7889,79.88,3812.75,1.228,125.640625,137.375,69.525,0.0096335,120.0,597.75,114.9,2207.8,1344.0,28035.0,28060.0,12963.5,2108.8,1363.0,15.73,1.1315,432.9,153.6875,110.44140625,136.765625,204.25,168.5625,22.9,643.75,31104.0,177.21,135.12,222.92,51.03,54.59,3635.0,112.27,20.45,440.25,1.5472,1.4968,167.51,54.6,1692.0,51.03,1910.3,3.713,1.5447,2.688,1127.4,1.4917,27.16,435.6
2021-01-08 00:11:00,116.3984375,0.77715,43.89,1.3567,38850.0,498.25,2542.0,0.7889,79.88,3813.0,1.22805,125.640625,137.375,69.525,0.0096335,120.0,597.75,114.9,2207.8,1344.3,28040.0,28060.0,12964.5,2108.7,1363.0,15.73,1.1315,432.9,153.6875,110.44140625,136.765625,204.25,168.5625,22.95,643.75,31106.0,177.21,135.12,222.92,51.03,54.59,3635.0,112.27,20.45,440.25,1.5472,1.4968,167.51,54.6,1692.0,51.02,1910.3,3.7125,1.545,2.6889999999999996,1129.2,1.4921,27.165,435.6
2021-01-08 00:12:00,116.3984375,0.7773,43.89,1.3568,38850.0,498.0,2542.0,0.7889,79.88,3813.5,1.2281,125.640625,137.375,69.525,0.0096335,120.0,597.75,114.9,2207.8,1344.6,28045.0,28075.0,12969.75,2108.9,1363.0,15.73,1.1315,432.8,153.671875,110.4375,136.75,204.1875,168.53125,22.9,644.0,31109.0,177.21,135.12,222.92,51.03,54.61,3635.0,112.27,20.45,440.5,1.5472,1.4968,167.51,54.6,1692.0,51.04,1910.5,3.714,1.5459,2.6889999999999996,1129.2,1.4924,27.17,435.6
2021-01-08 00:13:00,116.3984375,0.7773,43.88,1.3567,38840.0,498.0,2542.0,0.7889,79.88,3813.5,1.22805,125.640625,137.375,69.525,0.0096335,120.0,597.5,114.9,2207.8,1344.6,28045.0,28075.0,12970.25,2109.1,1362.5,15.73,1.1315,432.7,153.671875,110.4375,136.75,204.21875,168.53125,22.9,643.75,31109.0,177.21,135.12,222.92,51.03,54.6,3635.0,112.27,20.45,440.5,1.5472,1.4968,167.51,54.6,1692.0,51.03,1910.1,3.7135,1.5459,2.687,1129.2,1.4925,27.165,435.6
2021-01-08 00:14:00,116.3984375,0.7774,43.87,1.3568,38845.0,498.0,2542.0,0.7889,79.88,3813.75,1.228,125.640625,137.375,69.525,0.0096335,120.0,597.25,114.9,2207.8,1344.4,28050.0,28080.0,12971.0,2109.0,1362.5,15.73,1.1315,432.7,153.671875,110.44140625,136.75,204.21875,168.53125,22.9,643.75,31111.0,177.21,135.12,222.92,51.03,54.6,3635.0,112.27,20.45,440.25,1.5472,1.4968,167.51,54.6,1692.0,51.03,1910.3,3.7135,1.5459,2.687,1128.8,1.4927,27.17,435.6
