,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@ETH#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2021-03-05 00:01:00,116.046875,0.77085,50.84,1.3886,46775.0,534.0,2571.0,0.78975,86.65,3755.75,1467.0,1.19585,123.9375,138.75,87.275,0.0092535,131.35,622.5,118.775,2163.8,1335.4,28695.0,28535.0,12408.75,2134.6,1414.75,16.26,1.0766,417.4,145.796875,110.3984375,132.203125,184.5,156.53125,27.45,652.75,30811.0,170.82,134.85,208.7,64.35,67.39,3671.0,112.08,23.45,540.25,1.9048,2.0145,163.68,67.39,1964.0,64.43,1689.6,4.001,1.9041,2.7230000000000003,1124.4,2.0096,25.27,461.7
2021-03-05 00:02:00,116.046875,0.77085,50.84,1.3886,46745.0,534.25,2571.0,0.7897,86.65,3755.5,1467.0,1.19585,123.9375,138.75,87.275,0.0092545,131.35,622.5,118.775,2163.8,1336.7,28705.0,28535.0,12410.75,2134.5,1415.25,16.26,1.0766,417.4,145.796875,110.3984375,132.203125,184.5,156.53125,27.45,652.75,30809.0,170.82,134.85,208.7,64.35,67.4,3671.0,112.08,23.45,540.25,1.9048,2.0145,163.68,67.4,1964.0,64.42,1690.1,4.0035,1.9041,2.722,1124.4,2.0096,25.285,461.7
2021-03-05 00:03:00,116.046875,0.77085,50.84,1.3885,46745.0,534.25,2571.0,0.7897,86.65,3754.25,1467.0,1.19585,123.9375,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1336.7,28675.0,28535.0,12406.25,2133.5,1415.5,16.26,1.0765,417.4,145.796875,110.3984375,132.203125,184.53125,156.53125,27.5,652.75,30801.0,170.82,134.85,208.7,64.35,67.39,3670.0,112.08,23.45,540.25,1.9048,2.0145,163.68,67.36,1964.0,64.42,1690.3,4.0025,1.9041,2.719,1124.4,2.0096,25.285,461.7
2021-03-05 00:04:00,116.046875,0.7709,50.83,1.3887,46925.0,534.0,2571.0,0.7898,86.65,3755.5,1467.0,1.1959,123.9375,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1336.7,28670.0,28535.0,12412.25,2135.5,1415.5,16.26,1.0765,417.3,145.796875,110.3984375,132.21875,184.53125,156.53125,27.45,652.5,30810.0,170.82,134.85,208.7,64.35,67.39,3670.0,112.08,23.45,540.25,1.9048,2.0145,163.68,67.39,1964.0,64.43,1690.5,4.0045,1.9045,2.72,1125.0,2.0096,25.295,461.7
2021-03-05 00:05:00,116.046875,0.7709,50.84,1.3887,46925.0,534.0,2571.0,0.7898,86.65,3757.0,1467.0,1.19595,123.9375,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1337.2,28670.0,28535.0,12419.75,2135.8,1415.5,16.26,1.0765,417.3,145.796875,110.3984375,132.21875,184.53125,156.53125,27.45,652.5,30818.0,170.82,134.85,208.7,64.35,67.37,3670.0,112.08,23.45,540.25,1.9048,2.0145,163.68,67.36,1964.0,64.41,1690.4,4.006,1.9046,2.721,1125.5,2.0096,25.295,461.7
2021-03-05 00:06:00,116.046875,0.77085,50.83,1.3885,47050.0,534.0,2571.0,0.78975,86.65,3756.25,1476.5,1.196,123.9375,138.75,87.275,0.0092545,131.35,622.5,118.775,2163.8,1337.2,28690.0,28535.0,12414.5,2135.5,1415.25,16.26,1.0766,417.3,145.796875,110.3984375,132.203125,184.5625,156.5625,27.45,652.5,30814.0,170.82,134.85,208.7,64.35,67.36,3670.0,112.08,23.45,540.25,1.9048,2.0145,163.68,67.36,1964.0,64.4,1690.4,4.006,1.9046,2.72,1125.0,2.0096,25.29,461.7
2021-03-05 00:07:00,116.046875,0.7708,50.82,1.3883,47055.0,533.75,2571.0,0.7897,86.65,3754.5,1476.5,1.196,123.9375,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1335.9,28660.0,28535.0,12405.5,2134.3,1415.25,16.26,1.0766,417.3,145.8125,110.3984375,132.203125,184.59375,156.5625,27.5,652.75,30801.0,170.82,134.84,208.7,64.35,67.35,3668.0,112.08,23.45,540.0,1.9048,2.0145,163.68,67.36,1964.0,64.39,1690.5,4.0035,1.9034,2.72,1123.4,2.0096,25.29,461.7
2021-03-05 00:08:00,116.046875,0.77085,50.81,1.3884,47055.0,533.75,2571.0,0.7897,86.59,3755.25,1476.5,1.19605,123.9375,138.75,87.275,0.009255,131.35,622.75,118.775,2163.8,1335.4,28670.0,28535.0,12408.0,2135.0,1415.0,16.26,1.0766,417.2,145.8125,110.3984375,132.21875,184.625,156.59375,27.5,653.0,30808.0,170.83,134.85,208.7,64.35,67.34,3670.0,112.08,23.45,540.0,1.9048,2.0145,163.68,67.36,1964.0,64.38,1690.4,4.003,1.903,2.72,1123.8,2.008,25.28,461.7
2021-03-05 00:09:00,116.046875,0.77085,50.81,1.3883,47135.0,533.75,2571.0,0.7897,86.59,3754.25,1476.5,1.1959,123.9453125,138.75,87.275,0.0092555,131.35,622.5,118.775,2163.8,1335.4,28660.0,28535.0,12407.5,2134.6,1415.0,16.26,1.0766,417.2,145.859375,110.3984375,132.234375,184.71875,156.625,27.5,653.0,30798.0,170.84,134.85,208.7,64.35,67.31,3669.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.36,1964.0,64.35,1690.0,4.0005,1.903,2.72,1123.2,2.008,25.265,461.7
2021-03-05 00:10:00,116.046875,0.7708,50.81,1.3883,47135.0,534.0,2571.0,0.7896,86.59,3755.0,1476.5,1.19595,123.9453125,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1334.4,28665.0,28535.0,12406.25,2135.1,1414.5,16.26,1.0766,417.2,145.84375,110.3984375,132.234375,184.71875,156.65625,27.55,653.0,30805.0,170.85,134.85,208.7,64.34,67.31,3670.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.29,1964.0,64.35,1690.0,4.002,1.9028,2.72,1123.6,2.008,25.26,461.7
2021-03-05 00:11:00,116.046875,0.77075,50.79,1.3883,47175.0,534.0,2571.0,0.7896,86.59,3753.25,1476.5,1.19595,123.9453125,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1334.1,28650.0,28505.0,12398.25,2134.0,1414.5,16.26,1.0768,417.3,145.84375,110.3984375,132.234375,184.6875,156.625,27.55,653.0,30788.0,170.81,134.85,208.7,64.36,67.32,3669.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.3,1964.0,64.34,1689.7,4.0025,1.9028,2.721,1123.6,2.008,25.255,461.7
2021-03-05 00:12:00,116.046875,0.7707,50.78,1.3883,47175.0,534.0,2571.0,0.7895,86.59,3752.25,1476.5,1.19595,123.9453125,138.75,87.275,0.0092555,131.35,622.5,118.775,2163.8,1334.1,28645.0,28505.0,12390.0,2133.3,1414.5,16.26,1.0768,417.3,145.84375,110.3984375,132.234375,184.71875,156.625,27.55,652.75,30786.0,170.82,134.85,208.7,64.36,67.31,3669.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.3,1964.0,64.35,1689.6,4.0025,1.903,2.721,1123.2,2.008,25.245,461.7
2021-03-05 00:13:00,116.046875,0.7707,50.78,1.3882,47115.0,534.0,2571.0,0.78955,86.59,3752.75,1476.5,1.19595,123.953125,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1333.2,28645.0,28505.0,12393.0,2133.3,1414.25,16.26,1.0768,417.1,145.84375,110.3984375,132.234375,184.75,156.625,27.55,652.75,30782.0,170.83,134.85,208.7,64.36,67.29,3668.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.3,1964.0,64.34,1689.4,4.0045,1.903,2.72,1122.8,2.008,25.245,461.7
2021-03-05 00:14:00,116.046875,0.7707,50.8,1.3882,47115.0,534.0,2571.0,0.78955,86.59,3752.75,1476.5,1.19595,123.953125,138.75,87.275,0.009255,131.35,622.5,118.775,2163.8,1333.2,28635.0,28505.0,12393.75,2133.7,1414.5,16.26,1.0768,417.1,145.84375,110.3984375,132.234375,184.75,156.625,27.55,653.0,30782.0,170.83,134.85,208.7,64.36,67.29,3668.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.3,1964.0,64.34,1689.4,4.0035,1.903,2.72,1122.8,2.0079,25.24,461.7
2021-03-05 00:15:00,116.046875,0.7707,50.8,1.3882,47115.0,534.0,2571.0,0.7895,86.59,3752.75,1476.5,1.1959,123.953125,138.75,87.275,0.0092555,131.35,622.5,118.775,2163.8,1333.2,28645.0,28505.0,12392.0,2133.4,1414.5,16.26,1.0768,417.1,145.859375,110.3984375,132.234375,184.75,156.625,27.55,653.0,30784.0,170.83,134.85,208.7,64.36,67.31,3668.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.3,1964.0,64.35,1689.4,4.004,1.903,2.721,1122.6,2.0079,25.24,461.7
2021-03-05 00:16:00,116.046875,0.77075,50.81,1.3884,47115.0,534.0,2571.0,0.7896,86.59,3753.0,1476.5,1.196,123.9609375,138.75,87.275,0.009256,131.35,622.25,118.775,2163.8,1333.2,28640.0,28505.0,12394.75,2133.6,1414.75,16.26,1.0767,417.2,145.875,110.40234375,132.25,184.78125,156.6875,27.55,653.0,30785.0,170.84,134.85,208.7,64.36,67.31,3669.0,112.08,23.45,539.75,1.9048,2.0145,163.68,67.3,1964.0,64.34,1690.1,4.0045,1.903,2.721,1122.6,2.0079,25.26,461.7
