,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@ETH#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2021-06-04 00:01:00,115.9921875,0.7659,69.25,1.4095,37815.0,666.25,2440.0,0.82515,84.1,4192.75,2759.25,1.2117,123.640625,152.0,119.125,0.009072,157.1,625.25,118.525,2340.1,1380.3,28935.0,28935.0,13528.25,891.0,2278.7,1556.75,17.51,1.1059,392.7,144.59375,110.32421875,131.609375,184.4375,156.03125,19.35,678.5,34584.0,169.9,134.81,201.16,68.75,71.23,4080.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.21,1611.0,68.74,1871.7,4.482,2.103,3.0669999999999997,1152.7,2.2015,27.455,461.3
2021-06-04 00:02:00,115.9921875,0.76585,69.25,1.4093,37815.0,666.0,2440.0,0.82515,84.1,4192.5,2759.25,1.2116,123.640625,152.0,119.125,0.009072,157.1,625.25,118.525,2340.1,1380.3,28935.0,28935.0,13527.25,891.0,2278.4,1556.75,17.51,1.1059,392.7,144.59375,110.32421875,131.609375,184.4375,156.03125,19.35,678.5,34581.0,169.9,134.81,201.16,68.75,71.22,4080.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.21,1611.0,68.74,1871.7,4.481,2.103,3.0669999999999997,1153.3,2.2015,27.45,461.3
2021-06-04 00:03:00,115.9921875,0.7659,69.24,1.4093,37815.0,666.0,2440.0,0.82515,84.1,4193.0,2759.25,1.21165,123.640625,152.0,119.125,0.009072,157.1,625.25,118.525,2340.1,1380.3,28935.0,28935.0,13527.25,891.0,2278.4,1556.75,17.51,1.1059,392.6,144.59375,110.32421875,131.609375,184.4375,156.03125,19.35,678.5,34583.0,169.9,134.81,201.16,68.75,71.22,4080.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.21,1611.0,68.74,1871.9,4.4805,2.103,3.0669999999999997,1153.2,2.2015,27.455,461.3
2021-06-04 00:04:00,115.9921875,0.76605,69.26,1.4094,37815.0,666.0,2440.0,0.8251,84.1,4192.75,2759.25,1.2117,123.640625,152.0,119.125,0.009073000000000001,157.1,625.25,118.525,2340.1,1380.3,28930.0,28935.0,13528.0,891.0,2278.4,1556.75,17.51,1.1059,392.6,144.609375,110.32421875,131.625,184.4375,156.03125,19.35,678.5,34583.0,169.9,134.81,201.16,68.75,71.21,4080.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.21,1611.0,68.73,1871.7,4.481,2.103,3.0660000000000003,1152.8,2.2015,27.445,461.3
2021-06-04 00:05:00,115.9921875,0.766,69.26,1.4095,37815.0,666.0,2440.0,0.8251,84.1,4193.0,2759.25,1.21165,123.640625,152.0,119.125,0.009073000000000001,157.1,625.25,118.525,2340.1,1380.3,28930.0,28935.0,13527.5,891.0,2278.7,1556.75,17.51,1.1059,392.6,144.609375,110.32421875,131.625,184.4375,156.03125,19.35,678.5,34582.0,169.9,134.81,201.16,68.75,71.23,4081.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.21,1611.0,68.74,1871.8,4.481,2.1034,3.0669999999999997,1152.7,2.2015,27.445,461.3
2021-06-04 00:06:00,115.9921875,0.76605,69.26,1.4095,37815.0,666.0,2440.0,0.82515,84.1,4192.5,2759.25,1.2117,123.640625,152.0,119.125,0.009072499999999999,157.1,625.25,118.525,2340.1,1380.2,28945.0,28935.0,13527.25,891.0,2278.7,1556.75,17.51,1.1059,392.6,144.609375,110.32421875,131.625,184.4375,156.03125,19.35,678.5,34582.0,169.9,134.81,201.16,68.75,71.21,4081.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.22,1611.0,68.75,1871.8,4.481,2.1036,3.0669999999999997,1153.0,2.2015,27.45,461.3
2021-06-04 00:07:00,115.9921875,0.7661,69.24,1.4095,37815.0,666.0,2440.0,0.82515,84.1,4192.75,2775.0,1.21165,123.640625,152.0,119.125,0.009072,157.1,625.25,118.525,2340.1,1380.2,28940.0,28935.0,13527.5,891.0,2278.5,1556.75,17.51,1.1058,392.6,144.609375,110.32421875,131.625,184.4375,156.03125,19.35,678.5,34579.0,169.9,134.81,201.16,68.75,71.2,4081.0,112.05,19.45,581.25,2.101,2.203,1589.0,160.42,71.22,1611.0,68.73,1871.7,4.4805,2.1036,3.0669999999999997,1152.9,2.2015,27.455,461.3
2021-06-04 00:08:00,115.9921875,0.76605,69.21,1.4095,37815.0,666.0,2440.0,0.82515,84.1,4192.5,2775.0,1.2116,123.640625,152.0,119.125,0.009072,157.1,625.25,118.525,2340.1,1380.2,28940.0,28935.0,13527.5,891.0,2278.3,1556.75,17.51,1.1058,392.5,144.59375,110.32421875,131.625,184.4375,156.03125,19.35,678.5,34579.0,169.9,134.81,201.16,68.75,71.2,4081.0,112.045,19.45,581.25,2.101,2.203,1589.0,160.42,71.22,1611.0,68.73,1871.7,4.48,2.1036,3.0669999999999997,1152.9,2.2015,27.45,461.3
2021-06-04 00:09:00,115.9921875,0.7661,69.25,1.4094,37875.0,666.0,2440.0,0.82515,84.1,4192.5,2775.0,1.2117,123.640625,152.0,119.125,0.009072499999999999,157.1,625.25,118.525,2340.1,1380.3,28935.0,28935.0,13526.75,891.0,2278.3,1557.0,17.51,1.1058,392.6,144.59375,110.32421875,131.609375,184.4375,156.03125,19.35,678.5,34579.0,169.9,134.81,201.16,68.75,71.2,4081.0,112.045,19.45,581.0,2.101,2.203,1589.0,160.42,71.19,1611.0,68.72,1872.2,4.4805,2.1036,3.0669999999999997,1154.0,2.2007,27.46,461.3
2021-06-04 00:10:00,115.9921875,0.766,69.26,1.4096,37875.0,666.0,2440.0,0.82515,84.1,4192.5,2779.25,1.2117,123.640625,152.0,119.125,0.0090715,157.1,625.25,118.525,2340.1,1380.3,28940.0,28935.0,13526.75,891.0,2278.3,1557.0,17.51,1.1058,392.6,144.59375,110.32421875,131.609375,184.4375,156.03125,19.35,678.5,34578.0,169.9,134.81,201.16,68.75,71.22,4081.0,112.045,19.45,581.0,2.101,2.203,1589.0,160.42,71.23,1611.0,68.74,1872.3,4.481,2.1036,3.0660000000000003,1155.4,2.201,27.465,461.3
