time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2021-11-05 04:01:00+00:00,150.94,,,,,,,,61.41,,,,,,,,,212.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,39.78,,,,,,,,,,,,,,,,,,50.22,,,,,,,,,,,,,,,,,,,,,,,,,91.51,100.5,,,83.0,,,,,299.0,,,,43.7,,,,,,,,,155.98,397.83,,,,,,,,,,,24.82,,,,,1226.0,,,,,,,,,,,,,50.7,,,,,,,,,,
2021-11-05 04:02:00+00:00,150.65,,,,,,,,61.41,,,,,,,,,212.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.65,,,,39.78,,,,,58.63,,,,,,,,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.99,100.5,338.14,,83.0,665.75,,,,301.02,,,,43.7,,,,,,,,,155.98,397.91,,,,,,,,466.6,,,24.82,,,,,1224.0,,,,,,,,,,,,,50.7,,,,,,,,,,
2021-11-05 04:03:00+00:00,151.12,,,,,,,,61.41,,,,,,,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,,,41.17,,,,,,,,,,,,,19.69,,,,39.78,,,,,58.63,,,,,,,,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.58,100.5,338.14,,83.0,665.75,,,,301.5,,,,43.7,,,,,,,,,155.98,397.95,,,,,,,,466.7,,,24.82,,,,,1220.0,,,,,,,,,,,,,50.7,,,26.2,,,,,,,
2021-11-05 04:04:00+00:00,151.12,,,,,,,,61.41,,,,,,,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,,,41.17,,,,,,,,,,,,,19.65,,,,39.78,,,,,58.63,,,,,,,,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.95,100.5,338.14,,83.0,665.75,,,,300.71,,,,43.55,,,,,,,,,155.98,398.06,,,,,,,,466.75,,,24.82,,,,,1220.0,,,,,,,,,,,,,50.7,,,26.19,,,,,,,
2021-11-05 04:05:00+00:00,151.12,,,,,,,,61.41,,,,,,,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,,,41.17,,,,,,,,,,,,,19.65,,,,39.78,,,,,58.63,,,,,,,,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.7,100.5,338.14,,83.0,665.75,,,,302.25,,,,43.55,,,,,,,,,155.98,398.05,,,,,,,,466.75,,,24.82,,,,,1221.0,,,,,,,,,,,,,50.7,,,26.19,,,,,,,
2021-11-05 04:06:00+00:00,151.0,,,,,,,,61.41,,,,,,,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,,,,,,,,,,,19.69,337.75,,,39.78,,,,,58.63,,,,,,,,,,119.0642,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.51,100.5,338.14,,83.0,665.75,,,,303.7,,,,43.55,,,,,,,,,155.53,398.1,,,,,,,,466.77,,,24.82,,,,,1221.0,,,,,,,,,,,,,50.7,,,26.19,,,,,,,
2021-11-05 04:07:00+00:00,151.0,,,,,,,,61.41,,,,,,,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.0642,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,338.14,72.24,83.0,665.75,,,,303.11,,,,43.55,,,,,,,,,155.47,398.06,,,,,,,,466.8,,,24.82,,,,,1224.0,,,,,,,,,,,,,50.7,,,26.19,,,,,,,
2021-11-05 04:08:00+00:00,151.0,,,,,,,,61.41,,,,,,,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.2714,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,338.14,72.24,83.0,665.75,,,,303.0,,,,43.55,,,,,,,,,155.47,398.12,,,,,,,,466.85,,,24.82,,,,,1223.97,,,,,,,,,,,,,50.7,,,26.01,,,,,,,
2021-11-05 04:09:00+00:00,150.82,,,,,,,,61.41,,,,,,68.26,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.2714,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.62,100.5,337.3,72.24,83.0,665.75,,,,303.25,,,,43.55,,,,,,,,,155.47,398.13,,,,,,,,466.84,,,24.82,,,,,1224.0,,,,,,,,,,,,,50.7,,,26.01,,,,,,63.5291,
2021-11-05 04:10:00+00:00,150.82,,,,,,,,61.41,,,,,,68.26,,,212.95,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.67,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.6858,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.6,100.5,337.3,72.24,83.0,665.75,175.92,,,303.18,,,,43.7,,,,,,,,,155.47,398.11,,,,,,,,466.84,,,24.82,,,,,1225.0,,,,,,,,,,,,,50.7,,,26.01,,,,,,63.5291,
