statistic;MME;MFS;LE;KE;KC;HO;HE;GF;GC;G;FVS;FESX;ETH;ES;CT;CL;CC;BZ;BTC;BRN;basket
count;2;3;11;12;26;4;37;14;2;37;75;5;53;2;10;5;11;6;67;5;389
mean;110;613;-41;-86;-59;215;51;172;-21;-1;-1;-71;-240;-1040;-66;185;-38;105;111;36;-5
min;-341;-578;-277;-234;-1206;-564;-368;-484;-1012;-375;-66;-198;-3347;-1089;-371;-403;-170;-399;-6409;-447;-6409
25(%);-115;-10;-261;-184;-369;174;-189;-255;-517;-275;-17;-186;-889;-1065;-260;259;-131;-142;-927;-439;-275
50(%);110;558;-225;-169;-4;431;171;381;-21;38;-9;-180;-574;-1040;-228;314;-126;288;484;327;12
75(%);335;1209;251;-68;287;473;209;425;475;259;16;44;741;-1016;225;358;125;350;1155;365;312
max;561;1860;318;213;485;562;343;677;971;412;70;163;1301;-991;297;397;150;370;1927;373;1927
win(%);50;66;45;25;50;75;64;71;50;51;49;40;39;0;40;80;36;66;61;60;52
mean_unit_pnl;3;18;-1;-3;-2;6;1;5;-1;0;0;-2;-7;-31;-2;5;-1;3;3;1;0
std_unit_pnl;6;9;1;0;0;3;0;1;14;0;0;1;1;1;1;2;0;2;1;2;0
average_daily_pnl;110;613;-41;-86;-59;215;51;172;-21;-1;-1;-71;-240;-1040;-66;185;-38;105;111;36;-10
total_dates;2;3;11;12;26;4;37;14;2;36;72;5;53;2;10;5;11;6;67;5;221
std_daily_pnl;637;1220;262;169;423;523;214;408;1402;277;23;165;1020;69;275;333;137;346;1359;437;1026
sharpe;2.74;7.98;-2.48;-8.08;-2.21;6.53;3.78;6.69;-0.24;-0.06;-0.69;-6.83;-3.74;-239.27;-3.81;8.82;-4.4;4.82;1.3;1.31;-0.16
total_pnl;220;1840;-448;-1037;-1521;860;1875;2405;-42;-19;-97;-356;-12740;-2080;-655;924;-413;632;7439;179;-2111
total_volume;82;123;451;492;1066;164;1517;574;82;1517;3075;205;2173;82;410;205;451;246;2747;205;15949
