month,emp-forecast,emp-actual,emp-date,pay-forecast,pay-actual,pay-date,emp-diff,pay-diff
2008-03,10.0,-23,2008-03-05,25.0,-63,2008-03-07,-33.0,-88.0
2008-04,-40.0,8,2008-04-02,-50.0,-80,2008-04-04,48.0,-30.0
2008-04,-60.0,13,2008-04-30,-50.0,-80,2008-04-04,73.0,-30.0
2008-06,-30.0,40,2008-06-04,-57.0,-49,2008-06-06,70.0,8.0
2008-07,-20.0,-79,2008-07-02,-60.0,-62,2008-07-03,-59.0,-2.0
2008-07,-58.0,9,2008-07-30,-60.0,-62,2008-07-03,67.0,-2.0
2008-09,-30.0,-33,2008-09-04,-73.0,-84,2008-09-05,-3.0,-11.0
2008-10,-55.0,-8,2008-10-01,-100.0,-159,2008-10-03,47.0,-59.0
2008-11,-100.0,-157,2008-11-05,-200.0,-240,2008-11-07,-57.0,-40.0
2008-12,-200.0,-476,2008-12-03,-320.0,-533,2008-12-05,-276.0,-213.0
2009-01,-450.0,-693,2009-01-07,-475.0,-524,2009-01-09,-243.0,-49.0
2009-02,-528.0,-614,2009-02-04,-530.0,-598,2009-02-06,-86.0,-68.0
2009-03,-565.0,-706,2009-03-04,-636.0,-651,2009-03-06,-141.0,-15.0
2009-04,-660.0,-708,2009-04-01,-662.0,-699,2009-04-03,-48.0,-37.0
2009-05,-644.0,-545,2009-05-06,-580.0,-504,2009-05-08,99.0,76.0
2009-06,-532.0,-485,2009-06-03,-521.0,-322,2009-06-05,47.0,199.0
2009-07,-410.0,-463,2009-07-01,-375.0,-443,2009-07-02,-53.0,-68.0
2009-08,-340.0,-360,2009-08-05,-330.0,-276,2009-08-07,-20.0,54.0
2009-09,-250.0,-277,2009-09-02,-220.0,-201,2009-09-04,-27.0,19.0
2009-09,-200.0,-227,2009-09-30,-220.0,-201,2009-09-04,-27.0,19.0
2009-11,-190.0,-195,2009-11-04,-166.0,-111,2009-11-06,-5.0,55.0
2009-12,-148.0,-145,2009-12-02,-114.0,4,2009-12-04,3.0,118.0
2010-01,-75.0,-61,2010-01-06,0.0,-150,2010-01-08,14.0,-150.0
2010-02,-40.0,-60,2010-02-03,15.0,-26,2010-02-05,-20.0,-41.0
2010-03,-10.0,-24,2010-03-03,-55.0,-14,2010-03-05,-14.0,41.0
2010-03,40.0,19,2010-03-31,-55.0,-14,2010-03-05,-21.0,41.0
2010-05,30.0,65,2010-05-05,187.0,290,2010-05-07,35.0,103.0
2010-06,56.0,57,2010-06-03,500.0,433,2010-06-04,1.0,-67.0
2010-06,58.0,19,2010-06-30,500.0,433,2010-06-04,-39.0,-67.0
2010-08,25.0,37,2010-08-04,-65.0,-54,2010-08-06,12.0,11.0
2010-09,13.0,10,2010-09-01,-118.0,-57,2010-09-03,-3.0,61.0
2010-10,18.0,-2,2010-10-06,3.0,-41,2010-10-08,-20.0,-44.0
2010-11,25.0,82,2010-11-03,60.0,172,2010-11-05,57.0,112.0
2010-12,65.0,92,2010-12-01,140.0,71,2010-12-03,27.0,-69.0
2011-01,100.0,247,2011-01-05,150.0,121,2011-01-07,147.0,-29.0
